deck_id,deck_source,cmc,name,type,price
-A3Is60PJDED2ihDEizdMQ,https://archidekt.com/decks/21903577?utm_source=edhrec&utm_medium=deck_summary,4,"Ashling, Flame Dancer",Creature,$9.99
-A3Is60PJDED2ihDEizdMQ,https://archidekt.com/decks/21903577?utm_source=edhrec&utm_medium=deck_summary,3,"Birgi, God of Storytelling",Creature,$34.99
-A3Is60PJDED2ihDEizdMQ,https://archidekt.com/decks/21903577?utm_source=edhrec&utm_medium=deck_summary,6,Chandra's Incinerator,Creature,$4.49
-A3Is60PJDED2ihDEizdMQ,https://archidekt.com/decks/21903577?utm_source=edhrec&utm_medium=deck_summary,2,Coruscation Mage,Creature,$1.79
-A3Is60PJDED2ihDEizdMQ,https://archidekt.com/decks/21903577?utm_source=edhrec&utm_medium=deck_summary,4,Defiler of Instinct,Creature,$0.99
-A3Is60PJDED2ihDEizdMQ,https://archidekt.com/decks/21903577?utm_source=edhrec&utm_medium=deck_summary,3,"Electro, Assaulting Battery",Creature,$6.99
-A3Is60PJDED2ihDEizdMQ,https://archidekt.com/decks/21903577?utm_source=edhrec&utm_medium=deck_summary,2,Electrostatic Field,Creature,$2.29
-A3Is60PJDED2ihDEizdMQ,https://archidekt.com/decks/21903577?utm_source=edhrec&utm_medium=deck_summary,2,Erebor Flamesmith,Creature,$0.99
-A3Is60PJDED2ihDEizdMQ,https://archidekt.com/decks/21903577?utm_source=edhrec&utm_medium=deck_summary,2,Firebrand Archer,Creature,$0.35
-A3Is60PJDED2ihDEizdMQ,https://archidekt.com/decks/21903577?utm_source=edhrec&utm_medium=deck_summary,3,Guttersnipe,Creature,$0.49
-A3Is60PJDED2ihDEizdMQ,https://archidekt.com/decks/21903577?utm_source=edhrec&utm_medium=deck_summary,2,Harsh Mentor,Creature,$0.59
-A3Is60PJDED2ihDEizdMQ,https://archidekt.com/decks/21903577?utm_source=edhrec&utm_medium=deck_summary,2,Hexing Squelcher,Creature,$19.99
-A3Is60PJDED2ihDEizdMQ,https://archidekt.com/decks/21903577?utm_source=edhrec&utm_medium=deck_summary,2,Kessig Flamebreather,Creature,$5.99
-A3Is60PJDED2ihDEizdMQ,https://archidekt.com/decks/21903577?utm_source=edhrec&utm_medium=deck_summary,3,Magus of the Moon,Creature,$5.49
-A3Is60PJDED2ihDEizdMQ,https://archidekt.com/decks/21903577?utm_source=edhrec&utm_medium=deck_summary,3,Rampaging Ferocidon,Creature,$1.99
-A3Is60PJDED2ihDEizdMQ,https://archidekt.com/decks/21903577?utm_source=edhrec&utm_medium=deck_summary,2,Razorkin Needlehead,Creature,$8.99
-A3Is60PJDED2ihDEizdMQ,https://archidekt.com/decks/21903577?utm_source=edhrec&utm_medium=deck_summary,2,Runaway Steam-Kin,Creature,$2.29
-A3Is60PJDED2ihDEizdMQ,https://archidekt.com/decks/21903577?utm_source=edhrec&utm_medium=deck_summary,1,Spear Spewer,Creature,$0.35
-A3Is60PJDED2ihDEizdMQ,https://archidekt.com/decks/21903577?utm_source=edhrec&utm_medium=deck_summary,4,Storm-Kiln Artist,Creature,$2.99
-A3Is60PJDED2ihDEizdMQ,https://archidekt.com/decks/21903577?utm_source=edhrec&utm_medium=deck_summary,2,Thermo-Alchemist,Creature,$0.35
-A3Is60PJDED2ihDEizdMQ,https://archidekt.com/decks/21903577?utm_source=edhrec&utm_medium=deck_summary,3,Zo-Zu the Punisher,Creature,$4.49
-A3Is60PJDED2ihDEizdMQ,https://archidekt.com/decks/21903577?utm_source=edhrec&utm_medium=deck_summary,4,Big Score,Instant,$1.99
-A3Is60PJDED2ihDEizdMQ,https://archidekt.com/decks/21903577?utm_source=edhrec&utm_medium=deck_summary,4,Bolt Bend,Instant,$3.99
-A3Is60PJDED2ihDEizdMQ,https://archidekt.com/decks/21903577?utm_source=edhrec&utm_medium=deck_summary,3,Deflecting Swat,Instant,$74.99
-A3Is60PJDED2ihDEizdMQ,https://archidekt.com/decks/21903577?utm_source=edhrec&utm_medium=deck_summary,2,Demand Answers,Instant,$1.49
-A3Is60PJDED2ihDEizdMQ,https://archidekt.com/decks/21903577?utm_source=edhrec&utm_medium=deck_summary,3,Flick a Coin,Instant,$0.59
-A3Is60PJDED2ihDEizdMQ,https://archidekt.com/decks/21903577?utm_source=edhrec&utm_medium=deck_summary,1,Gut Shot,Instant,$5.99
-A3Is60PJDED2ihDEizdMQ,https://archidekt.com/decks/21903577?utm_source=edhrec&utm_medium=deck_summary,1,Lava Dart,Instant,$0.99
-A3Is60PJDED2ihDEizdMQ,https://archidekt.com/decks/21903577?utm_source=edhrec&utm_medium=deck_summary,1,Lightning Bolt,Instant,$1.99
-A3Is60PJDED2ihDEizdMQ,https://archidekt.com/decks/21903577?utm_source=edhrec&utm_medium=deck_summary,1,Red Elemental Blast,Instant,$4.99
-A3Is60PJDED2ihDEizdMQ,https://archidekt.com/decks/21903577?utm_source=edhrec&utm_medium=deck_summary,2,Return the Favor,Instant,$2.49
-A3Is60PJDED2ihDEizdMQ,https://archidekt.com/decks/21903577?utm_source=edhrec&utm_medium=deck_summary,3,Seething Song,Instant,$10.99
