deck_id,deck_source,cmc,name,type,price
-P-ODAiqGNZ_UiMLhfPPyw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Blisterspit Gremlin,Creature,$0.35
-P-ODAiqGNZ_UiMLhfPPyw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,6,Chandra's Incinerator,Creature,$3.49
-P-ODAiqGNZ_UiMLhfPPyw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Coruscation Mage,Creature,$2.49
-P-ODAiqGNZ_UiMLhfPPyw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Defiler of Instinct,Creature,$0.79
-P-ODAiqGNZ_UiMLhfPPyw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,"Electro, Assaulting Battery",Creature,$9.49
-P-ODAiqGNZ_UiMLhfPPyw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Electrostatic Field,Creature,$2.79
-P-ODAiqGNZ_UiMLhfPPyw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Erebor Flamesmith,Creature,$0.99
-P-ODAiqGNZ_UiMLhfPPyw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Firebrand Archer,Creature,$0.35
-P-ODAiqGNZ_UiMLhfPPyw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Firespitter Whelp,Creature,$0.35
-P-ODAiqGNZ_UiMLhfPPyw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Guttersnipe,Creature,$0.39
-P-ODAiqGNZ_UiMLhfPPyw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Kessig Flamebreather,Creature,$4.49
-P-ODAiqGNZ_UiMLhfPPyw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,"Longshot, Rebel Bowman",Creature,$13.99
-P-ODAiqGNZ_UiMLhfPPyw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Magus of the Moon,Creature,$4.49
-P-ODAiqGNZ_UiMLhfPPyw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Magus of the Wheel,Creature,$1.79
-P-ODAiqGNZ_UiMLhfPPyw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Razorkin Needlehead,Creature,$8.49
-P-ODAiqGNZ_UiMLhfPPyw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Runaway Steam-Kin,Creature,$2.79
-P-ODAiqGNZ_UiMLhfPPyw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Sawblade Scamp,Creature,$0.35
-P-ODAiqGNZ_UiMLhfPPyw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Scytheclaw Raptor,Creature,$0.35
-P-ODAiqGNZ_UiMLhfPPyw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Spear Spewer,Creature,$0.79
-P-ODAiqGNZ_UiMLhfPPyw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Storm-Kiln Artist,Creature,$2.29
-P-ODAiqGNZ_UiMLhfPPyw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Thermo-Alchemist,Creature,$0.35
-P-ODAiqGNZ_UiMLhfPPyw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Unruly Catapult,Creature,$0.79
-P-ODAiqGNZ_UiMLhfPPyw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Bolt Bend,Instant,$4.99
-P-ODAiqGNZ_UiMLhfPPyw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Bulk Up,Instant,$0.35
-P-ODAiqGNZ_UiMLhfPPyw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Demand Answers,Instant,$1.49
-P-ODAiqGNZ_UiMLhfPPyw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Desperate Ritual,Instant,$7.49
-P-ODAiqGNZ_UiMLhfPPyw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Lava Dart,Instant,$1.99
-P-ODAiqGNZ_UiMLhfPPyw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Lightning Bolt,Instant,$1.99
-P-ODAiqGNZ_UiMLhfPPyw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Monstrous Rage,Instant,$0.35
-P-ODAiqGNZ_UiMLhfPPyw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Needle Drop,Instant,$0.99
-P-ODAiqGNZ_UiMLhfPPyw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Play with Fire,Instant,$0.49
-P-ODAiqGNZ_UiMLhfPPyw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,6,Raphael's Technique,Instant,$0.49
-P-ODAiqGNZ_UiMLhfPPyw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Return the Favor,Instant,$0.49
-P-ODAiqGNZ_UiMLhfPPyw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Ricochet Trap,Instant,$0.69
