deck_id,deck_source,cmc,name,type,price
0XmYE4FImZMfKoexQIZsNw,https://moxfield.com/decks/vySol76Ik0iXQvV5Dfld5g?utm_source=edhrec&utm_medium=deck_summary,6,Chandra's Incinerator,Creature,$3.99
0XmYE4FImZMfKoexQIZsNw,https://moxfield.com/decks/vySol76Ik0iXQvV5Dfld5g?utm_source=edhrec&utm_medium=deck_summary,2,Coruscation Mage,Creature,$2.79
0XmYE4FImZMfKoexQIZsNw,https://moxfield.com/decks/vySol76Ik0iXQvV5Dfld5g?utm_source=edhrec&utm_medium=deck_summary,2,Electrostatic Field,Creature,$2.29
0XmYE4FImZMfKoexQIZsNw,https://moxfield.com/decks/vySol76Ik0iXQvV5Dfld5g?utm_source=edhrec&utm_medium=deck_summary,2,Erebor Flamesmith,Creature,$0.99
0XmYE4FImZMfKoexQIZsNw,https://moxfield.com/decks/vySol76Ik0iXQvV5Dfld5g?utm_source=edhrec&utm_medium=deck_summary,2,Firebrand Archer,Creature,$0.49
0XmYE4FImZMfKoexQIZsNw,https://moxfield.com/decks/vySol76Ik0iXQvV5Dfld5g?utm_source=edhrec&utm_medium=deck_summary,3,Firespitter Whelp,Creature,$0.49
0XmYE4FImZMfKoexQIZsNw,https://moxfield.com/decks/vySol76Ik0iXQvV5Dfld5g?utm_source=edhrec&utm_medium=deck_summary,3,Guttersnipe,Creature,$0.59
0XmYE4FImZMfKoexQIZsNw,https://moxfield.com/decks/vySol76Ik0iXQvV5Dfld5g?utm_source=edhrec&utm_medium=deck_summary,2,Harsh Mentor,Creature,$0.49
0XmYE4FImZMfKoexQIZsNw,https://moxfield.com/decks/vySol76Ik0iXQvV5Dfld5g?utm_source=edhrec&utm_medium=deck_summary,2,Kessig Flamebreather,Creature,$5.49
0XmYE4FImZMfKoexQIZsNw,https://moxfield.com/decks/vySol76Ik0iXQvV5Dfld5g?utm_source=edhrec&utm_medium=deck_summary,5,"Neheb, the Eternal",Creature,$5.99
0XmYE4FImZMfKoexQIZsNw,https://moxfield.com/decks/vySol76Ik0iXQvV5Dfld5g?utm_source=edhrec&utm_medium=deck_summary,3,Rampaging Ferocidon,Creature,$0.99
0XmYE4FImZMfKoexQIZsNw,https://moxfield.com/decks/vySol76Ik0iXQvV5Dfld5g?utm_source=edhrec&utm_medium=deck_summary,2,Razorkin Needlehead,Creature,$10.99
0XmYE4FImZMfKoexQIZsNw,https://moxfield.com/decks/vySol76Ik0iXQvV5Dfld5g?utm_source=edhrec&utm_medium=deck_summary,2,Runaway Steam-Kin,Creature,$2.29
0XmYE4FImZMfKoexQIZsNw,https://moxfield.com/decks/vySol76Ik0iXQvV5Dfld5g?utm_source=edhrec&utm_medium=deck_summary,1,Spear Spewer,Creature,$0.35
0XmYE4FImZMfKoexQIZsNw,https://moxfield.com/decks/vySol76Ik0iXQvV5Dfld5g?utm_source=edhrec&utm_medium=deck_summary,4,Storm-Kiln Artist,Creature,$2.99
0XmYE4FImZMfKoexQIZsNw,https://moxfield.com/decks/vySol76Ik0iXQvV5Dfld5g?utm_source=edhrec&utm_medium=deck_summary,2,Thermo-Alchemist,Creature,$0.35
0XmYE4FImZMfKoexQIZsNw,https://moxfield.com/decks/vySol76Ik0iXQvV5Dfld5g?utm_source=edhrec&utm_medium=deck_summary,4,Thundering Raiju,Creature,$0.99
0XmYE4FImZMfKoexQIZsNw,https://moxfield.com/decks/vySol76Ik0iXQvV5Dfld5g?utm_source=edhrec&utm_medium=deck_summary,3,Unruly Catapult,Creature,$0.49
0XmYE4FImZMfKoexQIZsNw,https://moxfield.com/decks/vySol76Ik0iXQvV5Dfld5g?utm_source=edhrec&utm_medium=deck_summary,2,Abrade,Instant,$0.35
0XmYE4FImZMfKoexQIZsNw,https://moxfield.com/decks/vySol76Ik0iXQvV5Dfld5g?utm_source=edhrec&utm_medium=deck_summary,4,Big Score,Instant,$1.99
0XmYE4FImZMfKoexQIZsNw,https://moxfield.com/decks/vySol76Ik0iXQvV5Dfld5g?utm_source=edhrec&utm_medium=deck_summary,2,Blazing Crescendo,Instant,$0.79
0XmYE4FImZMfKoexQIZsNw,https://moxfield.com/decks/vySol76Ik0iXQvV5Dfld5g?utm_source=edhrec&utm_medium=deck_summary,4,Bolt Bend,Instant,$5.99
0XmYE4FImZMfKoexQIZsNw,https://moxfield.com/decks/vySol76Ik0iXQvV5Dfld5g?utm_source=edhrec&utm_medium=deck_summary,2,Bulk Up,Instant,$3.99
0XmYE4FImZMfKoexQIZsNw,https://moxfield.com/decks/vySol76Ik0iXQvV5Dfld5g?utm_source=edhrec&utm_medium=deck_summary,1,Lightning Bolt,Instant,$1.99
0XmYE4FImZMfKoexQIZsNw,https://moxfield.com/decks/vySol76Ik0iXQvV5Dfld5g?utm_source=edhrec&utm_medium=deck_summary,1,Red Elemental Blast,Instant,$5.49
0XmYE4FImZMfKoexQIZsNw,https://moxfield.com/decks/vySol76Ik0iXQvV5Dfld5g?utm_source=edhrec&utm_medium=deck_summary,2,Reverberate,Instant,$5.99
