deck_id,deck_source,cmc,name,type,price
0eCDhBZeSDgbb8RfEYMZ2g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,"Birgi, God of Storytelling",Creature,$42.99
0eCDhBZeSDgbb8RfEYMZ2g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Defiler of Instinct,Creature,$0.99
0eCDhBZeSDgbb8RfEYMZ2g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Devoted Duelist,Creature,$0.35
0eCDhBZeSDgbb8RfEYMZ2g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Dualcaster Mage,Creature,$4.49
0eCDhBZeSDgbb8RfEYMZ2g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,"Electro, Assaulting Battery",Creature,$7.99
0eCDhBZeSDgbb8RfEYMZ2g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Emeritus of Conflict,Creature,$4.49
0eCDhBZeSDgbb8RfEYMZ2g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Firebrand Archer,Creature,$0.35
0eCDhBZeSDgbb8RfEYMZ2g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Firespitter Whelp,Creature,$0.39
0eCDhBZeSDgbb8RfEYMZ2g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Generous Plunderer,Creature,$18.99
0eCDhBZeSDgbb8RfEYMZ2g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Goblin Fireslinger,Creature,$0.35
0eCDhBZeSDgbb8RfEYMZ2g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Guttersnipe,Creature,$0.49
0eCDhBZeSDgbb8RfEYMZ2g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Hearthborn Battler,Creature,$0.49
0eCDhBZeSDgbb8RfEYMZ2g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Rodeo Pyromancers,Creature,$0.35
0eCDhBZeSDgbb8RfEYMZ2g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Rubble Rouser,Creature,$0.35
0eCDhBZeSDgbb8RfEYMZ2g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Screaming Nemesis,Creature,$7.99
0eCDhBZeSDgbb8RfEYMZ2g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,"Solphim, Mayhem Dominus",Creature,$32.99
0eCDhBZeSDgbb8RfEYMZ2g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Sunspine Lynx,Creature,$2.99
0eCDhBZeSDgbb8RfEYMZ2g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Thermo-Alchemist,Creature,$0.35
0eCDhBZeSDgbb8RfEYMZ2g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Vexing Devil,Creature,$1.29
0eCDhBZeSDgbb8RfEYMZ2g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Big Score,Instant,$1.79
0eCDhBZeSDgbb8RfEYMZ2g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Bolt Bend,Instant,$2.79
0eCDhBZeSDgbb8RfEYMZ2g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Bulk Up,Instant,$0.35
0eCDhBZeSDgbb8RfEYMZ2g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Burst Lightning,Instant,$0.35
0eCDhBZeSDgbb8RfEYMZ2g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Choreographed Sparks,Instant,$0.49
0eCDhBZeSDgbb8RfEYMZ2g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Demand Answers,Instant,$0.99
0eCDhBZeSDgbb8RfEYMZ2g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Flare of Duplication,Instant,$3.49
0eCDhBZeSDgbb8RfEYMZ2g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Flashback,Instant,$8.99
0eCDhBZeSDgbb8RfEYMZ2g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Increasing Vengeance,Instant,$1.99
0eCDhBZeSDgbb8RfEYMZ2g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Lightning Bolt,Instant,$1.99
0eCDhBZeSDgbb8RfEYMZ2g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Play with Fire,Instant,$0.59
0eCDhBZeSDgbb8RfEYMZ2g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Pyretic Ritual,Instant,$8.49
0eCDhBZeSDgbb8RfEYMZ2g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Pyroblast,Instant,$11.99
0eCDhBZeSDgbb8RfEYMZ2g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Return the Favor,Instant,$0.35
0eCDhBZeSDgbb8RfEYMZ2g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Seething Song,Instant,$13.99
0eCDhBZeSDgbb8RfEYMZ2g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Shock,Instant,$0.35
0eCDhBZeSDgbb8RfEYMZ2g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Storm King's Thunder,Instant,$4.99
0eCDhBZeSDgbb8RfEYMZ2g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Thrill of Possibility,Instant,$0.35
0eCDhBZeSDgbb8RfEYMZ2g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Boltwave,Sorcery,$3.99
0eCDhBZeSDgbb8RfEYMZ2g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Devil's Play,Sorcery,$0.49
0eCDhBZeSDgbb8RfEYMZ2g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Fiery Confluence,Sorcery,$0.69
0eCDhBZeSDgbb8RfEYMZ2g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Firebolt,Sorcery,$0.35
0eCDhBZeSDgbb8RfEYMZ2g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Flames of the Firebrand,Sorcery,$0.35
0eCDhBZeSDgbb8RfEYMZ2g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Gamble,Sorcery,$18.99
0eCDhBZeSDgbb8RfEYMZ2g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Grapeshot,Sorcery,$0.79
0eCDhBZeSDgbb8RfEYMZ2g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Jeska's Will,Sorcery,$44.99
0eCDhBZeSDgbb8RfEYMZ2g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,5,Mana Geyser,Sorcery,$2.29
0eCDhBZeSDgbb8RfEYMZ2g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Tectonic Hazard,Sorcery,$0.79
0eCDhBZeSDgbb8RfEYMZ2g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Arcane Signet,Artifact,$0.79
0eCDhBZeSDgbb8RfEYMZ2g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Blackblade Reforged,Artifact,$3.99
0eCDhBZeSDgbb8RfEYMZ2g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Cursed Mirror,Artifact,$0.99
0eCDhBZeSDgbb8RfEYMZ2g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Glittering Stockpile,Artifact,$0.69
0eCDhBZeSDgbb8RfEYMZ2g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Improvised Arsenal,Artifact,$0.49
0eCDhBZeSDgbb8RfEYMZ2g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Mind Stone,Artifact,$0.49
0eCDhBZeSDgbb8RfEYMZ2g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Ore-Rich Stalactite,Artifact,$0.69
