deck_id,deck_source,cmc,name,type,price
1ZGqbJ_2f_AQqwE6_DaD2g,https://archidekt.com/decks/19065798?utm_source=edhrec&utm_medium=deck_summary,2,Agate Instigator,Creature,$6.99
1ZGqbJ_2f_AQqwE6_DaD2g,https://archidekt.com/decks/19065798?utm_source=edhrec&utm_medium=deck_summary,3,"Birgi, God of Storytelling",Creature,$34.99
1ZGqbJ_2f_AQqwE6_DaD2g,https://archidekt.com/decks/19065798?utm_source=edhrec&utm_medium=deck_summary,3,Bonecrusher Giant,Creature,$0.49
1ZGqbJ_2f_AQqwE6_DaD2g,https://archidekt.com/decks/19065798?utm_source=edhrec&utm_medium=deck_summary,3,"Chandra, Fire of Kaladesh",Creature,$2.79
1ZGqbJ_2f_AQqwE6_DaD2g,https://archidekt.com/decks/19065798?utm_source=edhrec&utm_medium=deck_summary,4,Defiler of Instinct,Creature,$0.79
1ZGqbJ_2f_AQqwE6_DaD2g,https://archidekt.com/decks/19065798?utm_source=edhrec&utm_medium=deck_summary,2,Eidolon of the Great Revel,Creature,$3.49
1ZGqbJ_2f_AQqwE6_DaD2g,https://archidekt.com/decks/19065798?utm_source=edhrec&utm_medium=deck_summary,6,"Godo, Bandit Warlord",Creature,$1.29
1ZGqbJ_2f_AQqwE6_DaD2g,https://archidekt.com/decks/19065798?utm_source=edhrec&utm_medium=deck_summary,5,Goldspan Dragon,Creature,$12.99
1ZGqbJ_2f_AQqwE6_DaD2g,https://archidekt.com/decks/19065798?utm_source=edhrec&utm_medium=deck_summary,3,Grinning Ignus,Creature,$0.35
1ZGqbJ_2f_AQqwE6_DaD2g,https://archidekt.com/decks/19065798?utm_source=edhrec&utm_medium=deck_summary,3,Guttersnipe,Creature,$0.49
1ZGqbJ_2f_AQqwE6_DaD2g,https://archidekt.com/decks/19065798?utm_source=edhrec&utm_medium=deck_summary,2,Hexing Squelcher,Creature,$24.99
1ZGqbJ_2f_AQqwE6_DaD2g,https://archidekt.com/decks/19065798?utm_source=edhrec&utm_medium=deck_summary,2,Kessig Flamebreather,Creature,$4.99
1ZGqbJ_2f_AQqwE6_DaD2g,https://archidekt.com/decks/19065798?utm_source=edhrec&utm_medium=deck_summary,3,"Livaan, Cultist of Tiamat",Creature,$0.35
1ZGqbJ_2f_AQqwE6_DaD2g,https://archidekt.com/decks/19065798?utm_source=edhrec&utm_medium=deck_summary,4,"Orthion, Hero of Lavabrink",Creature,$6.99
1ZGqbJ_2f_AQqwE6_DaD2g,https://archidekt.com/decks/19065798?utm_source=edhrec&utm_medium=deck_summary,5,Pinnacle Monk,Creature,$3.49
1ZGqbJ_2f_AQqwE6_DaD2g,https://archidekt.com/decks/19065798?utm_source=edhrec&utm_medium=deck_summary,3,Rampaging Ferocidon,Creature,$1.29
1ZGqbJ_2f_AQqwE6_DaD2g,https://archidekt.com/decks/19065798?utm_source=edhrec&utm_medium=deck_summary,2,Razorkin Needlehead,Creature,$11.99
1ZGqbJ_2f_AQqwE6_DaD2g,https://archidekt.com/decks/19065798?utm_source=edhrec&utm_medium=deck_summary,2,Runaway Steam-Kin,Creature,$1.99
1ZGqbJ_2f_AQqwE6_DaD2g,https://archidekt.com/decks/19065798?utm_source=edhrec&utm_medium=deck_summary,4,Storm-Kiln Artist,Creature,$3.99
1ZGqbJ_2f_AQqwE6_DaD2g,https://archidekt.com/decks/19065798?utm_source=edhrec&utm_medium=deck_summary,5,Terror of the Peaks,Creature,$34.99
1ZGqbJ_2f_AQqwE6_DaD2g,https://archidekt.com/decks/19065798?utm_source=edhrec&utm_medium=deck_summary,3,Tersa Lightshatter,Creature,$0.79
1ZGqbJ_2f_AQqwE6_DaD2g,https://archidekt.com/decks/19065798?utm_source=edhrec&utm_medium=deck_summary,2,Thermo-Alchemist,Creature,$0.35
1ZGqbJ_2f_AQqwE6_DaD2g,https://archidekt.com/decks/19065798?utm_source=edhrec&utm_medium=deck_summary,3,Unruly Catapult,Creature,$0.39
