deck_id,deck_source,cmc,name,type,price
2FArXSxVDV9j2CF0fqbM1g,https://moxfield.com/decks/1QB4il2Ml0-rR7S16UA5Og?utm_source=edhrec&utm_medium=deck_summary,4,"Ashling, Flame Dancer",Creature,$17.99
2FArXSxVDV9j2CF0fqbM1g,https://moxfield.com/decks/1QB4il2Ml0-rR7S16UA5Og?utm_source=edhrec&utm_medium=deck_summary,5,Brash Taunter,Creature,$1.29
2FArXSxVDV9j2CF0fqbM1g,https://moxfield.com/decks/1QB4il2Ml0-rR7S16UA5Og?utm_source=edhrec&utm_medium=deck_summary,2,Coruscation Mage,Creature,$2.49
2FArXSxVDV9j2CF0fqbM1g,https://moxfield.com/decks/1QB4il2Ml0-rR7S16UA5Og?utm_source=edhrec&utm_medium=deck_summary,3,"Electro, Assaulting Battery",Creature,$10.99
2FArXSxVDV9j2CF0fqbM1g,https://moxfield.com/decks/1QB4il2Ml0-rR7S16UA5Og?utm_source=edhrec&utm_medium=deck_summary,2,Electrostatic Field,Creature,$2.29
2FArXSxVDV9j2CF0fqbM1g,https://moxfield.com/decks/1QB4il2Ml0-rR7S16UA5Og?utm_source=edhrec&utm_medium=deck_summary,2,Erebor Flamesmith,Creature,$1.29
2FArXSxVDV9j2CF0fqbM1g,https://moxfield.com/decks/1QB4il2Ml0-rR7S16UA5Og?utm_source=edhrec&utm_medium=deck_summary,2,Firebrand Archer,Creature,$0.39
2FArXSxVDV9j2CF0fqbM1g,https://moxfield.com/decks/1QB4il2Ml0-rR7S16UA5Og?utm_source=edhrec&utm_medium=deck_summary,3,Guttersnipe,Creature,$0.69
2FArXSxVDV9j2CF0fqbM1g,https://moxfield.com/decks/1QB4il2Ml0-rR7S16UA5Og?utm_source=edhrec&utm_medium=deck_summary,2,Kessig Flamebreather,Creature,$3.49
2FArXSxVDV9j2CF0fqbM1g,https://moxfield.com/decks/1QB4il2Ml0-rR7S16UA5Og?utm_source=edhrec&utm_medium=deck_summary,5,"Neheb, the Eternal",Creature,$4.99
2FArXSxVDV9j2CF0fqbM1g,https://moxfield.com/decks/1QB4il2Ml0-rR7S16UA5Og?utm_source=edhrec&utm_medium=deck_summary,5,Pinnacle Monk,Creature,$3.99
2FArXSxVDV9j2CF0fqbM1g,https://moxfield.com/decks/1QB4il2Ml0-rR7S16UA5Og?utm_source=edhrec&utm_medium=deck_summary,3,Rampaging Ferocidon,Creature,$0.79
2FArXSxVDV9j2CF0fqbM1g,https://moxfield.com/decks/1QB4il2Ml0-rR7S16UA5Og?utm_source=edhrec&utm_medium=deck_summary,2,Razorkin Needlehead,Creature,$9.99
