deck_id,deck_source,cmc,name,type,price
2OTPGtYR-0A2bWyUGjdZlw,https://moxfield.com/decks/pEtjslBfZk2fTq65E7SDUg?utm_source=edhrec&utm_medium=deck_summary,2,Coruscation Mage,Creature,$2.29
2OTPGtYR-0A2bWyUGjdZlw,https://moxfield.com/decks/pEtjslBfZk2fTq65E7SDUg?utm_source=edhrec&utm_medium=deck_summary,2,Electrostatic Field,Creature,$2.79
2OTPGtYR-0A2bWyUGjdZlw,https://moxfield.com/decks/pEtjslBfZk2fTq65E7SDUg?utm_source=edhrec&utm_medium=deck_summary,2,Erebor Flamesmith,Creature,$0.99
2OTPGtYR-0A2bWyUGjdZlw,https://moxfield.com/decks/pEtjslBfZk2fTq65E7SDUg?utm_source=edhrec&utm_medium=deck_summary,2,Firebrand Archer,Creature,$0.39
2OTPGtYR-0A2bWyUGjdZlw,https://moxfield.com/decks/pEtjslBfZk2fTq65E7SDUg?utm_source=edhrec&utm_medium=deck_summary,2,Gibbering Fiend,Creature,$0.35
2OTPGtYR-0A2bWyUGjdZlw,https://moxfield.com/decks/pEtjslBfZk2fTq65E7SDUg?utm_source=edhrec&utm_medium=deck_summary,3,Goblin Chainwhirler,Creature,$0.49
2OTPGtYR-0A2bWyUGjdZlw,https://moxfield.com/decks/pEtjslBfZk2fTq65E7SDUg?utm_source=edhrec&utm_medium=deck_summary,2,Harsh Mentor,Creature,$0.49
2OTPGtYR-0A2bWyUGjdZlw,https://moxfield.com/decks/pEtjslBfZk2fTq65E7SDUg?utm_source=edhrec&utm_medium=deck_summary,3,Lobber Crew,Creature,$0.35
2OTPGtYR-0A2bWyUGjdZlw,https://moxfield.com/decks/pEtjslBfZk2fTq65E7SDUg?utm_source=edhrec&utm_medium=deck_summary,2,Magebane Lizard,Creature,$1.49
2OTPGtYR-0A2bWyUGjdZlw,https://moxfield.com/decks/pEtjslBfZk2fTq65E7SDUg?utm_source=edhrec&utm_medium=deck_summary,3,Magmakin Artillerist,Creature,$1.29
