deck_id,deck_source,cmc,name,type,price
4dSYEFsPmcxwfC6dYR2zJw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Agitator Ant,Creature,$0.59
4dSYEFsPmcxwfC6dYR2zJw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Electrostatic Field,Creature,$2.79
4dSYEFsPmcxwfC6dYR2zJw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Firebrand Archer,Creature,$0.35
4dSYEFsPmcxwfC6dYR2zJw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Guttersnipe,Creature,$0.39
4dSYEFsPmcxwfC6dYR2zJw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Harsh Mentor,Creature,$0.49
4dSYEFsPmcxwfC6dYR2zJw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Kessig Flamebreather,Creature,$4.99
4dSYEFsPmcxwfC6dYR2zJw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,"Purphoros, God of the Forge",Creature,$32.99
4dSYEFsPmcxwfC6dYR2zJw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Rampaging Ferocidon,Creature,$2.29
4dSYEFsPmcxwfC6dYR2zJw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Runaway Steam-Kin,Creature,$2.79
4dSYEFsPmcxwfC6dYR2zJw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Spear Spewer,Creature,$0.79
4dSYEFsPmcxwfC6dYR2zJw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Sunspine Lynx,Creature,$2.79
4dSYEFsPmcxwfC6dYR2zJw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,5,Terror of the Peaks,Creature,$24.99
4dSYEFsPmcxwfC6dYR2zJw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Thermo-Alchemist,Creature,$0.35
4dSYEFsPmcxwfC6dYR2zJw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Zo-Zu the Punisher,Creature,$4.99
4dSYEFsPmcxwfC6dYR2zJw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Balduvian Rage,Instant,$0.39
4dSYEFsPmcxwfC6dYR2zJw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Bulk Up,Instant,$0.35
4dSYEFsPmcxwfC6dYR2zJw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Chaos Warp,Instant,$0.79
4dSYEFsPmcxwfC6dYR2zJw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,5,Double Trouble,Instant,$3.99
4dSYEFsPmcxwfC6dYR2zJw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Gut Shot,Instant,$7.99
4dSYEFsPmcxwfC6dYR2zJw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Lava Dart,Instant,$1.99
4dSYEFsPmcxwfC6dYR2zJw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Lightning Bolt,Instant,$1.99
4dSYEFsPmcxwfC6dYR2zJw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Searing Touch,Instant,$1.99
4dSYEFsPmcxwfC6dYR2zJw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Seething Song,Instant,$12.99
4dSYEFsPmcxwfC6dYR2zJw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Thrill of Possibility,Instant,$0.35
4dSYEFsPmcxwfC6dYR2zJw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Tibalt's Trickery,Instant,$17.99
