deck_id,deck_source,cmc,name,type,price
5S8jHFNWND7iXgX1wV4Z3Q,https://moxfield.com/decks/qMFxKsNb-kOG9rOjgK5mQg?utm_source=edhrec&utm_medium=deck_summary,3,"Birgi, God of Storytelling",Creature,$42.99
5S8jHFNWND7iXgX1wV4Z3Q,https://moxfield.com/decks/qMFxKsNb-kOG9rOjgK5mQg?utm_source=edhrec&utm_medium=deck_summary,2,Coruscation Mage,Creature,$2.29
5S8jHFNWND7iXgX1wV4Z3Q,https://moxfield.com/decks/qMFxKsNb-kOG9rOjgK5mQg?utm_source=edhrec&utm_medium=deck_summary,2,Electrostatic Field,Creature,$2.79
5S8jHFNWND7iXgX1wV4Z3Q,https://moxfield.com/decks/qMFxKsNb-kOG9rOjgK5mQg?utm_source=edhrec&utm_medium=deck_summary,2,Erebor Flamesmith,Creature,$0.99
5S8jHFNWND7iXgX1wV4Z3Q,https://moxfield.com/decks/qMFxKsNb-kOG9rOjgK5mQg?utm_source=edhrec&utm_medium=deck_summary,2,Firebrand Archer,Creature,$0.35
5S8jHFNWND7iXgX1wV4Z3Q,https://moxfield.com/decks/qMFxKsNb-kOG9rOjgK5mQg?utm_source=edhrec&utm_medium=deck_summary,3,Firespitter Whelp,Creature,$0.39
5S8jHFNWND7iXgX1wV4Z3Q,https://moxfield.com/decks/qMFxKsNb-kOG9rOjgK5mQg?utm_source=edhrec&utm_medium=deck_summary,3,Guttersnipe,Creature,$0.49
5S8jHFNWND7iXgX1wV4Z3Q,https://moxfield.com/decks/qMFxKsNb-kOG9rOjgK5mQg?utm_source=edhrec&utm_medium=deck_summary,3,Imperial Recruiter,Creature,$16.99
5S8jHFNWND7iXgX1wV4Z3Q,https://moxfield.com/decks/qMFxKsNb-kOG9rOjgK5mQg?utm_source=edhrec&utm_medium=deck_summary,2,Kessig Flamebreather,Creature,$5.49
5S8jHFNWND7iXgX1wV4Z3Q,https://moxfield.com/decks/qMFxKsNb-kOG9rOjgK5mQg?utm_source=edhrec&utm_medium=deck_summary,3,Magus of the Wheel,Creature,$1.99
5S8jHFNWND7iXgX1wV4Z3Q,https://moxfield.com/decks/qMFxKsNb-kOG9rOjgK5mQg?utm_source=edhrec&utm_medium=deck_summary,2,Thermo-Alchemist,Creature,$0.35
5S8jHFNWND7iXgX1wV4Z3Q,https://moxfield.com/decks/qMFxKsNb-kOG9rOjgK5mQg?utm_source=edhrec&utm_medium=deck_summary,2,Thunderdrum Soloist,Creature,$0.35
5S8jHFNWND7iXgX1wV4Z3Q,https://moxfield.com/decks/qMFxKsNb-kOG9rOjgK5mQg?utm_source=edhrec&utm_medium=deck_summary,4,Treasonous Ogre,Creature,$24.99
5S8jHFNWND7iXgX1wV4Z3Q,https://moxfield.com/decks/qMFxKsNb-kOG9rOjgK5mQg?utm_source=edhrec&utm_medium=deck_summary,3,Unruly Catapult,Creature,$0.69
5S8jHFNWND7iXgX1wV4Z3Q,https://moxfield.com/decks/qMFxKsNb-kOG9rOjgK5mQg?utm_source=edhrec&utm_medium=deck_summary,4,Urabrask,Creature,$29.99
5S8jHFNWND7iXgX1wV4Z3Q,https://moxfield.com/decks/qMFxKsNb-kOG9rOjgK5mQg?utm_source=edhrec&utm_medium=deck_summary,4,Big Score,Instant,$1.49
5S8jHFNWND7iXgX1wV4Z3Q,https://moxfield.com/decks/qMFxKsNb-kOG9rOjgK5mQg?utm_source=edhrec&utm_medium=deck_summary,2,Blazing Crescendo,Instant,$0.35
5S8jHFNWND7iXgX1wV4Z3Q,https://moxfield.com/decks/qMFxKsNb-kOG9rOjgK5mQg?utm_source=edhrec&utm_medium=deck_summary,4,Bolt Bend,Instant,$4.99
5S8jHFNWND7iXgX1wV4Z3Q,https://moxfield.com/decks/qMFxKsNb-kOG9rOjgK5mQg?utm_source=edhrec&utm_medium=deck_summary,3,Chaos Warp,Instant,$0.69
5S8jHFNWND7iXgX1wV4Z3Q,https://moxfield.com/decks/qMFxKsNb-kOG9rOjgK5mQg?utm_source=edhrec&utm_medium=deck_summary,3,Deflecting Swat,Instant,$94.99
5S8jHFNWND7iXgX1wV4Z3Q,https://moxfield.com/decks/qMFxKsNb-kOG9rOjgK5mQg?utm_source=edhrec&utm_medium=deck_summary,3,Downhill Charge,Instant,$0.35
5S8jHFNWND7iXgX1wV4Z3Q,https://moxfield.com/decks/qMFxKsNb-kOG9rOjgK5mQg?utm_source=edhrec&utm_medium=deck_summary,2,Final Fortune,Instant,$11.99
5S8jHFNWND7iXgX1wV4Z3Q,https://moxfield.com/decks/qMFxKsNb-kOG9rOjgK5mQg?utm_source=edhrec&utm_medium=deck_summary,1,Gut Shot,Instant,$8.49
5S8jHFNWND7iXgX1wV4Z3Q,https://moxfield.com/decks/qMFxKsNb-kOG9rOjgK5mQg?utm_source=edhrec&utm_medium=deck_summary,1,Lava Dart,Instant,$1.99
5S8jHFNWND7iXgX1wV4Z3Q,https://moxfield.com/decks/qMFxKsNb-kOG9rOjgK5mQg?utm_source=edhrec&utm_medium=deck_summary,1,Lightning Bolt,Instant,$1.99
5S8jHFNWND7iXgX1wV4Z3Q,https://moxfield.com/decks/qMFxKsNb-kOG9rOjgK5mQg?utm_source=edhrec&utm_medium=deck_summary,1,Pyroblast,Instant,$12.99
5S8jHFNWND7iXgX1wV4Z3Q,https://moxfield.com/decks/qMFxKsNb-kOG9rOjgK5mQg?utm_source=edhrec&utm_medium=deck_summary,1,Redirect Lightning,Instant,$16.99
5S8jHFNWND7iXgX1wV4Z3Q,https://moxfield.com/decks/qMFxKsNb-kOG9rOjgK5mQg?utm_source=edhrec&utm_medium=deck_summary,2,Sazacap's Brew,Instant,$0.35
5S8jHFNWND7iXgX1wV4Z3Q,https://moxfield.com/decks/qMFxKsNb-kOG9rOjgK5mQg?utm_source=edhrec&utm_medium=deck_summary,3,Seething Song,Instant,$12.99
5S8jHFNWND7iXgX1wV4Z3Q,https://moxfield.com/decks/qMFxKsNb-kOG9rOjgK5mQg?utm_source=edhrec&utm_medium=deck_summary,2,Siege Smash,Instant,$0.39
5S8jHFNWND7iXgX1wV4Z3Q,https://moxfield.com/decks/qMFxKsNb-kOG9rOjgK5mQg?utm_source=edhrec&utm_medium=deck_summary,1,Spikefield Hazard,Instant,$0.49
5S8jHFNWND7iXgX1wV4Z3Q,https://moxfield.com/decks/qMFxKsNb-kOG9rOjgK5mQg?utm_source=edhrec&utm_medium=deck_summary,2,Tibalt's Trickery,Instant,$16.99
5S8jHFNWND7iXgX1wV4Z3Q,https://moxfield.com/decks/qMFxKsNb-kOG9rOjgK5mQg?utm_source=edhrec&utm_medium=deck_summary,2,Wild Magic Surge,Instant,$3.49
5S8jHFNWND7iXgX1wV4Z3Q,https://moxfield.com/decks/qMFxKsNb-kOG9rOjgK5mQg?utm_source=edhrec&utm_medium=deck_summary,1,Boltwave,Sorcery,$3.49
5S8jHFNWND7iXgX1wV4Z3Q,https://moxfield.com/decks/qMFxKsNb-kOG9rOjgK5mQg?utm_source=edhrec&utm_medium=deck_summary,1,End the Festivities,Sorcery,$1.49
5S8jHFNWND7iXgX1wV4Z3Q,https://moxfield.com/decks/qMFxKsNb-kOG9rOjgK5mQg?utm_source=edhrec&utm_medium=deck_summary,1,Faithless Looting,Sorcery,$0.99
5S8jHFNWND7iXgX1wV4Z3Q,https://moxfield.com/decks/qMFxKsNb-kOG9rOjgK5mQg?utm_source=edhrec&utm_medium=deck_summary,4,Fiery Confluence,Sorcery,$0.79
5S8jHFNWND7iXgX1wV4Z3Q,https://moxfield.com/decks/qMFxKsNb-kOG9rOjgK5mQg?utm_source=edhrec&utm_medium=deck_summary,1,Forked Bolt,Sorcery,$0.35
5S8jHFNWND7iXgX1wV4Z3Q,https://moxfield.com/decks/qMFxKsNb-kOG9rOjgK5mQg?utm_source=edhrec&utm_medium=deck_summary,1,Gamble,Sorcery,$19.99
5S8jHFNWND7iXgX1wV4Z3Q,https://moxfield.com/decks/qMFxKsNb-kOG9rOjgK5mQg?utm_source=edhrec&utm_medium=deck_summary,2,Grab the Prize,Sorcery,$1.99
5S8jHFNWND7iXgX1wV4Z3Q,https://moxfield.com/decks/qMFxKsNb-kOG9rOjgK5mQg?utm_source=edhrec&utm_medium=deck_summary,2,Grapeshot,Sorcery,$0.49
5S8jHFNWND7iXgX1wV4Z3Q,https://moxfield.com/decks/qMFxKsNb-kOG9rOjgK5mQg?utm_source=edhrec&utm_medium=deck_summary,2,Highway Robbery,Sorcery,$1.79
5S8jHFNWND7iXgX1wV4Z3Q,https://moxfield.com/decks/qMFxKsNb-kOG9rOjgK5mQg?utm_source=edhrec&utm_medium=deck_summary,3,Jeska's Will,Sorcery,$47.99
5S8jHFNWND7iXgX1wV4Z3Q,https://moxfield.com/decks/qMFxKsNb-kOG9rOjgK5mQg?utm_source=edhrec&utm_medium=deck_summary,3,Light Up the Stage,Sorcery,$0.39
5S8jHFNWND7iXgX1wV4Z3Q,https://moxfield.com/decks/qMFxKsNb-kOG9rOjgK5mQg?utm_source=edhrec&utm_medium=deck_summary,5,Mana Geyser,Sorcery,$2.29
5S8jHFNWND7iXgX1wV4Z3Q,https://moxfield.com/decks/qMFxKsNb-kOG9rOjgK5mQg?utm_source=edhrec&utm_medium=deck_summary,4,Mizzix's Mastery,Sorcery,$7.99
5S8jHFNWND7iXgX1wV4Z3Q,https://moxfield.com/decks/qMFxKsNb-kOG9rOjgK5mQg?utm_source=edhrec&utm_medium=deck_summary,2,Reckless Impulse,Sorcery,$2.29
5S8jHFNWND7iXgX1wV4Z3Q,https://moxfield.com/decks/qMFxKsNb-kOG9rOjgK5mQg?utm_source=edhrec&utm_medium=deck_summary,3,Seize the Spoils,Sorcery,$0.35
5S8jHFNWND7iXgX1wV4Z3Q,https://moxfield.com/decks/qMFxKsNb-kOG9rOjgK5mQg?utm_source=edhrec&utm_medium=deck_summary,2,Shatterskull Smashing,Sorcery,$13.99
5S8jHFNWND7iXgX1wV4Z3Q,https://moxfield.com/decks/qMFxKsNb-kOG9rOjgK5mQg?utm_source=edhrec&utm_medium=deck_summary,1,Tectonic Hazard,Sorcery,$1.29
5S8jHFNWND7iXgX1wV4Z3Q,https://moxfield.com/decks/qMFxKsNb-kOG9rOjgK5mQg?utm_source=edhrec&utm_medium=deck_summary,2,Volcanic Spray,Sorcery,$1.29
5S8jHFNWND7iXgX1wV4Z3Q,https://moxfield.com/decks/qMFxKsNb-kOG9rOjgK5mQg?utm_source=edhrec&utm_medium=deck_summary,3,Wheel of Misfortune,Sorcery,$10.99
5S8jHFNWND7iXgX1wV4Z3Q,https://moxfield.com/decks/qMFxKsNb-kOG9rOjgK5mQg?utm_source=edhrec&utm_medium=deck_summary,1,Wild Ride,Sorcery,$0.35
5S8jHFNWND7iXgX1wV4Z3Q,https://moxfield.com/decks/qMFxKsNb-kOG9rOjgK5mQg?utm_source=edhrec&utm_medium=deck_summary,4,Will of the Jeskai,Sorcery,$6.49
5S8jHFNWND7iXgX1wV4Z3Q,https://moxfield.com/decks/qMFxKsNb-kOG9rOjgK5mQg?utm_source=edhrec&utm_medium=deck_summary,2,Witch's Mark,Sorcery,$0.59
5S8jHFNWND7iXgX1wV4Z3Q,https://moxfield.com/decks/qMFxKsNb-kOG9rOjgK5mQg?utm_source=edhrec&utm_medium=deck_summary,2,Wrenn's Resolve,Sorcery,$3.99
5S8jHFNWND7iXgX1wV4Z3Q,https://moxfield.com/decks/qMFxKsNb-kOG9rOjgK5mQg?utm_source=edhrec&utm_medium=deck_summary,2,Arcane Signet,Artifact,$0.79
