deck_id,deck_source,cmc,name,type,price
5tDKlqoc_n_W2echXh7V_A,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,"Ashling, Flame Dancer",Creature,$12.99
5tDKlqoc_n_W2echXh7V_A,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,"Birgi, God of Storytelling",Creature,$34.99
5tDKlqoc_n_W2echXh7V_A,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Coruscation Mage,Creature,$1.99
5tDKlqoc_n_W2echXh7V_A,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,"Electro, Assaulting Battery",Creature,$6.99
5tDKlqoc_n_W2echXh7V_A,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Electrostatic Field,Creature,$1.79
5tDKlqoc_n_W2echXh7V_A,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Erebor Flamesmith,Creature,$0.99
5tDKlqoc_n_W2echXh7V_A,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Firebrand Archer,Creature,$0.35
5tDKlqoc_n_W2echXh7V_A,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,5,Fury,Creature,$1.49
5tDKlqoc_n_W2echXh7V_A,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Kessig Flamebreather,Creature,$4.99
5tDKlqoc_n_W2echXh7V_A,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,"Krark, the Thumbless",Creature,$1.99
5tDKlqoc_n_W2echXh7V_A,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,"Longshot, Rebel Bowman",Creature,$9.99
5tDKlqoc_n_W2echXh7V_A,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Magus of the Moon,Creature,$5.99
5tDKlqoc_n_W2echXh7V_A,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,5,Pinnacle Monk,Creature,$2.79
5tDKlqoc_n_W2echXh7V_A,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,"Ragavan, Nimble Pilferer",Creature,$54.99
5tDKlqoc_n_W2echXh7V_A,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Razorkin Needlehead,Creature,$9.99
5tDKlqoc_n_W2echXh7V_A,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Runaway Steam-Kin,Creature,$1.99
5tDKlqoc_n_W2echXh7V_A,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Simian Spirit Guide,Creature,$2.79
5tDKlqoc_n_W2echXh7V_A,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Storm-Kiln Artist,Creature,$3.99
