deck_id,deck_source,cmc,name,type,price
6kpPP4vpLXZj-CzvMqQBtA,https://moxfield.com/decks/PAZpKzyeCUGl1tPkMc2cYg?utm_source=edhrec&utm_medium=deck_summary,2,Agate Instigator,Creature,$9.99
6kpPP4vpLXZj-CzvMqQBtA,https://moxfield.com/decks/PAZpKzyeCUGl1tPkMc2cYg?utm_source=edhrec&utm_medium=deck_summary,3,Brass Squire,Creature,$1.99
6kpPP4vpLXZj-CzvMqQBtA,https://moxfield.com/decks/PAZpKzyeCUGl1tPkMc2cYg?utm_source=edhrec&utm_medium=deck_summary,2,Coruscation Mage,Creature,$2.29
6kpPP4vpLXZj-CzvMqQBtA,https://moxfield.com/decks/PAZpKzyeCUGl1tPkMc2cYg?utm_source=edhrec&utm_medium=deck_summary,4,Dagger Caster,Creature,$0.35
6kpPP4vpLXZj-CzvMqQBtA,https://moxfield.com/decks/PAZpKzyeCUGl1tPkMc2cYg?utm_source=edhrec&utm_medium=deck_summary,3,"Electro, Assaulting Battery",Creature,$9.49
6kpPP4vpLXZj-CzvMqQBtA,https://moxfield.com/decks/PAZpKzyeCUGl1tPkMc2cYg?utm_source=edhrec&utm_medium=deck_summary,2,Electrostatic Field,Creature,$2.49
6kpPP4vpLXZj-CzvMqQBtA,https://moxfield.com/decks/PAZpKzyeCUGl1tPkMc2cYg?utm_source=edhrec&utm_medium=deck_summary,2,Erebor Flamesmith,Creature,$0.79
6kpPP4vpLXZj-CzvMqQBtA,https://moxfield.com/decks/PAZpKzyeCUGl1tPkMc2cYg?utm_source=edhrec&utm_medium=deck_summary,2,Firebrand Archer,Creature,$0.35
6kpPP4vpLXZj-CzvMqQBtA,https://moxfield.com/decks/PAZpKzyeCUGl1tPkMc2cYg?utm_source=edhrec&utm_medium=deck_summary,3,"General Kreat, the Boltbringer",Creature,$10.99
6kpPP4vpLXZj-CzvMqQBtA,https://moxfield.com/decks/PAZpKzyeCUGl1tPkMc2cYg?utm_source=edhrec&utm_medium=deck_summary,2,Gibbering Fiend,Creature,$0.35
6kpPP4vpLXZj-CzvMqQBtA,https://moxfield.com/decks/PAZpKzyeCUGl1tPkMc2cYg?utm_source=edhrec&utm_medium=deck_summary,3,Gleeful Arsonist,Creature,$7.99
6kpPP4vpLXZj-CzvMqQBtA,https://moxfield.com/decks/PAZpKzyeCUGl1tPkMc2cYg?utm_source=edhrec&utm_medium=deck_summary,3,Goblin Chainwhirler,Creature,$0.59
6kpPP4vpLXZj-CzvMqQBtA,https://moxfield.com/decks/PAZpKzyeCUGl1tPkMc2cYg?utm_source=edhrec&utm_medium=deck_summary,3,Guttersnipe,Creature,$0.49
6kpPP4vpLXZj-CzvMqQBtA,https://moxfield.com/decks/PAZpKzyeCUGl1tPkMc2cYg?utm_source=edhrec&utm_medium=deck_summary,2,Harsh Mentor,Creature,$0.59
6kpPP4vpLXZj-CzvMqQBtA,https://moxfield.com/decks/PAZpKzyeCUGl1tPkMc2cYg?utm_source=edhrec&utm_medium=deck_summary,2,Immolation Shaman,Creature,$0.79
