deck_id,deck_source,cmc,name,type,price
6vGo3ltthgzgeAmJQXX9EA,https://moxfield.com/decks/KhUhH-GLg02KCrmCMxROhw?utm_source=edhrec&utm_medium=deck_summary,5,Brash Taunter,Creature,$0.79
6vGo3ltthgzgeAmJQXX9EA,https://moxfield.com/decks/KhUhH-GLg02KCrmCMxROhw?utm_source=edhrec&utm_medium=deck_summary,2,Cemetery Gatekeeper,Creature,$1.99
6vGo3ltthgzgeAmJQXX9EA,https://moxfield.com/decks/KhUhH-GLg02KCrmCMxROhw?utm_source=edhrec&utm_medium=deck_summary,4,Defiler of Instinct,Creature,$0.49
6vGo3ltthgzgeAmJQXX9EA,https://moxfield.com/decks/KhUhH-GLg02KCrmCMxROhw?utm_source=edhrec&utm_medium=deck_summary,2,Eidolon of the Great Revel,Creature,$2.99
6vGo3ltthgzgeAmJQXX9EA,https://moxfield.com/decks/KhUhH-GLg02KCrmCMxROhw?utm_source=edhrec&utm_medium=deck_summary,3,Gleeful Arsonist,Creature,$5.49
6vGo3ltthgzgeAmJQXX9EA,https://moxfield.com/decks/KhUhH-GLg02KCrmCMxROhw?utm_source=edhrec&utm_medium=deck_summary,3,Hearthborn Battler,Creature,$0.49
6vGo3ltthgzgeAmJQXX9EA,https://moxfield.com/decks/KhUhH-GLg02KCrmCMxROhw?utm_source=edhrec&utm_medium=deck_summary,2,Humble Defector,Creature,$0.35
6vGo3ltthgzgeAmJQXX9EA,https://moxfield.com/decks/KhUhH-GLg02KCrmCMxROhw?utm_source=edhrec&utm_medium=deck_summary,2,Magebane Lizard,Creature,$1.49
6vGo3ltthgzgeAmJQXX9EA,https://moxfield.com/decks/KhUhH-GLg02KCrmCMxROhw?utm_source=edhrec&utm_medium=deck_summary,3,Magus of the Wheel,Creature,$1.79
6vGo3ltthgzgeAmJQXX9EA,https://moxfield.com/decks/KhUhH-GLg02KCrmCMxROhw?utm_source=edhrec&utm_medium=deck_summary,3,Pain Distributor,Creature,$4.99
