deck_id,deck_source,cmc,name,type,price
78F1St3rwz5-fcrDKGcdaA,https://archidekt.com/decks/25671230?utm_source=edhrec&utm_medium=deck_summary,2,Agate Instigator,Creature,$8.99
78F1St3rwz5-fcrDKGcdaA,https://archidekt.com/decks/25671230?utm_source=edhrec&utm_medium=deck_summary,5,Brash Taunter,Creature,$3.99
78F1St3rwz5-fcrDKGcdaA,https://archidekt.com/decks/25671230?utm_source=edhrec&utm_medium=deck_summary,2,Coruscation Mage,Creature,$2.29
78F1St3rwz5-fcrDKGcdaA,https://archidekt.com/decks/25671230?utm_source=edhrec&utm_medium=deck_summary,2,Eidolon of the Great Revel,Creature,$4.99
78F1St3rwz5-fcrDKGcdaA,https://archidekt.com/decks/25671230?utm_source=edhrec&utm_medium=deck_summary,2,Firebrand Archer,Creature,$0.39
78F1St3rwz5-fcrDKGcdaA,https://archidekt.com/decks/25671230?utm_source=edhrec&utm_medium=deck_summary,2,Harsh Mentor,Creature,$0.59
78F1St3rwz5-fcrDKGcdaA,https://archidekt.com/decks/25671230?utm_source=edhrec&utm_medium=deck_summary,4,"Hawkeye, Young Avenger",Creature,$0.49
78F1St3rwz5-fcrDKGcdaA,https://archidekt.com/decks/25671230?utm_source=edhrec&utm_medium=deck_summary,2,Immolation Shaman,Creature,$0.79
78F1St3rwz5-fcrDKGcdaA,https://archidekt.com/decks/25671230?utm_source=edhrec&utm_medium=deck_summary,3,Magus of the Moon,Creature,$4.49
78F1St3rwz5-fcrDKGcdaA,https://archidekt.com/decks/25671230?utm_source=edhrec&utm_medium=deck_summary,2,Millikin,Creature,$0.35
78F1St3rwz5-fcrDKGcdaA,https://archidekt.com/decks/25671230?utm_source=edhrec&utm_medium=deck_summary,3,Naktamun Lorespinner,Creature,$2.49
78F1St3rwz5-fcrDKGcdaA,https://archidekt.com/decks/25671230?utm_source=edhrec&utm_medium=deck_summary,2,Ornithopter of Paradise,Creature,$0.99
78F1St3rwz5-fcrDKGcdaA,https://archidekt.com/decks/25671230?utm_source=edhrec&utm_medium=deck_summary,3,Rampaging Ferocidon,Creature,$1.99
78F1St3rwz5-fcrDKGcdaA,https://archidekt.com/decks/25671230?utm_source=edhrec&utm_medium=deck_summary,2,Razorkin Needlehead,Creature,$8.49
78F1St3rwz5-fcrDKGcdaA,https://archidekt.com/decks/25671230?utm_source=edhrec&utm_medium=deck_summary,3,Screaming Nemesis,Creature,$9.99
78F1St3rwz5-fcrDKGcdaA,https://archidekt.com/decks/25671230?utm_source=edhrec&utm_medium=deck_summary,5,Siege-Gang Commander,Creature,$0.49
78F1St3rwz5-fcrDKGcdaA,https://archidekt.com/decks/25671230?utm_source=edhrec&utm_medium=deck_summary,4,Sunspine Lynx,Creature,$2.99
78F1St3rwz5-fcrDKGcdaA,https://archidekt.com/decks/25671230?utm_source=edhrec&utm_medium=deck_summary,5,"Syr Carah, the Bold",Creature,$0.35
78F1St3rwz5-fcrDKGcdaA,https://archidekt.com/decks/25671230?utm_source=edhrec&utm_medium=deck_summary,2,Thermo-Alchemist,Creature,$0.35
78F1St3rwz5-fcrDKGcdaA,https://archidekt.com/decks/25671230?utm_source=edhrec&utm_medium=deck_summary,4,"Torbran, Thane of Red Fell",Creature,$6.49
78F1St3rwz5-fcrDKGcdaA,https://archidekt.com/decks/25671230?utm_source=edhrec&utm_medium=deck_summary,3,Zo-Zu the Punisher,Creature,$5.99
78F1St3rwz5-fcrDKGcdaA,https://archidekt.com/decks/25671230?utm_source=edhrec&utm_medium=deck_summary,4,Bolt Bend,Instant,$5.49
78F1St3rwz5-fcrDKGcdaA,https://archidekt.com/decks/25671230?utm_source=edhrec&utm_medium=deck_summary,3,Chaos Warp,Instant,$0.79
78F1St3rwz5-fcrDKGcdaA,https://archidekt.com/decks/25671230?utm_source=edhrec&utm_medium=deck_summary,3,Ghostfire Slice,Instant,$0.59
78F1St3rwz5-fcrDKGcdaA,https://archidekt.com/decks/25671230?utm_source=edhrec&utm_medium=deck_summary,1,Lightning Bolt,Instant,$2.29
78F1St3rwz5-fcrDKGcdaA,https://archidekt.com/decks/25671230?utm_source=edhrec&utm_medium=deck_summary,2,Price of Progress,Instant,$7.49
78F1St3rwz5-fcrDKGcdaA,https://archidekt.com/decks/25671230?utm_source=edhrec&utm_medium=deck_summary,1,Redirect Lightning,Instant,$19.99
78F1St3rwz5-fcrDKGcdaA,https://archidekt.com/decks/25671230?utm_source=edhrec&utm_medium=deck_summary,2,Untimely Malfunction,Instant,$12.99
78F1St3rwz5-fcrDKGcdaA,https://archidekt.com/decks/25671230?utm_source=edhrec&utm_medium=deck_summary,9,Blasphemous Act,Sorcery,$1.79
78F1St3rwz5-fcrDKGcdaA,https://archidekt.com/decks/25671230?utm_source=edhrec&utm_medium=deck_summary,4,Chain Reaction,Sorcery,$0.49
78F1St3rwz5-fcrDKGcdaA,https://archidekt.com/decks/25671230?utm_source=edhrec&utm_medium=deck_summary,1,End the Festivities,Sorcery,$1.79
78F1St3rwz5-fcrDKGcdaA,https://archidekt.com/decks/25671230?utm_source=edhrec&utm_medium=deck_summary,4,Fiery Confluence,Sorcery,$0.99
78F1St3rwz5-fcrDKGcdaA,https://archidekt.com/decks/25671230?utm_source=edhrec&utm_medium=deck_summary,4,From the Ashes,Sorcery,$2.99
78F1St3rwz5-fcrDKGcdaA,https://archidekt.com/decks/25671230?utm_source=edhrec&utm_medium=deck_summary,3,Light Up the Stage,Sorcery,$0.39
78F1St3rwz5-fcrDKGcdaA,https://archidekt.com/decks/25671230?utm_source=edhrec&utm_medium=deck_summary,5,Mana Geyser,Sorcery,$2.49
78F1St3rwz5-fcrDKGcdaA,https://archidekt.com/decks/25671230?utm_source=edhrec&utm_medium=deck_summary,4,Ruination,Sorcery,$2.49
78F1St3rwz5-fcrDKGcdaA,https://archidekt.com/decks/25671230?utm_source=edhrec&utm_medium=deck_summary,3,Ruinous Rampage,Sorcery,$0.35
78F1St3rwz5-fcrDKGcdaA,https://archidekt.com/decks/25671230?utm_source=edhrec&utm_medium=deck_summary,4,Snort,Sorcery,$0.59
78F1St3rwz5-fcrDKGcdaA,https://archidekt.com/decks/25671230?utm_source=edhrec&utm_medium=deck_summary,1,Tectonic Hazard,Sorcery,$0.69
78F1St3rwz5-fcrDKGcdaA,https://archidekt.com/decks/25671230?utm_source=edhrec&utm_medium=deck_summary,1,Vandalblast,Sorcery,$1.99
78F1St3rwz5-fcrDKGcdaA,https://archidekt.com/decks/25671230?utm_source=edhrec&utm_medium=deck_summary,4,Will of the Jeskai,Sorcery,$5.99
78F1St3rwz5-fcrDKGcdaA,https://archidekt.com/decks/25671230?utm_source=edhrec&utm_medium=deck_summary,2,Arcane Signet,Artifact,$0.79
78F1St3rwz5-fcrDKGcdaA,https://archidekt.com/decks/25671230?utm_source=edhrec&utm_medium=deck_summary,3,Bender's Waterskin,Artifact,$1.99
78F1St3rwz5-fcrDKGcdaA,https://archidekt.com/decks/25671230?utm_source=edhrec&utm_medium=deck_summary,3,Ensnaring Bridge,Artifact,$9.49
78F1St3rwz5-fcrDKGcdaA,https://archidekt.com/decks/25671230?utm_source=edhrec&utm_medium=deck_summary,3,Hazoret's Monument,Artifact,$3.49
78F1St3rwz5-fcrDKGcdaA,https://archidekt.com/decks/25671230?utm_source=edhrec&utm_medium=deck_summary,2,Mind Stone,Artifact,$0.69
78F1St3rwz5-fcrDKGcdaA,https://archidekt.com/decks/25671230?utm_source=edhrec&utm_medium=deck_summary,2,Ruby Medallion,Artifact,$17.99
78F1St3rwz5-fcrDKGcdaA,https://archidekt.com/decks/25671230?utm_source=edhrec&utm_medium=deck_summary,1,Skullclamp,Artifact,$7.49
78F1St3rwz5-fcrDKGcdaA,https://archidekt.com/decks/25671230?utm_source=edhrec&utm_medium=deck_summary,1,Sol Ring,Artifact,$2.99
78F1St3rwz5-fcrDKGcdaA,https://archidekt.com/decks/25671230?utm_source=edhrec&utm_medium=deck_summary,3,Tablet of Discovery,Artifact,$3.49
78F1St3rwz5-fcrDKGcdaA,https://archidekt.com/decks/25671230?utm_source=edhrec&utm_medium=deck_summary,2,Winter Moon,Artifact,$0.79
78F1St3rwz5-fcrDKGcdaA,https://archidekt.com/decks/25671230?utm_source=edhrec&utm_medium=deck_summary,2,Artist's Talent,Enchantment,$9.49
