deck_id,deck_source,cmc,name,type,price
7gEJQg-Xwx2cXh0C2OBP-w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,"Ashling, Flame Dancer",Creature,$9.49
7gEJQg-Xwx2cXh0C2OBP-w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Defiler of Instinct,Creature,$0.79
7gEJQg-Xwx2cXh0C2OBP-w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Electrostatic Field,Creature,$2.49
7gEJQg-Xwx2cXh0C2OBP-w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Firebrand Archer,Creature,$0.35
7gEJQg-Xwx2cXh0C2OBP-w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Grinning Ignus,Creature,$0.35
7gEJQg-Xwx2cXh0C2OBP-w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Guttersnipe,Creature,$0.49
7gEJQg-Xwx2cXh0C2OBP-w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Harsh Mentor,Creature,$0.49
7gEJQg-Xwx2cXh0C2OBP-w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Magus of the Wheel,Creature,$1.99
7gEJQg-Xwx2cXh0C2OBP-w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,5,"Neheb, the Eternal",Creature,$9.49
7gEJQg-Xwx2cXh0C2OBP-w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Rampaging Ferocidon,Creature,$2.49
7gEJQg-Xwx2cXh0C2OBP-w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Razorkin Needlehead,Creature,$8.99
7gEJQg-Xwx2cXh0C2OBP-w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Runaway Steam-Kin,Creature,$2.49
7gEJQg-Xwx2cXh0C2OBP-w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Simian Spirit Guide,Creature,$3.99
7gEJQg-Xwx2cXh0C2OBP-w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Thermo-Alchemist,Creature,$0.35
7gEJQg-Xwx2cXh0C2OBP-w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Urabrask,Creature,$29.99
