deck_id,deck_source,cmc,name,type,price
7oF2MTzgq39VD9Qm5bssFA,https://moxfield.com/decks/7HElXO5snUOdVXnlVlfsqw?utm_source=edhrec&utm_medium=deck_summary,4,Bloodsworn Steward,Creature,$0.79
7oF2MTzgq39VD9Qm5bssFA,https://moxfield.com/decks/7HElXO5snUOdVXnlVlfsqw?utm_source=edhrec&utm_medium=deck_summary,6,Chandra's Incinerator,Creature,$3.99
7oF2MTzgq39VD9Qm5bssFA,https://moxfield.com/decks/7HElXO5snUOdVXnlVlfsqw?utm_source=edhrec&utm_medium=deck_summary,2,Coruscation Mage,Creature,$1.99
7oF2MTzgq39VD9Qm5bssFA,https://moxfield.com/decks/7HElXO5snUOdVXnlVlfsqw?utm_source=edhrec&utm_medium=deck_summary,4,Defiler of Instinct,Creature,$0.99
7oF2MTzgq39VD9Qm5bssFA,https://moxfield.com/decks/7HElXO5snUOdVXnlVlfsqw?utm_source=edhrec&utm_medium=deck_summary,2,Erebor Flamesmith,Creature,$0.99
7oF2MTzgq39VD9Qm5bssFA,https://moxfield.com/decks/7HElXO5snUOdVXnlVlfsqw?utm_source=edhrec&utm_medium=deck_summary,4,"Gimli, Counter of Kills",Creature,$0.35
7oF2MTzgq39VD9Qm5bssFA,https://moxfield.com/decks/7HElXO5snUOdVXnlVlfsqw?utm_source=edhrec&utm_medium=deck_summary,4,Hellrider,Creature,$0.99
7oF2MTzgq39VD9Qm5bssFA,https://moxfield.com/decks/7HElXO5snUOdVXnlVlfsqw?utm_source=edhrec&utm_medium=deck_summary,6,Inferno Titan,Creature,$0.79
7oF2MTzgq39VD9Qm5bssFA,https://moxfield.com/decks/7HElXO5snUOdVXnlVlfsqw?utm_source=edhrec&utm_medium=deck_summary,2,Kessig Flamebreather,Creature,$4.99
7oF2MTzgq39VD9Qm5bssFA,https://moxfield.com/decks/7HElXO5snUOdVXnlVlfsqw?utm_source=edhrec&utm_medium=deck_summary,3,"Livaan, Cultist of Tiamat",Creature,$0.35
7oF2MTzgq39VD9Qm5bssFA,https://moxfield.com/decks/7HElXO5snUOdVXnlVlfsqw?utm_source=edhrec&utm_medium=deck_summary,3,Magus of the Wheel,Creature,$1.99
