deck_id,deck_source,cmc,name,type,price
7xA-kqO-hD0ULnf9N1ZRZQ,https://archidekt.com/decks/15897306?utm_source=edhrec&utm_medium=deck_summary,4,"Ashling, Flame Dancer",Creature,$4.49
7xA-kqO-hD0ULnf9N1ZRZQ,https://archidekt.com/decks/15897306?utm_source=edhrec&utm_medium=deck_summary,1,Blisterspit Gremlin,Creature,$0.35
7xA-kqO-hD0ULnf9N1ZRZQ,https://archidekt.com/decks/15897306?utm_source=edhrec&utm_medium=deck_summary,6,Chandra's Incinerator,Creature,$3.49
7xA-kqO-hD0ULnf9N1ZRZQ,https://archidekt.com/decks/15897306?utm_source=edhrec&utm_medium=deck_summary,2,Coruscation Mage,Creature,$2.29
7xA-kqO-hD0ULnf9N1ZRZQ,https://archidekt.com/decks/15897306?utm_source=edhrec&utm_medium=deck_summary,4,Defiler of Instinct,Creature,$0.49
7xA-kqO-hD0ULnf9N1ZRZQ,https://archidekt.com/decks/15897306?utm_source=edhrec&utm_medium=deck_summary,2,Eidolon of the Great Revel,Creature,$2.79
7xA-kqO-hD0ULnf9N1ZRZQ,https://archidekt.com/decks/15897306?utm_source=edhrec&utm_medium=deck_summary,2,Electrostatic Field,Creature,$2.29
7xA-kqO-hD0ULnf9N1ZRZQ,https://archidekt.com/decks/15897306?utm_source=edhrec&utm_medium=deck_summary,2,Erebor Flamesmith,Creature,$0.79
7xA-kqO-hD0ULnf9N1ZRZQ,https://archidekt.com/decks/15897306?utm_source=edhrec&utm_medium=deck_summary,2,Firebrand Archer,Creature,$0.35
7xA-kqO-hD0ULnf9N1ZRZQ,https://archidekt.com/decks/15897306?utm_source=edhrec&utm_medium=deck_summary,3,Guttersnipe,Creature,$0.59
7xA-kqO-hD0ULnf9N1ZRZQ,https://archidekt.com/decks/15897306?utm_source=edhrec&utm_medium=deck_summary,2,Kessig Flamebreather,Creature,$3.49
7xA-kqO-hD0ULnf9N1ZRZQ,https://archidekt.com/decks/15897306?utm_source=edhrec&utm_medium=deck_summary,3,Magus of the Wheel,Creature,$1.79
7xA-kqO-hD0ULnf9N1ZRZQ,https://archidekt.com/decks/15897306?utm_source=edhrec&utm_medium=deck_summary,5,"Neheb, the Eternal",Creature,$2.49
7xA-kqO-hD0ULnf9N1ZRZQ,https://archidekt.com/decks/15897306?utm_source=edhrec&utm_medium=deck_summary,3,Rampaging Ferocidon,Creature,$0.99
7xA-kqO-hD0ULnf9N1ZRZQ,https://archidekt.com/decks/15897306?utm_source=edhrec&utm_medium=deck_summary,2,Razorkin Needlehead,Creature,$9.49
7xA-kqO-hD0ULnf9N1ZRZQ,https://archidekt.com/decks/15897306?utm_source=edhrec&utm_medium=deck_summary,2,Sabotender,Creature,$0.35
7xA-kqO-hD0ULnf9N1ZRZQ,https://archidekt.com/decks/15897306?utm_source=edhrec&utm_medium=deck_summary,4,"Solphim, Mayhem Dominus",Creature,$24.99
7xA-kqO-hD0ULnf9N1ZRZQ,https://archidekt.com/decks/15897306?utm_source=edhrec&utm_medium=deck_summary,1,Spear Spewer,Creature,$0.35
7xA-kqO-hD0ULnf9N1ZRZQ,https://archidekt.com/decks/15897306?utm_source=edhrec&utm_medium=deck_summary,4,Storm-Kiln Artist,Creature,$1.99
7xA-kqO-hD0ULnf9N1ZRZQ,https://archidekt.com/decks/15897306?utm_source=edhrec&utm_medium=deck_summary,2,Thermo-Alchemist,Creature,$0.39
7xA-kqO-hD0ULnf9N1ZRZQ,https://archidekt.com/decks/15897306?utm_source=edhrec&utm_medium=deck_summary,3,Unruly Catapult,Creature,$0.39
7xA-kqO-hD0ULnf9N1ZRZQ,https://archidekt.com/decks/15897306?utm_source=edhrec&utm_medium=deck_summary,4,Urabrask,Creature,$19.99
7xA-kqO-hD0ULnf9N1ZRZQ,https://archidekt.com/decks/15897306?utm_source=edhrec&utm_medium=deck_summary,2,Abrade,Instant,$0.35
7xA-kqO-hD0ULnf9N1ZRZQ,https://archidekt.com/decks/15897306?utm_source=edhrec&utm_medium=deck_summary,4,Big Score,Instant,$1.49
7xA-kqO-hD0ULnf9N1ZRZQ,https://archidekt.com/decks/15897306?utm_source=edhrec&utm_medium=deck_summary,2,Blazing Crescendo,Instant,$0.59
