deck_id,deck_source,cmc,name,type,price
8kLzmkUR5MJUjMjyRfJrwg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Bonecrusher Giant,Creature,$0.49
8kLzmkUR5MJUjMjyRfJrwg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Dire Fleet Daredevil,Creature,$0.49
8kLzmkUR5MJUjMjyRfJrwg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Eidolon of the Great Revel,Creature,$3.49
8kLzmkUR5MJUjMjyRfJrwg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Firebrand Archer,Creature,$0.49
8kLzmkUR5MJUjMjyRfJrwg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Goblin Fireslinger,Creature,$0.35
8kLzmkUR5MJUjMjyRfJrwg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,"Imodane, the Pyrohammer",Creature,$0.79
8kLzmkUR5MJUjMjyRfJrwg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,"Inti, Seneschal of the Sun",Creature,$2.79
8kLzmkUR5MJUjMjyRfJrwg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Kessig Flamebreather,Creature,$4.99
8kLzmkUR5MJUjMjyRfJrwg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Nettle Drone,Creature,$0.35
8kLzmkUR5MJUjMjyRfJrwg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,5,Quakebringer,Creature,$1.79
8kLzmkUR5MJUjMjyRfJrwg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Rampaging Ferocidon,Creature,$1.29
8kLzmkUR5MJUjMjyRfJrwg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Razorkin Needlehead,Creature,$11.99
8kLzmkUR5MJUjMjyRfJrwg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,"Solphim, Mayhem Dominus",Creature,$34.99
8kLzmkUR5MJUjMjyRfJrwg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Sunspine Lynx,Creature,$4.49
8kLzmkUR5MJUjMjyRfJrwg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Thermo-Alchemist,Creature,$0.35
8kLzmkUR5MJUjMjyRfJrwg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,"Torbran, Thane of Red Fell",Creature,$6.99
8kLzmkUR5MJUjMjyRfJrwg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Unruly Catapult,Creature,$0.49
8kLzmkUR5MJUjMjyRfJrwg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Urabrask,Creature,$22.99
8kLzmkUR5MJUjMjyRfJrwg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Young Pyromancer,Creature,$0.35
8kLzmkUR5MJUjMjyRfJrwg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Chandra's Pyrohelix,Instant,$0.35
8kLzmkUR5MJUjMjyRfJrwg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Chaos Warp,Instant,$0.79
8kLzmkUR5MJUjMjyRfJrwg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Geistflame,Instant,$0.35
8kLzmkUR5MJUjMjyRfJrwg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Lava Dart,Instant,$0.69
8kLzmkUR5MJUjMjyRfJrwg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Lightning Bolt,Instant,$1.99
8kLzmkUR5MJUjMjyRfJrwg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Play with Fire,Instant,$0.69
8kLzmkUR5MJUjMjyRfJrwg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Price of Progress,Instant,$8.49
8kLzmkUR5MJUjMjyRfJrwg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Red Elemental Blast,Instant,$5.99
8kLzmkUR5MJUjMjyRfJrwg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Spark Spray,Instant,$0.35
8kLzmkUR5MJUjMjyRfJrwg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Spikefield Hazard,Instant,$0.79
8kLzmkUR5MJUjMjyRfJrwg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Thrill of Possibility,Instant,$0.35
8kLzmkUR5MJUjMjyRfJrwg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Volcanic Fallout,Instant,$0.35
8kLzmkUR5MJUjMjyRfJrwg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,9,Blasphemous Act,Sorcery,$2.99
8kLzmkUR5MJUjMjyRfJrwg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Chain Lightning,Sorcery,$0.59
8kLzmkUR5MJUjMjyRfJrwg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Faithless Looting,Sorcery,$0.79
8kLzmkUR5MJUjMjyRfJrwg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Fiery Confluence,Sorcery,$0.99
8kLzmkUR5MJUjMjyRfJrwg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Flame Jab,Sorcery,$0.35
8kLzmkUR5MJUjMjyRfJrwg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Flames of the Firebrand,Sorcery,$0.35
8kLzmkUR5MJUjMjyRfJrwg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Forked Bolt,Sorcery,$0.39
8kLzmkUR5MJUjMjyRfJrwg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Grapeshot,Sorcery,$0.69
8kLzmkUR5MJUjMjyRfJrwg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Light Up the Night,Sorcery,$0.49
8kLzmkUR5MJUjMjyRfJrwg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Sundering Eruption,Sorcery,$2.29
8kLzmkUR5MJUjMjyRfJrwg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Tectonic Hazard,Sorcery,$0.69
