deck_id,deck_source,cmc,name,type,price
9L0HTVvGLlDkedBGUlagIw,https://moxfield.com/decks/qSxTIAsRU0uZ4mHFn3em9g?utm_source=edhrec&utm_medium=deck_summary,1,Blisterspit Gremlin,Creature,$0.35
9L0HTVvGLlDkedBGUlagIw,https://moxfield.com/decks/qSxTIAsRU0uZ4mHFn3em9g?utm_source=edhrec&utm_medium=deck_summary,3,Cinder Pyromancer,Creature,$0.35
9L0HTVvGLlDkedBGUlagIw,https://moxfield.com/decks/qSxTIAsRU0uZ4mHFn3em9g?utm_source=edhrec&utm_medium=deck_summary,2,Coruscation Mage,Creature,$2.29
9L0HTVvGLlDkedBGUlagIw,https://moxfield.com/decks/qSxTIAsRU0uZ4mHFn3em9g?utm_source=edhrec&utm_medium=deck_summary,5,"Dragonhawk, Fate's Tempest",Creature,$6.99
9L0HTVvGLlDkedBGUlagIw,https://moxfield.com/decks/qSxTIAsRU0uZ4mHFn3em9g?utm_source=edhrec&utm_medium=deck_summary,2,Electrostatic Field,Creature,$1.99
9L0HTVvGLlDkedBGUlagIw,https://moxfield.com/decks/qSxTIAsRU0uZ4mHFn3em9g?utm_source=edhrec&utm_medium=deck_summary,2,Erebor Flamesmith,Creature,$0.99
9L0HTVvGLlDkedBGUlagIw,https://moxfield.com/decks/qSxTIAsRU0uZ4mHFn3em9g?utm_source=edhrec&utm_medium=deck_summary,2,Firebrand Archer,Creature,$0.39
9L0HTVvGLlDkedBGUlagIw,https://moxfield.com/decks/qSxTIAsRU0uZ4mHFn3em9g?utm_source=edhrec&utm_medium=deck_summary,4,"Longshot, Rebel Bowman",Creature,$13.99
9L0HTVvGLlDkedBGUlagIw,https://moxfield.com/decks/qSxTIAsRU0uZ4mHFn3em9g?utm_source=edhrec&utm_medium=deck_summary,5,"Neheb, the Eternal",Creature,$10.99
9L0HTVvGLlDkedBGUlagIw,https://moxfield.com/decks/qSxTIAsRU0uZ4mHFn3em9g?utm_source=edhrec&utm_medium=deck_summary,2,Razorkin Needlehead,Creature,$7.99
9L0HTVvGLlDkedBGUlagIw,https://moxfield.com/decks/qSxTIAsRU0uZ4mHFn3em9g?utm_source=edhrec&utm_medium=deck_summary,4,"Solphim, Mayhem Dominus",Creature,$39.99
9L0HTVvGLlDkedBGUlagIw,https://moxfield.com/decks/qSxTIAsRU0uZ4mHFn3em9g?utm_source=edhrec&utm_medium=deck_summary,4,Storm-Kiln Artist,Creature,$2.99
9L0HTVvGLlDkedBGUlagIw,https://moxfield.com/decks/qSxTIAsRU0uZ4mHFn3em9g?utm_source=edhrec&utm_medium=deck_summary,2,Thermo-Alchemist,Creature,$0.35
9L0HTVvGLlDkedBGUlagIw,https://moxfield.com/decks/qSxTIAsRU0uZ4mHFn3em9g?utm_source=edhrec&utm_medium=deck_summary,4,Urabrask,Creature,$27.99
9L0HTVvGLlDkedBGUlagIw,https://moxfield.com/decks/qSxTIAsRU0uZ4mHFn3em9g?utm_source=edhrec&utm_medium=deck_summary,3,Zo-Zu the Punisher,Creature,$5.99
9L0HTVvGLlDkedBGUlagIw,https://moxfield.com/decks/qSxTIAsRU0uZ4mHFn3em9g?utm_source=edhrec&utm_medium=deck_summary,4,Bolt Bend,Instant,$5.49
9L0HTVvGLlDkedBGUlagIw,https://moxfield.com/decks/qSxTIAsRU0uZ4mHFn3em9g?utm_source=edhrec&utm_medium=deck_summary,2,Bulk Up,Instant,$0.35
9L0HTVvGLlDkedBGUlagIw,https://moxfield.com/decks/qSxTIAsRU0uZ4mHFn3em9g?utm_source=edhrec&utm_medium=deck_summary,1,Burst Lightning,Instant,$0.35
9L0HTVvGLlDkedBGUlagIw,https://moxfield.com/decks/qSxTIAsRU0uZ4mHFn3em9g?utm_source=edhrec&utm_medium=deck_summary,3,Deflecting Swat,Instant,$94.99
9L0HTVvGLlDkedBGUlagIw,https://moxfield.com/decks/qSxTIAsRU0uZ4mHFn3em9g?utm_source=edhrec&utm_medium=deck_summary,2,Demand Answers,Instant,$1.99
9L0HTVvGLlDkedBGUlagIw,https://moxfield.com/decks/qSxTIAsRU0uZ4mHFn3em9g?utm_source=edhrec&utm_medium=deck_summary,3,Display of Power,Instant,$0.49
9L0HTVvGLlDkedBGUlagIw,https://moxfield.com/decks/qSxTIAsRU0uZ4mHFn3em9g?utm_source=edhrec&utm_medium=deck_summary,3,Downhill Charge,Instant,$0.35
9L0HTVvGLlDkedBGUlagIw,https://moxfield.com/decks/qSxTIAsRU0uZ4mHFn3em9g?utm_source=edhrec&utm_medium=deck_summary,3,Flare of Duplication,Instant,$2.99
9L0HTVvGLlDkedBGUlagIw,https://moxfield.com/decks/qSxTIAsRU0uZ4mHFn3em9g?utm_source=edhrec&utm_medium=deck_summary,3,Flick a Coin,Instant,$0.39
9L0HTVvGLlDkedBGUlagIw,https://moxfield.com/decks/qSxTIAsRU0uZ4mHFn3em9g?utm_source=edhrec&utm_medium=deck_summary,1,Gut Shot,Instant,$6.49
9L0HTVvGLlDkedBGUlagIw,https://moxfield.com/decks/qSxTIAsRU0uZ4mHFn3em9g?utm_source=edhrec&utm_medium=deck_summary,2,Haste Magic,Instant,$0.35
9L0HTVvGLlDkedBGUlagIw,https://moxfield.com/decks/qSxTIAsRU0uZ4mHFn3em9g?utm_source=edhrec&utm_medium=deck_summary,5,Invoke Calamity,Instant,$1.79
9L0HTVvGLlDkedBGUlagIw,https://moxfield.com/decks/qSxTIAsRU0uZ4mHFn3em9g?utm_source=edhrec&utm_medium=deck_summary,1,Lava Dart,Instant,$1.79
9L0HTVvGLlDkedBGUlagIw,https://moxfield.com/decks/qSxTIAsRU0uZ4mHFn3em9g?utm_source=edhrec&utm_medium=deck_summary,1,Lightning Bolt,Instant,$2.29
9L0HTVvGLlDkedBGUlagIw,https://moxfield.com/decks/qSxTIAsRU0uZ4mHFn3em9g?utm_source=edhrec&utm_medium=deck_summary,1,Needle Drop,Instant,$0.99
9L0HTVvGLlDkedBGUlagIw,https://moxfield.com/decks/qSxTIAsRU0uZ4mHFn3em9g?utm_source=edhrec&utm_medium=deck_summary,2,Opera Love Song,Instant,$0.39
9L0HTVvGLlDkedBGUlagIw,https://moxfield.com/decks/qSxTIAsRU0uZ4mHFn3em9g?utm_source=edhrec&utm_medium=deck_summary,2,Pyretic Ritual,Instant,$7.49
9L0HTVvGLlDkedBGUlagIw,https://moxfield.com/decks/qSxTIAsRU0uZ4mHFn3em9g?utm_source=edhrec&utm_medium=deck_summary,2,Reverberate,Instant,$4.49
9L0HTVvGLlDkedBGUlagIw,https://moxfield.com/decks/qSxTIAsRU0uZ4mHFn3em9g?utm_source=edhrec&utm_medium=deck_summary,2,Sazacap's Brew,Instant,$0.35
9L0HTVvGLlDkedBGUlagIw,https://moxfield.com/decks/qSxTIAsRU0uZ4mHFn3em9g?utm_source=edhrec&utm_medium=deck_summary,3,Seething Song,Instant,$12.99
9L0HTVvGLlDkedBGUlagIw,https://moxfield.com/decks/qSxTIAsRU0uZ4mHFn3em9g?utm_source=edhrec&utm_medium=deck_summary,2,The Last Agni Kai,Instant,$3.99
9L0HTVvGLlDkedBGUlagIw,https://moxfield.com/decks/qSxTIAsRU0uZ4mHFn3em9g?utm_source=edhrec&utm_medium=deck_summary,2,Unleash Fury,Instant,$0.99
9L0HTVvGLlDkedBGUlagIw,https://moxfield.com/decks/qSxTIAsRU0uZ4mHFn3em9g?utm_source=edhrec&utm_medium=deck_summary,3,Volcanic Fallout,Instant,$0.35
9L0HTVvGLlDkedBGUlagIw,https://moxfield.com/decks/qSxTIAsRU0uZ4mHFn3em9g?utm_source=edhrec&utm_medium=deck_summary,1,Boltwave,Sorcery,$4.99
9L0HTVvGLlDkedBGUlagIw,https://moxfield.com/decks/qSxTIAsRU0uZ4mHFn3em9g?utm_source=edhrec&utm_medium=deck_summary,4,Fiery Confluence,Sorcery,$0.99
9L0HTVvGLlDkedBGUlagIw,https://moxfield.com/decks/qSxTIAsRU0uZ4mHFn3em9g?utm_source=edhrec&utm_medium=deck_summary,1,Forked Bolt,Sorcery,$0.35
9L0HTVvGLlDkedBGUlagIw,https://moxfield.com/decks/qSxTIAsRU0uZ4mHFn3em9g?utm_source=edhrec&utm_medium=deck_summary,2,Grapeshot,Sorcery,$0.39
9L0HTVvGLlDkedBGUlagIw,https://moxfield.com/decks/qSxTIAsRU0uZ4mHFn3em9g?utm_source=edhrec&utm_medium=deck_summary,3,Jeska's Will,Sorcery,$44.99
9L0HTVvGLlDkedBGUlagIw,https://moxfield.com/decks/qSxTIAsRU0uZ4mHFn3em9g?utm_source=edhrec&utm_medium=deck_summary,5,Mana Geyser,Sorcery,$2.49
9L0HTVvGLlDkedBGUlagIw,https://moxfield.com/decks/qSxTIAsRU0uZ4mHFn3em9g?utm_source=edhrec&utm_medium=deck_summary,5,Reforge the Soul,Sorcery,$8.49
9L0HTVvGLlDkedBGUlagIw,https://moxfield.com/decks/qSxTIAsRU0uZ4mHFn3em9g?utm_source=edhrec&utm_medium=deck_summary,1,Tectonic Hazard,Sorcery,$0.69
9L0HTVvGLlDkedBGUlagIw,https://moxfield.com/decks/qSxTIAsRU0uZ4mHFn3em9g?utm_source=edhrec&utm_medium=deck_summary,6,Volcanic Awakening,Sorcery,$0.35
9L0HTVvGLlDkedBGUlagIw,https://moxfield.com/decks/qSxTIAsRU0uZ4mHFn3em9g?utm_source=edhrec&utm_medium=deck_summary,3,Wheel of Fortune,Sorcery,$499.99
9L0HTVvGLlDkedBGUlagIw,https://moxfield.com/decks/qSxTIAsRU0uZ4mHFn3em9g?utm_source=edhrec&utm_medium=deck_summary,2,Witch's Mark,Sorcery,$0.59
9L0HTVvGLlDkedBGUlagIw,https://moxfield.com/decks/qSxTIAsRU0uZ4mHFn3em9g?utm_source=edhrec&utm_medium=deck_summary,2,Blackblade Reforged,Artifact,$3.99
