deck_id,deck_source,cmc,name,type,price
9jS6T3o60v4MySAWeSf51g,https://archidekt.com/decks/7076358?utm_source=edhrec&utm_medium=deck_summary,3,"Birgi, God of Storytelling",Creature,$32.99
9jS6T3o60v4MySAWeSf51g,https://archidekt.com/decks/7076358?utm_source=edhrec&utm_medium=deck_summary,2,Electrostatic Field,Creature,$1.79
9jS6T3o60v4MySAWeSf51g,https://archidekt.com/decks/7076358?utm_source=edhrec&utm_medium=deck_summary,2,Erebor Flamesmith,Creature,$0.59
9jS6T3o60v4MySAWeSf51g,https://archidekt.com/decks/7076358?utm_source=edhrec&utm_medium=deck_summary,2,Firebrand Archer,Creature,$0.39
9jS6T3o60v4MySAWeSf51g,https://archidekt.com/decks/7076358?utm_source=edhrec&utm_medium=deck_summary,2,Kessig Flamebreather,Creature,$4.99
9jS6T3o60v4MySAWeSf51g,https://archidekt.com/decks/7076358?utm_source=edhrec&utm_medium=deck_summary,2,Runaway Steam-Kin,Creature,$1.79
9jS6T3o60v4MySAWeSf51g,https://archidekt.com/decks/7076358?utm_source=edhrec&utm_medium=deck_summary,4,"Solphim, Mayhem Dominus",Creature,$32.99
9jS6T3o60v4MySAWeSf51g,https://archidekt.com/decks/7076358?utm_source=edhrec&utm_medium=deck_summary,2,Thermo-Alchemist,Creature,$0.35
9jS6T3o60v4MySAWeSf51g,https://archidekt.com/decks/7076358?utm_source=edhrec&utm_medium=deck_summary,4,"Torbran, Thane of Red Fell",Creature,$5.99
9jS6T3o60v4MySAWeSf51g,https://archidekt.com/decks/7076358?utm_source=edhrec&utm_medium=deck_summary,2,Blazing Crescendo,Instant,$0.59
9jS6T3o60v4MySAWeSf51g,https://archidekt.com/decks/7076358?utm_source=edhrec&utm_medium=deck_summary,4,Bolt Bend,Instant,$5.49
9jS6T3o60v4MySAWeSf51g,https://archidekt.com/decks/7076358?utm_source=edhrec&utm_medium=deck_summary,2,Chandra's Pyrohelix,Instant,$0.35
9jS6T3o60v4MySAWeSf51g,https://archidekt.com/decks/7076358?utm_source=edhrec&utm_medium=deck_summary,3,Chaos Warp,Instant,$0.79
9jS6T3o60v4MySAWeSf51g,https://archidekt.com/decks/7076358?utm_source=edhrec&utm_medium=deck_summary,3,Deflecting Swat,Instant,$74.99
9jS6T3o60v4MySAWeSf51g,https://archidekt.com/decks/7076358?utm_source=edhrec&utm_medium=deck_summary,3,Delayed Blast Fireball,Instant,$17.99
9jS6T3o60v4MySAWeSf51g,https://archidekt.com/decks/7076358?utm_source=edhrec&utm_medium=deck_summary,3,Display of Power,Instant,$0.49
9jS6T3o60v4MySAWeSf51g,https://archidekt.com/decks/7076358?utm_source=edhrec&utm_medium=deck_summary,2,Fists of Flame,Instant,$0.49
9jS6T3o60v4MySAWeSf51g,https://archidekt.com/decks/7076358?utm_source=edhrec&utm_medium=deck_summary,1,Gut Shot,Instant,$5.49
9jS6T3o60v4MySAWeSf51g,https://archidekt.com/decks/7076358?utm_source=edhrec&utm_medium=deck_summary,1,Lava Dart,Instant,$0.69
9jS6T3o60v4MySAWeSf51g,https://archidekt.com/decks/7076358?utm_source=edhrec&utm_medium=deck_summary,1,Lightning Bolt,Instant,$1.99
9jS6T3o60v4MySAWeSf51g,https://archidekt.com/decks/7076358?utm_source=edhrec&utm_medium=deck_summary,1,March of Reckless Joy,Instant,$0.49
9jS6T3o60v4MySAWeSf51g,https://archidekt.com/decks/7076358?utm_source=edhrec&utm_medium=deck_summary,1,Needle Drop,Instant,$0.99
9jS6T3o60v4MySAWeSf51g,https://archidekt.com/decks/7076358?utm_source=edhrec&utm_medium=deck_summary,2,Price of Progress,Instant,$8.99
9jS6T3o60v4MySAWeSf51g,https://archidekt.com/decks/7076358?utm_source=edhrec&utm_medium=deck_summary,1,Pyroblast,Instant,$12.99
9jS6T3o60v4MySAWeSf51g,https://archidekt.com/decks/7076358?utm_source=edhrec&utm_medium=deck_summary,1,Red Elemental Blast,Instant,$5.49
9jS6T3o60v4MySAWeSf51g,https://archidekt.com/decks/7076358?utm_source=edhrec&utm_medium=deck_summary,3,Reiterate,Instant,$18.99
9jS6T3o60v4MySAWeSf51g,https://archidekt.com/decks/7076358?utm_source=edhrec&utm_medium=deck_summary,2,Return the Favor,Instant,$4.49
9jS6T3o60v4MySAWeSf51g,https://archidekt.com/decks/7076358?utm_source=edhrec&utm_medium=deck_summary,2,Reverberate,Instant,$5.49
9jS6T3o60v4MySAWeSf51g,https://archidekt.com/decks/7076358?utm_source=edhrec&utm_medium=deck_summary,2,Starstorm,Instant,$0.49
9jS6T3o60v4MySAWeSf51g,https://archidekt.com/decks/7076358?utm_source=edhrec&utm_medium=deck_summary,2,Sudden Shock,Instant,$0.35
9jS6T3o60v4MySAWeSf51g,https://archidekt.com/decks/7076358?utm_source=edhrec&utm_medium=deck_summary,2,Tibalt's Trickery,Instant,$14.99
9jS6T3o60v4MySAWeSf51g,https://archidekt.com/decks/7076358?utm_source=edhrec&utm_medium=deck_summary,3,Valakut Awakening,Instant,$19.99
9jS6T3o60v4MySAWeSf51g,https://archidekt.com/decks/7076358?utm_source=edhrec&utm_medium=deck_summary,3,Volcanic Fallout,Instant,$0.35
9jS6T3o60v4MySAWeSf51g,https://archidekt.com/decks/7076358?utm_source=edhrec&utm_medium=deck_summary,2,Zoyowa's Justice,Instant,$0.35
9jS6T3o60v4MySAWeSf51g,https://archidekt.com/decks/7076358?utm_source=edhrec&utm_medium=deck_summary,9,Blasphemous Act,Sorcery,$2.79
9jS6T3o60v4MySAWeSf51g,https://archidekt.com/decks/7076358?utm_source=edhrec&utm_medium=deck_summary,4,Chain Reaction,Sorcery,$0.49
9jS6T3o60v4MySAWeSf51g,https://archidekt.com/decks/7076358?utm_source=edhrec&utm_medium=deck_summary,1,Earthquake,Sorcery,$1.29
9jS6T3o60v4MySAWeSf51g,https://archidekt.com/decks/7076358?utm_source=edhrec&utm_medium=deck_summary,1,Faithless Looting,Sorcery,$0.79
9jS6T3o60v4MySAWeSf51g,https://archidekt.com/decks/7076358?utm_source=edhrec&utm_medium=deck_summary,4,Fiery Confluence,Sorcery,$0.99
9jS6T3o60v4MySAWeSf51g,https://archidekt.com/decks/7076358?utm_source=edhrec&utm_medium=deck_summary,2,Grapeshot,Sorcery,$0.59
9jS6T3o60v4MySAWeSf51g,https://archidekt.com/decks/7076358?utm_source=edhrec&utm_medium=deck_summary,3,Jeska's Will,Sorcery,$49.99
9jS6T3o60v4MySAWeSf51g,https://archidekt.com/decks/7076358?utm_source=edhrec&utm_medium=deck_summary,3,Magic Missile,Sorcery,$0.35
9jS6T3o60v4MySAWeSf51g,https://archidekt.com/decks/7076358?utm_source=edhrec&utm_medium=deck_summary,2,Reckless Impulse,Sorcery,$1.29
9jS6T3o60v4MySAWeSf51g,https://archidekt.com/decks/7076358?utm_source=edhrec&utm_medium=deck_summary,1,Rolling Earthquake,Sorcery,$4.49
9jS6T3o60v4MySAWeSf51g,https://archidekt.com/decks/7076358?utm_source=edhrec&utm_medium=deck_summary,3,Sundering Eruption,Sorcery,$2.29
9jS6T3o60v4MySAWeSf51g,https://archidekt.com/decks/7076358?utm_source=edhrec&utm_medium=deck_summary,1,Tectonic Hazard,Sorcery,$0.79
9jS6T3o60v4MySAWeSf51g,https://archidekt.com/decks/7076358?utm_source=edhrec&utm_medium=deck_summary,2,Volcanic Spray,Sorcery,$1.49
9jS6T3o60v4MySAWeSf51g,https://archidekt.com/decks/7076358?utm_source=edhrec&utm_medium=deck_summary,3,Wheel of Fortune,Sorcery,$379.99
9jS6T3o60v4MySAWeSf51g,https://archidekt.com/decks/7076358?utm_source=edhrec&utm_medium=deck_summary,2,Arcane Signet,Artifact,$0.79
9jS6T3o60v4MySAWeSf51g,https://archidekt.com/decks/7076358?utm_source=edhrec&utm_medium=deck_summary,3,Champion's Helm,Artifact,$2.29
9jS6T3o60v4MySAWeSf51g,https://archidekt.com/decks/7076358?utm_source=edhrec&utm_medium=deck_summary,1,Commander's Plate,Artifact,$47.99
9jS6T3o60v4MySAWeSf51g,https://archidekt.com/decks/7076358?utm_source=edhrec&utm_medium=deck_summary,3,Ensnaring Bridge,Artifact,$10.99
9jS6T3o60v4MySAWeSf51g,https://archidekt.com/decks/7076358?utm_source=edhrec&utm_medium=deck_summary,3,Extraplanar Lens,Artifact,$11.99
9jS6T3o60v4MySAWeSf51g,https://archidekt.com/decks/7076358?utm_source=edhrec&utm_medium=deck_summary,3,Mithril Coat,Artifact,$32.99
9jS6T3o60v4MySAWeSf51g,https://archidekt.com/decks/7076358?utm_source=edhrec&utm_medium=deck_summary,1,Sol Ring,Artifact,$1.99
9jS6T3o60v4MySAWeSf51g,https://archidekt.com/decks/7076358?utm_source=edhrec&utm_medium=deck_summary,2,Swiftfoot Boots,Artifact,$2.99
9jS6T3o60v4MySAWeSf51g,https://archidekt.com/decks/7076358?utm_source=edhrec&utm_medium=deck_summary,3,Sword of Wealth and Power,Artifact,$24.99
9jS6T3o60v4MySAWeSf51g,https://archidekt.com/decks/7076358?utm_source=edhrec&utm_medium=deck_summary,4,The One Ring,Artifact,$109.99
9jS6T3o60v4MySAWeSf51g,https://archidekt.com/decks/7076358?utm_source=edhrec&utm_medium=deck_summary,8,City on Fire,Enchantment,$15.99
9jS6T3o60v4MySAWeSf51g,https://archidekt.com/decks/7076358?utm_source=edhrec&utm_medium=deck_summary,6,Fiery Emancipation,Enchantment,$21.99
9jS6T3o60v4MySAWeSf51g,https://archidekt.com/decks/7076358?utm_source=edhrec&utm_medium=deck_summary,3,Fiery Inscription,Enchantment,$0.59
9jS6T3o60v4MySAWeSf51g,https://archidekt.com/decks/7076358?utm_source=edhrec&utm_medium=deck_summary,4,Manabarbs,Enchantment,$5.49
9jS6T3o60v4MySAWeSf51g,https://archidekt.com/decks/7076358?utm_source=edhrec&utm_medium=deck_summary,3,Mechanized Warfare,Enchantment,$1.49
9jS6T3o60v4MySAWeSf51g,https://archidekt.com/decks/7076358?utm_source=edhrec&utm_medium=deck_summary,2,Roiling Vortex,Enchantment,$2.29
9jS6T3o60v4MySAWeSf51g,https://archidekt.com/decks/7076358?utm_source=edhrec&utm_medium=deck_summary,2,Underworld Breach,Enchantment,$17.99
9jS6T3o60v4MySAWeSf51g,https://archidekt.com/decks/7076358?utm_source=edhrec&utm_medium=deck_summary,3,Valakut Exploration,Enchantment,$3.99
9jS6T3o60v4MySAWeSf51g,https://archidekt.com/decks/7076358?utm_source=edhrec&utm_medium=deck_summary,3,Wild Wasteland,Enchantment,$2.29
9jS6T3o60v4MySAWeSf51g,https://archidekt.com/decks/7076358?utm_source=edhrec&utm_medium=deck_summary,3,"Chandra, Dressed to Kill",Planeswalker,$1.99
9jS6T3o60v4MySAWeSf51g,https://archidekt.com/decks/7076358?utm_source=edhrec&utm_medium=deck_summary,0,"Nykthos, Shrine to Nyx",Land,$64.99
9jS6T3o60v4MySAWeSf51g,https://archidekt.com/decks/7076358?utm_source=edhrec&utm_medium=deck_summary,0,Snow-Covered Mountain,Land,$0.79
