deck_id,deck_source,cmc,name,type,price
9u015dBk6QtW29ro-raCQg,https://moxfield.com/decks/lun1EDvMdUazRf0NSvzlNw?utm_source=edhrec&utm_medium=deck_summary,9,Blasphemous Act,Sorcery,$2.29
9u015dBk6QtW29ro-raCQg,https://moxfield.com/decks/lun1EDvMdUazRf0NSvzlNw?utm_source=edhrec&utm_medium=deck_summary,2,Cleansing Wildfire,Sorcery,$0.69
9u015dBk6QtW29ro-raCQg,https://moxfield.com/decks/lun1EDvMdUazRf0NSvzlNw?utm_source=edhrec&utm_medium=deck_summary,1,End the Festivities,Sorcery,$1.79
9u015dBk6QtW29ro-raCQg,https://moxfield.com/decks/lun1EDvMdUazRf0NSvzlNw?utm_source=edhrec&utm_medium=deck_summary,4,Fiery Confluence,Sorcery,$0.99
9u015dBk6QtW29ro-raCQg,https://moxfield.com/decks/lun1EDvMdUazRf0NSvzlNw?utm_source=edhrec&utm_medium=deck_summary,1,Gamble,Sorcery,$19.99
9u015dBk6QtW29ro-raCQg,https://moxfield.com/decks/lun1EDvMdUazRf0NSvzlNw?utm_source=edhrec&utm_medium=deck_summary,2,Grapeshot,Sorcery,$0.59
9u015dBk6QtW29ro-raCQg,https://moxfield.com/decks/lun1EDvMdUazRf0NSvzlNw?utm_source=edhrec&utm_medium=deck_summary,3,Jeska's Will,Sorcery,$47.99
9u015dBk6QtW29ro-raCQg,https://moxfield.com/decks/lun1EDvMdUazRf0NSvzlNw?utm_source=edhrec&utm_medium=deck_summary,3,Light Up the Stage,Sorcery,$0.49
9u015dBk6QtW29ro-raCQg,https://moxfield.com/decks/lun1EDvMdUazRf0NSvzlNw?utm_source=edhrec&utm_medium=deck_summary,1,Rite of Flame,Sorcery,$6.49
9u015dBk6QtW29ro-raCQg,https://moxfield.com/decks/lun1EDvMdUazRf0NSvzlNw?utm_source=edhrec&utm_medium=deck_summary,4,Ruination,Sorcery,$1.79
9u015dBk6QtW29ro-raCQg,https://moxfield.com/decks/lun1EDvMdUazRf0NSvzlNw?utm_source=edhrec&utm_medium=deck_summary,1,Tectonic Hazard,Sorcery,$0.79
9u015dBk6QtW29ro-raCQg,https://moxfield.com/decks/lun1EDvMdUazRf0NSvzlNw?utm_source=edhrec&utm_medium=deck_summary,3,Wheel of Fortune,Sorcery,$499.99
9u015dBk6QtW29ro-raCQg,https://moxfield.com/decks/lun1EDvMdUazRf0NSvzlNw?utm_source=edhrec&utm_medium=deck_summary,2,Arcane Signet,Artifact,$0.69
9u015dBk6QtW29ro-raCQg,https://moxfield.com/decks/lun1EDvMdUazRf0NSvzlNw?utm_source=edhrec&utm_medium=deck_summary,0,Chrome Mox,Artifact,$159.99
9u015dBk6QtW29ro-raCQg,https://moxfield.com/decks/lun1EDvMdUazRf0NSvzlNw?utm_source=edhrec&utm_medium=deck_summary,4,Hammer of Nazahn,Artifact,$16.99
9u015dBk6QtW29ro-raCQg,https://moxfield.com/decks/lun1EDvMdUazRf0NSvzlNw?utm_source=edhrec&utm_medium=deck_summary,2,Lightning Greaves,Artifact,$5.49
9u015dBk6QtW29ro-raCQg,https://moxfield.com/decks/lun1EDvMdUazRf0NSvzlNw?utm_source=edhrec&utm_medium=deck_summary,0,Lion's Eye Diamond,Artifact,$949.99
9u015dBk6QtW29ro-raCQg,https://moxfield.com/decks/lun1EDvMdUazRf0NSvzlNw?utm_source=edhrec&utm_medium=deck_summary,0,Lotus Petal,Artifact,$39.99
9u015dBk6QtW29ro-raCQg,https://moxfield.com/decks/lun1EDvMdUazRf0NSvzlNw?utm_source=edhrec&utm_medium=deck_summary,1,Mana Vault,Artifact,$119.99
9u015dBk6QtW29ro-raCQg,https://moxfield.com/decks/lun1EDvMdUazRf0NSvzlNw?utm_source=edhrec&utm_medium=deck_summary,3,Mithril Coat,Artifact,$39.99
9u015dBk6QtW29ro-raCQg,https://moxfield.com/decks/lun1EDvMdUazRf0NSvzlNw?utm_source=edhrec&utm_medium=deck_summary,0,Mox Opal,Artifact,$279.99
9u015dBk6QtW29ro-raCQg,https://moxfield.com/decks/lun1EDvMdUazRf0NSvzlNw?utm_source=edhrec&utm_medium=deck_summary,4,Mystic Forge,Artifact,$4.49
9u015dBk6QtW29ro-raCQg,https://moxfield.com/decks/lun1EDvMdUazRf0NSvzlNw?utm_source=edhrec&utm_medium=deck_summary,2,Ruby Medallion,Artifact,$17.99
9u015dBk6QtW29ro-raCQg,https://moxfield.com/decks/lun1EDvMdUazRf0NSvzlNw?utm_source=edhrec&utm_medium=deck_summary,1,Sensei's Divining Top,Artifact,$49.99
