deck_id,deck_source,cmc,name,type,price
Ai5JGotYvXj4u6B8mTUIgQ,https://moxfield.com/decks/v3cb527JCEG_agrosH__GA?utm_source=edhrec&utm_medium=deck_summary,3,Chaos Warp,Instant,$0.69
Ai5JGotYvXj4u6B8mTUIgQ,https://moxfield.com/decks/v3cb527JCEG_agrosH__GA?utm_source=edhrec&utm_medium=deck_summary,3,Deflecting Swat,Instant,$89.99
Ai5JGotYvXj4u6B8mTUIgQ,https://moxfield.com/decks/v3cb527JCEG_agrosH__GA?utm_source=edhrec&utm_medium=deck_summary,3,Delayed Blast Fireball,Instant,$17.99
Ai5JGotYvXj4u6B8mTUIgQ,https://moxfield.com/decks/v3cb527JCEG_agrosH__GA?utm_source=edhrec&utm_medium=deck_summary,2,Final Fortune,Instant,$12.99
Ai5JGotYvXj4u6B8mTUIgQ,https://moxfield.com/decks/v3cb527JCEG_agrosH__GA?utm_source=edhrec&utm_medium=deck_summary,1,Lava Dart,Instant,$1.79
Ai5JGotYvXj4u6B8mTUIgQ,https://moxfield.com/decks/v3cb527JCEG_agrosH__GA?utm_source=edhrec&utm_medium=deck_summary,1,Lightning Bolt,Instant,$1.99
Ai5JGotYvXj4u6B8mTUIgQ,https://moxfield.com/decks/v3cb527JCEG_agrosH__GA?utm_source=edhrec&utm_medium=deck_summary,1,Monstrous Rage,Instant,$0.35
Ai5JGotYvXj4u6B8mTUIgQ,https://moxfield.com/decks/v3cb527JCEG_agrosH__GA?utm_source=edhrec&utm_medium=deck_summary,1,Needle Drop,Instant,$1.79
Ai5JGotYvXj4u6B8mTUIgQ,https://moxfield.com/decks/v3cb527JCEG_agrosH__GA?utm_source=edhrec&utm_medium=deck_summary,2,Return the Favor,Instant,$0.35
Ai5JGotYvXj4u6B8mTUIgQ,https://moxfield.com/decks/v3cb527JCEG_agrosH__GA?utm_source=edhrec&utm_medium=deck_summary,2,Reverberate,Instant,$3.99
Ai5JGotYvXj4u6B8mTUIgQ,https://moxfield.com/decks/v3cb527JCEG_agrosH__GA?utm_source=edhrec&utm_medium=deck_summary,4,Ricochet Trap,Instant,$0.59
Ai5JGotYvXj4u6B8mTUIgQ,https://moxfield.com/decks/v3cb527JCEG_agrosH__GA?utm_source=edhrec&utm_medium=deck_summary,3,Solstice Revelations,Instant,$0.35
Ai5JGotYvXj4u6B8mTUIgQ,https://moxfield.com/decks/v3cb527JCEG_agrosH__GA?utm_source=edhrec&utm_medium=deck_summary,2,Thrill of Possibility,Instant,$0.35
Ai5JGotYvXj4u6B8mTUIgQ,https://moxfield.com/decks/v3cb527JCEG_agrosH__GA?utm_source=edhrec&utm_medium=deck_summary,2,Tibalt's Trickery,Instant,$15.99
Ai5JGotYvXj4u6B8mTUIgQ,https://moxfield.com/decks/v3cb527JCEG_agrosH__GA?utm_source=edhrec&utm_medium=deck_summary,9,Blasphemous Act,Sorcery,$2.29
Ai5JGotYvXj4u6B8mTUIgQ,https://moxfield.com/decks/v3cb527JCEG_agrosH__GA?utm_source=edhrec&utm_medium=deck_summary,1,Chain Lightning,Sorcery,$0.49
Ai5JGotYvXj4u6B8mTUIgQ,https://moxfield.com/decks/v3cb527JCEG_agrosH__GA?utm_source=edhrec&utm_medium=deck_summary,3,Jeska's Will,Sorcery,$47.99
Ai5JGotYvXj4u6B8mTUIgQ,https://moxfield.com/decks/v3cb527JCEG_agrosH__GA?utm_source=edhrec&utm_medium=deck_summary,1,Lava Spike,Sorcery,$1.49
Ai5JGotYvXj4u6B8mTUIgQ,https://moxfield.com/decks/v3cb527JCEG_agrosH__GA?utm_source=edhrec&utm_medium=deck_summary,5,Mana Geyser,Sorcery,$2.29
Ai5JGotYvXj4u6B8mTUIgQ,https://moxfield.com/decks/v3cb527JCEG_agrosH__GA?utm_source=edhrec&utm_medium=deck_summary,4,Past in Flames,Sorcery,$3.99
Ai5JGotYvXj4u6B8mTUIgQ,https://moxfield.com/decks/v3cb527JCEG_agrosH__GA?utm_source=edhrec&utm_medium=deck_summary,3,Rift Bolt,Sorcery,$0.35
Ai5JGotYvXj4u6B8mTUIgQ,https://moxfield.com/decks/v3cb527JCEG_agrosH__GA?utm_source=edhrec&utm_medium=deck_summary,3,Skewer the Critics,Sorcery,$0.35
Ai5JGotYvXj4u6B8mTUIgQ,https://moxfield.com/decks/v3cb527JCEG_agrosH__GA?utm_source=edhrec&utm_medium=deck_summary,1,Vandalblast,Sorcery,$2.49
Ai5JGotYvXj4u6B8mTUIgQ,https://moxfield.com/decks/v3cb527JCEG_agrosH__GA?utm_source=edhrec&utm_medium=deck_summary,3,Wheel of Misfortune,Sorcery,$10.99
