deck_id,deck_source,cmc,name,type,price
As7k8hGoHGGzD5AMLTXiTQ,https://archidekt.com/decks/14839357?utm_source=edhrec&utm_medium=deck_summary,1,Blisterspit Gremlin,Creature,$0.35
As7k8hGoHGGzD5AMLTXiTQ,https://archidekt.com/decks/14839357?utm_source=edhrec&utm_medium=deck_summary,3,Cinder Pyromancer,Creature,$0.35
As7k8hGoHGGzD5AMLTXiTQ,https://archidekt.com/decks/14839357?utm_source=edhrec&utm_medium=deck_summary,2,Deadeye Duelist,Creature,$0.35
As7k8hGoHGGzD5AMLTXiTQ,https://archidekt.com/decks/14839357?utm_source=edhrec&utm_medium=deck_summary,4,Defiler of Instinct,Creature,$0.49
As7k8hGoHGGzD5AMLTXiTQ,https://archidekt.com/decks/14839357?utm_source=edhrec&utm_medium=deck_summary,2,Firebrand Archer,Creature,$0.39
As7k8hGoHGGzD5AMLTXiTQ,https://archidekt.com/decks/14839357?utm_source=edhrec&utm_medium=deck_summary,3,Gleeful Arsonist,Creature,$5.49
As7k8hGoHGGzD5AMLTXiTQ,https://archidekt.com/decks/14839357?utm_source=edhrec&utm_medium=deck_summary,3,Guttersnipe,Creature,$0.49
As7k8hGoHGGzD5AMLTXiTQ,https://archidekt.com/decks/14839357?utm_source=edhrec&utm_medium=deck_summary,2,Kessig Flamebreather,Creature,$2.99
As7k8hGoHGGzD5AMLTXiTQ,https://archidekt.com/decks/14839357?utm_source=edhrec&utm_medium=deck_summary,3,Kindlespark Duo,Creature,$0.35
As7k8hGoHGGzD5AMLTXiTQ,https://archidekt.com/decks/14839357?utm_source=edhrec&utm_medium=deck_summary,5,Nova Hellkite,Creature,$2.79
As7k8hGoHGGzD5AMLTXiTQ,https://archidekt.com/decks/14839357?utm_source=edhrec&utm_medium=deck_summary,5,Panicked Altisaur,Creature,$0.35
As7k8hGoHGGzD5AMLTXiTQ,https://archidekt.com/decks/14839357?utm_source=edhrec&utm_medium=deck_summary,2,Razorkin Needlehead,Creature,$10.99
As7k8hGoHGGzD5AMLTXiTQ,https://archidekt.com/decks/14839357?utm_source=edhrec&utm_medium=deck_summary,2,Runaway Steam-Kin,Creature,$1.79
As7k8hGoHGGzD5AMLTXiTQ,https://archidekt.com/decks/14839357?utm_source=edhrec&utm_medium=deck_summary,3,Scytheclaw Raptor,Creature,$0.35
As7k8hGoHGGzD5AMLTXiTQ,https://archidekt.com/decks/14839357?utm_source=edhrec&utm_medium=deck_summary,4,Spitfire Lagac,Creature,$0.35
As7k8hGoHGGzD5AMLTXiTQ,https://archidekt.com/decks/14839357?utm_source=edhrec&utm_medium=deck_summary,2,Sunshot Militia,Creature,$0.35
As7k8hGoHGGzD5AMLTXiTQ,https://archidekt.com/decks/14839357?utm_source=edhrec&utm_medium=deck_summary,4,Tectonic Giant,Creature,$0.49
As7k8hGoHGGzD5AMLTXiTQ,https://archidekt.com/decks/14839357?utm_source=edhrec&utm_medium=deck_summary,2,Thermo-Alchemist,Creature,$0.35
As7k8hGoHGGzD5AMLTXiTQ,https://archidekt.com/decks/14839357?utm_source=edhrec&utm_medium=deck_summary,3,Unruly Catapult,Creature,$0.69
As7k8hGoHGGzD5AMLTXiTQ,https://archidekt.com/decks/14839357?utm_source=edhrec&utm_medium=deck_summary,3,Witty Roastmaster,Creature,$1.79
As7k8hGoHGGzD5AMLTXiTQ,https://archidekt.com/decks/14839357?utm_source=edhrec&utm_medium=deck_summary,2,Zookeeper Mechan,Creature,$0.35
As7k8hGoHGGzD5AMLTXiTQ,https://archidekt.com/decks/14839357?utm_source=edhrec&utm_medium=deck_summary,2,Abrade,Instant,$0.35
As7k8hGoHGGzD5AMLTXiTQ,https://archidekt.com/decks/14839357?utm_source=edhrec&utm_medium=deck_summary,2,Bulk Up,Instant,$1.49
As7k8hGoHGGzD5AMLTXiTQ,https://archidekt.com/decks/14839357?utm_source=edhrec&utm_medium=deck_summary,1,Burst Lightning,Instant,$0.35
As7k8hGoHGGzD5AMLTXiTQ,https://archidekt.com/decks/14839357?utm_source=edhrec&utm_medium=deck_summary,3,Call In a Professional,Instant,$0.35
As7k8hGoHGGzD5AMLTXiTQ,https://archidekt.com/decks/14839357?utm_source=edhrec&utm_medium=deck_summary,3,Chaos Warp,Instant,$0.79
As7k8hGoHGGzD5AMLTXiTQ,https://archidekt.com/decks/14839357?utm_source=edhrec&utm_medium=deck_summary,3,Flick a Coin,Instant,$0.49
As7k8hGoHGGzD5AMLTXiTQ,https://archidekt.com/decks/14839357?utm_source=edhrec&utm_medium=deck_summary,1,Lava Dart,Instant,$0.99
As7k8hGoHGGzD5AMLTXiTQ,https://archidekt.com/decks/14839357?utm_source=edhrec&utm_medium=deck_summary,1,Lightning Bolt,Instant,$1.79
As7k8hGoHGGzD5AMLTXiTQ,https://archidekt.com/decks/14839357?utm_source=edhrec&utm_medium=deck_summary,2,Lightning Strike,Instant,$0.35
As7k8hGoHGGzD5AMLTXiTQ,https://archidekt.com/decks/14839357?utm_source=edhrec&utm_medium=deck_summary,1,Monstrous Rage,Instant,$1.79
As7k8hGoHGGzD5AMLTXiTQ,https://archidekt.com/decks/14839357?utm_source=edhrec&utm_medium=deck_summary,1,Pedal to the Metal,Instant,$0.35
As7k8hGoHGGzD5AMLTXiTQ,https://archidekt.com/decks/14839357?utm_source=edhrec&utm_medium=deck_summary,1,Play with Fire,Instant,$0.35
As7k8hGoHGGzD5AMLTXiTQ,https://archidekt.com/decks/14839357?utm_source=edhrec&utm_medium=deck_summary,2,Thrill of Possibility,Instant,$0.35
As7k8hGoHGGzD5AMLTXiTQ,https://archidekt.com/decks/14839357?utm_source=edhrec&utm_medium=deck_summary,2,Twin Bolt,Instant,$0.35
As7k8hGoHGGzD5AMLTXiTQ,https://archidekt.com/decks/14839357?utm_source=edhrec&utm_medium=deck_summary,2,Unleash Fury,Instant,$0.99
As7k8hGoHGGzD5AMLTXiTQ,https://archidekt.com/decks/14839357?utm_source=edhrec&utm_medium=deck_summary,1,Boltwave,Sorcery,$3.99
As7k8hGoHGGzD5AMLTXiTQ,https://archidekt.com/decks/14839357?utm_source=edhrec&utm_medium=deck_summary,1,End the Festivities,Sorcery,$1.49
As7k8hGoHGGzD5AMLTXiTQ,https://archidekt.com/decks/14839357?utm_source=edhrec&utm_medium=deck_summary,1,Faithless Looting,Sorcery,$0.69
As7k8hGoHGGzD5AMLTXiTQ,https://archidekt.com/decks/14839357?utm_source=edhrec&utm_medium=deck_summary,4,Fiery Confluence,Sorcery,$0.79
As7k8hGoHGGzD5AMLTXiTQ,https://archidekt.com/decks/14839357?utm_source=edhrec&utm_medium=deck_summary,2,Grapeshot,Sorcery,$0.35
As7k8hGoHGGzD5AMLTXiTQ,https://archidekt.com/decks/14839357?utm_source=edhrec&utm_medium=deck_summary,3,Magic Missile,Sorcery,$0.35
As7k8hGoHGGzD5AMLTXiTQ,https://archidekt.com/decks/14839357?utm_source=edhrec&utm_medium=deck_summary,5,Mana Geyser,Sorcery,$3.49
As7k8hGoHGGzD5AMLTXiTQ,https://archidekt.com/decks/14839357?utm_source=edhrec&utm_medium=deck_summary,1,Tectonic Hazard,Sorcery,$0.35
As7k8hGoHGGzD5AMLTXiTQ,https://archidekt.com/decks/14839357?utm_source=edhrec&utm_medium=deck_summary,2,Witch's Mark,Sorcery,$0.35
As7k8hGoHGGzD5AMLTXiTQ,https://archidekt.com/decks/14839357?utm_source=edhrec&utm_medium=deck_summary,2,Arcane Signet,Artifact,$0.79
As7k8hGoHGGzD5AMLTXiTQ,https://archidekt.com/decks/14839357?utm_source=edhrec&utm_medium=deck_summary,3,Brass's Tunnel-Grinder,Artifact,$3.99
As7k8hGoHGGzD5AMLTXiTQ,https://archidekt.com/decks/14839357?utm_source=edhrec&utm_medium=deck_summary,3,Commander's Sphere,Artifact,$0.35
As7k8hGoHGGzD5AMLTXiTQ,https://archidekt.com/decks/14839357?utm_source=edhrec&utm_medium=deck_summary,3,Glittering Stockpile,Artifact,$0.35
As7k8hGoHGGzD5AMLTXiTQ,https://archidekt.com/decks/14839357?utm_source=edhrec&utm_medium=deck_summary,3,Heraldic Banner,Artifact,$0.69
As7k8hGoHGGzD5AMLTXiTQ,https://archidekt.com/decks/14839357?utm_source=edhrec&utm_medium=deck_summary,2,Mind Stone,Artifact,$0.49
As7k8hGoHGGzD5AMLTXiTQ,https://archidekt.com/decks/14839357?utm_source=edhrec&utm_medium=deck_summary,3,Quick-Draw Dagger,Artifact,$0.35
As7k8hGoHGGzD5AMLTXiTQ,https://archidekt.com/decks/14839357?utm_source=edhrec&utm_medium=deck_summary,2,Quick-Draw Katana,Artifact,$0.35
As7k8hGoHGGzD5AMLTXiTQ,https://archidekt.com/decks/14839357?utm_source=edhrec&utm_medium=deck_summary,2,Ruby Medallion,Artifact,$11.99
As7k8hGoHGGzD5AMLTXiTQ,https://archidekt.com/decks/14839357?utm_source=edhrec&utm_medium=deck_summary,1,Sol Ring,Artifact,$1.99
As7k8hGoHGGzD5AMLTXiTQ,https://archidekt.com/decks/14839357?utm_source=edhrec&utm_medium=deck_summary,5,Throne of Eldraine,Artifact,$34.99
As7k8hGoHGGzD5AMLTXiTQ,https://archidekt.com/decks/14839357?utm_source=edhrec&utm_medium=deck_summary,1,Wayfarer's Bauble,Artifact,$0.59
As7k8hGoHGGzD5AMLTXiTQ,https://archidekt.com/decks/14839357?utm_source=edhrec&utm_medium=deck_summary,2,Artist's Talent,Enchantment,$10.99
As7k8hGoHGGzD5AMLTXiTQ,https://archidekt.com/decks/14839357?utm_source=edhrec&utm_medium=deck_summary,3,Blood Moon,Enchantment,$8.49
As7k8hGoHGGzD5AMLTXiTQ,https://archidekt.com/decks/14839357?utm_source=edhrec&utm_medium=deck_summary,1,Burrowing,Enchantment,$0.35
As7k8hGoHGGzD5AMLTXiTQ,https://archidekt.com/decks/14839357?utm_source=edhrec&utm_medium=deck_summary,1,Dragon Mantle,Enchantment,$0.35
As7k8hGoHGGzD5AMLTXiTQ,https://archidekt.com/decks/14839357?utm_source=edhrec&utm_medium=deck_summary,2,Impact Tremors,Enchantment,$2.99
As7k8hGoHGGzD5AMLTXiTQ,https://archidekt.com/decks/14839357?utm_source=edhrec&utm_medium=deck_summary,3,Mana Flare,Enchantment,$0.99
As7k8hGoHGGzD5AMLTXiTQ,https://archidekt.com/decks/14839357?utm_source=edhrec&utm_medium=deck_summary,4,Manabarbs,Enchantment,$4.49
As7k8hGoHGGzD5AMLTXiTQ,https://archidekt.com/decks/14839357?utm_source=edhrec&utm_medium=deck_summary,2,Powerbalance,Enchantment,$0.49
As7k8hGoHGGzD5AMLTXiTQ,https://archidekt.com/decks/14839357?utm_source=edhrec&utm_medium=deck_summary,6,"Chandra, Awakened Inferno",Planeswalker,$11.99
As7k8hGoHGGzD5AMLTXiTQ,https://archidekt.com/decks/14839357?utm_source=edhrec&utm_medium=deck_summary,0,Hidden Volcano,Land,$0.35
As7k8hGoHGGzD5AMLTXiTQ,https://archidekt.com/decks/14839357?utm_source=edhrec&utm_medium=deck_summary,0,Mountain,Land,$0.35
As7k8hGoHGGzD5AMLTXiTQ,https://archidekt.com/decks/14839357?utm_source=edhrec&utm_medium=deck_summary,0,Night Market,Land,$0.39
As7k8hGoHGGzD5AMLTXiTQ,https://archidekt.com/decks/14839357?utm_source=edhrec&utm_medium=deck_summary,0,Scavenger Grounds,Land,$0.49
