deck_id,deck_source,cmc,name,type,price
B1Xo8mTiejA-3BFv5jz-Uw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Coruscation Mage,Creature,$2.79
B1Xo8mTiejA-3BFv5jz-Uw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Electrostatic Field,Creature,$2.29
B1Xo8mTiejA-3BFv5jz-Uw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Firebrand Archer,Creature,$0.49
B1Xo8mTiejA-3BFv5jz-Uw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Harsh Mentor,Creature,$0.49
B1Xo8mTiejA-3BFv5jz-Uw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Kessig Flamebreather,Creature,$4.99
B1Xo8mTiejA-3BFv5jz-Uw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,"Longshot, Rebel Bowman",Creature,$10.99
B1Xo8mTiejA-3BFv5jz-Uw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Magebane Lizard,Creature,$1.49
B1Xo8mTiejA-3BFv5jz-Uw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,5,"Neheb, the Eternal",Creature,$6.49
B1Xo8mTiejA-3BFv5jz-Uw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Pain Distributor,Creature,$7.49
B1Xo8mTiejA-3BFv5jz-Uw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Rampaging Ferocidon,Creature,$1.29
B1Xo8mTiejA-3BFv5jz-Uw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Razorkin Needlehead,Creature,$11.99
B1Xo8mTiejA-3BFv5jz-Uw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Runaway Steam-Kin,Creature,$1.99
B1Xo8mTiejA-3BFv5jz-Uw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Thermo-Alchemist,Creature,$0.35
B1Xo8mTiejA-3BFv5jz-Uw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Thundering Raiju,Creature,$0.79
B1Xo8mTiejA-3BFv5jz-Uw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Zo-Zu the Punisher,Creature,$3.49
B1Xo8mTiejA-3BFv5jz-Uw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Blazing Crescendo,Instant,$0.69
B1Xo8mTiejA-3BFv5jz-Uw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Bolt Bend,Instant,$5.49
B1Xo8mTiejA-3BFv5jz-Uw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Chaos Warp,Instant,$0.79
B1Xo8mTiejA-3BFv5jz-Uw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Desperate Ritual,Instant,$5.99
B1Xo8mTiejA-3BFv5jz-Uw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Lava Dart,Instant,$0.69
B1Xo8mTiejA-3BFv5jz-Uw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Price of Progress,Instant,$8.99
B1Xo8mTiejA-3BFv5jz-Uw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Pyretic Ritual,Instant,$13.99
B1Xo8mTiejA-3BFv5jz-Uw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Return the Favor,Instant,$4.49
B1Xo8mTiejA-3BFv5jz-Uw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Seething Song,Instant,$14.99
B1Xo8mTiejA-3BFv5jz-Uw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Spikefield Hazard,Instant,$0.69
B1Xo8mTiejA-3BFv5jz-Uw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Tibalt's Trickery,Instant,$12.99
B1Xo8mTiejA-3BFv5jz-Uw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Unleash Fury,Instant,$0.69
B1Xo8mTiejA-3BFv5jz-Uw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Volcanic Fallout,Instant,$0.35
B1Xo8mTiejA-3BFv5jz-Uw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,9,Blasphemous Act,Sorcery,$2.99
B1Xo8mTiejA-3BFv5jz-Uw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Earthquake,Sorcery,$1.29
B1Xo8mTiejA-3BFv5jz-Uw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,End the Festivities,Sorcery,$1.79
B1Xo8mTiejA-3BFv5jz-Uw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Faithless Looting,Sorcery,$0.79
B1Xo8mTiejA-3BFv5jz-Uw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Fiery Confluence,Sorcery,$0.79
B1Xo8mTiejA-3BFv5jz-Uw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Light Up the Stage,Sorcery,$0.39
B1Xo8mTiejA-3BFv5jz-Uw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,5,Mana Geyser,Sorcery,$3.49
B1Xo8mTiejA-3BFv5jz-Uw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Mizzix's Mastery,Sorcery,$3.99
B1Xo8mTiejA-3BFv5jz-Uw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Past in Flames,Sorcery,$2.29
B1Xo8mTiejA-3BFv5jz-Uw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Reckless Impulse,Sorcery,$1.29
B1Xo8mTiejA-3BFv5jz-Uw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Tectonic Hazard,Sorcery,$0.69
B1Xo8mTiejA-3BFv5jz-Uw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Volcanic Spray,Sorcery,$1.29
B1Xo8mTiejA-3BFv5jz-Uw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Wheel of Misfortune,Sorcery,$10.99
B1Xo8mTiejA-3BFv5jz-Uw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Witch's Mark,Sorcery,$0.35
B1Xo8mTiejA-3BFv5jz-Uw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Wrenn's Resolve,Sorcery,$2.29
B1Xo8mTiejA-3BFv5jz-Uw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Champion's Helm,Artifact,$2.49
B1Xo8mTiejA-3BFv5jz-Uw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Endless Atlas,Artifact,$2.99
B1Xo8mTiejA-3BFv5jz-Uw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Mirran Banesplitter,Artifact,$0.35
B1Xo8mTiejA-3BFv5jz-Uw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Mithril Coat,Artifact,$32.99
B1Xo8mTiejA-3BFv5jz-Uw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Ruby Medallion,Artifact,$16.99
B1Xo8mTiejA-3BFv5jz-Uw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Sol Ring,Artifact,$1.99
