deck_id,deck_source,cmc,name,type,price
BNBbIwKHKUj5_MIgwQLEIg,https://moxfield.com/decks/o867jeCPukWrLrRWKJqwnA?utm_source=edhrec&utm_medium=deck_summary,3,"Birgi, God of Storytelling",Creature,$47.99
BNBbIwKHKUj5_MIgwQLEIg,https://moxfield.com/decks/o867jeCPukWrLrRWKJqwnA?utm_source=edhrec&utm_medium=deck_summary,2,Coruscation Mage,Creature,$1.99
BNBbIwKHKUj5_MIgwQLEIg,https://moxfield.com/decks/o867jeCPukWrLrRWKJqwnA?utm_source=edhrec&utm_medium=deck_summary,3,"Electro, Assaulting Battery",Creature,$8.99
BNBbIwKHKUj5_MIgwQLEIg,https://moxfield.com/decks/o867jeCPukWrLrRWKJqwnA?utm_source=edhrec&utm_medium=deck_summary,2,Electrostatic Field,Creature,$2.79
BNBbIwKHKUj5_MIgwQLEIg,https://moxfield.com/decks/o867jeCPukWrLrRWKJqwnA?utm_source=edhrec&utm_medium=deck_summary,2,Erebor Flamesmith,Creature,$1.29
BNBbIwKHKUj5_MIgwQLEIg,https://moxfield.com/decks/o867jeCPukWrLrRWKJqwnA?utm_source=edhrec&utm_medium=deck_summary,2,Firebrand Archer,Creature,$0.35
BNBbIwKHKUj5_MIgwQLEIg,https://moxfield.com/decks/o867jeCPukWrLrRWKJqwnA?utm_source=edhrec&utm_medium=deck_summary,3,Firespitter Whelp,Creature,$0.39
BNBbIwKHKUj5_MIgwQLEIg,https://moxfield.com/decks/o867jeCPukWrLrRWKJqwnA?utm_source=edhrec&utm_medium=deck_summary,3,Guttersnipe,Creature,$0.59
BNBbIwKHKUj5_MIgwQLEIg,https://moxfield.com/decks/o867jeCPukWrLrRWKJqwnA?utm_source=edhrec&utm_medium=deck_summary,3,Imperial Recruiter,Creature,$18.99
BNBbIwKHKUj5_MIgwQLEIg,https://moxfield.com/decks/o867jeCPukWrLrRWKJqwnA?utm_source=edhrec&utm_medium=deck_summary,2,Kessig Flamebreather,Creature,$5.99
BNBbIwKHKUj5_MIgwQLEIg,https://moxfield.com/decks/o867jeCPukWrLrRWKJqwnA?utm_source=edhrec&utm_medium=deck_summary,2,Magmatic Channeler,Creature,$0.49
BNBbIwKHKUj5_MIgwQLEIg,https://moxfield.com/decks/o867jeCPukWrLrRWKJqwnA?utm_source=edhrec&utm_medium=deck_summary,3,Magus of the Wheel,Creature,$2.49
BNBbIwKHKUj5_MIgwQLEIg,https://moxfield.com/decks/o867jeCPukWrLrRWKJqwnA?utm_source=edhrec&utm_medium=deck_summary,2,Razorkin Needlehead,Creature,$8.99
