deck_id,deck_source,cmc,name,type,price
BWLAU7PT_4hkCNttLen2JQ,https://moxfield.com/decks/uucekOMsvESCjtkQBnxOVw?utm_source=edhrec&utm_medium=deck_summary,4,"Ashling, Flame Dancer",Creature,$8.99
BWLAU7PT_4hkCNttLen2JQ,https://moxfield.com/decks/uucekOMsvESCjtkQBnxOVw?utm_source=edhrec&utm_medium=deck_summary,3,"Birgi, God of Storytelling",Creature,$42.99
BWLAU7PT_4hkCNttLen2JQ,https://moxfield.com/decks/uucekOMsvESCjtkQBnxOVw?utm_source=edhrec&utm_medium=deck_summary,2,Coruscation Mage,Creature,$1.99
BWLAU7PT_4hkCNttLen2JQ,https://moxfield.com/decks/uucekOMsvESCjtkQBnxOVw?utm_source=edhrec&utm_medium=deck_summary,3,"Electro, Assaulting Battery",Creature,$8.99
BWLAU7PT_4hkCNttLen2JQ,https://moxfield.com/decks/uucekOMsvESCjtkQBnxOVw?utm_source=edhrec&utm_medium=deck_summary,2,Electrostatic Field,Creature,$2.49
BWLAU7PT_4hkCNttLen2JQ,https://moxfield.com/decks/uucekOMsvESCjtkQBnxOVw?utm_source=edhrec&utm_medium=deck_summary,2,Erebor Flamesmith,Creature,$0.99
BWLAU7PT_4hkCNttLen2JQ,https://moxfield.com/decks/uucekOMsvESCjtkQBnxOVw?utm_source=edhrec&utm_medium=deck_summary,2,Firebrand Archer,Creature,$0.39
BWLAU7PT_4hkCNttLen2JQ,https://moxfield.com/decks/uucekOMsvESCjtkQBnxOVw?utm_source=edhrec&utm_medium=deck_summary,2,Kessig Flamebreather,Creature,$4.49
BWLAU7PT_4hkCNttLen2JQ,https://moxfield.com/decks/uucekOMsvESCjtkQBnxOVw?utm_source=edhrec&utm_medium=deck_summary,3,"Laelia, the Blade Reforged",Creature,$0.49
BWLAU7PT_4hkCNttLen2JQ,https://moxfield.com/decks/uucekOMsvESCjtkQBnxOVw?utm_source=edhrec&utm_medium=deck_summary,4,"Longshot, Rebel Bowman",Creature,$13.99
BWLAU7PT_4hkCNttLen2JQ,https://moxfield.com/decks/uucekOMsvESCjtkQBnxOVw?utm_source=edhrec&utm_medium=deck_summary,3,Magus of the Wheel,Creature,$1.79
BWLAU7PT_4hkCNttLen2JQ,https://moxfield.com/decks/uucekOMsvESCjtkQBnxOVw?utm_source=edhrec&utm_medium=deck_summary,3,Mysidian Elder,Creature,$0.35
BWLAU7PT_4hkCNttLen2JQ,https://moxfield.com/decks/uucekOMsvESCjtkQBnxOVw?utm_source=edhrec&utm_medium=deck_summary,5,Pinnacle Monk,Creature,$2.99
BWLAU7PT_4hkCNttLen2JQ,https://moxfield.com/decks/uucekOMsvESCjtkQBnxOVw?utm_source=edhrec&utm_medium=deck_summary,2,Runaway Steam-Kin,Creature,$2.79
BWLAU7PT_4hkCNttLen2JQ,https://moxfield.com/decks/uucekOMsvESCjtkQBnxOVw?utm_source=edhrec&utm_medium=deck_summary,1,Skirk Prospector,Creature,$0.79
BWLAU7PT_4hkCNttLen2JQ,https://moxfield.com/decks/uucekOMsvESCjtkQBnxOVw?utm_source=edhrec&utm_medium=deck_summary,2,Soulbright Flamekin,Creature,$0.35
BWLAU7PT_4hkCNttLen2JQ,https://moxfield.com/decks/uucekOMsvESCjtkQBnxOVw?utm_source=edhrec&utm_medium=deck_summary,4,Urabrask,Creature,$24.99
BWLAU7PT_4hkCNttLen2JQ,https://moxfield.com/decks/uucekOMsvESCjtkQBnxOVw?utm_source=edhrec&utm_medium=deck_summary,4,Bolt Bend,Instant,$5.49
BWLAU7PT_4hkCNttLen2JQ,https://moxfield.com/decks/uucekOMsvESCjtkQBnxOVw?utm_source=edhrec&utm_medium=deck_summary,3,Chaos Warp,Instant,$0.79
BWLAU7PT_4hkCNttLen2JQ,https://moxfield.com/decks/uucekOMsvESCjtkQBnxOVw?utm_source=edhrec&utm_medium=deck_summary,3,Deflecting Swat,Instant,$99.99
BWLAU7PT_4hkCNttLen2JQ,https://moxfield.com/decks/uucekOMsvESCjtkQBnxOVw?utm_source=edhrec&utm_medium=deck_summary,3,Delayed Blast Fireball,Instant,$17.99
BWLAU7PT_4hkCNttLen2JQ,https://moxfield.com/decks/uucekOMsvESCjtkQBnxOVw?utm_source=edhrec&utm_medium=deck_summary,2,Demand Answers,Instant,$1.79
BWLAU7PT_4hkCNttLen2JQ,https://moxfield.com/decks/uucekOMsvESCjtkQBnxOVw?utm_source=edhrec&utm_medium=deck_summary,2,Desperate Ritual,Instant,$7.49
BWLAU7PT_4hkCNttLen2JQ,https://moxfield.com/decks/uucekOMsvESCjtkQBnxOVw?utm_source=edhrec&utm_medium=deck_summary,1,Flashback,Instant,$5.99
BWLAU7PT_4hkCNttLen2JQ,https://moxfield.com/decks/uucekOMsvESCjtkQBnxOVw?utm_source=edhrec&utm_medium=deck_summary,3,Flick a Coin,Instant,$0.39
BWLAU7PT_4hkCNttLen2JQ,https://moxfield.com/decks/uucekOMsvESCjtkQBnxOVw?utm_source=edhrec&utm_medium=deck_summary,1,March of Reckless Joy,Instant,$0.49
BWLAU7PT_4hkCNttLen2JQ,https://moxfield.com/decks/uucekOMsvESCjtkQBnxOVw?utm_source=edhrec&utm_medium=deck_summary,1,Needle Drop,Instant,$1.29
BWLAU7PT_4hkCNttLen2JQ,https://moxfield.com/decks/uucekOMsvESCjtkQBnxOVw?utm_source=edhrec&utm_medium=deck_summary,2,Opera Love Song,Instant,$0.35
BWLAU7PT_4hkCNttLen2JQ,https://moxfield.com/decks/uucekOMsvESCjtkQBnxOVw?utm_source=edhrec&utm_medium=deck_summary,2,Pyretic Ritual,Instant,$6.99
BWLAU7PT_4hkCNttLen2JQ,https://moxfield.com/decks/uucekOMsvESCjtkQBnxOVw?utm_source=edhrec&utm_medium=deck_summary,1,Redirect Lightning,Instant,$18.99
BWLAU7PT_4hkCNttLen2JQ,https://moxfield.com/decks/uucekOMsvESCjtkQBnxOVw?utm_source=edhrec&utm_medium=deck_summary,3,Seething Song,Instant,$12.99
BWLAU7PT_4hkCNttLen2JQ,https://moxfield.com/decks/uucekOMsvESCjtkQBnxOVw?utm_source=edhrec&utm_medium=deck_summary,1,Spikefield Hazard,Instant,$0.35
BWLAU7PT_4hkCNttLen2JQ,https://moxfield.com/decks/uucekOMsvESCjtkQBnxOVw?utm_source=edhrec&utm_medium=deck_summary,2,Tibalt's Trickery,Instant,$17.99
BWLAU7PT_4hkCNttLen2JQ,https://moxfield.com/decks/uucekOMsvESCjtkQBnxOVw?utm_source=edhrec&utm_medium=deck_summary,2,Untimely Malfunction,Instant,$13.99
BWLAU7PT_4hkCNttLen2JQ,https://moxfield.com/decks/uucekOMsvESCjtkQBnxOVw?utm_source=edhrec&utm_medium=deck_summary,3,Valakut Awakening,Instant,$24.99
BWLAU7PT_4hkCNttLen2JQ,https://moxfield.com/decks/uucekOMsvESCjtkQBnxOVw?utm_source=edhrec&utm_medium=deck_summary,2,Vision of Love,Instant,$0.35
BWLAU7PT_4hkCNttLen2JQ,https://moxfield.com/decks/uucekOMsvESCjtkQBnxOVw?utm_source=edhrec&utm_medium=deck_summary,2,Wild Magic Surge,Instant,$3.99
BWLAU7PT_4hkCNttLen2JQ,https://moxfield.com/decks/uucekOMsvESCjtkQBnxOVw?utm_source=edhrec&utm_medium=deck_summary,2,Zoyowa's Justice,Instant,$0.35
BWLAU7PT_4hkCNttLen2JQ,https://moxfield.com/decks/uucekOMsvESCjtkQBnxOVw?utm_source=edhrec&utm_medium=deck_summary,3,Bonus Round,Sorcery,$7.49
BWLAU7PT_4hkCNttLen2JQ,https://moxfield.com/decks/uucekOMsvESCjtkQBnxOVw?utm_source=edhrec&utm_medium=deck_summary,3,Embrace the Unknown,Sorcery,$1.99
BWLAU7PT_4hkCNttLen2JQ,https://moxfield.com/decks/uucekOMsvESCjtkQBnxOVw?utm_source=edhrec&utm_medium=deck_summary,4,Fiery Confluence,Sorcery,$0.79
BWLAU7PT_4hkCNttLen2JQ,https://moxfield.com/decks/uucekOMsvESCjtkQBnxOVw?utm_source=edhrec&utm_medium=deck_summary,4,Flame Fusillade,Sorcery,$6.49
BWLAU7PT_4hkCNttLen2JQ,https://moxfield.com/decks/uucekOMsvESCjtkQBnxOVw?utm_source=edhrec&utm_medium=deck_summary,3,Glimpse the Impossible,Sorcery,$0.39
BWLAU7PT_4hkCNttLen2JQ,https://moxfield.com/decks/uucekOMsvESCjtkQBnxOVw?utm_source=edhrec&utm_medium=deck_summary,2,Grapeshot,Sorcery,$0.39
BWLAU7PT_4hkCNttLen2JQ,https://moxfield.com/decks/uucekOMsvESCjtkQBnxOVw?utm_source=edhrec&utm_medium=deck_summary,3,Hex Magic,Sorcery,$1.49
BWLAU7PT_4hkCNttLen2JQ,https://moxfield.com/decks/uucekOMsvESCjtkQBnxOVw?utm_source=edhrec&utm_medium=deck_summary,3,Jeska's Will,Sorcery,$44.99
BWLAU7PT_4hkCNttLen2JQ,https://moxfield.com/decks/uucekOMsvESCjtkQBnxOVw?utm_source=edhrec&utm_medium=deck_summary,3,Light Up the Stage,Sorcery,$0.39
BWLAU7PT_4hkCNttLen2JQ,https://moxfield.com/decks/uucekOMsvESCjtkQBnxOVw?utm_source=edhrec&utm_medium=deck_summary,4,Past in Flames,Sorcery,$4.49
BWLAU7PT_4hkCNttLen2JQ,https://moxfield.com/decks/uucekOMsvESCjtkQBnxOVw?utm_source=edhrec&utm_medium=deck_summary,2,Reckless Impulse,Sorcery,$2.49
