deck_id,deck_source,cmc,name,type,price
BiP54JZeoFhAAjSD_l36_w,https://moxfield.com/decks/ob6r46GAtkWEQvy7Rv9_xw?utm_source=edhrec&utm_medium=deck_summary,3,Adrenaline Jockey,Creature,$0.35
BiP54JZeoFhAAjSD_l36_w,https://moxfield.com/decks/ob6r46GAtkWEQvy7Rv9_xw?utm_source=edhrec&utm_medium=deck_summary,3,Avalanche of Sector 7,Creature,$0.49
BiP54JZeoFhAAjSD_l36_w,https://moxfield.com/decks/ob6r46GAtkWEQvy7Rv9_xw?utm_source=edhrec&utm_medium=deck_summary,2,Coruscation Mage,Creature,$1.99
BiP54JZeoFhAAjSD_l36_w,https://moxfield.com/decks/ob6r46GAtkWEQvy7Rv9_xw?utm_source=edhrec&utm_medium=deck_summary,2,Eidolon of the Great Revel,Creature,$2.99
BiP54JZeoFhAAjSD_l36_w,https://moxfield.com/decks/ob6r46GAtkWEQvy7Rv9_xw?utm_source=edhrec&utm_medium=deck_summary,2,Firebrand Archer,Creature,$0.35
BiP54JZeoFhAAjSD_l36_w,https://moxfield.com/decks/ob6r46GAtkWEQvy7Rv9_xw?utm_source=edhrec&utm_medium=deck_summary,3,Firespitter Whelp,Creature,$0.49
BiP54JZeoFhAAjSD_l36_w,https://moxfield.com/decks/ob6r46GAtkWEQvy7Rv9_xw?utm_source=edhrec&utm_medium=deck_summary,3,Gleeful Arsonist,Creature,$7.99
BiP54JZeoFhAAjSD_l36_w,https://moxfield.com/decks/ob6r46GAtkWEQvy7Rv9_xw?utm_source=edhrec&utm_medium=deck_summary,2,Harsh Mentor,Creature,$0.69
BiP54JZeoFhAAjSD_l36_w,https://moxfield.com/decks/ob6r46GAtkWEQvy7Rv9_xw?utm_source=edhrec&utm_medium=deck_summary,2,Hexing Squelcher,Creature,$27.99
BiP54JZeoFhAAjSD_l36_w,https://moxfield.com/decks/ob6r46GAtkWEQvy7Rv9_xw?utm_source=edhrec&utm_medium=deck_summary,2,Kessig Flamebreather,Creature,$5.49
BiP54JZeoFhAAjSD_l36_w,https://moxfield.com/decks/ob6r46GAtkWEQvy7Rv9_xw?utm_source=edhrec&utm_medium=deck_summary,4,Lodestone Golem,Creature,$0.49
BiP54JZeoFhAAjSD_l36_w,https://moxfield.com/decks/ob6r46GAtkWEQvy7Rv9_xw?utm_source=edhrec&utm_medium=deck_summary,2,Magebane Lizard,Creature,$1.29
BiP54JZeoFhAAjSD_l36_w,https://moxfield.com/decks/ob6r46GAtkWEQvy7Rv9_xw?utm_source=edhrec&utm_medium=deck_summary,3,Magus of the Moon,Creature,$5.49
BiP54JZeoFhAAjSD_l36_w,https://moxfield.com/decks/ob6r46GAtkWEQvy7Rv9_xw?utm_source=edhrec&utm_medium=deck_summary,3,Rampaging Ferocidon,Creature,$2.29
BiP54JZeoFhAAjSD_l36_w,https://moxfield.com/decks/ob6r46GAtkWEQvy7Rv9_xw?utm_source=edhrec&utm_medium=deck_summary,2,Razorkin Needlehead,Creature,$8.99
BiP54JZeoFhAAjSD_l36_w,https://moxfield.com/decks/ob6r46GAtkWEQvy7Rv9_xw?utm_source=edhrec&utm_medium=deck_summary,2,Sabotender,Creature,$0.35
BiP54JZeoFhAAjSD_l36_w,https://moxfield.com/decks/ob6r46GAtkWEQvy7Rv9_xw?utm_source=edhrec&utm_medium=deck_summary,3,Tunneling Geopede,Creature,$0.99
BiP54JZeoFhAAjSD_l36_w,https://moxfield.com/decks/ob6r46GAtkWEQvy7Rv9_xw?utm_source=edhrec&utm_medium=deck_summary,3,Weftstalker Ardent,Creature,$1.99
BiP54JZeoFhAAjSD_l36_w,https://moxfield.com/decks/ob6r46GAtkWEQvy7Rv9_xw?utm_source=edhrec&utm_medium=deck_summary,2,"Zhao, the Moon Slayer",Creature,$0.49
BiP54JZeoFhAAjSD_l36_w,https://moxfield.com/decks/ob6r46GAtkWEQvy7Rv9_xw?utm_source=edhrec&utm_medium=deck_summary,3,Zo-Zu the Punisher,Creature,$3.99
BiP54JZeoFhAAjSD_l36_w,https://moxfield.com/decks/ob6r46GAtkWEQvy7Rv9_xw?utm_source=edhrec&utm_medium=deck_summary,4,Bolt Bend,Instant,$2.79
BiP54JZeoFhAAjSD_l36_w,https://moxfield.com/decks/ob6r46GAtkWEQvy7Rv9_xw?utm_source=edhrec&utm_medium=deck_summary,3,Chaos Warp,Instant,$0.69
BiP54JZeoFhAAjSD_l36_w,https://moxfield.com/decks/ob6r46GAtkWEQvy7Rv9_xw?utm_source=edhrec&utm_medium=deck_summary,3,Deflecting Swat,Instant,$79.99
BiP54JZeoFhAAjSD_l36_w,https://moxfield.com/decks/ob6r46GAtkWEQvy7Rv9_xw?utm_source=edhrec&utm_medium=deck_summary,1,Pyroblast,Instant,$12.99
BiP54JZeoFhAAjSD_l36_w,https://moxfield.com/decks/ob6r46GAtkWEQvy7Rv9_xw?utm_source=edhrec&utm_medium=deck_summary,1,Red Elemental Blast,Instant,$5.99
BiP54JZeoFhAAjSD_l36_w,https://moxfield.com/decks/ob6r46GAtkWEQvy7Rv9_xw?utm_source=edhrec&utm_medium=deck_summary,1,Redirect Lightning,Instant,$16.99
BiP54JZeoFhAAjSD_l36_w,https://moxfield.com/decks/ob6r46GAtkWEQvy7Rv9_xw?utm_source=edhrec&utm_medium=deck_summary,2,Tibalt's Trickery,Instant,$15.99
BiP54JZeoFhAAjSD_l36_w,https://moxfield.com/decks/ob6r46GAtkWEQvy7Rv9_xw?utm_source=edhrec&utm_medium=deck_summary,4,Ruination,Sorcery,$2.49
BiP54JZeoFhAAjSD_l36_w,https://moxfield.com/decks/ob6r46GAtkWEQvy7Rv9_xw?utm_source=edhrec&utm_medium=deck_summary,1,Vandalblast,Sorcery,$2.99
BiP54JZeoFhAAjSD_l36_w,https://moxfield.com/decks/ob6r46GAtkWEQvy7Rv9_xw?utm_source=edhrec&utm_medium=deck_summary,2,Arcane Signet,Artifact,$0.79
BiP54JZeoFhAAjSD_l36_w,https://moxfield.com/decks/ob6r46GAtkWEQvy7Rv9_xw?utm_source=edhrec&utm_medium=deck_summary,0,Chrome Mox,Artifact,$179.99
BiP54JZeoFhAAjSD_l36_w,https://moxfield.com/decks/ob6r46GAtkWEQvy7Rv9_xw?utm_source=edhrec&utm_medium=deck_summary,1,Commander's Plate,Artifact,$32.99
BiP54JZeoFhAAjSD_l36_w,https://moxfield.com/decks/ob6r46GAtkWEQvy7Rv9_xw?utm_source=edhrec&utm_medium=deck_summary,2,Cursed Totem,Artifact,$1.49
BiP54JZeoFhAAjSD_l36_w,https://moxfield.com/decks/ob6r46GAtkWEQvy7Rv9_xw?utm_source=edhrec&utm_medium=deck_summary,0,Everflowing Chalice,Artifact,$0.59
BiP54JZeoFhAAjSD_l36_w,https://moxfield.com/decks/ob6r46GAtkWEQvy7Rv9_xw?utm_source=edhrec&utm_medium=deck_summary,12,"Excalibur, Sword of Eden",Artifact,$17.99
BiP54JZeoFhAAjSD_l36_w,https://moxfield.com/decks/ob6r46GAtkWEQvy7Rv9_xw?utm_source=edhrec&utm_medium=deck_summary,3,Extraplanar Lens,Artifact,$13.99
BiP54JZeoFhAAjSD_l36_w,https://moxfield.com/decks/ob6r46GAtkWEQvy7Rv9_xw?utm_source=edhrec&utm_medium=deck_summary,2,Fellwar Stone,Artifact,$1.79
BiP54JZeoFhAAjSD_l36_w,https://moxfield.com/decks/ob6r46GAtkWEQvy7Rv9_xw?utm_source=edhrec&utm_medium=deck_summary,2,Lightning Greaves,Artifact,$5.99
BiP54JZeoFhAAjSD_l36_w,https://moxfield.com/decks/ob6r46GAtkWEQvy7Rv9_xw?utm_source=edhrec&utm_medium=deck_summary,2,Liquimetal Torque,Artifact,$3.99
BiP54JZeoFhAAjSD_l36_w,https://moxfield.com/decks/ob6r46GAtkWEQvy7Rv9_xw?utm_source=edhrec&utm_medium=deck_summary,0,Lotus Petal,Artifact,$39.99
BiP54JZeoFhAAjSD_l36_w,https://moxfield.com/decks/ob6r46GAtkWEQvy7Rv9_xw?utm_source=edhrec&utm_medium=deck_summary,1,Mana Vault,Artifact,$119.99
