deck_id,deck_source,cmc,name,type,price
CCEGUjSUfUsEY4IAQPVymA,https://moxfield.com/decks/_dXoRRJ0NE2PYQqw5Bn8nw?utm_source=edhrec&utm_medium=deck_summary,4,"Ashling, Flame Dancer",Creature,$10.99
CCEGUjSUfUsEY4IAQPVymA,https://moxfield.com/decks/_dXoRRJ0NE2PYQqw5Bn8nw?utm_source=edhrec&utm_medium=deck_summary,6,"Avatar Roku, Firebender",Creature,$22.99
CCEGUjSUfUsEY4IAQPVymA,https://moxfield.com/decks/_dXoRRJ0NE2PYQqw5Bn8nw?utm_source=edhrec&utm_medium=deck_summary,2,Coruscation Mage,Creature,$1.79
CCEGUjSUfUsEY4IAQPVymA,https://moxfield.com/decks/_dXoRRJ0NE2PYQqw5Bn8nw?utm_source=edhrec&utm_medium=deck_summary,4,Defiler of Instinct,Creature,$0.79
CCEGUjSUfUsEY4IAQPVymA,https://moxfield.com/decks/_dXoRRJ0NE2PYQqw5Bn8nw?utm_source=edhrec&utm_medium=deck_summary,3,"Electro, Assaulting Battery",Creature,$6.99
CCEGUjSUfUsEY4IAQPVymA,https://moxfield.com/decks/_dXoRRJ0NE2PYQqw5Bn8nw?utm_source=edhrec&utm_medium=deck_summary,3,Firespitter Whelp,Creature,$0.49
CCEGUjSUfUsEY4IAQPVymA,https://moxfield.com/decks/_dXoRRJ0NE2PYQqw5Bn8nw?utm_source=edhrec&utm_medium=deck_summary,3,Gleeful Arsonist,Creature,$5.49
CCEGUjSUfUsEY4IAQPVymA,https://moxfield.com/decks/_dXoRRJ0NE2PYQqw5Bn8nw?utm_source=edhrec&utm_medium=deck_summary,3,Goblin Chainwhirler,Creature,$1.29
CCEGUjSUfUsEY4IAQPVymA,https://moxfield.com/decks/_dXoRRJ0NE2PYQqw5Bn8nw?utm_source=edhrec&utm_medium=deck_summary,2,Hexing Squelcher,Creature,$15.99
CCEGUjSUfUsEY4IAQPVymA,https://moxfield.com/decks/_dXoRRJ0NE2PYQqw5Bn8nw?utm_source=edhrec&utm_medium=deck_summary,4,"Longshot, Rebel Bowman",Creature,$10.99
CCEGUjSUfUsEY4IAQPVymA,https://moxfield.com/decks/_dXoRRJ0NE2PYQqw5Bn8nw?utm_source=edhrec&utm_medium=deck_summary,3,Magmakin Artillerist,Creature,$0.79
CCEGUjSUfUsEY4IAQPVymA,https://moxfield.com/decks/_dXoRRJ0NE2PYQqw5Bn8nw?utm_source=edhrec&utm_medium=deck_summary,6,Mongoose Lizard,Creature,$0.35
CCEGUjSUfUsEY4IAQPVymA,https://moxfield.com/decks/_dXoRRJ0NE2PYQqw5Bn8nw?utm_source=edhrec&utm_medium=deck_summary,5,"Neheb, the Eternal",Creature,$7.49
CCEGUjSUfUsEY4IAQPVymA,https://moxfield.com/decks/_dXoRRJ0NE2PYQqw5Bn8nw?utm_source=edhrec&utm_medium=deck_summary,6,Oliphaunt,Creature,$0.35
CCEGUjSUfUsEY4IAQPVymA,https://moxfield.com/decks/_dXoRRJ0NE2PYQqw5Bn8nw?utm_source=edhrec&utm_medium=deck_summary,2,Party Thrasher,Creature,$0.99
CCEGUjSUfUsEY4IAQPVymA,https://moxfield.com/decks/_dXoRRJ0NE2PYQqw5Bn8nw?utm_source=edhrec&utm_medium=deck_summary,5,Pinnacle Monk,Creature,$2.79
CCEGUjSUfUsEY4IAQPVymA,https://moxfield.com/decks/_dXoRRJ0NE2PYQqw5Bn8nw?utm_source=edhrec&utm_medium=deck_summary,4,"Purphoros, God of the Forge",Creature,$32.99
CCEGUjSUfUsEY4IAQPVymA,https://moxfield.com/decks/_dXoRRJ0NE2PYQqw5Bn8nw?utm_source=edhrec&utm_medium=deck_summary,3,Rampaging Ferocidon,Creature,$1.99
CCEGUjSUfUsEY4IAQPVymA,https://moxfield.com/decks/_dXoRRJ0NE2PYQqw5Bn8nw?utm_source=edhrec&utm_medium=deck_summary,2,Razorkin Needlehead,Creature,$9.49
CCEGUjSUfUsEY4IAQPVymA,https://moxfield.com/decks/_dXoRRJ0NE2PYQqw5Bn8nw?utm_source=edhrec&utm_medium=deck_summary,2,Runaway Steam-Kin,Creature,$1.99
CCEGUjSUfUsEY4IAQPVymA,https://moxfield.com/decks/_dXoRRJ0NE2PYQqw5Bn8nw?utm_source=edhrec&utm_medium=deck_summary,3,Screaming Nemesis,Creature,$9.49
CCEGUjSUfUsEY4IAQPVymA,https://moxfield.com/decks/_dXoRRJ0NE2PYQqw5Bn8nw?utm_source=edhrec&utm_medium=deck_summary,4,Storm-Kiln Artist,Creature,$3.99
CCEGUjSUfUsEY4IAQPVymA,https://moxfield.com/decks/_dXoRRJ0NE2PYQqw5Bn8nw?utm_source=edhrec&utm_medium=deck_summary,2,Thermo-Alchemist,Creature,$0.35
CCEGUjSUfUsEY4IAQPVymA,https://moxfield.com/decks/_dXoRRJ0NE2PYQqw5Bn8nw?utm_source=edhrec&utm_medium=deck_summary,3,Weftstalker Ardent,Creature,$2.99
CCEGUjSUfUsEY4IAQPVymA,https://moxfield.com/decks/_dXoRRJ0NE2PYQqw5Bn8nw?utm_source=edhrec&utm_medium=deck_summary,4,Big Score,Instant,$1.99
