deck_id,deck_source,cmc,name,type,price
CNw6CscvfmxZQNOVdOVlKQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Agate Instigator,Creature,$8.49
CNw6CscvfmxZQNOVdOVlKQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,5,Brash Taunter,Creature,$3.49
CNw6CscvfmxZQNOVdOVlKQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Cemetery Gatekeeper,Creature,$4.99
CNw6CscvfmxZQNOVdOVlKQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Coruscation Mage,Creature,$1.99
CNw6CscvfmxZQNOVdOVlKQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Defiler of Instinct,Creature,$0.99
CNw6CscvfmxZQNOVdOVlKQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Electrostatic Field,Creature,$2.49
CNw6CscvfmxZQNOVdOVlKQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Gleeful Arsonist,Creature,$7.49
CNw6CscvfmxZQNOVdOVlKQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Guttersnipe,Creature,$0.39
CNw6CscvfmxZQNOVdOVlKQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Hexing Squelcher,Creature,$32.99
CNw6CscvfmxZQNOVdOVlKQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Immolation Shaman,Creature,$0.69
CNw6CscvfmxZQNOVdOVlKQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Kessig Flamebreather,Creature,$4.49
CNw6CscvfmxZQNOVdOVlKQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Lavaleaper,Creature,$0.49
CNw6CscvfmxZQNOVdOVlKQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,"Livaan, Cultist of Tiamat",Creature,$0.35
CNw6CscvfmxZQNOVdOVlKQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,"Longshot, Rebel Bowman",Creature,$13.99
CNw6CscvfmxZQNOVdOVlKQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Rampaging Ferocidon,Creature,$1.99
CNw6CscvfmxZQNOVdOVlKQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Razorkin Needlehead,Creature,$8.49
CNw6CscvfmxZQNOVdOVlKQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,"Solphim, Mayhem Dominus",Creature,$39.99
CNw6CscvfmxZQNOVdOVlKQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Sunspine Lynx,Creature,$2.49
CNw6CscvfmxZQNOVdOVlKQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,"Torbran, Thane of Red Fell",Creature,$6.49
CNw6CscvfmxZQNOVdOVlKQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Urabrask,Creature,$24.99
CNw6CscvfmxZQNOVdOVlKQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Witty Roastmaster,Creature,$1.49
CNw6CscvfmxZQNOVdOVlKQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Abrade,Instant,$0.35
CNw6CscvfmxZQNOVdOVlKQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Electrickery,Instant,$0.35
CNw6CscvfmxZQNOVdOVlKQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Expedite,Instant,$0.69
CNw6CscvfmxZQNOVdOVlKQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Flare of Duplication,Instant,$2.49
CNw6CscvfmxZQNOVdOVlKQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Flick a Coin,Instant,$0.39
CNw6CscvfmxZQNOVdOVlKQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Infuriate,Instant,$0.35
CNw6CscvfmxZQNOVdOVlKQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Lightning Bolt,Instant,$2.29
CNw6CscvfmxZQNOVdOVlKQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Return the Favor,Instant,$0.69
CNw6CscvfmxZQNOVdOVlKQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Reverberate,Instant,$3.99
CNw6CscvfmxZQNOVdOVlKQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Spark Jolt,Instant,$0.35
CNw6CscvfmxZQNOVdOVlKQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Spikefield Hazard,Instant,$0.35
CNw6CscvfmxZQNOVdOVlKQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Thrill of Possibility,Instant,$0.35
CNw6CscvfmxZQNOVdOVlKQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Unleash Fury,Instant,$1.29
