deck_id,deck_source,cmc,name,type,price
CsDUIOqQsGq0RpVjtrvLRA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,"Ashling, Flame Dancer",Creature,$12.99
CsDUIOqQsGq0RpVjtrvLRA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,5,Brash Taunter,Creature,$1.99
CsDUIOqQsGq0RpVjtrvLRA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Coruscation Mage,Creature,$1.99
CsDUIOqQsGq0RpVjtrvLRA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,"Electro, Assaulting Battery",Creature,$6.99
CsDUIOqQsGq0RpVjtrvLRA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Electrostatic Field,Creature,$1.79
CsDUIOqQsGq0RpVjtrvLRA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Erebor Flamesmith,Creature,$0.99
CsDUIOqQsGq0RpVjtrvLRA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Firebrand Archer,Creature,$0.35
CsDUIOqQsGq0RpVjtrvLRA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Guttersnipe,Creature,$0.49
CsDUIOqQsGq0RpVjtrvLRA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Hexing Squelcher,Creature,$23.99
CsDUIOqQsGq0RpVjtrvLRA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Iron Myr,Creature,$0.99
CsDUIOqQsGq0RpVjtrvLRA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Kessig Flamebreather,Creature,$4.99
CsDUIOqQsGq0RpVjtrvLRA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,5,"Neheb, the Eternal",Creature,$7.99
CsDUIOqQsGq0RpVjtrvLRA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,5,Pinnacle Monk,Creature,$2.79
CsDUIOqQsGq0RpVjtrvLRA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Rampaging Ferocidon,Creature,$2.29
CsDUIOqQsGq0RpVjtrvLRA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Razorkin Needlehead,Creature,$9.99
CsDUIOqQsGq0RpVjtrvLRA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,"Solphim, Mayhem Dominus",Creature,$37.99
CsDUIOqQsGq0RpVjtrvLRA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Spear Spewer,Creature,$0.35
CsDUIOqQsGq0RpVjtrvLRA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Storm-Kiln Artist,Creature,$3.99
CsDUIOqQsGq0RpVjtrvLRA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Thermo-Alchemist,Creature,$0.35
CsDUIOqQsGq0RpVjtrvLRA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Unruly Catapult,Creature,$0.39
CsDUIOqQsGq0RpVjtrvLRA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Accelerate,Instant,$0.99
CsDUIOqQsGq0RpVjtrvLRA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Big Score,Instant,$1.99
CsDUIOqQsGq0RpVjtrvLRA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Blazing Crescendo,Instant,$0.49
CsDUIOqQsGq0RpVjtrvLRA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Crimson Wisps,Instant,$1.99
CsDUIOqQsGq0RpVjtrvLRA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Deflecting Swat,Instant,$89.99
CsDUIOqQsGq0RpVjtrvLRA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Electric Revelation,Instant,$0.35
CsDUIOqQsGq0RpVjtrvLRA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Expedite,Instant,$0.39
CsDUIOqQsGq0RpVjtrvLRA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Lava Dart,Instant,$0.99
CsDUIOqQsGq0RpVjtrvLRA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Lightning Bolt,Instant,$1.99
CsDUIOqQsGq0RpVjtrvLRA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Stun,Instant,$0.35
CsDUIOqQsGq0RpVjtrvLRA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Thrill of Possibility,Instant,$0.35
CsDUIOqQsGq0RpVjtrvLRA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Tibalt's Trickery,Instant,$15.99
CsDUIOqQsGq0RpVjtrvLRA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Twin Bolt,Instant,$0.35
CsDUIOqQsGq0RpVjtrvLRA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Unexpected Windfall,Instant,$5.99
CsDUIOqQsGq0RpVjtrvLRA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Untimely Malfunction,Instant,$9.49
CsDUIOqQsGq0RpVjtrvLRA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Valakut Awakening,Instant,$19.99
CsDUIOqQsGq0RpVjtrvLRA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,End the Festivities,Sorcery,$2.29
CsDUIOqQsGq0RpVjtrvLRA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Faithless Looting,Sorcery,$0.69
CsDUIOqQsGq0RpVjtrvLRA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Fiery Confluence,Sorcery,$0.79
CsDUIOqQsGq0RpVjtrvLRA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Flame Rift,Sorcery,$0.69
CsDUIOqQsGq0RpVjtrvLRA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Gamble,Sorcery,$17.99
CsDUIOqQsGq0RpVjtrvLRA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Grapeshot,Sorcery,$0.59
CsDUIOqQsGq0RpVjtrvLRA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Jeska's Will,Sorcery,$57.99
CsDUIOqQsGq0RpVjtrvLRA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,5,Mana Geyser,Sorcery,$3.49
CsDUIOqQsGq0RpVjtrvLRA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Mizzix's Mastery,Sorcery,$4.49
CsDUIOqQsGq0RpVjtrvLRA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Renegade Tactics,Sorcery,$0.35
CsDUIOqQsGq0RpVjtrvLRA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Romantic Rendezvous,Sorcery,$0.35
CsDUIOqQsGq0RpVjtrvLRA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Seize the Spotlight,Sorcery,$18.99
CsDUIOqQsGq0RpVjtrvLRA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Tectonic Hazard,Sorcery,$0.79
CsDUIOqQsGq0RpVjtrvLRA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Arcane Signet,Artifact,$0.79
CsDUIOqQsGq0RpVjtrvLRA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Blackblade Reforged,Artifact,$3.99
CsDUIOqQsGq0RpVjtrvLRA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,12,"Excalibur, Sword of Eden",Artifact,$18.99
CsDUIOqQsGq0RpVjtrvLRA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,5,Pyromancer's Goggles,Artifact,$0.99
CsDUIOqQsGq0RpVjtrvLRA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Ruby Medallion,Artifact,$17.99
CsDUIOqQsGq0RpVjtrvLRA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Sceptre of Eternal Glory,Artifact,$24.99
CsDUIOqQsGq0RpVjtrvLRA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Scroll Rack,Artifact,$29.99
CsDUIOqQsGq0RpVjtrvLRA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Sensei's Divining Top,Artifact,$42.99
