deck_id,deck_source,cmc,name,type,price
DRpCSkSD-Tc4yO6BXA_b6g,https://moxfield.com/decks/8wJlvub03EOtkj-ZQ7YezQ?utm_source=edhrec&utm_medium=deck_summary,2,Eidolon of the Great Revel,Creature,$4.49
DRpCSkSD-Tc4yO6BXA_b6g,https://moxfield.com/decks/8wJlvub03EOtkj-ZQ7YezQ?utm_source=edhrec&utm_medium=deck_summary,3,"Electro, Assaulting Battery",Creature,$8.99
DRpCSkSD-Tc4yO6BXA_b6g,https://moxfield.com/decks/8wJlvub03EOtkj-ZQ7YezQ?utm_source=edhrec&utm_medium=deck_summary,5,"Fang, Roku's Companion",Creature,$0.49
DRpCSkSD-Tc4yO6BXA_b6g,https://moxfield.com/decks/8wJlvub03EOtkj-ZQ7YezQ?utm_source=edhrec&utm_medium=deck_summary,5,Fire Servant,Creature,$0.39
DRpCSkSD-Tc4yO6BXA_b6g,https://moxfield.com/decks/8wJlvub03EOtkj-ZQ7YezQ?utm_source=edhrec&utm_medium=deck_summary,2,Firebrand Archer,Creature,$0.35
DRpCSkSD-Tc4yO6BXA_b6g,https://moxfield.com/decks/8wJlvub03EOtkj-ZQ7YezQ?utm_source=edhrec&utm_medium=deck_summary,3,Guttersnipe,Creature,$0.59
DRpCSkSD-Tc4yO6BXA_b6g,https://moxfield.com/decks/8wJlvub03EOtkj-ZQ7YezQ?utm_source=edhrec&utm_medium=deck_summary,2,Harsh Mentor,Creature,$0.59
DRpCSkSD-Tc4yO6BXA_b6g,https://moxfield.com/decks/8wJlvub03EOtkj-ZQ7YezQ?utm_source=edhrec&utm_medium=deck_summary,3,Hearthborn Battler,Creature,$0.49
DRpCSkSD-Tc4yO6BXA_b6g,https://moxfield.com/decks/8wJlvub03EOtkj-ZQ7YezQ?utm_source=edhrec&utm_medium=deck_summary,4,"Longshot, Rebel Bowman",Creature,$11.99
DRpCSkSD-Tc4yO6BXA_b6g,https://moxfield.com/decks/8wJlvub03EOtkj-ZQ7YezQ?utm_source=edhrec&utm_medium=deck_summary,5,Quakebringer,Creature,$1.79
DRpCSkSD-Tc4yO6BXA_b6g,https://moxfield.com/decks/8wJlvub03EOtkj-ZQ7YezQ?utm_source=edhrec&utm_medium=deck_summary,3,Rampaging Ferocidon,Creature,$2.49
DRpCSkSD-Tc4yO6BXA_b6g,https://moxfield.com/decks/8wJlvub03EOtkj-ZQ7YezQ?utm_source=edhrec&utm_medium=deck_summary,2,Razorkin Needlehead,Creature,$8.99
DRpCSkSD-Tc4yO6BXA_b6g,https://moxfield.com/decks/8wJlvub03EOtkj-ZQ7YezQ?utm_source=edhrec&utm_medium=deck_summary,2,Satyr Firedancer,Creature,$0.49
DRpCSkSD-Tc4yO6BXA_b6g,https://moxfield.com/decks/8wJlvub03EOtkj-ZQ7YezQ?utm_source=edhrec&utm_medium=deck_summary,3,Scrawling Crawler,Creature,$9.99
DRpCSkSD-Tc4yO6BXA_b6g,https://moxfield.com/decks/8wJlvub03EOtkj-ZQ7YezQ?utm_source=edhrec&utm_medium=deck_summary,3,Scytheclaw Raptor,Creature,$0.35
DRpCSkSD-Tc4yO6BXA_b6g,https://moxfield.com/decks/8wJlvub03EOtkj-ZQ7YezQ?utm_source=edhrec&utm_medium=deck_summary,4,Sunspine Lynx,Creature,$2.49
DRpCSkSD-Tc4yO6BXA_b6g,https://moxfield.com/decks/8wJlvub03EOtkj-ZQ7YezQ?utm_source=edhrec&utm_medium=deck_summary,5,Twinflame Tyrant,Creature,$34.99
DRpCSkSD-Tc4yO6BXA_b6g,https://moxfield.com/decks/8wJlvub03EOtkj-ZQ7YezQ?utm_source=edhrec&utm_medium=deck_summary,2,Young Pyromancer,Creature,$0.59
DRpCSkSD-Tc4yO6BXA_b6g,https://moxfield.com/decks/8wJlvub03EOtkj-ZQ7YezQ?utm_source=edhrec&utm_medium=deck_summary,2,Abrade,Instant,$0.35
DRpCSkSD-Tc4yO6BXA_b6g,https://moxfield.com/decks/8wJlvub03EOtkj-ZQ7YezQ?utm_source=edhrec&utm_medium=deck_summary,2,Bulk Up,Instant,$0.35
DRpCSkSD-Tc4yO6BXA_b6g,https://moxfield.com/decks/8wJlvub03EOtkj-ZQ7YezQ?utm_source=edhrec&utm_medium=deck_summary,3,Deflecting Swat,Instant,$84.99
DRpCSkSD-Tc4yO6BXA_b6g,https://moxfield.com/decks/8wJlvub03EOtkj-ZQ7YezQ?utm_source=edhrec&utm_medium=deck_summary,1,Lightning Bolt,Instant,$1.99
DRpCSkSD-Tc4yO6BXA_b6g,https://moxfield.com/decks/8wJlvub03EOtkj-ZQ7YezQ?utm_source=edhrec&utm_medium=deck_summary,1,Play with Fire,Instant,$0.69
DRpCSkSD-Tc4yO6BXA_b6g,https://moxfield.com/decks/8wJlvub03EOtkj-ZQ7YezQ?utm_source=edhrec&utm_medium=deck_summary,2,Pyretic Ritual,Instant,$8.49
DRpCSkSD-Tc4yO6BXA_b6g,https://moxfield.com/decks/8wJlvub03EOtkj-ZQ7YezQ?utm_source=edhrec&utm_medium=deck_summary,1,Redirect Lightning,Instant,$17.99
DRpCSkSD-Tc4yO6BXA_b6g,https://moxfield.com/decks/8wJlvub03EOtkj-ZQ7YezQ?utm_source=edhrec&utm_medium=deck_summary,2,Return the Favor,Instant,$0.35
DRpCSkSD-Tc4yO6BXA_b6g,https://moxfield.com/decks/8wJlvub03EOtkj-ZQ7YezQ?utm_source=edhrec&utm_medium=deck_summary,3,Seething Song,Instant,$12.99
DRpCSkSD-Tc4yO6BXA_b6g,https://moxfield.com/decks/8wJlvub03EOtkj-ZQ7YezQ?utm_source=edhrec&utm_medium=deck_summary,2,Smash to Smithereens,Instant,$0.35
DRpCSkSD-Tc4yO6BXA_b6g,https://moxfield.com/decks/8wJlvub03EOtkj-ZQ7YezQ?utm_source=edhrec&utm_medium=deck_summary,2,Tibalt's Trickery,Instant,$15.99
DRpCSkSD-Tc4yO6BXA_b6g,https://moxfield.com/decks/8wJlvub03EOtkj-ZQ7YezQ?utm_source=edhrec&utm_medium=deck_summary,2,Twinferno,Instant,$0.79
DRpCSkSD-Tc4yO6BXA_b6g,https://moxfield.com/decks/8wJlvub03EOtkj-ZQ7YezQ?utm_source=edhrec&utm_medium=deck_summary,2,Untimely Malfunction,Instant,$10.99
DRpCSkSD-Tc4yO6BXA_b6g,https://moxfield.com/decks/8wJlvub03EOtkj-ZQ7YezQ?utm_source=edhrec&utm_medium=deck_summary,3,Volcanic Fallout,Instant,$0.35
DRpCSkSD-Tc4yO6BXA_b6g,https://moxfield.com/decks/8wJlvub03EOtkj-ZQ7YezQ?utm_source=edhrec&utm_medium=deck_summary,9,Blasphemous Act,Sorcery,$2.29
DRpCSkSD-Tc4yO6BXA_b6g,https://moxfield.com/decks/8wJlvub03EOtkj-ZQ7YezQ?utm_source=edhrec&utm_medium=deck_summary,1,Boltwave,Sorcery,$3.99
DRpCSkSD-Tc4yO6BXA_b6g,https://moxfield.com/decks/8wJlvub03EOtkj-ZQ7YezQ?utm_source=edhrec&utm_medium=deck_summary,1,End the Festivities,Sorcery,$1.99
DRpCSkSD-Tc4yO6BXA_b6g,https://moxfield.com/decks/8wJlvub03EOtkj-ZQ7YezQ?utm_source=edhrec&utm_medium=deck_summary,4,Fiery Confluence,Sorcery,$1.29
DRpCSkSD-Tc4yO6BXA_b6g,https://moxfield.com/decks/8wJlvub03EOtkj-ZQ7YezQ?utm_source=edhrec&utm_medium=deck_summary,2,Grab the Prize,Sorcery,$1.79
DRpCSkSD-Tc4yO6BXA_b6g,https://moxfield.com/decks/8wJlvub03EOtkj-ZQ7YezQ?utm_source=edhrec&utm_medium=deck_summary,2,Grapeshot,Sorcery,$0.59
DRpCSkSD-Tc4yO6BXA_b6g,https://moxfield.com/decks/8wJlvub03EOtkj-ZQ7YezQ?utm_source=edhrec&utm_medium=deck_summary,4,Mizzix's Mastery,Sorcery,$7.49
DRpCSkSD-Tc4yO6BXA_b6g,https://moxfield.com/decks/8wJlvub03EOtkj-ZQ7YezQ?utm_source=edhrec&utm_medium=deck_summary,3,Molten Psyche,Sorcery,$5.99
DRpCSkSD-Tc4yO6BXA_b6g,https://moxfield.com/decks/8wJlvub03EOtkj-ZQ7YezQ?utm_source=edhrec&utm_medium=deck_summary,2,Playful Shove,Sorcery,$0.35
DRpCSkSD-Tc4yO6BXA_b6g,https://moxfield.com/decks/8wJlvub03EOtkj-ZQ7YezQ?utm_source=edhrec&utm_medium=deck_summary,5,Reforge the Soul,Sorcery,$9.99
DRpCSkSD-Tc4yO6BXA_b6g,https://moxfield.com/decks/8wJlvub03EOtkj-ZQ7YezQ?utm_source=edhrec&utm_medium=deck_summary,2,Romantic Rendezvous,Sorcery,$0.35
DRpCSkSD-Tc4yO6BXA_b6g,https://moxfield.com/decks/8wJlvub03EOtkj-ZQ7YezQ?utm_source=edhrec&utm_medium=deck_summary,1,Tectonic Hazard,Sorcery,$0.79
DRpCSkSD-Tc4yO6BXA_b6g,https://moxfield.com/decks/8wJlvub03EOtkj-ZQ7YezQ?utm_source=edhrec&utm_medium=deck_summary,1,Vandalblast,Sorcery,$2.29
DRpCSkSD-Tc4yO6BXA_b6g,https://moxfield.com/decks/8wJlvub03EOtkj-ZQ7YezQ?utm_source=edhrec&utm_medium=deck_summary,6,Aettir and Priwen,Artifact,$9.99
DRpCSkSD-Tc4yO6BXA_b6g,https://moxfield.com/decks/8wJlvub03EOtkj-ZQ7YezQ?utm_source=edhrec&utm_medium=deck_summary,2,Blackblade Reforged,Artifact,$3.99
DRpCSkSD-Tc4yO6BXA_b6g,https://moxfield.com/decks/8wJlvub03EOtkj-ZQ7YezQ?utm_source=edhrec&utm_medium=deck_summary,6,Caged Sun,Artifact,$3.99
DRpCSkSD-Tc4yO6BXA_b6g,https://moxfield.com/decks/8wJlvub03EOtkj-ZQ7YezQ?utm_source=edhrec&utm_medium=deck_summary,3,Darksteel Plate,Artifact,$5.99
DRpCSkSD-Tc4yO6BXA_b6g,https://moxfield.com/decks/8wJlvub03EOtkj-ZQ7YezQ?utm_source=edhrec&utm_medium=deck_summary,3,Extraplanar Lens,Artifact,$15.99
DRpCSkSD-Tc4yO6BXA_b6g,https://moxfield.com/decks/8wJlvub03EOtkj-ZQ7YezQ?utm_source=edhrec&utm_medium=deck_summary,4,Nyx Lotus,Artifact,$7.49
DRpCSkSD-Tc4yO6BXA_b6g,https://moxfield.com/decks/8wJlvub03EOtkj-ZQ7YezQ?utm_source=edhrec&utm_medium=deck_summary,1,Sol Ring,Artifact,$1.99
DRpCSkSD-Tc4yO6BXA_b6g,https://moxfield.com/decks/8wJlvub03EOtkj-ZQ7YezQ?utm_source=edhrec&utm_medium=deck_summary,2,Swiftfoot Boots,Artifact,$2.99
DRpCSkSD-Tc4yO6BXA_b6g,https://moxfield.com/decks/8wJlvub03EOtkj-ZQ7YezQ?utm_source=edhrec&utm_medium=deck_summary,3,Claws of Valakut,Enchantment,$0.35
DRpCSkSD-Tc4yO6BXA_b6g,https://moxfield.com/decks/8wJlvub03EOtkj-ZQ7YezQ?utm_source=edhrec&utm_medium=deck_summary,3,Descent into Avernus,Enchantment,$16.99
DRpCSkSD-Tc4yO6BXA_b6g,https://moxfield.com/decks/8wJlvub03EOtkj-ZQ7YezQ?utm_source=edhrec&utm_medium=deck_summary,5,Festival of Embers,Enchantment,$0.49
DRpCSkSD-Tc4yO6BXA_b6g,https://moxfield.com/decks/8wJlvub03EOtkj-ZQ7YezQ?utm_source=edhrec&utm_medium=deck_summary,4,Leyline of Punishment,Enchantment,$3.99
DRpCSkSD-Tc4yO6BXA_b6g,https://moxfield.com/decks/8wJlvub03EOtkj-ZQ7YezQ?utm_source=edhrec&utm_medium=deck_summary,4,Manabarbs,Enchantment,$5.49
DRpCSkSD-Tc4yO6BXA_b6g,https://moxfield.com/decks/8wJlvub03EOtkj-ZQ7YezQ?utm_source=edhrec&utm_medium=deck_summary,3,Pain for All,Enchantment,$0.99
DRpCSkSD-Tc4yO6BXA_b6g,https://moxfield.com/decks/8wJlvub03EOtkj-ZQ7YezQ?utm_source=edhrec&utm_medium=deck_summary,3,Price of Glory,Enchantment,$5.99
DRpCSkSD-Tc4yO6BXA_b6g,https://moxfield.com/decks/8wJlvub03EOtkj-ZQ7YezQ?utm_source=edhrec&utm_medium=deck_summary,4,Pyrohemia,Enchantment,$6.49
DRpCSkSD-Tc4yO6BXA_b6g,https://moxfield.com/decks/8wJlvub03EOtkj-ZQ7YezQ?utm_source=edhrec&utm_medium=deck_summary,3,Repercussion,Enchantment,$9.99
DRpCSkSD-Tc4yO6BXA_b6g,https://moxfield.com/decks/8wJlvub03EOtkj-ZQ7YezQ?utm_source=edhrec&utm_medium=deck_summary,6,Rite of the Dragoncaller,Enchantment,$5.49
DRpCSkSD-Tc4yO6BXA_b6g,https://moxfield.com/decks/8wJlvub03EOtkj-ZQ7YezQ?utm_source=edhrec&utm_medium=deck_summary,5,Virtue of Courage,Enchantment,$2.99
DRpCSkSD-Tc4yO6BXA_b6g,https://moxfield.com/decks/8wJlvub03EOtkj-ZQ7YezQ?utm_source=edhrec&utm_medium=deck_summary,3,"Chandra, Dressed to Kill",Planeswalker,$2.79
DRpCSkSD-Tc4yO6BXA_b6g,https://moxfield.com/decks/8wJlvub03EOtkj-ZQ7YezQ?utm_source=edhrec&utm_medium=deck_summary,0,Mountain,Land,$0.35
DRpCSkSD-Tc4yO6BXA_b6g,https://moxfield.com/decks/8wJlvub03EOtkj-ZQ7YezQ?utm_source=edhrec&utm_medium=deck_summary,0,Spinerock Knoll,Land,$1.29
