deck_id,deck_source,cmc,name,type,price
DkHf3moia93wJodbPzD6MA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Avalanche of Sector 7,Creature,$0.49
DkHf3moia93wJodbPzD6MA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Cemetery Gatekeeper,Creature,$2.99
DkHf3moia93wJodbPzD6MA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,6,Chandra's Incinerator,Creature,$3.49
DkHf3moia93wJodbPzD6MA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Coruscation Mage,Creature,$2.79
DkHf3moia93wJodbPzD6MA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Defiler of Instinct,Creature,$0.99
DkHf3moia93wJodbPzD6MA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Eidolon of the Great Revel,Creature,$2.79
DkHf3moia93wJodbPzD6MA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,"Electro, Assaulting Battery",Creature,$8.99
DkHf3moia93wJodbPzD6MA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Electrostatic Field,Creature,$1.99
DkHf3moia93wJodbPzD6MA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Erebor Flamesmith,Creature,$0.69
DkHf3moia93wJodbPzD6MA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Firebrand Archer,Creature,$0.49
DkHf3moia93wJodbPzD6MA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Firespitter Whelp,Creature,$0.39
DkHf3moia93wJodbPzD6MA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Gleeful Arsonist,Creature,$5.49
DkHf3moia93wJodbPzD6MA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Guttersnipe,Creature,$0.49
DkHf3moia93wJodbPzD6MA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Harsh Mentor,Creature,$0.49
DkHf3moia93wJodbPzD6MA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Kessig Flamebreather,Creature,$4.49
DkHf3moia93wJodbPzD6MA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,"Livaan, Cultist of Tiamat",Creature,$0.35
DkHf3moia93wJodbPzD6MA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,"Longshot, Rebel Bowman",Creature,$9.99
DkHf3moia93wJodbPzD6MA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,5,"Neheb, the Eternal",Creature,$6.49
DkHf3moia93wJodbPzD6MA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Rampaging Ferocidon,Creature,$1.49
DkHf3moia93wJodbPzD6MA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Razorkin Needlehead,Creature,$11.99
DkHf3moia93wJodbPzD6MA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Sabotender,Creature,$0.35
DkHf3moia93wJodbPzD6MA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Screaming Nemesis,Creature,$9.49
DkHf3moia93wJodbPzD6MA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Zo-Zu the Punisher,Creature,$3.99
DkHf3moia93wJodbPzD6MA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Bolt Bend,Instant,$4.99
