deck_id,deck_source,cmc,name,type,price
EywmJiAyDw0mKkXP0Hc-bw,https://moxfield.com/decks/UmPtBGHwWUOmCTE97ZgxQw?utm_source=edhrec&utm_medium=deck_summary,2,Cemetery Gatekeeper,Creature,$3.99
EywmJiAyDw0mKkXP0Hc-bw,https://moxfield.com/decks/UmPtBGHwWUOmCTE97ZgxQw?utm_source=edhrec&utm_medium=deck_summary,2,Coruscation Mage,Creature,$2.29
EywmJiAyDw0mKkXP0Hc-bw,https://moxfield.com/decks/UmPtBGHwWUOmCTE97ZgxQw?utm_source=edhrec&utm_medium=deck_summary,2,Eidolon of the Great Revel,Creature,$4.99
EywmJiAyDw0mKkXP0Hc-bw,https://moxfield.com/decks/UmPtBGHwWUOmCTE97ZgxQw?utm_source=edhrec&utm_medium=deck_summary,2,Electrostatic Field,Creature,$2.29
EywmJiAyDw0mKkXP0Hc-bw,https://moxfield.com/decks/UmPtBGHwWUOmCTE97ZgxQw?utm_source=edhrec&utm_medium=deck_summary,2,Firebrand Archer,Creature,$0.39
EywmJiAyDw0mKkXP0Hc-bw,https://moxfield.com/decks/UmPtBGHwWUOmCTE97ZgxQw?utm_source=edhrec&utm_medium=deck_summary,3,"Glóin, Dwarf Emissary",Creature,$3.99
EywmJiAyDw0mKkXP0Hc-bw,https://moxfield.com/decks/UmPtBGHwWUOmCTE97ZgxQw?utm_source=edhrec&utm_medium=deck_summary,2,Harsh Mentor,Creature,$0.49
EywmJiAyDw0mKkXP0Hc-bw,https://moxfield.com/decks/UmPtBGHwWUOmCTE97ZgxQw?utm_source=edhrec&utm_medium=deck_summary,2,Immolation Shaman,Creature,$0.79
EywmJiAyDw0mKkXP0Hc-bw,https://moxfield.com/decks/UmPtBGHwWUOmCTE97ZgxQw?utm_source=edhrec&utm_medium=deck_summary,5,"Neheb, the Eternal",Creature,$10.99
EywmJiAyDw0mKkXP0Hc-bw,https://moxfield.com/decks/UmPtBGHwWUOmCTE97ZgxQw?utm_source=edhrec&utm_medium=deck_summary,3,Rampaging Ferocidon,Creature,$1.99
EywmJiAyDw0mKkXP0Hc-bw,https://moxfield.com/decks/UmPtBGHwWUOmCTE97ZgxQw?utm_source=edhrec&utm_medium=deck_summary,2,Razorkin Needlehead,Creature,$7.99
EywmJiAyDw0mKkXP0Hc-bw,https://moxfield.com/decks/UmPtBGHwWUOmCTE97ZgxQw?utm_source=edhrec&utm_medium=deck_summary,3,Scytheclaw Raptor,Creature,$0.35
EywmJiAyDw0mKkXP0Hc-bw,https://moxfield.com/decks/UmPtBGHwWUOmCTE97ZgxQw?utm_source=edhrec&utm_medium=deck_summary,4,Storm-Kiln Artist,Creature,$2.79
EywmJiAyDw0mKkXP0Hc-bw,https://moxfield.com/decks/UmPtBGHwWUOmCTE97ZgxQw?utm_source=edhrec&utm_medium=deck_summary,2,Sunshot Militia,Creature,$0.35
EywmJiAyDw0mKkXP0Hc-bw,https://moxfield.com/decks/UmPtBGHwWUOmCTE97ZgxQw?utm_source=edhrec&utm_medium=deck_summary,2,Thermo-Alchemist,Creature,$0.35
EywmJiAyDw0mKkXP0Hc-bw,https://moxfield.com/decks/UmPtBGHwWUOmCTE97ZgxQw?utm_source=edhrec&utm_medium=deck_summary,4,"Torbran, Thane of Red Fell",Creature,$6.99
EywmJiAyDw0mKkXP0Hc-bw,https://moxfield.com/decks/UmPtBGHwWUOmCTE97ZgxQw?utm_source=edhrec&utm_medium=deck_summary,3,"Zurzoth, Chaos Rider",Creature,$1.49
EywmJiAyDw0mKkXP0Hc-bw,https://moxfield.com/decks/UmPtBGHwWUOmCTE97ZgxQw?utm_source=edhrec&utm_medium=deck_summary,2,Abrade,Instant,$0.35
EywmJiAyDw0mKkXP0Hc-bw,https://moxfield.com/decks/UmPtBGHwWUOmCTE97ZgxQw?utm_source=edhrec&utm_medium=deck_summary,4,Big Score,Instant,$1.49
EywmJiAyDw0mKkXP0Hc-bw,https://moxfield.com/decks/UmPtBGHwWUOmCTE97ZgxQw?utm_source=edhrec&utm_medium=deck_summary,2,Blazing Shoal,Instant,$4.49
