deck_id,deck_source,cmc,name,type,price
FIy2iwCmmO0HPWP_rOE2DA,https://moxfield.com/decks/PbH7sB4VtE6Xv7sH3Pl5wA?utm_source=edhrec&utm_medium=deck_summary,2,Coruscation Mage,Creature,$2.79
FIy2iwCmmO0HPWP_rOE2DA,https://moxfield.com/decks/PbH7sB4VtE6Xv7sH3Pl5wA?utm_source=edhrec&utm_medium=deck_summary,3,"Electro, Assaulting Battery",Creature,$8.99
FIy2iwCmmO0HPWP_rOE2DA,https://moxfield.com/decks/PbH7sB4VtE6Xv7sH3Pl5wA?utm_source=edhrec&utm_medium=deck_summary,2,Electrostatic Field,Creature,$1.99
FIy2iwCmmO0HPWP_rOE2DA,https://moxfield.com/decks/PbH7sB4VtE6Xv7sH3Pl5wA?utm_source=edhrec&utm_medium=deck_summary,2,Erebor Flamesmith,Creature,$0.69
FIy2iwCmmO0HPWP_rOE2DA,https://moxfield.com/decks/PbH7sB4VtE6Xv7sH3Pl5wA?utm_source=edhrec&utm_medium=deck_summary,2,Firebrand Archer,Creature,$0.49
FIy2iwCmmO0HPWP_rOE2DA,https://moxfield.com/decks/PbH7sB4VtE6Xv7sH3Pl5wA?utm_source=edhrec&utm_medium=deck_summary,3,Glint-Horn Buccaneer,Creature,$7.99
FIy2iwCmmO0HPWP_rOE2DA,https://moxfield.com/decks/PbH7sB4VtE6Xv7sH3Pl5wA?utm_source=edhrec&utm_medium=deck_summary,3,Guttersnipe,Creature,$0.49
FIy2iwCmmO0HPWP_rOE2DA,https://moxfield.com/decks/PbH7sB4VtE6Xv7sH3Pl5wA?utm_source=edhrec&utm_medium=deck_summary,2,Harsh Mentor,Creature,$0.49
FIy2iwCmmO0HPWP_rOE2DA,https://moxfield.com/decks/PbH7sB4VtE6Xv7sH3Pl5wA?utm_source=edhrec&utm_medium=deck_summary,2,Hexing Squelcher,Creature,$20.99
FIy2iwCmmO0HPWP_rOE2DA,https://moxfield.com/decks/PbH7sB4VtE6Xv7sH3Pl5wA?utm_source=edhrec&utm_medium=deck_summary,2,Iron Myr,Creature,$1.29
FIy2iwCmmO0HPWP_rOE2DA,https://moxfield.com/decks/PbH7sB4VtE6Xv7sH3Pl5wA?utm_source=edhrec&utm_medium=deck_summary,2,Kessig Flamebreather,Creature,$4.49
FIy2iwCmmO0HPWP_rOE2DA,https://moxfield.com/decks/PbH7sB4VtE6Xv7sH3Pl5wA?utm_source=edhrec&utm_medium=deck_summary,4,"Longshot, Rebel Bowman",Creature,$9.99
FIy2iwCmmO0HPWP_rOE2DA,https://moxfield.com/decks/PbH7sB4VtE6Xv7sH3Pl5wA?utm_source=edhrec&utm_medium=deck_summary,5,"Neheb, the Eternal",Creature,$6.49
FIy2iwCmmO0HPWP_rOE2DA,https://moxfield.com/decks/PbH7sB4VtE6Xv7sH3Pl5wA?utm_source=edhrec&utm_medium=deck_summary,3,Rampaging Ferocidon,Creature,$1.49
FIy2iwCmmO0HPWP_rOE2DA,https://moxfield.com/decks/PbH7sB4VtE6Xv7sH3Pl5wA?utm_source=edhrec&utm_medium=deck_summary,2,Razorkin Needlehead,Creature,$11.99
FIy2iwCmmO0HPWP_rOE2DA,https://moxfield.com/decks/PbH7sB4VtE6Xv7sH3Pl5wA?utm_source=edhrec&utm_medium=deck_summary,2,Runaway Steam-Kin,Creature,$1.79
FIy2iwCmmO0HPWP_rOE2DA,https://moxfield.com/decks/PbH7sB4VtE6Xv7sH3Pl5wA?utm_source=edhrec&utm_medium=deck_summary,3,Simian Spirit Guide,Creature,$2.99
FIy2iwCmmO0HPWP_rOE2DA,https://moxfield.com/decks/PbH7sB4VtE6Xv7sH3Pl5wA?utm_source=edhrec&utm_medium=deck_summary,2,Thermo-Alchemist,Creature,$0.35
FIy2iwCmmO0HPWP_rOE2DA,https://moxfield.com/decks/PbH7sB4VtE6Xv7sH3Pl5wA?utm_source=edhrec&utm_medium=deck_summary,4,"Torbran, Thane of Red Fell",Creature,$6.49
FIy2iwCmmO0HPWP_rOE2DA,https://moxfield.com/decks/PbH7sB4VtE6Xv7sH3Pl5wA?utm_source=edhrec&utm_medium=deck_summary,4,Urabrask,Creature,$21.99
FIy2iwCmmO0HPWP_rOE2DA,https://moxfield.com/decks/PbH7sB4VtE6Xv7sH3Pl5wA?utm_source=edhrec&utm_medium=deck_summary,3,Zo-Zu the Punisher,Creature,$3.99
FIy2iwCmmO0HPWP_rOE2DA,https://moxfield.com/decks/PbH7sB4VtE6Xv7sH3Pl5wA?utm_source=edhrec&utm_medium=deck_summary,2,Abrade,Instant,$0.35
FIy2iwCmmO0HPWP_rOE2DA,https://moxfield.com/decks/PbH7sB4VtE6Xv7sH3Pl5wA?utm_source=edhrec&utm_medium=deck_summary,2,Blazing Crescendo,Instant,$0.59
FIy2iwCmmO0HPWP_rOE2DA,https://moxfield.com/decks/PbH7sB4VtE6Xv7sH3Pl5wA?utm_source=edhrec&utm_medium=deck_summary,4,Bolt Bend,Instant,$4.99
FIy2iwCmmO0HPWP_rOE2DA,https://moxfield.com/decks/PbH7sB4VtE6Xv7sH3Pl5wA?utm_source=edhrec&utm_medium=deck_summary,2,Bulk Up,Instant,$4.49
FIy2iwCmmO0HPWP_rOE2DA,https://moxfield.com/decks/PbH7sB4VtE6Xv7sH3Pl5wA?utm_source=edhrec&utm_medium=deck_summary,3,Chaos Warp,Instant,$0.79
FIy2iwCmmO0HPWP_rOE2DA,https://moxfield.com/decks/PbH7sB4VtE6Xv7sH3Pl5wA?utm_source=edhrec&utm_medium=deck_summary,3,Deflecting Swat,Instant,$74.99
FIy2iwCmmO0HPWP_rOE2DA,https://moxfield.com/decks/PbH7sB4VtE6Xv7sH3Pl5wA?utm_source=edhrec&utm_medium=deck_summary,2,Demand Answers,Instant,$1.29
FIy2iwCmmO0HPWP_rOE2DA,https://moxfield.com/decks/PbH7sB4VtE6Xv7sH3Pl5wA?utm_source=edhrec&utm_medium=deck_summary,2,Desperate Ritual,Instant,$5.49
FIy2iwCmmO0HPWP_rOE2DA,https://moxfield.com/decks/PbH7sB4VtE6Xv7sH3Pl5wA?utm_source=edhrec&utm_medium=deck_summary,2,Haste Magic,Instant,$0.35
FIy2iwCmmO0HPWP_rOE2DA,https://moxfield.com/decks/PbH7sB4VtE6Xv7sH3Pl5wA?utm_source=edhrec&utm_medium=deck_summary,1,Lightning Bolt,Instant,$1.99
