deck_id,deck_source,cmc,name,type,price
GZeObm7LKvAjm24QR0PS2w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,"Birgi, God of Storytelling",Creature,$32.99
GZeObm7LKvAjm24QR0PS2w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Cemetery Gatekeeper,Creature,$2.99
GZeObm7LKvAjm24QR0PS2w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Coruscation Mage,Creature,$2.29
GZeObm7LKvAjm24QR0PS2w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Dragon's Rage Channeler,Creature,$1.49
GZeObm7LKvAjm24QR0PS2w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Eidolon of the Great Revel,Creature,$2.99
GZeObm7LKvAjm24QR0PS2w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,"Electro, Assaulting Battery",Creature,$7.49
GZeObm7LKvAjm24QR0PS2w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Electrostatic Field,Creature,$1.79
GZeObm7LKvAjm24QR0PS2w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Erebor Flamesmith,Creature,$0.79
GZeObm7LKvAjm24QR0PS2w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Firebrand Archer,Creature,$0.35
GZeObm7LKvAjm24QR0PS2w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Harmonic Prodigy,Creature,$14.99
GZeObm7LKvAjm24QR0PS2w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Harsh Mentor,Creature,$0.49
GZeObm7LKvAjm24QR0PS2w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Kessig Flamebreather,Creature,$5.49
GZeObm7LKvAjm24QR0PS2w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Magebane Lizard,Creature,$1.29
GZeObm7LKvAjm24QR0PS2w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Magus of the Moon,Creature,$5.49
GZeObm7LKvAjm24QR0PS2w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,"Ragavan, Nimble Pilferer",Creature,$47.99
GZeObm7LKvAjm24QR0PS2w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Razorkin Needlehead,Creature,$10.99
GZeObm7LKvAjm24QR0PS2w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Runaway Steam-Kin,Creature,$1.99
GZeObm7LKvAjm24QR0PS2w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Simian Spirit Guide,Creature,$2.79
GZeObm7LKvAjm24QR0PS2w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Thermo-Alchemist,Creature,$0.35
GZeObm7LKvAjm24QR0PS2w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Unruly Catapult,Creature,$0.35
GZeObm7LKvAjm24QR0PS2w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Voldaren Epicure,Creature,$0.69
GZeObm7LKvAjm24QR0PS2w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,"Zhao, the Moon Slayer",Creature,$0.49
GZeObm7LKvAjm24QR0PS2w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Abrade,Instant,$0.39
GZeObm7LKvAjm24QR0PS2w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Burst Lightning,Instant,$0.35
GZeObm7LKvAjm24QR0PS2w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Chaos Warp,Instant,$0.99
GZeObm7LKvAjm24QR0PS2w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Deflecting Swat,Instant,$84.99
GZeObm7LKvAjm24QR0PS2w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Galvanic Blast,Instant,$2.99
GZeObm7LKvAjm24QR0PS2w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Lava Dart,Instant,$0.99
GZeObm7LKvAjm24QR0PS2w,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Lightning Bolt,Instant,$1.99
