deck_id,deck_source,cmc,name,type,price
Gwo2n_VAIw5mRArl45zzXg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Avalanche of Sector 7,Creature,$0.49
Gwo2n_VAIw5mRArl45zzXg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Cemetery Gatekeeper,Creature,$2.79
Gwo2n_VAIw5mRArl45zzXg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,6,Chandra's Incinerator,Creature,$3.49
Gwo2n_VAIw5mRArl45zzXg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Eidolon of the Great Revel,Creature,$2.79
Gwo2n_VAIw5mRArl45zzXg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Firebrand Archer,Creature,$0.35
Gwo2n_VAIw5mRArl45zzXg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,6,Flameblade Angel,Creature,$0.49
Gwo2n_VAIw5mRArl45zzXg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Gleeful Arsonist,Creature,$4.99
Gwo2n_VAIw5mRArl45zzXg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Glint-Horn Buccaneer,Creature,$8.99
Gwo2n_VAIw5mRArl45zzXg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Harsh Mentor,Creature,$0.49
Gwo2n_VAIw5mRArl45zzXg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Immolation Shaman,Creature,$0.99
Gwo2n_VAIw5mRArl45zzXg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Imperial Recruiter,Creature,$14.99
Gwo2n_VAIw5mRArl45zzXg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Kessig Flamebreather,Creature,$4.99
Gwo2n_VAIw5mRArl45zzXg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,"Longshot, Rebel Bowman",Creature,$8.99
Gwo2n_VAIw5mRArl45zzXg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Magebane Lizard,Creature,$1.79
Gwo2n_VAIw5mRArl45zzXg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,5,Pinnacle Monk,Creature,$2.79
Gwo2n_VAIw5mRArl45zzXg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,"Ragavan, Nimble Pilferer",Creature,$42.99
Gwo2n_VAIw5mRArl45zzXg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Rampaging Ferocidon,Creature,$1.79
Gwo2n_VAIw5mRArl45zzXg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Razorkin Needlehead,Creature,$12.99
Gwo2n_VAIw5mRArl45zzXg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Sardian Avenger,Creature,$2.29
Gwo2n_VAIw5mRArl45zzXg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Simian Spirit Guide,Creature,$2.99
Gwo2n_VAIw5mRArl45zzXg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Spear Spewer,Creature,$0.35
Gwo2n_VAIw5mRArl45zzXg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Thermo-Alchemist,Creature,$0.35
Gwo2n_VAIw5mRArl45zzXg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Abrade,Instant,$0.35
Gwo2n_VAIw5mRArl45zzXg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Deflecting Swat,Instant,$79.99
Gwo2n_VAIw5mRArl45zzXg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Delayed Blast Fireball,Instant,$17.99
Gwo2n_VAIw5mRArl45zzXg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Downhill Charge,Instant,$0.35
