deck_id,deck_source,cmc,name,type,price
H4aDDFlYWCmct_LS7bxrRQ,https://archidekt.com/decks/24896839?utm_source=edhrec&utm_medium=deck_summary,2,Ashling the Pilgrim,Creature,$0.49
H4aDDFlYWCmct_LS7bxrRQ,https://archidekt.com/decks/24896839?utm_source=edhrec&utm_medium=deck_summary,4,"Ashling, Flame Dancer",Creature,$8.99
H4aDDFlYWCmct_LS7bxrRQ,https://archidekt.com/decks/24896839?utm_source=edhrec&utm_medium=deck_summary,2,Cemetery Gatekeeper,Creature,$4.49
H4aDDFlYWCmct_LS7bxrRQ,https://archidekt.com/decks/24896839?utm_source=edhrec&utm_medium=deck_summary,2,Coruscation Mage,Creature,$1.99
H4aDDFlYWCmct_LS7bxrRQ,https://archidekt.com/decks/24896839?utm_source=edhrec&utm_medium=deck_summary,2,Electrostatic Field,Creature,$2.49
H4aDDFlYWCmct_LS7bxrRQ,https://archidekt.com/decks/24896839?utm_source=edhrec&utm_medium=deck_summary,2,Emeritus of Conflict,Creature,$0.99
H4aDDFlYWCmct_LS7bxrRQ,https://archidekt.com/decks/24896839?utm_source=edhrec&utm_medium=deck_summary,2,Firebrand Archer,Creature,$0.39
H4aDDFlYWCmct_LS7bxrRQ,https://archidekt.com/decks/24896839?utm_source=edhrec&utm_medium=deck_summary,3,Guttersnipe,Creature,$0.49
H4aDDFlYWCmct_LS7bxrRQ,https://archidekt.com/decks/24896839?utm_source=edhrec&utm_medium=deck_summary,2,Hexing Squelcher,Creature,$32.99
H4aDDFlYWCmct_LS7bxrRQ,https://archidekt.com/decks/24896839?utm_source=edhrec&utm_medium=deck_summary,2,Kessig Flamebreather,Creature,$4.49
H4aDDFlYWCmct_LS7bxrRQ,https://archidekt.com/decks/24896839?utm_source=edhrec&utm_medium=deck_summary,3,Magus of the Moon,Creature,$3.99
H4aDDFlYWCmct_LS7bxrRQ,https://archidekt.com/decks/24896839?utm_source=edhrec&utm_medium=deck_summary,3,Professional Face-Breaker,Creature,$8.49
H4aDDFlYWCmct_LS7bxrRQ,https://archidekt.com/decks/24896839?utm_source=edhrec&utm_medium=deck_summary,2,Razorkin Needlehead,Creature,$8.49
H4aDDFlYWCmct_LS7bxrRQ,https://archidekt.com/decks/24896839?utm_source=edhrec&utm_medium=deck_summary,3,Simian Spirit Guide,Creature,$3.49
H4aDDFlYWCmct_LS7bxrRQ,https://archidekt.com/decks/24896839?utm_source=edhrec&utm_medium=deck_summary,4,Storm-Kiln Artist,Creature,$2.49
H4aDDFlYWCmct_LS7bxrRQ,https://archidekt.com/decks/24896839?utm_source=edhrec&utm_medium=deck_summary,2,Thermo-Alchemist,Creature,$0.35
H4aDDFlYWCmct_LS7bxrRQ,https://archidekt.com/decks/24896839?utm_source=edhrec&utm_medium=deck_summary,2,Abrade,Instant,$0.35
H4aDDFlYWCmct_LS7bxrRQ,https://archidekt.com/decks/24896839?utm_source=edhrec&utm_medium=deck_summary,2,Impact Resonance,Instant,$0.69
H4aDDFlYWCmct_LS7bxrRQ,https://archidekt.com/decks/24896839?utm_source=edhrec&utm_medium=deck_summary,1,Play with Fire,Instant,$0.49
H4aDDFlYWCmct_LS7bxrRQ,https://archidekt.com/decks/24896839?utm_source=edhrec&utm_medium=deck_summary,2,Pyretic Ritual,Instant,$7.49
H4aDDFlYWCmct_LS7bxrRQ,https://archidekt.com/decks/24896839?utm_source=edhrec&utm_medium=deck_summary,4,Radiating Lightning,Instant,$0.35
H4aDDFlYWCmct_LS7bxrRQ,https://archidekt.com/decks/24896839?utm_source=edhrec&utm_medium=deck_summary,2,Reverberate,Instant,$3.99
H4aDDFlYWCmct_LS7bxrRQ,https://archidekt.com/decks/24896839?utm_source=edhrec&utm_medium=deck_summary,2,Searing Blood,Instant,$0.35
H4aDDFlYWCmct_LS7bxrRQ,https://archidekt.com/decks/24896839?utm_source=edhrec&utm_medium=deck_summary,3,Seething Song,Instant,$12.99
H4aDDFlYWCmct_LS7bxrRQ,https://archidekt.com/decks/24896839?utm_source=edhrec&utm_medium=deck_summary,1,Shock,Instant,$0.35
H4aDDFlYWCmct_LS7bxrRQ,https://archidekt.com/decks/24896839?utm_source=edhrec&utm_medium=deck_summary,2,Siege Smash,Instant,$0.49
H4aDDFlYWCmct_LS7bxrRQ,https://archidekt.com/decks/24896839?utm_source=edhrec&utm_medium=deck_summary,2,Thunderbolt,Instant,$0.35
H4aDDFlYWCmct_LS7bxrRQ,https://archidekt.com/decks/24896839?utm_source=edhrec&utm_medium=deck_summary,3,Anger of the Gods,Sorcery,$0.49
H4aDDFlYWCmct_LS7bxrRQ,https://archidekt.com/decks/24896839?utm_source=edhrec&utm_medium=deck_summary,9,Blasphemous Act,Sorcery,$1.79
H4aDDFlYWCmct_LS7bxrRQ,https://archidekt.com/decks/24896839?utm_source=edhrec&utm_medium=deck_summary,1,Burn from Within,Sorcery,$0.49
H4aDDFlYWCmct_LS7bxrRQ,https://archidekt.com/decks/24896839?utm_source=edhrec&utm_medium=deck_summary,1,Disintegrate,Sorcery,$0.35
H4aDDFlYWCmct_LS7bxrRQ,https://archidekt.com/decks/24896839?utm_source=edhrec&utm_medium=deck_summary,2,Doublecast,Sorcery,$0.35
H4aDDFlYWCmct_LS7bxrRQ,https://archidekt.com/decks/24896839?utm_source=edhrec&utm_medium=deck_summary,1,End the Festivities,Sorcery,$1.49
H4aDDFlYWCmct_LS7bxrRQ,https://archidekt.com/decks/24896839?utm_source=edhrec&utm_medium=deck_summary,4,Fiery Confluence,Sorcery,$0.79
H4aDDFlYWCmct_LS7bxrRQ,https://archidekt.com/decks/24896839?utm_source=edhrec&utm_medium=deck_summary,1,Firebolt,Sorcery,$0.35
H4aDDFlYWCmct_LS7bxrRQ,https://archidekt.com/decks/24896839?utm_source=edhrec&utm_medium=deck_summary,1,Flame Slash,Sorcery,$0.35
H4aDDFlYWCmct_LS7bxrRQ,https://archidekt.com/decks/24896839?utm_source=edhrec&utm_medium=deck_summary,1,Gamble,Sorcery,$19.99
H4aDDFlYWCmct_LS7bxrRQ,https://archidekt.com/decks/24896839?utm_source=edhrec&utm_medium=deck_summary,2,Grapeshot,Sorcery,$0.39
H4aDDFlYWCmct_LS7bxrRQ,https://archidekt.com/decks/24896839?utm_source=edhrec&utm_medium=deck_summary,3,Jeska's Will,Sorcery,$44.99
H4aDDFlYWCmct_LS7bxrRQ,https://archidekt.com/decks/24896839?utm_source=edhrec&utm_medium=deck_summary,1,Mana Clash,Sorcery,$1.79
H4aDDFlYWCmct_LS7bxrRQ,https://archidekt.com/decks/24896839?utm_source=edhrec&utm_medium=deck_summary,5,Mana Geyser,Sorcery,$2.49
H4aDDFlYWCmct_LS7bxrRQ,https://archidekt.com/decks/24896839?utm_source=edhrec&utm_medium=deck_summary,2,Mizzium Mortars,Sorcery,$0.59
H4aDDFlYWCmct_LS7bxrRQ,https://archidekt.com/decks/24896839?utm_source=edhrec&utm_medium=deck_summary,1,Overmaster,Sorcery,$2.99
H4aDDFlYWCmct_LS7bxrRQ,https://archidekt.com/decks/24896839?utm_source=edhrec&utm_medium=deck_summary,5,Planetary Annihilation,Sorcery,$0.49
H4aDDFlYWCmct_LS7bxrRQ,https://archidekt.com/decks/24896839?utm_source=edhrec&utm_medium=deck_summary,4,Ruination,Sorcery,$1.99
H4aDDFlYWCmct_LS7bxrRQ,https://archidekt.com/decks/24896839?utm_source=edhrec&utm_medium=deck_summary,3,Steal the Show,Sorcery,$0.49
H4aDDFlYWCmct_LS7bxrRQ,https://archidekt.com/decks/24896839?utm_source=edhrec&utm_medium=deck_summary,1,Tectonic Hazard,Sorcery,$0.99
H4aDDFlYWCmct_LS7bxrRQ,https://archidekt.com/decks/24896839?utm_source=edhrec&utm_medium=deck_summary,3,Bender's Waterskin,Artifact,$1.99
H4aDDFlYWCmct_LS7bxrRQ,https://archidekt.com/decks/24896839?utm_source=edhrec&utm_medium=deck_summary,2,Brain in a Jar,Artifact,$0.49
H4aDDFlYWCmct_LS7bxrRQ,https://archidekt.com/decks/24896839?utm_source=edhrec&utm_medium=deck_summary,1,Glaring Spotlight,Artifact,$2.79
H4aDDFlYWCmct_LS7bxrRQ,https://archidekt.com/decks/24896839?utm_source=edhrec&utm_medium=deck_summary,4,Lavabrink Floodgates,Artifact,$0.59
H4aDDFlYWCmct_LS7bxrRQ,https://archidekt.com/decks/24896839?utm_source=edhrec&utm_medium=deck_summary,0,Lotus Bloom,Artifact,$4.49
H4aDDFlYWCmct_LS7bxrRQ,https://archidekt.com/decks/24896839?utm_source=edhrec&utm_medium=deck_summary,2,Lotus Blossom,Artifact,$0.49
H4aDDFlYWCmct_LS7bxrRQ,https://archidekt.com/decks/24896839?utm_source=edhrec&utm_medium=deck_summary,5,Panoptic Mirror,Artifact,$22.99
H4aDDFlYWCmct_LS7bxrRQ,https://archidekt.com/decks/24896839?utm_source=edhrec&utm_medium=deck_summary,1,Prism Ring,Artifact,$0.69
H4aDDFlYWCmct_LS7bxrRQ,https://archidekt.com/decks/24896839?utm_source=edhrec&utm_medium=deck_summary,5,Pyromancer's Gauntlet,Artifact,$0.49
H4aDDFlYWCmct_LS7bxrRQ,https://archidekt.com/decks/24896839?utm_source=edhrec&utm_medium=deck_summary,5,Pyromancer's Goggles,Artifact,$1.29
H4aDDFlYWCmct_LS7bxrRQ,https://archidekt.com/decks/24896839?utm_source=edhrec&utm_medium=deck_summary,2,Ruby Medallion,Artifact,$18.99
H4aDDFlYWCmct_LS7bxrRQ,https://archidekt.com/decks/24896839?utm_source=edhrec&utm_medium=deck_summary,3,Vulshok Factory,Artifact,$0.49
H4aDDFlYWCmct_LS7bxrRQ,https://archidekt.com/decks/24896839?utm_source=edhrec&utm_medium=deck_summary,3,Blood Moon,Enchantment,$9.99
