deck_id,deck_source,cmc,name,type,price
HOZTccVmBESfhS6hU_BWCA,https://archidekt.com/decks/19890297?utm_source=edhrec&utm_medium=deck_summary,1,Blisterspit Gremlin,Creature,$0.35
HOZTccVmBESfhS6hU_BWCA,https://archidekt.com/decks/19890297?utm_source=edhrec&utm_medium=deck_summary,6,Chandra's Incinerator,Creature,$3.49
HOZTccVmBESfhS6hU_BWCA,https://archidekt.com/decks/19890297?utm_source=edhrec&utm_medium=deck_summary,2,Coruscation Mage,Creature,$2.79
HOZTccVmBESfhS6hU_BWCA,https://archidekt.com/decks/19890297?utm_source=edhrec&utm_medium=deck_summary,3,Goblin Chainwhirler,Creature,$1.29
HOZTccVmBESfhS6hU_BWCA,https://archidekt.com/decks/19890297?utm_source=edhrec&utm_medium=deck_summary,3,Goblin Sharpshooter,Creature,$32.99
HOZTccVmBESfhS6hU_BWCA,https://archidekt.com/decks/19890297?utm_source=edhrec&utm_medium=deck_summary,2,Harsh Mentor,Creature,$0.49
HOZTccVmBESfhS6hU_BWCA,https://archidekt.com/decks/19890297?utm_source=edhrec&utm_medium=deck_summary,2,Hexing Squelcher,Creature,$22.99
HOZTccVmBESfhS6hU_BWCA,https://archidekt.com/decks/19890297?utm_source=edhrec&utm_medium=deck_summary,2,Immolation Shaman,Creature,$0.99
HOZTccVmBESfhS6hU_BWCA,https://archidekt.com/decks/19890297?utm_source=edhrec&utm_medium=deck_summary,3,Imperial Recruiter,Creature,$13.99
HOZTccVmBESfhS6hU_BWCA,https://archidekt.com/decks/19890297?utm_source=edhrec&utm_medium=deck_summary,3,Magus of the Moon,Creature,$5.99
HOZTccVmBESfhS6hU_BWCA,https://archidekt.com/decks/19890297?utm_source=edhrec&utm_medium=deck_summary,3,Magus of the Wheel,Creature,$1.79
HOZTccVmBESfhS6hU_BWCA,https://archidekt.com/decks/19890297?utm_source=edhrec&utm_medium=deck_summary,2,Phyrexian Revoker,Creature,$0.49
HOZTccVmBESfhS6hU_BWCA,https://archidekt.com/decks/19890297?utm_source=edhrec&utm_medium=deck_summary,1,"Ragavan, Nimble Pilferer",Creature,$42.99
HOZTccVmBESfhS6hU_BWCA,https://archidekt.com/decks/19890297?utm_source=edhrec&utm_medium=deck_summary,3,Rampaging Ferocidon,Creature,$1.49
HOZTccVmBESfhS6hU_BWCA,https://archidekt.com/decks/19890297?utm_source=edhrec&utm_medium=deck_summary,2,Razorkin Needlehead,Creature,$12.99
HOZTccVmBESfhS6hU_BWCA,https://archidekt.com/decks/19890297?utm_source=edhrec&utm_medium=deck_summary,4,Silent Arbiter,Creature,$17.99
HOZTccVmBESfhS6hU_BWCA,https://archidekt.com/decks/19890297?utm_source=edhrec&utm_medium=deck_summary,2,Thermo-Alchemist,Creature,$0.35
HOZTccVmBESfhS6hU_BWCA,https://archidekt.com/decks/19890297?utm_source=edhrec&utm_medium=deck_summary,3,Treasure Nabber,Creature,$4.99
HOZTccVmBESfhS6hU_BWCA,https://archidekt.com/decks/19890297?utm_source=edhrec&utm_medium=deck_summary,3,Zo-Zu the Punisher,Creature,$4.49
HOZTccVmBESfhS6hU_BWCA,https://archidekt.com/decks/19890297?utm_source=edhrec&utm_medium=deck_summary,2,Abrade,Instant,$0.35
HOZTccVmBESfhS6hU_BWCA,https://archidekt.com/decks/19890297?utm_source=edhrec&utm_medium=deck_summary,4,Boil,Instant,$0.79
HOZTccVmBESfhS6hU_BWCA,https://archidekt.com/decks/19890297?utm_source=edhrec&utm_medium=deck_summary,4,Bolt Bend,Instant,$5.49
HOZTccVmBESfhS6hU_BWCA,https://archidekt.com/decks/19890297?utm_source=edhrec&utm_medium=deck_summary,3,Chaos Warp,Instant,$0.79
HOZTccVmBESfhS6hU_BWCA,https://archidekt.com/decks/19890297?utm_source=edhrec&utm_medium=deck_summary,3,Deflecting Swat,Instant,$74.99
HOZTccVmBESfhS6hU_BWCA,https://archidekt.com/decks/19890297?utm_source=edhrec&utm_medium=deck_summary,1,Pyroblast,Instant,$12.99
HOZTccVmBESfhS6hU_BWCA,https://archidekt.com/decks/19890297?utm_source=edhrec&utm_medium=deck_summary,1,Red Elemental Blast,Instant,$5.49
HOZTccVmBESfhS6hU_BWCA,https://archidekt.com/decks/19890297?utm_source=edhrec&utm_medium=deck_summary,2,Reverberate,Instant,$5.49
HOZTccVmBESfhS6hU_BWCA,https://archidekt.com/decks/19890297?utm_source=edhrec&utm_medium=deck_summary,3,Seething Song,Instant,$11.99
HOZTccVmBESfhS6hU_BWCA,https://archidekt.com/decks/19890297?utm_source=edhrec&utm_medium=deck_summary,2,Thrill of Possibility,Instant,$0.35
HOZTccVmBESfhS6hU_BWCA,https://archidekt.com/decks/19890297?utm_source=edhrec&utm_medium=deck_summary,2,Tibalt's Trickery,Instant,$14.99
HOZTccVmBESfhS6hU_BWCA,https://archidekt.com/decks/19890297?utm_source=edhrec&utm_medium=deck_summary,9,Blasphemous Act,Sorcery,$2.79
HOZTccVmBESfhS6hU_BWCA,https://archidekt.com/decks/19890297?utm_source=edhrec&utm_medium=deck_summary,1,Faithless Looting,Sorcery,$0.79
