deck_id,deck_source,cmc,name,type,price
IZOJTN7_b4pK6N18e7Achg,https://moxfield.com/decks/5v1Vu5sjv0yE28_KMdc_ww?utm_source=edhrec&utm_medium=deck_summary,3,"Birgi, God of Storytelling",Creature,$32.99
IZOJTN7_b4pK6N18e7Achg,https://moxfield.com/decks/5v1Vu5sjv0yE28_KMdc_ww?utm_source=edhrec&utm_medium=deck_summary,6,Chandra's Incinerator,Creature,$3.49
IZOJTN7_b4pK6N18e7Achg,https://moxfield.com/decks/5v1Vu5sjv0yE28_KMdc_ww?utm_source=edhrec&utm_medium=deck_summary,2,Coruscation Mage,Creature,$2.49
IZOJTN7_b4pK6N18e7Achg,https://moxfield.com/decks/5v1Vu5sjv0yE28_KMdc_ww?utm_source=edhrec&utm_medium=deck_summary,2,Electrostatic Field,Creature,$1.79
IZOJTN7_b4pK6N18e7Achg,https://moxfield.com/decks/5v1Vu5sjv0yE28_KMdc_ww?utm_source=edhrec&utm_medium=deck_summary,2,Erebor Flamesmith,Creature,$0.69
IZOJTN7_b4pK6N18e7Achg,https://moxfield.com/decks/5v1Vu5sjv0yE28_KMdc_ww?utm_source=edhrec&utm_medium=deck_summary,2,Firebrand Archer,Creature,$0.39
IZOJTN7_b4pK6N18e7Achg,https://moxfield.com/decks/5v1Vu5sjv0yE28_KMdc_ww?utm_source=edhrec&utm_medium=deck_summary,3,Guttersnipe,Creature,$0.35
IZOJTN7_b4pK6N18e7Achg,https://moxfield.com/decks/5v1Vu5sjv0yE28_KMdc_ww?utm_source=edhrec&utm_medium=deck_summary,2,Harsh Mentor,Creature,$0.49
IZOJTN7_b4pK6N18e7Achg,https://moxfield.com/decks/5v1Vu5sjv0yE28_KMdc_ww?utm_source=edhrec&utm_medium=deck_summary,2,Kessig Flamebreather,Creature,$4.99
IZOJTN7_b4pK6N18e7Achg,https://moxfield.com/decks/5v1Vu5sjv0yE28_KMdc_ww?utm_source=edhrec&utm_medium=deck_summary,5,"Neheb, the Eternal",Creature,$6.99
IZOJTN7_b4pK6N18e7Achg,https://moxfield.com/decks/5v1Vu5sjv0yE28_KMdc_ww?utm_source=edhrec&utm_medium=deck_summary,3,Rampaging Ferocidon,Creature,$1.79
IZOJTN7_b4pK6N18e7Achg,https://moxfield.com/decks/5v1Vu5sjv0yE28_KMdc_ww?utm_source=edhrec&utm_medium=deck_summary,2,Razorkin Needlehead,Creature,$12.99
IZOJTN7_b4pK6N18e7Achg,https://moxfield.com/decks/5v1Vu5sjv0yE28_KMdc_ww?utm_source=edhrec&utm_medium=deck_summary,1,Spear Spewer,Creature,$0.35
IZOJTN7_b4pK6N18e7Achg,https://moxfield.com/decks/5v1Vu5sjv0yE28_KMdc_ww?utm_source=edhrec&utm_medium=deck_summary,2,Thermo-Alchemist,Creature,$0.35
IZOJTN7_b4pK6N18e7Achg,https://moxfield.com/decks/5v1Vu5sjv0yE28_KMdc_ww?utm_source=edhrec&utm_medium=deck_summary,4,Thundering Raiju,Creature,$0.69
IZOJTN7_b4pK6N18e7Achg,https://moxfield.com/decks/5v1Vu5sjv0yE28_KMdc_ww?utm_source=edhrec&utm_medium=deck_summary,3,Unruly Catapult,Creature,$0.35
IZOJTN7_b4pK6N18e7Achg,https://moxfield.com/decks/5v1Vu5sjv0yE28_KMdc_ww?utm_source=edhrec&utm_medium=deck_summary,4,Urabrask,Creature,$19.99
IZOJTN7_b4pK6N18e7Achg,https://moxfield.com/decks/5v1Vu5sjv0yE28_KMdc_ww?utm_source=edhrec&utm_medium=deck_summary,3,Zo-Zu the Punisher,Creature,$4.99
IZOJTN7_b4pK6N18e7Achg,https://moxfield.com/decks/5v1Vu5sjv0yE28_KMdc_ww?utm_source=edhrec&utm_medium=deck_summary,2,Abrade,Instant,$0.39
IZOJTN7_b4pK6N18e7Achg,https://moxfield.com/decks/5v1Vu5sjv0yE28_KMdc_ww?utm_source=edhrec&utm_medium=deck_summary,4,Big Score,Instant,$2.29
