deck_id,deck_source,cmc,name,type,price
J6ddyPsi0B_y7s2kgA2LSg,https://moxfield.com/decks/IjeJdBAiBEmX6_YePAJbBA?utm_source=edhrec&utm_medium=deck_summary,2,Coruscation Mage,Creature,$2.49
J6ddyPsi0B_y7s2kgA2LSg,https://moxfield.com/decks/IjeJdBAiBEmX6_YePAJbBA?utm_source=edhrec&utm_medium=deck_summary,2,Eidolon of the Great Revel,Creature,$4.49
J6ddyPsi0B_y7s2kgA2LSg,https://moxfield.com/decks/IjeJdBAiBEmX6_YePAJbBA?utm_source=edhrec&utm_medium=deck_summary,2,Electrostatic Field,Creature,$1.99
J6ddyPsi0B_y7s2kgA2LSg,https://moxfield.com/decks/IjeJdBAiBEmX6_YePAJbBA?utm_source=edhrec&utm_medium=deck_summary,2,Erebor Flamesmith,Creature,$0.79
J6ddyPsi0B_y7s2kgA2LSg,https://moxfield.com/decks/IjeJdBAiBEmX6_YePAJbBA?utm_source=edhrec&utm_medium=deck_summary,2,Firebrand Archer,Creature,$0.39
J6ddyPsi0B_y7s2kgA2LSg,https://moxfield.com/decks/IjeJdBAiBEmX6_YePAJbBA?utm_source=edhrec&utm_medium=deck_summary,3,"Gandalf, Goblins' Bane",Creature,$7.49
J6ddyPsi0B_y7s2kgA2LSg,https://moxfield.com/decks/IjeJdBAiBEmX6_YePAJbBA?utm_source=edhrec&utm_medium=deck_summary,3,Gleeful Arsonist,Creature,$7.49
J6ddyPsi0B_y7s2kgA2LSg,https://moxfield.com/decks/IjeJdBAiBEmX6_YePAJbBA?utm_source=edhrec&utm_medium=deck_summary,2,Harsh Mentor,Creature,$0.59
J6ddyPsi0B_y7s2kgA2LSg,https://moxfield.com/decks/IjeJdBAiBEmX6_YePAJbBA?utm_source=edhrec&utm_medium=deck_summary,2,Immolation Shaman,Creature,$0.99
J6ddyPsi0B_y7s2kgA2LSg,https://moxfield.com/decks/IjeJdBAiBEmX6_YePAJbBA?utm_source=edhrec&utm_medium=deck_summary,2,Kessig Flamebreather,Creature,$5.49
J6ddyPsi0B_y7s2kgA2LSg,https://moxfield.com/decks/IjeJdBAiBEmX6_YePAJbBA?utm_source=edhrec&utm_medium=deck_summary,2,Party Thrasher,Creature,$0.79
J6ddyPsi0B_y7s2kgA2LSg,https://moxfield.com/decks/IjeJdBAiBEmX6_YePAJbBA?utm_source=edhrec&utm_medium=deck_summary,1,"Ragavan, Nimble Pilferer",Creature,$54.99
J6ddyPsi0B_y7s2kgA2LSg,https://moxfield.com/decks/IjeJdBAiBEmX6_YePAJbBA?utm_source=edhrec&utm_medium=deck_summary,3,Rampaging Ferocidon,Creature,$1.99
J6ddyPsi0B_y7s2kgA2LSg,https://moxfield.com/decks/IjeJdBAiBEmX6_YePAJbBA?utm_source=edhrec&utm_medium=deck_summary,2,Razorkin Needlehead,Creature,$8.49
J6ddyPsi0B_y7s2kgA2LSg,https://moxfield.com/decks/IjeJdBAiBEmX6_YePAJbBA?utm_source=edhrec&utm_medium=deck_summary,3,Simian Spirit Guide,Creature,$2.99
J6ddyPsi0B_y7s2kgA2LSg,https://moxfield.com/decks/IjeJdBAiBEmX6_YePAJbBA?utm_source=edhrec&utm_medium=deck_summary,2,Thermo-Alchemist,Creature,$0.35
J6ddyPsi0B_y7s2kgA2LSg,https://moxfield.com/decks/IjeJdBAiBEmX6_YePAJbBA?utm_source=edhrec&utm_medium=deck_summary,2,Thunderdrum Soloist,Creature,$0.35
J6ddyPsi0B_y7s2kgA2LSg,https://moxfield.com/decks/IjeJdBAiBEmX6_YePAJbBA?utm_source=edhrec&utm_medium=deck_summary,2,Blazing Crescendo,Instant,$0.35
J6ddyPsi0B_y7s2kgA2LSg,https://moxfield.com/decks/IjeJdBAiBEmX6_YePAJbBA?utm_source=edhrec&utm_medium=deck_summary,4,Bolt Bend,Instant,$5.99
J6ddyPsi0B_y7s2kgA2LSg,https://moxfield.com/decks/IjeJdBAiBEmX6_YePAJbBA?utm_source=edhrec&utm_medium=deck_summary,1,Brute Force,Instant,$0.35
J6ddyPsi0B_y7s2kgA2LSg,https://moxfield.com/decks/IjeJdBAiBEmX6_YePAJbBA?utm_source=edhrec&utm_medium=deck_summary,2,Bulk Up,Instant,$0.35
