deck_id,deck_source,cmc,name,type,price
JBO8GVY_4CkjTKIpLjpaaQ,https://moxfield.com/decks/62uwYKOVdEGWcYXxEne3QQ?utm_source=edhrec&utm_medium=deck_summary,3,"Birgi, God of Storytelling",Creature,$37.99
JBO8GVY_4CkjTKIpLjpaaQ,https://moxfield.com/decks/62uwYKOVdEGWcYXxEne3QQ?utm_source=edhrec&utm_medium=deck_summary,5,Bonehoard Dracosaur,Creature,$13.99
JBO8GVY_4CkjTKIpLjpaaQ,https://moxfield.com/decks/62uwYKOVdEGWcYXxEne3QQ?utm_source=edhrec&utm_medium=deck_summary,2,Coruscation Mage,Creature,$2.79
JBO8GVY_4CkjTKIpLjpaaQ,https://moxfield.com/decks/62uwYKOVdEGWcYXxEne3QQ?utm_source=edhrec&utm_medium=deck_summary,1,Dragon's Rage Channeler,Creature,$2.29
JBO8GVY_4CkjTKIpLjpaaQ,https://moxfield.com/decks/62uwYKOVdEGWcYXxEne3QQ?utm_source=edhrec&utm_medium=deck_summary,5,"Dragonhawk, Fate's Tempest",Creature,$6.99
JBO8GVY_4CkjTKIpLjpaaQ,https://moxfield.com/decks/62uwYKOVdEGWcYXxEne3QQ?utm_source=edhrec&utm_medium=deck_summary,7,Knollspine Dragon,Creature,$0.99
JBO8GVY_4CkjTKIpLjpaaQ,https://moxfield.com/decks/62uwYKOVdEGWcYXxEne3QQ?utm_source=edhrec&utm_medium=deck_summary,5,"Neheb, the Eternal",Creature,$4.99
JBO8GVY_4CkjTKIpLjpaaQ,https://moxfield.com/decks/62uwYKOVdEGWcYXxEne3QQ?utm_source=edhrec&utm_medium=deck_summary,4,Storm-Kiln Artist,Creature,$2.49
JBO8GVY_4CkjTKIpLjpaaQ,https://moxfield.com/decks/62uwYKOVdEGWcYXxEne3QQ?utm_source=edhrec&utm_medium=deck_summary,9,Summon: Bahamut,Creature,$29.99
JBO8GVY_4CkjTKIpLjpaaQ,https://moxfield.com/decks/62uwYKOVdEGWcYXxEne3QQ?utm_source=edhrec&utm_medium=deck_summary,5,Terror of the Peaks,Creature,$34.99
JBO8GVY_4CkjTKIpLjpaaQ,https://moxfield.com/decks/62uwYKOVdEGWcYXxEne3QQ?utm_source=edhrec&utm_medium=deck_summary,7,Themberchaud,Creature,$16.99
JBO8GVY_4CkjTKIpLjpaaQ,https://moxfield.com/decks/62uwYKOVdEGWcYXxEne3QQ?utm_source=edhrec&utm_medium=deck_summary,4,Urabrask,Creature,$19.99
