deck_id,deck_source,cmc,name,type,price
JHQPtqKrunEpzfooV9i_IQ,https://moxfield.com/decks/jJ1DKw7TD02Uvmq1lwsd9g?utm_source=edhrec&utm_medium=deck_summary,4,"Ashling, Flame Dancer",Creature,$19.99
JHQPtqKrunEpzfooV9i_IQ,https://moxfield.com/decks/jJ1DKw7TD02Uvmq1lwsd9g?utm_source=edhrec&utm_medium=deck_summary,1,Blisterspit Gremlin,Creature,$0.35
JHQPtqKrunEpzfooV9i_IQ,https://moxfield.com/decks/jJ1DKw7TD02Uvmq1lwsd9g?utm_source=edhrec&utm_medium=deck_summary,6,Chandra's Incinerator,Creature,$3.99
JHQPtqKrunEpzfooV9i_IQ,https://moxfield.com/decks/jJ1DKw7TD02Uvmq1lwsd9g?utm_source=edhrec&utm_medium=deck_summary,3,Cinder Pyromancer,Creature,$0.35
JHQPtqKrunEpzfooV9i_IQ,https://moxfield.com/decks/jJ1DKw7TD02Uvmq1lwsd9g?utm_source=edhrec&utm_medium=deck_summary,2,Coruscation Mage,Creature,$2.79
JHQPtqKrunEpzfooV9i_IQ,https://moxfield.com/decks/jJ1DKw7TD02Uvmq1lwsd9g?utm_source=edhrec&utm_medium=deck_summary,4,Defiler of Instinct,Creature,$0.99
JHQPtqKrunEpzfooV9i_IQ,https://moxfield.com/decks/jJ1DKw7TD02Uvmq1lwsd9g?utm_source=edhrec&utm_medium=deck_summary,2,Electrostatic Field,Creature,$1.99
JHQPtqKrunEpzfooV9i_IQ,https://moxfield.com/decks/jJ1DKw7TD02Uvmq1lwsd9g?utm_source=edhrec&utm_medium=deck_summary,2,Erebor Flamesmith,Creature,$0.69
JHQPtqKrunEpzfooV9i_IQ,https://moxfield.com/decks/jJ1DKw7TD02Uvmq1lwsd9g?utm_source=edhrec&utm_medium=deck_summary,2,Firebrand Archer,Creature,$0.49
JHQPtqKrunEpzfooV9i_IQ,https://moxfield.com/decks/jJ1DKw7TD02Uvmq1lwsd9g?utm_source=edhrec&utm_medium=deck_summary,3,Firespitter Whelp,Creature,$0.49
JHQPtqKrunEpzfooV9i_IQ,https://moxfield.com/decks/jJ1DKw7TD02Uvmq1lwsd9g?utm_source=edhrec&utm_medium=deck_summary,3,Guttersnipe,Creature,$0.49
JHQPtqKrunEpzfooV9i_IQ,https://moxfield.com/decks/jJ1DKw7TD02Uvmq1lwsd9g?utm_source=edhrec&utm_medium=deck_summary,2,Harsh Mentor,Creature,$0.49
JHQPtqKrunEpzfooV9i_IQ,https://moxfield.com/decks/jJ1DKw7TD02Uvmq1lwsd9g?utm_source=edhrec&utm_medium=deck_summary,2,Iron Myr,Creature,$1.49
JHQPtqKrunEpzfooV9i_IQ,https://moxfield.com/decks/jJ1DKw7TD02Uvmq1lwsd9g?utm_source=edhrec&utm_medium=deck_summary,2,Kessig Flamebreather,Creature,$4.49
JHQPtqKrunEpzfooV9i_IQ,https://moxfield.com/decks/jJ1DKw7TD02Uvmq1lwsd9g?utm_source=edhrec&utm_medium=deck_summary,5,"Neheb, the Eternal",Creature,$6.49
