deck_id,deck_source,cmc,name,type,price
Jt5JKWjRwlayF56LO_7g9A,https://archidekt.com/decks/472203?utm_source=edhrec&utm_medium=deck_summary,1,Faithless Looting,Sorcery,$0.99
Jt5JKWjRwlayF56LO_7g9A,https://archidekt.com/decks/472203?utm_source=edhrec&utm_medium=deck_summary,5,Incendiary Command,Sorcery,$1.49
Jt5JKWjRwlayF56LO_7g9A,https://archidekt.com/decks/472203?utm_source=edhrec&utm_medium=deck_summary,3,Light Up the Stage,Sorcery,$0.49
Jt5JKWjRwlayF56LO_7g9A,https://archidekt.com/decks/472203?utm_source=edhrec&utm_medium=deck_summary,5,Mana Geyser,Sorcery,$1.99
Jt5JKWjRwlayF56LO_7g9A,https://archidekt.com/decks/472203?utm_source=edhrec&utm_medium=deck_summary,2,Molten Disaster,Sorcery,$0.79
Jt5JKWjRwlayF56LO_7g9A,https://archidekt.com/decks/472203?utm_source=edhrec&utm_medium=deck_summary,3,Tundra Fumarole,Sorcery,$0.49
Jt5JKWjRwlayF56LO_7g9A,https://archidekt.com/decks/472203?utm_source=edhrec&utm_medium=deck_summary,2,Arcane Signet,Artifact,$0.69
Jt5JKWjRwlayF56LO_7g9A,https://archidekt.com/decks/472203?utm_source=edhrec&utm_medium=deck_summary,1,Basilisk Collar,Artifact,$5.99
Jt5JKWjRwlayF56LO_7g9A,https://archidekt.com/decks/472203?utm_source=edhrec&utm_medium=deck_summary,6,Caged Sun,Artifact,$3.49
Jt5JKWjRwlayF56LO_7g9A,https://archidekt.com/decks/472203?utm_source=edhrec&utm_medium=deck_summary,3,Commander's Sphere,Artifact,$0.35
Jt5JKWjRwlayF56LO_7g9A,https://archidekt.com/decks/472203?utm_source=edhrec&utm_medium=deck_summary,3,Crawlspace,Artifact,$10.99
Jt5JKWjRwlayF56LO_7g9A,https://archidekt.com/decks/472203?utm_source=edhrec&utm_medium=deck_summary,3,Darksteel Ingot,Artifact,$0.35
Jt5JKWjRwlayF56LO_7g9A,https://archidekt.com/decks/472203?utm_source=edhrec&utm_medium=deck_summary,2,Fire Diamond,Artifact,$0.79
Jt5JKWjRwlayF56LO_7g9A,https://archidekt.com/decks/472203?utm_source=edhrec&utm_medium=deck_summary,1,Sol Ring,Artifact,$2.29
Jt5JKWjRwlayF56LO_7g9A,https://archidekt.com/decks/472203?utm_source=edhrec&utm_medium=deck_summary,3,Sunstone,Artifact,$0.49
Jt5JKWjRwlayF56LO_7g9A,https://archidekt.com/decks/472203?utm_source=edhrec&utm_medium=deck_summary,2,Swiftfoot Boots,Artifact,$3.49
Jt5JKWjRwlayF56LO_7g9A,https://archidekt.com/decks/472203?utm_source=edhrec&utm_medium=deck_summary,1,Wayfarer's Bauble,Artifact,$0.79
Jt5JKWjRwlayF56LO_7g9A,https://archidekt.com/decks/472203?utm_source=edhrec&utm_medium=deck_summary,2,Weathered Runestone,Artifact,$0.35
Jt5JKWjRwlayF56LO_7g9A,https://archidekt.com/decks/472203?utm_source=edhrec&utm_medium=deck_summary,4,"Chandra, Fire Artisan",Planeswalker,$0.49
Jt5JKWjRwlayF56LO_7g9A,https://archidekt.com/decks/472203?utm_source=edhrec&utm_medium=deck_summary,5,"Chandra, Heart of Fire",Planeswalker,$0.99
Jt5JKWjRwlayF56LO_7g9A,https://archidekt.com/decks/472203?utm_source=edhrec&utm_medium=deck_summary,4,"Chandra, Torch of Defiance",Planeswalker,$4.49
Jt5JKWjRwlayF56LO_7g9A,https://archidekt.com/decks/472203?utm_source=edhrec&utm_medium=deck_summary,4,Koth of the Hammer,Planeswalker,$2.49
Jt5JKWjRwlayF56LO_7g9A,https://archidekt.com/decks/472203?utm_source=edhrec&utm_medium=deck_summary,4,"Koth, Fire of Resistance",Planeswalker,$0.59
Jt5JKWjRwlayF56LO_7g9A,https://archidekt.com/decks/472203?utm_source=edhrec&utm_medium=deck_summary,0,Ash Barrens,Land,$0.35
Jt5JKWjRwlayF56LO_7g9A,https://archidekt.com/decks/472203?utm_source=edhrec&utm_medium=deck_summary,0,Den of the Bugbear,Land,$2.79
Jt5JKWjRwlayF56LO_7g9A,https://archidekt.com/decks/472203?utm_source=edhrec&utm_medium=deck_summary,0,Desert of the Fervent,Land,$0.35
Jt5JKWjRwlayF56LO_7g9A,https://archidekt.com/decks/472203?utm_source=edhrec&utm_medium=deck_summary,0,Forgotten Cave,Land,$0.35
Jt5JKWjRwlayF56LO_7g9A,https://archidekt.com/decks/472203?utm_source=edhrec&utm_medium=deck_summary,0,Ghitu Encampment,Land,$0.35
Jt5JKWjRwlayF56LO_7g9A,https://archidekt.com/decks/472203?utm_source=edhrec&utm_medium=deck_summary,0,Glacial Chasm,Land,$17.99
Jt5JKWjRwlayF56LO_7g9A,https://archidekt.com/decks/472203?utm_source=edhrec&utm_medium=deck_summary,0,Kher Keep,Land,$0.59
Jt5JKWjRwlayF56LO_7g9A,https://archidekt.com/decks/472203?utm_source=edhrec&utm_medium=deck_summary,0,Ramunap Ruins,Land,$0.79
Jt5JKWjRwlayF56LO_7g9A,https://archidekt.com/decks/472203?utm_source=edhrec&utm_medium=deck_summary,0,Roadside Reliquary,Land,$0.39
Jt5JKWjRwlayF56LO_7g9A,https://archidekt.com/decks/472203?utm_source=edhrec&utm_medium=deck_summary,0,Snow-Covered Mountain,Land,$0.79
