deck_id,deck_source,cmc,name,type,price
KJySNmsygZsr8hABM2br1A,https://moxfield.com/decks/BSNNAoWXbEeuEDUnxsRKVg?utm_source=edhrec&utm_medium=deck_summary,4,"Ashling, Flame Dancer",Creature,$20.99
KJySNmsygZsr8hABM2br1A,https://moxfield.com/decks/BSNNAoWXbEeuEDUnxsRKVg?utm_source=edhrec&utm_medium=deck_summary,3,"Auntie Blyte, Bad Influence",Creature,$7.49
KJySNmsygZsr8hABM2br1A,https://moxfield.com/decks/BSNNAoWXbEeuEDUnxsRKVg?utm_source=edhrec&utm_medium=deck_summary,6,Chandra's Incinerator,Creature,$3.99
KJySNmsygZsr8hABM2br1A,https://moxfield.com/decks/BSNNAoWXbEeuEDUnxsRKVg?utm_source=edhrec&utm_medium=deck_summary,2,Coruscation Mage,Creature,$2.79
KJySNmsygZsr8hABM2br1A,https://moxfield.com/decks/BSNNAoWXbEeuEDUnxsRKVg?utm_source=edhrec&utm_medium=deck_summary,4,Defiler of Instinct,Creature,$0.79
KJySNmsygZsr8hABM2br1A,https://moxfield.com/decks/BSNNAoWXbEeuEDUnxsRKVg?utm_source=edhrec&utm_medium=deck_summary,2,Firebrand Archer,Creature,$0.49
KJySNmsygZsr8hABM2br1A,https://moxfield.com/decks/BSNNAoWXbEeuEDUnxsRKVg?utm_source=edhrec&utm_medium=deck_summary,3,Firespitter Whelp,Creature,$0.49
KJySNmsygZsr8hABM2br1A,https://moxfield.com/decks/BSNNAoWXbEeuEDUnxsRKVg?utm_source=edhrec&utm_medium=deck_summary,2,Kessig Flamebreather,Creature,$4.99
KJySNmsygZsr8hABM2br1A,https://moxfield.com/decks/BSNNAoWXbEeuEDUnxsRKVg?utm_source=edhrec&utm_medium=deck_summary,5,"Kumano, Master Yamabushi",Creature,$0.49
KJySNmsygZsr8hABM2br1A,https://moxfield.com/decks/BSNNAoWXbEeuEDUnxsRKVg?utm_source=edhrec&utm_medium=deck_summary,4,Leyline Tyrant,Creature,$2.79
KJySNmsygZsr8hABM2br1A,https://moxfield.com/decks/BSNNAoWXbEeuEDUnxsRKVg?utm_source=edhrec&utm_medium=deck_summary,3,Magus of the Wheel,Creature,$1.99
