deck_id,deck_source,cmc,name,type,price
KWseZpADuksMpVYgDC55MA,https://archidekt.com/decks/9047784?utm_source=edhrec&utm_medium=deck_summary,2,Agate Instigator,Creature,$10.99
KWseZpADuksMpVYgDC55MA,https://archidekt.com/decks/9047784?utm_source=edhrec&utm_medium=deck_summary,2,Crashing Drawbridge,Creature,$1.29
KWseZpADuksMpVYgDC55MA,https://archidekt.com/decks/9047784?utm_source=edhrec&utm_medium=deck_summary,3,"Electro, Assaulting Battery",Creature,$8.99
KWseZpADuksMpVYgDC55MA,https://archidekt.com/decks/9047784?utm_source=edhrec&utm_medium=deck_summary,2,Electrostatic Field,Creature,$2.79
KWseZpADuksMpVYgDC55MA,https://archidekt.com/decks/9047784?utm_source=edhrec&utm_medium=deck_summary,4,"Gimli, Counter of Kills",Creature,$0.35
KWseZpADuksMpVYgDC55MA,https://archidekt.com/decks/9047784?utm_source=edhrec&utm_medium=deck_summary,1,Goblin Fireslinger,Creature,$0.35
KWseZpADuksMpVYgDC55MA,https://archidekt.com/decks/9047784?utm_source=edhrec&utm_medium=deck_summary,3,Guttersnipe,Creature,$0.59
KWseZpADuksMpVYgDC55MA,https://archidekt.com/decks/9047784?utm_source=edhrec&utm_medium=deck_summary,2,Harsh Mentor,Creature,$0.59
KWseZpADuksMpVYgDC55MA,https://archidekt.com/decks/9047784?utm_source=edhrec&utm_medium=deck_summary,4,"Hawkeye, Young Avenger",Creature,$0.35
KWseZpADuksMpVYgDC55MA,https://archidekt.com/decks/9047784?utm_source=edhrec&utm_medium=deck_summary,3,Hearthborn Battler,Creature,$0.49
KWseZpADuksMpVYgDC55MA,https://archidekt.com/decks/9047784?utm_source=edhrec&utm_medium=deck_summary,3,Rampaging Ferocidon,Creature,$2.49
KWseZpADuksMpVYgDC55MA,https://archidekt.com/decks/9047784?utm_source=edhrec&utm_medium=deck_summary,2,Razorkin Needlehead,Creature,$8.99
KWseZpADuksMpVYgDC55MA,https://archidekt.com/decks/9047784?utm_source=edhrec&utm_medium=deck_summary,1,Sawblade Scamp,Creature,$0.35
KWseZpADuksMpVYgDC55MA,https://archidekt.com/decks/9047784?utm_source=edhrec&utm_medium=deck_summary,3,Simian Spirit Guide,Creature,$3.49
KWseZpADuksMpVYgDC55MA,https://archidekt.com/decks/9047784?utm_source=edhrec&utm_medium=deck_summary,4,"Solphim, Mayhem Dominus",Creature,$34.99
KWseZpADuksMpVYgDC55MA,https://archidekt.com/decks/9047784?utm_source=edhrec&utm_medium=deck_summary,1,Spear Spewer,Creature,$0.49
KWseZpADuksMpVYgDC55MA,https://archidekt.com/decks/9047784?utm_source=edhrec&utm_medium=deck_summary,2,Thermo-Alchemist,Creature,$0.35
KWseZpADuksMpVYgDC55MA,https://archidekt.com/decks/9047784?utm_source=edhrec&utm_medium=deck_summary,4,"Toralf, God of Fury",Creature,$7.49
KWseZpADuksMpVYgDC55MA,https://archidekt.com/decks/9047784?utm_source=edhrec&utm_medium=deck_summary,3,Tunneling Geopede,Creature,$0.79
