deck_id,deck_source,cmc,name,type,price
KtdV3t0t0gfvHo66JnOXgw,https://archidekt.com/decks/14918979?utm_source=edhrec&utm_medium=deck_summary,3,"Birgi, God of Storytelling",Creature,$32.99
KtdV3t0t0gfvHo66JnOXgw,https://archidekt.com/decks/14918979?utm_source=edhrec&utm_medium=deck_summary,6,Chandra's Incinerator,Creature,$2.99
KtdV3t0t0gfvHo66JnOXgw,https://archidekt.com/decks/14918979?utm_source=edhrec&utm_medium=deck_summary,2,Coruscation Mage,Creature,$2.29
KtdV3t0t0gfvHo66JnOXgw,https://archidekt.com/decks/14918979?utm_source=edhrec&utm_medium=deck_summary,4,Defiler of Instinct,Creature,$0.49
KtdV3t0t0gfvHo66JnOXgw,https://archidekt.com/decks/14918979?utm_source=edhrec&utm_medium=deck_summary,2,Electrostatic Field,Creature,$1.99
KtdV3t0t0gfvHo66JnOXgw,https://archidekt.com/decks/14918979?utm_source=edhrec&utm_medium=deck_summary,2,Erebor Flamesmith,Creature,$0.79
KtdV3t0t0gfvHo66JnOXgw,https://archidekt.com/decks/14918979?utm_source=edhrec&utm_medium=deck_summary,2,Firebrand Archer,Creature,$0.35
KtdV3t0t0gfvHo66JnOXgw,https://archidekt.com/decks/14918979?utm_source=edhrec&utm_medium=deck_summary,3,Firespitter Whelp,Creature,$0.39
KtdV3t0t0gfvHo66JnOXgw,https://archidekt.com/decks/14918979?utm_source=edhrec&utm_medium=deck_summary,3,Guttersnipe,Creature,$0.69
KtdV3t0t0gfvHo66JnOXgw,https://archidekt.com/decks/14918979?utm_source=edhrec&utm_medium=deck_summary,2,Kessig Flamebreather,Creature,$3.99
KtdV3t0t0gfvHo66JnOXgw,https://archidekt.com/decks/14918979?utm_source=edhrec&utm_medium=deck_summary,5,"Neheb, the Eternal",Creature,$2.79
KtdV3t0t0gfvHo66JnOXgw,https://archidekt.com/decks/14918979?utm_source=edhrec&utm_medium=deck_summary,3,Rampaging Ferocidon,Creature,$0.79
KtdV3t0t0gfvHo66JnOXgw,https://archidekt.com/decks/14918979?utm_source=edhrec&utm_medium=deck_summary,2,Razorkin Needlehead,Creature,$9.49
KtdV3t0t0gfvHo66JnOXgw,https://archidekt.com/decks/14918979?utm_source=edhrec&utm_medium=deck_summary,1,Spear Spewer,Creature,$0.35
KtdV3t0t0gfvHo66JnOXgw,https://archidekt.com/decks/14918979?utm_source=edhrec&utm_medium=deck_summary,2,Thermo-Alchemist,Creature,$0.39
KtdV3t0t0gfvHo66JnOXgw,https://archidekt.com/decks/14918979?utm_source=edhrec&utm_medium=deck_summary,3,Unruly Catapult,Creature,$0.49
KtdV3t0t0gfvHo66JnOXgw,https://archidekt.com/decks/14918979?utm_source=edhrec&utm_medium=deck_summary,4,Urabrask,Creature,$20.99
KtdV3t0t0gfvHo66JnOXgw,https://archidekt.com/decks/14918979?utm_source=edhrec&utm_medium=deck_summary,3,Zo-Zu the Punisher,Creature,$17.99
KtdV3t0t0gfvHo66JnOXgw,https://archidekt.com/decks/14918979?utm_source=edhrec&utm_medium=deck_summary,2,Abrade,Instant,$0.35
KtdV3t0t0gfvHo66JnOXgw,https://archidekt.com/decks/14918979?utm_source=edhrec&utm_medium=deck_summary,4,Big Score,Instant,$1.79
KtdV3t0t0gfvHo66JnOXgw,https://archidekt.com/decks/14918979?utm_source=edhrec&utm_medium=deck_summary,2,Bulk Up,Instant,$0.99
KtdV3t0t0gfvHo66JnOXgw,https://archidekt.com/decks/14918979?utm_source=edhrec&utm_medium=deck_summary,3,Chaos Warp,Instant,$0.99
KtdV3t0t0gfvHo66JnOXgw,https://archidekt.com/decks/14918979?utm_source=edhrec&utm_medium=deck_summary,3,Deflecting Swat,Instant,$64.99
KtdV3t0t0gfvHo66JnOXgw,https://archidekt.com/decks/14918979?utm_source=edhrec&utm_medium=deck_summary,2,Final Fortune,Instant,$11.99
KtdV3t0t0gfvHo66JnOXgw,https://archidekt.com/decks/14918979?utm_source=edhrec&utm_medium=deck_summary,3,Laughing Mad,Instant,$0.35
KtdV3t0t0gfvHo66JnOXgw,https://archidekt.com/decks/14918979?utm_source=edhrec&utm_medium=deck_summary,1,Lava Dart,Instant,$1.29
KtdV3t0t0gfvHo66JnOXgw,https://archidekt.com/decks/14918979?utm_source=edhrec&utm_medium=deck_summary,1,Lightning Bolt,Instant,$1.79
KtdV3t0t0gfvHo66JnOXgw,https://archidekt.com/decks/14918979?utm_source=edhrec&utm_medium=deck_summary,1,Pyroblast,Instant,$9.99
KtdV3t0t0gfvHo66JnOXgw,https://archidekt.com/decks/14918979?utm_source=edhrec&utm_medium=deck_summary,1,Red Elemental Blast,Instant,$4.99
KtdV3t0t0gfvHo66JnOXgw,https://archidekt.com/decks/14918979?utm_source=edhrec&utm_medium=deck_summary,2,Thrill of Possibility,Instant,$0.35
KtdV3t0t0gfvHo66JnOXgw,https://archidekt.com/decks/14918979?utm_source=edhrec&utm_medium=deck_summary,2,Tibalt's Trickery,Instant,$11.99
KtdV3t0t0gfvHo66JnOXgw,https://archidekt.com/decks/14918979?utm_source=edhrec&utm_medium=deck_summary,2,Untimely Malfunction,Instant,$7.99
KtdV3t0t0gfvHo66JnOXgw,https://archidekt.com/decks/14918979?utm_source=edhrec&utm_medium=deck_summary,9,Blasphemous Act,Sorcery,$3.49
KtdV3t0t0gfvHo66JnOXgw,https://archidekt.com/decks/14918979?utm_source=edhrec&utm_medium=deck_summary,1,Boltwave,Sorcery,$4.49
KtdV3t0t0gfvHo66JnOXgw,https://archidekt.com/decks/14918979?utm_source=edhrec&utm_medium=deck_summary,1,End the Festivities,Sorcery,$0.99
KtdV3t0t0gfvHo66JnOXgw,https://archidekt.com/decks/14918979?utm_source=edhrec&utm_medium=deck_summary,1,Faithless Looting,Sorcery,$0.69
KtdV3t0t0gfvHo66JnOXgw,https://archidekt.com/decks/14918979?utm_source=edhrec&utm_medium=deck_summary,4,Fiery Confluence,Sorcery,$0.79
KtdV3t0t0gfvHo66JnOXgw,https://archidekt.com/decks/14918979?utm_source=edhrec&utm_medium=deck_summary,2,Grab the Prize,Sorcery,$0.99
KtdV3t0t0gfvHo66JnOXgw,https://archidekt.com/decks/14918979?utm_source=edhrec&utm_medium=deck_summary,2,Grapeshot,Sorcery,$0.35
KtdV3t0t0gfvHo66JnOXgw,https://archidekt.com/decks/14918979?utm_source=edhrec&utm_medium=deck_summary,3,Heat Shimmer,Sorcery,$12.99
