deck_id,deck_source,cmc,name,type,price
Kv7NdPKCc6nJilCSw4r4IQ,https://moxfield.com/decks/IQyUteTZmEqMlQcmUQ4ZgQ?utm_source=edhrec&utm_medium=deck_summary,3,"Birgi, God of Storytelling",Creature,$32.99
Kv7NdPKCc6nJilCSw4r4IQ,https://moxfield.com/decks/IQyUteTZmEqMlQcmUQ4ZgQ?utm_source=edhrec&utm_medium=deck_summary,3,Cinder Pyromancer,Creature,$0.35
Kv7NdPKCc6nJilCSw4r4IQ,https://moxfield.com/decks/IQyUteTZmEqMlQcmUQ4ZgQ?utm_source=edhrec&utm_medium=deck_summary,2,Coruscation Mage,Creature,$2.29
Kv7NdPKCc6nJilCSw4r4IQ,https://moxfield.com/decks/IQyUteTZmEqMlQcmUQ4ZgQ?utm_source=edhrec&utm_medium=deck_summary,2,Electrostatic Field,Creature,$2.29
Kv7NdPKCc6nJilCSw4r4IQ,https://moxfield.com/decks/IQyUteTZmEqMlQcmUQ4ZgQ?utm_source=edhrec&utm_medium=deck_summary,2,Erebor Flamesmith,Creature,$0.79
Kv7NdPKCc6nJilCSw4r4IQ,https://moxfield.com/decks/IQyUteTZmEqMlQcmUQ4ZgQ?utm_source=edhrec&utm_medium=deck_summary,2,Firebrand Archer,Creature,$0.35
Kv7NdPKCc6nJilCSw4r4IQ,https://moxfield.com/decks/IQyUteTZmEqMlQcmUQ4ZgQ?utm_source=edhrec&utm_medium=deck_summary,3,Guttersnipe,Creature,$0.59
Kv7NdPKCc6nJilCSw4r4IQ,https://moxfield.com/decks/IQyUteTZmEqMlQcmUQ4ZgQ?utm_source=edhrec&utm_medium=deck_summary,2,Kessig Flamebreather,Creature,$3.99
Kv7NdPKCc6nJilCSw4r4IQ,https://moxfield.com/decks/IQyUteTZmEqMlQcmUQ4ZgQ?utm_source=edhrec&utm_medium=deck_summary,3,Rampaging Ferocidon,Creature,$0.79
Kv7NdPKCc6nJilCSw4r4IQ,https://moxfield.com/decks/IQyUteTZmEqMlQcmUQ4ZgQ?utm_source=edhrec&utm_medium=deck_summary,2,Razorkin Needlehead,Creature,$9.49
Kv7NdPKCc6nJilCSw4r4IQ,https://moxfield.com/decks/IQyUteTZmEqMlQcmUQ4ZgQ?utm_source=edhrec&utm_medium=deck_summary,2,Runaway Steam-Kin,Creature,$1.49
Kv7NdPKCc6nJilCSw4r4IQ,https://moxfield.com/decks/IQyUteTZmEqMlQcmUQ4ZgQ?utm_source=edhrec&utm_medium=deck_summary,4,"Solphim, Mayhem Dominus",Creature,$24.99
Kv7NdPKCc6nJilCSw4r4IQ,https://moxfield.com/decks/IQyUteTZmEqMlQcmUQ4ZgQ?utm_source=edhrec&utm_medium=deck_summary,5,Stormshriek Feral,Creature,$0.35
Kv7NdPKCc6nJilCSw4r4IQ,https://moxfield.com/decks/IQyUteTZmEqMlQcmUQ4ZgQ?utm_source=edhrec&utm_medium=deck_summary,4,Sunspine Lynx,Creature,$4.99
Kv7NdPKCc6nJilCSw4r4IQ,https://moxfield.com/decks/IQyUteTZmEqMlQcmUQ4ZgQ?utm_source=edhrec&utm_medium=deck_summary,2,Thermo-Alchemist,Creature,$0.39
Kv7NdPKCc6nJilCSw4r4IQ,https://moxfield.com/decks/IQyUteTZmEqMlQcmUQ4ZgQ?utm_source=edhrec&utm_medium=deck_summary,4,"Torbran, Thane of Red Fell",Creature,$3.99
Kv7NdPKCc6nJilCSw4r4IQ,https://moxfield.com/decks/IQyUteTZmEqMlQcmUQ4ZgQ?utm_source=edhrec&utm_medium=deck_summary,3,Unruly Catapult,Creature,$0.39
Kv7NdPKCc6nJilCSw4r4IQ,https://moxfield.com/decks/IQyUteTZmEqMlQcmUQ4ZgQ?utm_source=edhrec&utm_medium=deck_summary,3,Zo-Zu the Punisher,Creature,$17.99
Kv7NdPKCc6nJilCSw4r4IQ,https://moxfield.com/decks/IQyUteTZmEqMlQcmUQ4ZgQ?utm_source=edhrec&utm_medium=deck_summary,2,Abrade,Instant,$0.35
Kv7NdPKCc6nJilCSw4r4IQ,https://moxfield.com/decks/IQyUteTZmEqMlQcmUQ4ZgQ?utm_source=edhrec&utm_medium=deck_summary,4,Bolt Bend,Instant,$6.49
Kv7NdPKCc6nJilCSw4r4IQ,https://moxfield.com/decks/IQyUteTZmEqMlQcmUQ4ZgQ?utm_source=edhrec&utm_medium=deck_summary,1,Brute Force,Instant,$0.35
Kv7NdPKCc6nJilCSw4r4IQ,https://moxfield.com/decks/IQyUteTZmEqMlQcmUQ4ZgQ?utm_source=edhrec&utm_medium=deck_summary,2,Dual Strike,Instant,$0.35
Kv7NdPKCc6nJilCSw4r4IQ,https://moxfield.com/decks/IQyUteTZmEqMlQcmUQ4ZgQ?utm_source=edhrec&utm_medium=deck_summary,3,Flick a Coin,Instant,$0.35
Kv7NdPKCc6nJilCSw4r4IQ,https://moxfield.com/decks/IQyUteTZmEqMlQcmUQ4ZgQ?utm_source=edhrec&utm_medium=deck_summary,1,Gut Shot,Instant,$4.99
Kv7NdPKCc6nJilCSw4r4IQ,https://moxfield.com/decks/IQyUteTZmEqMlQcmUQ4ZgQ?utm_source=edhrec&utm_medium=deck_summary,1,Lava Dart,Instant,$0.99
Kv7NdPKCc6nJilCSw4r4IQ,https://moxfield.com/decks/IQyUteTZmEqMlQcmUQ4ZgQ?utm_source=edhrec&utm_medium=deck_summary,1,Lightning Bolt,Instant,$1.79
Kv7NdPKCc6nJilCSw4r4IQ,https://moxfield.com/decks/IQyUteTZmEqMlQcmUQ4ZgQ?utm_source=edhrec&utm_medium=deck_summary,1,Monstrous Rage,Instant,$1.49
Kv7NdPKCc6nJilCSw4r4IQ,https://moxfield.com/decks/IQyUteTZmEqMlQcmUQ4ZgQ?utm_source=edhrec&utm_medium=deck_summary,1,Needle Drop,Instant,$2.49
Kv7NdPKCc6nJilCSw4r4IQ,https://moxfield.com/decks/IQyUteTZmEqMlQcmUQ4ZgQ?utm_source=edhrec&utm_medium=deck_summary,1,Play with Fire,Instant,$0.49
Kv7NdPKCc6nJilCSw4r4IQ,https://moxfield.com/decks/IQyUteTZmEqMlQcmUQ4ZgQ?utm_source=edhrec&utm_medium=deck_summary,2,Price of Progress,Instant,$5.99
Kv7NdPKCc6nJilCSw4r4IQ,https://moxfield.com/decks/IQyUteTZmEqMlQcmUQ4ZgQ?utm_source=edhrec&utm_medium=deck_summary,1,Raze the Effigy,Instant,$0.35
Kv7NdPKCc6nJilCSw4r4IQ,https://moxfield.com/decks/IQyUteTZmEqMlQcmUQ4ZgQ?utm_source=edhrec&utm_medium=deck_summary,2,Reverberate,Instant,$2.99
Kv7NdPKCc6nJilCSw4r4IQ,https://moxfield.com/decks/IQyUteTZmEqMlQcmUQ4ZgQ?utm_source=edhrec&utm_medium=deck_summary,1,Spikefield Hazard,Instant,$0.69
Kv7NdPKCc6nJilCSw4r4IQ,https://moxfield.com/decks/IQyUteTZmEqMlQcmUQ4ZgQ?utm_source=edhrec&utm_medium=deck_summary,2,Thrill of Possibility,Instant,$0.35
