deck_id,deck_source,cmc,name,type,price
LUlY3jBnYw7cVRdsityk1g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,"Birgi, God of Storytelling",Creature,$32.99
LUlY3jBnYw7cVRdsityk1g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Broadside Bombardiers,Creature,$4.99
LUlY3jBnYw7cVRdsityk1g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,"Chandra, Fire of Kaladesh",Creature,$2.49
LUlY3jBnYw7cVRdsityk1g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Coruscation Mage,Creature,$2.79
LUlY3jBnYw7cVRdsityk1g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Electrostatic Field,Creature,$1.79
LUlY3jBnYw7cVRdsityk1g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Firebrand Archer,Creature,$0.39
LUlY3jBnYw7cVRdsityk1g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Guttersnipe,Creature,$0.39
LUlY3jBnYw7cVRdsityk1g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Kessig Flamebreather,Creature,$4.99
LUlY3jBnYw7cVRdsityk1g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Queen Brahne,Creature,$0.35
LUlY3jBnYw7cVRdsityk1g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Razorkin Needlehead,Creature,$12.99
LUlY3jBnYw7cVRdsityk1g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,"Solphim, Mayhem Dominus",Creature,$32.99
LUlY3jBnYw7cVRdsityk1g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Spider-Punk,Creature,$3.99
LUlY3jBnYw7cVRdsityk1g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Storm-Kiln Artist,Creature,$4.49
LUlY3jBnYw7cVRdsityk1g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Thermo-Alchemist,Creature,$0.35
LUlY3jBnYw7cVRdsityk1g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Urabrask,Creature,$19.99
LUlY3jBnYw7cVRdsityk1g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,"Zuko, Exiled Prince",Creature,$0.35
LUlY3jBnYw7cVRdsityk1g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Big Score,Instant,$2.29
LUlY3jBnYw7cVRdsityk1g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Cathartic Pyre,Instant,$0.35
LUlY3jBnYw7cVRdsityk1g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Desperate Ritual,Instant,$4.99
LUlY3jBnYw7cVRdsityk1g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Electric Revelation,Instant,$0.35
LUlY3jBnYw7cVRdsityk1g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Flick a Coin,Instant,$0.69
LUlY3jBnYw7cVRdsityk1g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Galvanic Blast,Instant,$2.79
LUlY3jBnYw7cVRdsityk1g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Laughing Mad,Instant,$0.35
LUlY3jBnYw7cVRdsityk1g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Lava Dart,Instant,$0.69
LUlY3jBnYw7cVRdsityk1g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Lightning Strike,Instant,$0.35
LUlY3jBnYw7cVRdsityk1g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Monstrous Rage,Instant,$1.49
LUlY3jBnYw7cVRdsityk1g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Play with Fire,Instant,$0.69
LUlY3jBnYw7cVRdsityk1g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Searing Spear,Instant,$0.35
LUlY3jBnYw7cVRdsityk1g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Seething Song,Instant,$11.99
LUlY3jBnYw7cVRdsityk1g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Shock,Instant,$0.35
LUlY3jBnYw7cVRdsityk1g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Wild Slash,Instant,$0.35
LUlY3jBnYw7cVRdsityk1g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Arc Lightning,Sorcery,$0.35
LUlY3jBnYw7cVRdsityk1g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,9,Blasphemous Act,Sorcery,$2.79
LUlY3jBnYw7cVRdsityk1g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Faithless Looting,Sorcery,$0.79
LUlY3jBnYw7cVRdsityk1g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Forked Bolt,Sorcery,$0.49
LUlY3jBnYw7cVRdsityk1g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Grab the Prize,Sorcery,$0.79
LUlY3jBnYw7cVRdsityk1g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Grapeshot,Sorcery,$0.59
LUlY3jBnYw7cVRdsityk1g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Into the Fire,Sorcery,$0.49
LUlY3jBnYw7cVRdsityk1g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,5,Mana Geyser,Sorcery,$2.99
LUlY3jBnYw7cVRdsityk1g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Pillar of Flame,Sorcery,$0.35
LUlY3jBnYw7cVRdsityk1g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Strike It Rich,Sorcery,$0.69
LUlY3jBnYw7cVRdsityk1g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Arcane Signet,Artifact,$0.79
LUlY3jBnYw7cVRdsityk1g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Commander's Sphere,Artifact,$0.35
LUlY3jBnYw7cVRdsityk1g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,0,Everflowing Chalice,Artifact,$0.59
LUlY3jBnYw7cVRdsityk1g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,0,Lotus Bloom,Artifact,$3.99
LUlY3jBnYw7cVRdsityk1g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Mind Stone,Artifact,$0.39
LUlY3jBnYw7cVRdsityk1g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Moonsilver Key,Artifact,$1.29
LUlY3jBnYw7cVRdsityk1g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Ruby Medallion,Artifact,$17.99
LUlY3jBnYw7cVRdsityk1g,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,The One Ring,Artifact,$109.99
