deck_id,deck_source,cmc,name,type,price
LVxvmaFvyfL1ZXfrgwCLFw,https://archidekt.com/decks/11515294?utm_source=edhrec&utm_medium=deck_summary,3,Chandra's Phoenix,Creature,$0.49
LVxvmaFvyfL1ZXfrgwCLFw,https://archidekt.com/decks/11515294?utm_source=edhrec&utm_medium=deck_summary,2,Coruscation Mage,Creature,$2.29
LVxvmaFvyfL1ZXfrgwCLFw,https://archidekt.com/decks/11515294?utm_source=edhrec&utm_medium=deck_summary,1,Dragonmaster Outcast,Creature,$0.99
LVxvmaFvyfL1ZXfrgwCLFw,https://archidekt.com/decks/11515294?utm_source=edhrec&utm_medium=deck_summary,3,Dualcaster Mage,Creature,$4.49
LVxvmaFvyfL1ZXfrgwCLFw,https://archidekt.com/decks/11515294?utm_source=edhrec&utm_medium=deck_summary,3,"Electro, Assaulting Battery",Creature,$9.49
LVxvmaFvyfL1ZXfrgwCLFw,https://archidekt.com/decks/11515294?utm_source=edhrec&utm_medium=deck_summary,2,Electrostatic Field,Creature,$2.49
LVxvmaFvyfL1ZXfrgwCLFw,https://archidekt.com/decks/11515294?utm_source=edhrec&utm_medium=deck_summary,2,Firebrand Archer,Creature,$0.35
LVxvmaFvyfL1ZXfrgwCLFw,https://archidekt.com/decks/11515294?utm_source=edhrec&utm_medium=deck_summary,3,Goblin Chainwhirler,Creature,$0.59
LVxvmaFvyfL1ZXfrgwCLFw,https://archidekt.com/decks/11515294?utm_source=edhrec&utm_medium=deck_summary,3,Guttersnipe,Creature,$0.49
LVxvmaFvyfL1ZXfrgwCLFw,https://archidekt.com/decks/11515294?utm_source=edhrec&utm_medium=deck_summary,2,Kessig Flamebreather,Creature,$5.99
LVxvmaFvyfL1ZXfrgwCLFw,https://archidekt.com/decks/11515294?utm_source=edhrec&utm_medium=deck_summary,1,"Ragavan, Nimble Pilferer",Creature,$54.99
LVxvmaFvyfL1ZXfrgwCLFw,https://archidekt.com/decks/11515294?utm_source=edhrec&utm_medium=deck_summary,2,Razorkin Needlehead,Creature,$8.99
LVxvmaFvyfL1ZXfrgwCLFw,https://archidekt.com/decks/11515294?utm_source=edhrec&utm_medium=deck_summary,2,Runaway Steam-Kin,Creature,$2.49
LVxvmaFvyfL1ZXfrgwCLFw,https://archidekt.com/decks/11515294?utm_source=edhrec&utm_medium=deck_summary,4,"Solphim, Mayhem Dominus",Creature,$34.99
LVxvmaFvyfL1ZXfrgwCLFw,https://archidekt.com/decks/11515294?utm_source=edhrec&utm_medium=deck_summary,5,Twinflame Tyrant,Creature,$34.99
LVxvmaFvyfL1ZXfrgwCLFw,https://archidekt.com/decks/11515294?utm_source=edhrec&utm_medium=deck_summary,4,Urabrask,Creature,$27.99
LVxvmaFvyfL1ZXfrgwCLFw,https://archidekt.com/decks/11515294?utm_source=edhrec&utm_medium=deck_summary,4,Bolt Bend,Instant,$3.49
LVxvmaFvyfL1ZXfrgwCLFw,https://archidekt.com/decks/11515294?utm_source=edhrec&utm_medium=deck_summary,3,Deflecting Swat,Instant,$89.99
LVxvmaFvyfL1ZXfrgwCLFw,https://archidekt.com/decks/11515294?utm_source=edhrec&utm_medium=deck_summary,2,Dual Strike,Instant,$0.35
LVxvmaFvyfL1ZXfrgwCLFw,https://archidekt.com/decks/11515294?utm_source=edhrec&utm_medium=deck_summary,1,Electrickery,Instant,$0.39
LVxvmaFvyfL1ZXfrgwCLFw,https://archidekt.com/decks/11515294?utm_source=edhrec&utm_medium=deck_summary,1,Flashback,Instant,$7.99
LVxvmaFvyfL1ZXfrgwCLFw,https://archidekt.com/decks/11515294?utm_source=edhrec&utm_medium=deck_summary,1,Gut Shot,Instant,$8.49
LVxvmaFvyfL1ZXfrgwCLFw,https://archidekt.com/decks/11515294?utm_source=edhrec&utm_medium=deck_summary,1,Lightning Bolt,Instant,$1.99
LVxvmaFvyfL1ZXfrgwCLFw,https://archidekt.com/decks/11515294?utm_source=edhrec&utm_medium=deck_summary,2,Punishing Fire,Instant,$0.35
LVxvmaFvyfL1ZXfrgwCLFw,https://archidekt.com/decks/11515294?utm_source=edhrec&utm_medium=deck_summary,1,Redirect Lightning,Instant,$17.99
LVxvmaFvyfL1ZXfrgwCLFw,https://archidekt.com/decks/11515294?utm_source=edhrec&utm_medium=deck_summary,3,Reiterate,Instant,$23.99
