deck_id,deck_source,cmc,name,type,price
Li-tdqPL2kZczlTK3jP0jw,https://moxfield.com/decks/1fIam_q9YUKR7iyT0rKXtQ?utm_source=edhrec&utm_medium=deck_summary,1,Blisterspit Gremlin,Creature,$0.35
Li-tdqPL2kZczlTK3jP0jw,https://moxfield.com/decks/1fIam_q9YUKR7iyT0rKXtQ?utm_source=edhrec&utm_medium=deck_summary,2,Coruscation Mage,Creature,$2.29
Li-tdqPL2kZczlTK3jP0jw,https://moxfield.com/decks/1fIam_q9YUKR7iyT0rKXtQ?utm_source=edhrec&utm_medium=deck_summary,2,Electrostatic Field,Creature,$2.29
Li-tdqPL2kZczlTK3jP0jw,https://moxfield.com/decks/1fIam_q9YUKR7iyT0rKXtQ?utm_source=edhrec&utm_medium=deck_summary,2,Erebor Flamesmith,Creature,$0.79
Li-tdqPL2kZczlTK3jP0jw,https://moxfield.com/decks/1fIam_q9YUKR7iyT0rKXtQ?utm_source=edhrec&utm_medium=deck_summary,2,Firebrand Archer,Creature,$0.35
Li-tdqPL2kZczlTK3jP0jw,https://moxfield.com/decks/1fIam_q9YUKR7iyT0rKXtQ?utm_source=edhrec&utm_medium=deck_summary,3,Guttersnipe,Creature,$0.49
Li-tdqPL2kZczlTK3jP0jw,https://moxfield.com/decks/1fIam_q9YUKR7iyT0rKXtQ?utm_source=edhrec&utm_medium=deck_summary,2,Kessig Flamebreather,Creature,$3.49
Li-tdqPL2kZczlTK3jP0jw,https://moxfield.com/decks/1fIam_q9YUKR7iyT0rKXtQ?utm_source=edhrec&utm_medium=deck_summary,2,Myr Convert,Creature,$0.35
Li-tdqPL2kZczlTK3jP0jw,https://moxfield.com/decks/1fIam_q9YUKR7iyT0rKXtQ?utm_source=edhrec&utm_medium=deck_summary,2,Ornithopter of Paradise,Creature,$0.99
Li-tdqPL2kZczlTK3jP0jw,https://moxfield.com/decks/1fIam_q9YUKR7iyT0rKXtQ?utm_source=edhrec&utm_medium=deck_summary,2,Razorkin Needlehead,Creature,$9.49
Li-tdqPL2kZczlTK3jP0jw,https://moxfield.com/decks/1fIam_q9YUKR7iyT0rKXtQ?utm_source=edhrec&utm_medium=deck_summary,1,Sawblade Scamp,Creature,$0.35
Li-tdqPL2kZczlTK3jP0jw,https://moxfield.com/decks/1fIam_q9YUKR7iyT0rKXtQ?utm_source=edhrec&utm_medium=deck_summary,2,Thermo-Alchemist,Creature,$0.39
Li-tdqPL2kZczlTK3jP0jw,https://moxfield.com/decks/1fIam_q9YUKR7iyT0rKXtQ?utm_source=edhrec&utm_medium=deck_summary,3,Unruly Catapult,Creature,$0.39
Li-tdqPL2kZczlTK3jP0jw,https://moxfield.com/decks/1fIam_q9YUKR7iyT0rKXtQ?utm_source=edhrec&utm_medium=deck_summary,4,Urabrask,Creature,$19.99
Li-tdqPL2kZczlTK3jP0jw,https://moxfield.com/decks/1fIam_q9YUKR7iyT0rKXtQ?utm_source=edhrec&utm_medium=deck_summary,1,Voldaren Epicure,Creature,$0.35
Li-tdqPL2kZczlTK3jP0jw,https://moxfield.com/decks/1fIam_q9YUKR7iyT0rKXtQ?utm_source=edhrec&utm_medium=deck_summary,1,Borrowed Hostility,Instant,$0.35
Li-tdqPL2kZczlTK3jP0jw,https://moxfield.com/decks/1fIam_q9YUKR7iyT0rKXtQ?utm_source=edhrec&utm_medium=deck_summary,1,Brute Force,Instant,$0.35
Li-tdqPL2kZczlTK3jP0jw,https://moxfield.com/decks/1fIam_q9YUKR7iyT0rKXtQ?utm_source=edhrec&utm_medium=deck_summary,1,Coming In Hot,Instant,$0.35
Li-tdqPL2kZczlTK3jP0jw,https://moxfield.com/decks/1fIam_q9YUKR7iyT0rKXtQ?utm_source=edhrec&utm_medium=deck_summary,2,Electrodominance,Instant,$0.69
Li-tdqPL2kZczlTK3jP0jw,https://moxfield.com/decks/1fIam_q9YUKR7iyT0rKXtQ?utm_source=edhrec&utm_medium=deck_summary,1,Felonious Rage,Instant,$0.35
Li-tdqPL2kZczlTK3jP0jw,https://moxfield.com/decks/1fIam_q9YUKR7iyT0rKXtQ?utm_source=edhrec&utm_medium=deck_summary,2,Fists of Flame,Instant,$0.35
Li-tdqPL2kZczlTK3jP0jw,https://moxfield.com/decks/1fIam_q9YUKR7iyT0rKXtQ?utm_source=edhrec&utm_medium=deck_summary,3,Flick a Coin,Instant,$0.35
Li-tdqPL2kZczlTK3jP0jw,https://moxfield.com/decks/1fIam_q9YUKR7iyT0rKXtQ?utm_source=edhrec&utm_medium=deck_summary,1,Free from Flesh,Instant,$0.35
Li-tdqPL2kZczlTK3jP0jw,https://moxfield.com/decks/1fIam_q9YUKR7iyT0rKXtQ?utm_source=edhrec&utm_medium=deck_summary,1,Infuriate,Instant,$0.35
Li-tdqPL2kZczlTK3jP0jw,https://moxfield.com/decks/1fIam_q9YUKR7iyT0rKXtQ?utm_source=edhrec&utm_medium=deck_summary,1,Kindled Heroism,Instant,$0.35
Li-tdqPL2kZczlTK3jP0jw,https://moxfield.com/decks/1fIam_q9YUKR7iyT0rKXtQ?utm_source=edhrec&utm_medium=deck_summary,1,Lava Dart,Instant,$0.99
Li-tdqPL2kZczlTK3jP0jw,https://moxfield.com/decks/1fIam_q9YUKR7iyT0rKXtQ?utm_source=edhrec&utm_medium=deck_summary,1,Monstrous Rage,Instant,$1.29
Li-tdqPL2kZczlTK3jP0jw,https://moxfield.com/decks/1fIam_q9YUKR7iyT0rKXtQ?utm_source=edhrec&utm_medium=deck_summary,2,Sazacap's Brew,Instant,$0.35
Li-tdqPL2kZczlTK3jP0jw,https://moxfield.com/decks/1fIam_q9YUKR7iyT0rKXtQ?utm_source=edhrec&utm_medium=deck_summary,2,Siege Smash,Instant,$0.35
Li-tdqPL2kZczlTK3jP0jw,https://moxfield.com/decks/1fIam_q9YUKR7iyT0rKXtQ?utm_source=edhrec&utm_medium=deck_summary,2,Sure Strike,Instant,$0.35
Li-tdqPL2kZczlTK3jP0jw,https://moxfield.com/decks/1fIam_q9YUKR7iyT0rKXtQ?utm_source=edhrec&utm_medium=deck_summary,1,Titan's Strength,Instant,$0.35
Li-tdqPL2kZczlTK3jP0jw,https://moxfield.com/decks/1fIam_q9YUKR7iyT0rKXtQ?utm_source=edhrec&utm_medium=deck_summary,1,Turn Inside Out,Instant,$0.35
Li-tdqPL2kZczlTK3jP0jw,https://moxfield.com/decks/1fIam_q9YUKR7iyT0rKXtQ?utm_source=edhrec&utm_medium=deck_summary,2,Twin Bolt,Instant,$0.35
Li-tdqPL2kZczlTK3jP0jw,https://moxfield.com/decks/1fIam_q9YUKR7iyT0rKXtQ?utm_source=edhrec&utm_medium=deck_summary,1,Boltwave,Sorcery,$4.99
Li-tdqPL2kZczlTK3jP0jw,https://moxfield.com/decks/1fIam_q9YUKR7iyT0rKXtQ?utm_source=edhrec&utm_medium=deck_summary,2,Cathartic Reunion,Sorcery,$0.35
Li-tdqPL2kZczlTK3jP0jw,https://moxfield.com/decks/1fIam_q9YUKR7iyT0rKXtQ?utm_source=edhrec&utm_medium=deck_summary,1,End the Festivities,Sorcery,$0.69
Li-tdqPL2kZczlTK3jP0jw,https://moxfield.com/decks/1fIam_q9YUKR7iyT0rKXtQ?utm_source=edhrec&utm_medium=deck_summary,1,Faithless Looting,Sorcery,$0.69
Li-tdqPL2kZczlTK3jP0jw,https://moxfield.com/decks/1fIam_q9YUKR7iyT0rKXtQ?utm_source=edhrec&utm_medium=deck_summary,4,Fiery Confluence,Sorcery,$0.69
Li-tdqPL2kZczlTK3jP0jw,https://moxfield.com/decks/1fIam_q9YUKR7iyT0rKXtQ?utm_source=edhrec&utm_medium=deck_summary,1,Gamble,Sorcery,$13.99
Li-tdqPL2kZczlTK3jP0jw,https://moxfield.com/decks/1fIam_q9YUKR7iyT0rKXtQ?utm_source=edhrec&utm_medium=deck_summary,2,Grab the Prize,Sorcery,$0.99
Li-tdqPL2kZczlTK3jP0jw,https://moxfield.com/decks/1fIam_q9YUKR7iyT0rKXtQ?utm_source=edhrec&utm_medium=deck_summary,2,Grapeshot,Sorcery,$0.35
Li-tdqPL2kZczlTK3jP0jw,https://moxfield.com/decks/1fIam_q9YUKR7iyT0rKXtQ?utm_source=edhrec&utm_medium=deck_summary,3,Into the Fire,Sorcery,$0.49
Li-tdqPL2kZczlTK3jP0jw,https://moxfield.com/decks/1fIam_q9YUKR7iyT0rKXtQ?utm_source=edhrec&utm_medium=deck_summary,4,Past in Flames,Sorcery,$1.79
Li-tdqPL2kZczlTK3jP0jw,https://moxfield.com/decks/1fIam_q9YUKR7iyT0rKXtQ?utm_source=edhrec&utm_medium=deck_summary,3,Skewer the Critics,Sorcery,$0.35
