deck_id,deck_source,cmc,name,type,price
LniGmAaeYIjEhoIdYEGGiA,https://moxfield.com/decks/rfhBFsU9A0CWc3B-A7xo4Q?utm_source=edhrec&utm_medium=deck_summary,4,"Alexios, Deimos of Kosmos",Creature,$0.79
LniGmAaeYIjEhoIdYEGGiA,https://moxfield.com/decks/rfhBFsU9A0CWc3B-A7xo4Q?utm_source=edhrec&utm_medium=deck_summary,4,Barbflare Gremlin,Creature,$0.49
LniGmAaeYIjEhoIdYEGGiA,https://moxfield.com/decks/rfhBFsU9A0CWc3B-A7xo4Q?utm_source=edhrec&utm_medium=deck_summary,2,Cemetery Gatekeeper,Creature,$2.29
LniGmAaeYIjEhoIdYEGGiA,https://moxfield.com/decks/rfhBFsU9A0CWc3B-A7xo4Q?utm_source=edhrec&utm_medium=deck_summary,3,"Chandra, Fire of Kaladesh",Creature,$2.49
LniGmAaeYIjEhoIdYEGGiA,https://moxfield.com/decks/rfhBFsU9A0CWc3B-A7xo4Q?utm_source=edhrec&utm_medium=deck_summary,2,Coruscation Mage,Creature,$2.29
LniGmAaeYIjEhoIdYEGGiA,https://moxfield.com/decks/rfhBFsU9A0CWc3B-A7xo4Q?utm_source=edhrec&utm_medium=deck_summary,4,Defiler of Instinct,Creature,$0.49
LniGmAaeYIjEhoIdYEGGiA,https://moxfield.com/decks/rfhBFsU9A0CWc3B-A7xo4Q?utm_source=edhrec&utm_medium=deck_summary,2,Firebrand Archer,Creature,$0.35
LniGmAaeYIjEhoIdYEGGiA,https://moxfield.com/decks/rfhBFsU9A0CWc3B-A7xo4Q?utm_source=edhrec&utm_medium=deck_summary,3,Firespitter Whelp,Creature,$0.39
LniGmAaeYIjEhoIdYEGGiA,https://moxfield.com/decks/rfhBFsU9A0CWc3B-A7xo4Q?utm_source=edhrec&utm_medium=deck_summary,3,Gleeful Arsonist,Creature,$5.49
LniGmAaeYIjEhoIdYEGGiA,https://moxfield.com/decks/rfhBFsU9A0CWc3B-A7xo4Q?utm_source=edhrec&utm_medium=deck_summary,4,Hellrider,Creature,$0.99
LniGmAaeYIjEhoIdYEGGiA,https://moxfield.com/decks/rfhBFsU9A0CWc3B-A7xo4Q?utm_source=edhrec&utm_medium=deck_summary,2,Kessig Flamebreather,Creature,$3.99
