deck_id,deck_source,cmc,name,type,price
Ls5-E3XKmDX7Xcxh1CEB2A,https://moxfield.com/decks/Gj84OQ3FlkCPQ5kIpFgGaQ?utm_source=edhrec&utm_medium=deck_summary,2,Agate Instigator,Creature,$8.99
Ls5-E3XKmDX7Xcxh1CEB2A,https://moxfield.com/decks/Gj84OQ3FlkCPQ5kIpFgGaQ?utm_source=edhrec&utm_medium=deck_summary,3,Cinder Pyromancer,Creature,$0.35
Ls5-E3XKmDX7Xcxh1CEB2A,https://moxfield.com/decks/Gj84OQ3FlkCPQ5kIpFgGaQ?utm_source=edhrec&utm_medium=deck_summary,2,Coruscation Mage,Creature,$1.99
Ls5-E3XKmDX7Xcxh1CEB2A,https://moxfield.com/decks/Gj84OQ3FlkCPQ5kIpFgGaQ?utm_source=edhrec&utm_medium=deck_summary,2,Eidolon of the Great Revel,Creature,$2.49
Ls5-E3XKmDX7Xcxh1CEB2A,https://moxfield.com/decks/Gj84OQ3FlkCPQ5kIpFgGaQ?utm_source=edhrec&utm_medium=deck_summary,2,Electrostatic Field,Creature,$2.49
Ls5-E3XKmDX7Xcxh1CEB2A,https://moxfield.com/decks/Gj84OQ3FlkCPQ5kIpFgGaQ?utm_source=edhrec&utm_medium=deck_summary,2,Emeritus of Conflict,Creature,$5.49
Ls5-E3XKmDX7Xcxh1CEB2A,https://moxfield.com/decks/Gj84OQ3FlkCPQ5kIpFgGaQ?utm_source=edhrec&utm_medium=deck_summary,2,Erebor Flamesmith,Creature,$0.99
Ls5-E3XKmDX7Xcxh1CEB2A,https://moxfield.com/decks/Gj84OQ3FlkCPQ5kIpFgGaQ?utm_source=edhrec&utm_medium=deck_summary,2,Firebrand Archer,Creature,$0.35
Ls5-E3XKmDX7Xcxh1CEB2A,https://moxfield.com/decks/Gj84OQ3FlkCPQ5kIpFgGaQ?utm_source=edhrec&utm_medium=deck_summary,3,Firespitter Whelp,Creature,$0.39
Ls5-E3XKmDX7Xcxh1CEB2A,https://moxfield.com/decks/Gj84OQ3FlkCPQ5kIpFgGaQ?utm_source=edhrec&utm_medium=deck_summary,3,Gleeful Arsonist,Creature,$6.49
Ls5-E3XKmDX7Xcxh1CEB2A,https://moxfield.com/decks/Gj84OQ3FlkCPQ5kIpFgGaQ?utm_source=edhrec&utm_medium=deck_summary,3,Guttersnipe,Creature,$0.49
Ls5-E3XKmDX7Xcxh1CEB2A,https://moxfield.com/decks/Gj84OQ3FlkCPQ5kIpFgGaQ?utm_source=edhrec&utm_medium=deck_summary,2,Kessig Flamebreather,Creature,$5.99
Ls5-E3XKmDX7Xcxh1CEB2A,https://moxfield.com/decks/Gj84OQ3FlkCPQ5kIpFgGaQ?utm_source=edhrec&utm_medium=deck_summary,3,Molten Gatekeeper,Creature,$0.49
Ls5-E3XKmDX7Xcxh1CEB2A,https://moxfield.com/decks/Gj84OQ3FlkCPQ5kIpFgGaQ?utm_source=edhrec&utm_medium=deck_summary,3,Pain Distributor,Creature,$7.49
Ls5-E3XKmDX7Xcxh1CEB2A,https://moxfield.com/decks/Gj84OQ3FlkCPQ5kIpFgGaQ?utm_source=edhrec&utm_medium=deck_summary,5,Panicked Altisaur,Creature,$0.35
Ls5-E3XKmDX7Xcxh1CEB2A,https://moxfield.com/decks/Gj84OQ3FlkCPQ5kIpFgGaQ?utm_source=edhrec&utm_medium=deck_summary,5,Pinnacle Monk,Creature,$2.99
Ls5-E3XKmDX7Xcxh1CEB2A,https://moxfield.com/decks/Gj84OQ3FlkCPQ5kIpFgGaQ?utm_source=edhrec&utm_medium=deck_summary,4,"Purphoros, God of the Forge",Creature,$29.99
Ls5-E3XKmDX7Xcxh1CEB2A,https://moxfield.com/decks/Gj84OQ3FlkCPQ5kIpFgGaQ?utm_source=edhrec&utm_medium=deck_summary,2,Razorkin Needlehead,Creature,$8.99
Ls5-E3XKmDX7Xcxh1CEB2A,https://moxfield.com/decks/Gj84OQ3FlkCPQ5kIpFgGaQ?utm_source=edhrec&utm_medium=deck_summary,2,Reckless Fireweaver,Creature,$1.29
Ls5-E3XKmDX7Xcxh1CEB2A,https://moxfield.com/decks/Gj84OQ3FlkCPQ5kIpFgGaQ?utm_source=edhrec&utm_medium=deck_summary,2,Sabotender,Creature,$0.35
Ls5-E3XKmDX7Xcxh1CEB2A,https://moxfield.com/decks/Gj84OQ3FlkCPQ5kIpFgGaQ?utm_source=edhrec&utm_medium=deck_summary,2,Sardian Avenger,Creature,$1.79
Ls5-E3XKmDX7Xcxh1CEB2A,https://moxfield.com/decks/Gj84OQ3FlkCPQ5kIpFgGaQ?utm_source=edhrec&utm_medium=deck_summary,4,"Solphim, Mayhem Dominus",Creature,$29.99
Ls5-E3XKmDX7Xcxh1CEB2A,https://moxfield.com/decks/Gj84OQ3FlkCPQ5kIpFgGaQ?utm_source=edhrec&utm_medium=deck_summary,1,Spear Spewer,Creature,$0.35
Ls5-E3XKmDX7Xcxh1CEB2A,https://moxfield.com/decks/Gj84OQ3FlkCPQ5kIpFgGaQ?utm_source=edhrec&utm_medium=deck_summary,2,Thermo-Alchemist,Creature,$0.35
Ls5-E3XKmDX7Xcxh1CEB2A,https://moxfield.com/decks/Gj84OQ3FlkCPQ5kIpFgGaQ?utm_source=edhrec&utm_medium=deck_summary,5,Twinflame Tyrant,Creature,$34.99
Ls5-E3XKmDX7Xcxh1CEB2A,https://moxfield.com/decks/Gj84OQ3FlkCPQ5kIpFgGaQ?utm_source=edhrec&utm_medium=deck_summary,3,Unruly Catapult,Creature,$0.35
Ls5-E3XKmDX7Xcxh1CEB2A,https://moxfield.com/decks/Gj84OQ3FlkCPQ5kIpFgGaQ?utm_source=edhrec&utm_medium=deck_summary,4,Urabrask,Creature,$20.99
Ls5-E3XKmDX7Xcxh1CEB2A,https://moxfield.com/decks/Gj84OQ3FlkCPQ5kIpFgGaQ?utm_source=edhrec&utm_medium=deck_summary,2,Vengeful Tracker,Creature,$0.35
Ls5-E3XKmDX7Xcxh1CEB2A,https://moxfield.com/decks/Gj84OQ3FlkCPQ5kIpFgGaQ?utm_source=edhrec&utm_medium=deck_summary,4,Big Score,Instant,$1.79
Ls5-E3XKmDX7Xcxh1CEB2A,https://moxfield.com/decks/Gj84OQ3FlkCPQ5kIpFgGaQ?utm_source=edhrec&utm_medium=deck_summary,3,Chaos Warp,Instant,$0.69
Ls5-E3XKmDX7Xcxh1CEB2A,https://moxfield.com/decks/Gj84OQ3FlkCPQ5kIpFgGaQ?utm_source=edhrec&utm_medium=deck_summary,3,Deflecting Swat,Instant,$69.99
Ls5-E3XKmDX7Xcxh1CEB2A,https://moxfield.com/decks/Gj84OQ3FlkCPQ5kIpFgGaQ?utm_source=edhrec&utm_medium=deck_summary,1,Electrickery,Instant,$0.35
Ls5-E3XKmDX7Xcxh1CEB2A,https://moxfield.com/decks/Gj84OQ3FlkCPQ5kIpFgGaQ?utm_source=edhrec&utm_medium=deck_summary,3,Flare of Duplication,Instant,$2.99
Ls5-E3XKmDX7Xcxh1CEB2A,https://moxfield.com/decks/Gj84OQ3FlkCPQ5kIpFgGaQ?utm_source=edhrec&utm_medium=deck_summary,3,Flick a Coin,Instant,$0.59
Ls5-E3XKmDX7Xcxh1CEB2A,https://moxfield.com/decks/Gj84OQ3FlkCPQ5kIpFgGaQ?utm_source=edhrec&utm_medium=deck_summary,1,Galvanic Blast,Instant,$2.79
Ls5-E3XKmDX7Xcxh1CEB2A,https://moxfield.com/decks/Gj84OQ3FlkCPQ5kIpFgGaQ?utm_source=edhrec&utm_medium=deck_summary,1,Lightning Bolt,Instant,$1.99
Ls5-E3XKmDX7Xcxh1CEB2A,https://moxfield.com/decks/Gj84OQ3FlkCPQ5kIpFgGaQ?utm_source=edhrec&utm_medium=deck_summary,2,Price of Progress,Instant,$8.99
Ls5-E3XKmDX7Xcxh1CEB2A,https://moxfield.com/decks/Gj84OQ3FlkCPQ5kIpFgGaQ?utm_source=edhrec&utm_medium=deck_summary,2,Pyretic Ritual,Instant,$7.49
Ls5-E3XKmDX7Xcxh1CEB2A,https://moxfield.com/decks/Gj84OQ3FlkCPQ5kIpFgGaQ?utm_source=edhrec&utm_medium=deck_summary,1,Shock,Instant,$0.35
Ls5-E3XKmDX7Xcxh1CEB2A,https://moxfield.com/decks/Gj84OQ3FlkCPQ5kIpFgGaQ?utm_source=edhrec&utm_medium=deck_summary,2,Tibalt's Trickery,Instant,$14.99
Ls5-E3XKmDX7Xcxh1CEB2A,https://moxfield.com/decks/Gj84OQ3FlkCPQ5kIpFgGaQ?utm_source=edhrec&utm_medium=deck_summary,4,Unexpected Windfall,Instant,$4.99
Ls5-E3XKmDX7Xcxh1CEB2A,https://moxfield.com/decks/Gj84OQ3FlkCPQ5kIpFgGaQ?utm_source=edhrec&utm_medium=deck_summary,2,Untimely Malfunction,Instant,$9.49
Ls5-E3XKmDX7Xcxh1CEB2A,https://moxfield.com/decks/Gj84OQ3FlkCPQ5kIpFgGaQ?utm_source=edhrec&utm_medium=deck_summary,3,Valakut Awakening,Instant,$20.99
Ls5-E3XKmDX7Xcxh1CEB2A,https://moxfield.com/decks/Gj84OQ3FlkCPQ5kIpFgGaQ?utm_source=edhrec&utm_medium=deck_summary,2,Wild Magic Surge,Instant,$2.79
Ls5-E3XKmDX7Xcxh1CEB2A,https://moxfield.com/decks/Gj84OQ3FlkCPQ5kIpFgGaQ?utm_source=edhrec&utm_medium=deck_summary,9,Blasphemous Act,Sorcery,$2.49
Ls5-E3XKmDX7Xcxh1CEB2A,https://moxfield.com/decks/Gj84OQ3FlkCPQ5kIpFgGaQ?utm_source=edhrec&utm_medium=deck_summary,1,Boltwave,Sorcery,$3.99
Ls5-E3XKmDX7Xcxh1CEB2A,https://moxfield.com/decks/Gj84OQ3FlkCPQ5kIpFgGaQ?utm_source=edhrec&utm_medium=deck_summary,4,Disrupt Decorum,Sorcery,$4.99
Ls5-E3XKmDX7Xcxh1CEB2A,https://moxfield.com/decks/Gj84OQ3FlkCPQ5kIpFgGaQ?utm_source=edhrec&utm_medium=deck_summary,1,Earthquake,Sorcery,$0.69
Ls5-E3XKmDX7Xcxh1CEB2A,https://moxfield.com/decks/Gj84OQ3FlkCPQ5kIpFgGaQ?utm_source=edhrec&utm_medium=deck_summary,1,End the Festivities,Sorcery,$1.99
Ls5-E3XKmDX7Xcxh1CEB2A,https://moxfield.com/decks/Gj84OQ3FlkCPQ5kIpFgGaQ?utm_source=edhrec&utm_medium=deck_summary,4,Fiery Confluence,Sorcery,$0.69
Ls5-E3XKmDX7Xcxh1CEB2A,https://moxfield.com/decks/Gj84OQ3FlkCPQ5kIpFgGaQ?utm_source=edhrec&utm_medium=deck_summary,4,Flame Fusillade,Sorcery,$5.49
Ls5-E3XKmDX7Xcxh1CEB2A,https://moxfield.com/decks/Gj84OQ3FlkCPQ5kIpFgGaQ?utm_source=edhrec&utm_medium=deck_summary,3,Jeska's Will,Sorcery,$44.99
Ls5-E3XKmDX7Xcxh1CEB2A,https://moxfield.com/decks/Gj84OQ3FlkCPQ5kIpFgGaQ?utm_source=edhrec&utm_medium=deck_summary,2,Rain of Embers,Sorcery,$0.35
Ls5-E3XKmDX7Xcxh1CEB2A,https://moxfield.com/decks/Gj84OQ3FlkCPQ5kIpFgGaQ?utm_source=edhrec&utm_medium=deck_summary,2,Suplex,Sorcery,$0.35
Ls5-E3XKmDX7Xcxh1CEB2A,https://moxfield.com/decks/Gj84OQ3FlkCPQ5kIpFgGaQ?utm_source=edhrec&utm_medium=deck_summary,1,Tectonic Hazard,Sorcery,$0.79
Ls5-E3XKmDX7Xcxh1CEB2A,https://moxfield.com/decks/Gj84OQ3FlkCPQ5kIpFgGaQ?utm_source=edhrec&utm_medium=deck_summary,1,Vandalblast,Sorcery,$2.99
