deck_id,deck_source,cmc,name,type,price
LtPw6B0Q8NlM-UTG3AB_Wg,https://moxfield.com/decks/MJY1k-uOkkeP2SKk4pJfDA?utm_source=edhrec&utm_medium=deck_summary,2,Coruscation Mage,Creature,$2.29
LtPw6B0Q8NlM-UTG3AB_Wg,https://moxfield.com/decks/MJY1k-uOkkeP2SKk4pJfDA?utm_source=edhrec&utm_medium=deck_summary,4,Defiler of Instinct,Creature,$0.49
LtPw6B0Q8NlM-UTG3AB_Wg,https://moxfield.com/decks/MJY1k-uOkkeP2SKk4pJfDA?utm_source=edhrec&utm_medium=deck_summary,2,Electrostatic Field,Creature,$1.99
LtPw6B0Q8NlM-UTG3AB_Wg,https://moxfield.com/decks/MJY1k-uOkkeP2SKk4pJfDA?utm_source=edhrec&utm_medium=deck_summary,2,Erebor Flamesmith,Creature,$0.99
LtPw6B0Q8NlM-UTG3AB_Wg,https://moxfield.com/decks/MJY1k-uOkkeP2SKk4pJfDA?utm_source=edhrec&utm_medium=deck_summary,2,Firebrand Archer,Creature,$0.35
LtPw6B0Q8NlM-UTG3AB_Wg,https://moxfield.com/decks/MJY1k-uOkkeP2SKk4pJfDA?utm_source=edhrec&utm_medium=deck_summary,3,Furnace Punisher,Creature,$0.35
LtPw6B0Q8NlM-UTG3AB_Wg,https://moxfield.com/decks/MJY1k-uOkkeP2SKk4pJfDA?utm_source=edhrec&utm_medium=deck_summary,4,"Gimli, Counter of Kills",Creature,$0.35
LtPw6B0Q8NlM-UTG3AB_Wg,https://moxfield.com/decks/MJY1k-uOkkeP2SKk4pJfDA?utm_source=edhrec&utm_medium=deck_summary,3,Gleeful Arsonist,Creature,$5.49
LtPw6B0Q8NlM-UTG3AB_Wg,https://moxfield.com/decks/MJY1k-uOkkeP2SKk4pJfDA?utm_source=edhrec&utm_medium=deck_summary,1,Goblin Fireslinger,Creature,$0.35
LtPw6B0Q8NlM-UTG3AB_Wg,https://moxfield.com/decks/MJY1k-uOkkeP2SKk4pJfDA?utm_source=edhrec&utm_medium=deck_summary,3,Guttersnipe,Creature,$0.59
LtPw6B0Q8NlM-UTG3AB_Wg,https://moxfield.com/decks/MJY1k-uOkkeP2SKk4pJfDA?utm_source=edhrec&utm_medium=deck_summary,2,Harsh Mentor,Creature,$0.49
LtPw6B0Q8NlM-UTG3AB_Wg,https://moxfield.com/decks/MJY1k-uOkkeP2SKk4pJfDA?utm_source=edhrec&utm_medium=deck_summary,3,Hearthborn Battler,Creature,$0.49
LtPw6B0Q8NlM-UTG3AB_Wg,https://moxfield.com/decks/MJY1k-uOkkeP2SKk4pJfDA?utm_source=edhrec&utm_medium=deck_summary,2,Kessig Flamebreather,Creature,$3.99
LtPw6B0Q8NlM-UTG3AB_Wg,https://moxfield.com/decks/MJY1k-uOkkeP2SKk4pJfDA?utm_source=edhrec&utm_medium=deck_summary,3,"Livaan, Cultist of Tiamat",Creature,$0.35
LtPw6B0Q8NlM-UTG3AB_Wg,https://moxfield.com/decks/MJY1k-uOkkeP2SKk4pJfDA?utm_source=edhrec&utm_medium=deck_summary,2,Razorkin Needlehead,Creature,$9.49
LtPw6B0Q8NlM-UTG3AB_Wg,https://moxfield.com/decks/MJY1k-uOkkeP2SKk4pJfDA?utm_source=edhrec&utm_medium=deck_summary,1,Sawblade Scamp,Creature,$0.35
LtPw6B0Q8NlM-UTG3AB_Wg,https://moxfield.com/decks/MJY1k-uOkkeP2SKk4pJfDA?utm_source=edhrec&utm_medium=deck_summary,3,Scytheclaw Raptor,Creature,$0.35
LtPw6B0Q8NlM-UTG3AB_Wg,https://moxfield.com/decks/MJY1k-uOkkeP2SKk4pJfDA?utm_source=edhrec&utm_medium=deck_summary,4,"Solphim, Mayhem Dominus",Creature,$27.99
LtPw6B0Q8NlM-UTG3AB_Wg,https://moxfield.com/decks/MJY1k-uOkkeP2SKk4pJfDA?utm_source=edhrec&utm_medium=deck_summary,2,Sunshot Militia,Creature,$0.39
LtPw6B0Q8NlM-UTG3AB_Wg,https://moxfield.com/decks/MJY1k-uOkkeP2SKk4pJfDA?utm_source=edhrec&utm_medium=deck_summary,2,Thermo-Alchemist,Creature,$0.35
LtPw6B0Q8NlM-UTG3AB_Wg,https://moxfield.com/decks/MJY1k-uOkkeP2SKk4pJfDA?utm_source=edhrec&utm_medium=deck_summary,4,Thundering Raiju,Creature,$0.99
LtPw6B0Q8NlM-UTG3AB_Wg,https://moxfield.com/decks/MJY1k-uOkkeP2SKk4pJfDA?utm_source=edhrec&utm_medium=deck_summary,3,Unruly Catapult,Creature,$0.49
LtPw6B0Q8NlM-UTG3AB_Wg,https://moxfield.com/decks/MJY1k-uOkkeP2SKk4pJfDA?utm_source=edhrec&utm_medium=deck_summary,1,Lightning Bolt,Instant,$1.79
LtPw6B0Q8NlM-UTG3AB_Wg,https://moxfield.com/decks/MJY1k-uOkkeP2SKk4pJfDA?utm_source=edhrec&utm_medium=deck_summary,1,Needle Drop,Instant,$2.29
LtPw6B0Q8NlM-UTG3AB_Wg,https://moxfield.com/decks/MJY1k-uOkkeP2SKk4pJfDA?utm_source=edhrec&utm_medium=deck_summary,1,Play with Fire,Instant,$0.39
LtPw6B0Q8NlM-UTG3AB_Wg,https://moxfield.com/decks/MJY1k-uOkkeP2SKk4pJfDA?utm_source=edhrec&utm_medium=deck_summary,2,Pyretic Ritual,Instant,$8.49
LtPw6B0Q8NlM-UTG3AB_Wg,https://moxfield.com/decks/MJY1k-uOkkeP2SKk4pJfDA?utm_source=edhrec&utm_medium=deck_summary,2,Thrill of Possibility,Instant,$0.35
LtPw6B0Q8NlM-UTG3AB_Wg,https://moxfield.com/decks/MJY1k-uOkkeP2SKk4pJfDA?utm_source=edhrec&utm_medium=deck_summary,3,Volcanic Fallout,Instant,$0.35
LtPw6B0Q8NlM-UTG3AB_Wg,https://moxfield.com/decks/MJY1k-uOkkeP2SKk4pJfDA?utm_source=edhrec&utm_medium=deck_summary,3,Arc Lightning,Sorcery,$0.35
LtPw6B0Q8NlM-UTG3AB_Wg,https://moxfield.com/decks/MJY1k-uOkkeP2SKk4pJfDA?utm_source=edhrec&utm_medium=deck_summary,2,Arc Trail,Sorcery,$0.35
LtPw6B0Q8NlM-UTG3AB_Wg,https://moxfield.com/decks/MJY1k-uOkkeP2SKk4pJfDA?utm_source=edhrec&utm_medium=deck_summary,2,Avacyn's Judgment,Sorcery,$0.49
LtPw6B0Q8NlM-UTG3AB_Wg,https://moxfield.com/decks/MJY1k-uOkkeP2SKk4pJfDA?utm_source=edhrec&utm_medium=deck_summary,9,Blasphemous Act,Sorcery,$3.49
LtPw6B0Q8NlM-UTG3AB_Wg,https://moxfield.com/decks/MJY1k-uOkkeP2SKk4pJfDA?utm_source=edhrec&utm_medium=deck_summary,1,Faithless Looting,Sorcery,$0.69
LtPw6B0Q8NlM-UTG3AB_Wg,https://moxfield.com/decks/MJY1k-uOkkeP2SKk4pJfDA?utm_source=edhrec&utm_medium=deck_summary,4,Fiery Confluence,Sorcery,$0.79
LtPw6B0Q8NlM-UTG3AB_Wg,https://moxfield.com/decks/MJY1k-uOkkeP2SKk4pJfDA?utm_source=edhrec&utm_medium=deck_summary,1,Fireball,Sorcery,$0.35
LtPw6B0Q8NlM-UTG3AB_Wg,https://moxfield.com/decks/MJY1k-uOkkeP2SKk4pJfDA?utm_source=edhrec&utm_medium=deck_summary,1,Flame Jab,Sorcery,$0.35
LtPw6B0Q8NlM-UTG3AB_Wg,https://moxfield.com/decks/MJY1k-uOkkeP2SKk4pJfDA?utm_source=edhrec&utm_medium=deck_summary,2,Grapeshot,Sorcery,$0.35
LtPw6B0Q8NlM-UTG3AB_Wg,https://moxfield.com/decks/MJY1k-uOkkeP2SKk4pJfDA?utm_source=edhrec&utm_medium=deck_summary,1,Infernal Plunge,Sorcery,$0.99
LtPw6B0Q8NlM-UTG3AB_Wg,https://moxfield.com/decks/MJY1k-uOkkeP2SKk4pJfDA?utm_source=edhrec&utm_medium=deck_summary,3,Light Up the Stage,Sorcery,$0.35
LtPw6B0Q8NlM-UTG3AB_Wg,https://moxfield.com/decks/MJY1k-uOkkeP2SKk4pJfDA?utm_source=edhrec&utm_medium=deck_summary,3,Magic Missile,Sorcery,$0.35
LtPw6B0Q8NlM-UTG3AB_Wg,https://moxfield.com/decks/MJY1k-uOkkeP2SKk4pJfDA?utm_source=edhrec&utm_medium=deck_summary,2,Reckless Impulse,Sorcery,$1.29
LtPw6B0Q8NlM-UTG3AB_Wg,https://moxfield.com/decks/MJY1k-uOkkeP2SKk4pJfDA?utm_source=edhrec&utm_medium=deck_summary,1,Tectonic Hazard,Sorcery,$0.35
LtPw6B0Q8NlM-UTG3AB_Wg,https://moxfield.com/decks/MJY1k-uOkkeP2SKk4pJfDA?utm_source=edhrec&utm_medium=deck_summary,2,Tormenting Voice,Sorcery,$0.35
LtPw6B0Q8NlM-UTG3AB_Wg,https://moxfield.com/decks/MJY1k-uOkkeP2SKk4pJfDA?utm_source=edhrec&utm_medium=deck_summary,1,Vandalblast,Sorcery,$2.99
LtPw6B0Q8NlM-UTG3AB_Wg,https://moxfield.com/decks/MJY1k-uOkkeP2SKk4pJfDA?utm_source=edhrec&utm_medium=deck_summary,2,Witch's Mark,Sorcery,$0.35
LtPw6B0Q8NlM-UTG3AB_Wg,https://moxfield.com/decks/MJY1k-uOkkeP2SKk4pJfDA?utm_source=edhrec&utm_medium=deck_summary,2,Arcane Signet,Artifact,$0.79
LtPw6B0Q8NlM-UTG3AB_Wg,https://moxfield.com/decks/MJY1k-uOkkeP2SKk4pJfDA?utm_source=edhrec&utm_medium=deck_summary,2,Blackblade Reforged,Artifact,$3.49
LtPw6B0Q8NlM-UTG3AB_Wg,https://moxfield.com/decks/MJY1k-uOkkeP2SKk4pJfDA?utm_source=edhrec&utm_medium=deck_summary,1,Diamond Pick-Axe,Artifact,$1.29
LtPw6B0Q8NlM-UTG3AB_Wg,https://moxfield.com/decks/MJY1k-uOkkeP2SKk4pJfDA?utm_source=edhrec&utm_medium=deck_summary,1,Dire Flail,Artifact,$0.49
