deck_id,deck_source,cmc,name,type,price
M-LpBkCbcJMJCOzBomEDJw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,"Ashling, Flame Dancer",Creature,$18.99
M-LpBkCbcJMJCOzBomEDJw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,6,Chandra's Incinerator,Creature,$3.49
M-LpBkCbcJMJCOzBomEDJw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Cinder Pyromancer,Creature,$0.35
M-LpBkCbcJMJCOzBomEDJw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Coruscation Mage,Creature,$2.79
M-LpBkCbcJMJCOzBomEDJw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Defiler of Instinct,Creature,$0.99
M-LpBkCbcJMJCOzBomEDJw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Electrostatic Field,Creature,$1.99
M-LpBkCbcJMJCOzBomEDJw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Firebrand Archer,Creature,$0.49
M-LpBkCbcJMJCOzBomEDJw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Gleeful Arsonist,Creature,$5.49
M-LpBkCbcJMJCOzBomEDJw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Goblin Chirurgeon,Creature,$1.49
M-LpBkCbcJMJCOzBomEDJw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Harsh Mentor,Creature,$0.49
M-LpBkCbcJMJCOzBomEDJw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Kessig Flamebreather,Creature,$4.49
M-LpBkCbcJMJCOzBomEDJw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Magebane Lizard,Creature,$1.49
M-LpBkCbcJMJCOzBomEDJw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,5,"Neheb, the Eternal",Creature,$6.49
M-LpBkCbcJMJCOzBomEDJw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Rampaging Ferocidon,Creature,$1.49
M-LpBkCbcJMJCOzBomEDJw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Razorkin Needlehead,Creature,$11.99
M-LpBkCbcJMJCOzBomEDJw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Screaming Nemesis,Creature,$9.49
M-LpBkCbcJMJCOzBomEDJw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,"Solphim, Mayhem Dominus",Creature,$34.99
M-LpBkCbcJMJCOzBomEDJw,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Spear Spewer,Creature,$0.35
