deck_id,deck_source,cmc,name,type,price
M401zEk1sdcS3LKjpxCnyg,https://moxfield.com/decks/A2Tq8-2SyEmGkvHnIFeWIw?utm_source=edhrec&utm_medium=deck_summary,3,"Birgi, God of Storytelling",Creature,$42.99
M401zEk1sdcS3LKjpxCnyg,https://moxfield.com/decks/A2Tq8-2SyEmGkvHnIFeWIw?utm_source=edhrec&utm_medium=deck_summary,3,"Chandra, Fire of Kaladesh",Creature,$2.29
M401zEk1sdcS3LKjpxCnyg,https://moxfield.com/decks/A2Tq8-2SyEmGkvHnIFeWIw?utm_source=edhrec&utm_medium=deck_summary,3,Dualcaster Mage,Creature,$4.49
M401zEk1sdcS3LKjpxCnyg,https://moxfield.com/decks/A2Tq8-2SyEmGkvHnIFeWIw?utm_source=edhrec&utm_medium=deck_summary,2,Eidolon of the Great Revel,Creature,$2.99
M401zEk1sdcS3LKjpxCnyg,https://moxfield.com/decks/A2Tq8-2SyEmGkvHnIFeWIw?utm_source=edhrec&utm_medium=deck_summary,3,Gleeful Arsonist,Creature,$7.99
M401zEk1sdcS3LKjpxCnyg,https://moxfield.com/decks/A2Tq8-2SyEmGkvHnIFeWIw?utm_source=edhrec&utm_medium=deck_summary,2,Harsh Mentor,Creature,$0.59
M401zEk1sdcS3LKjpxCnyg,https://moxfield.com/decks/A2Tq8-2SyEmGkvHnIFeWIw?utm_source=edhrec&utm_medium=deck_summary,2,Hexing Squelcher,Creature,$27.99
M401zEk1sdcS3LKjpxCnyg,https://moxfield.com/decks/A2Tq8-2SyEmGkvHnIFeWIw?utm_source=edhrec&utm_medium=deck_summary,2,Immolation Shaman,Creature,$0.99
M401zEk1sdcS3LKjpxCnyg,https://moxfield.com/decks/A2Tq8-2SyEmGkvHnIFeWIw?utm_source=edhrec&utm_medium=deck_summary,3,Imperial Recruiter,Creature,$18.99
M401zEk1sdcS3LKjpxCnyg,https://moxfield.com/decks/A2Tq8-2SyEmGkvHnIFeWIw?utm_source=edhrec&utm_medium=deck_summary,2,Magebane Lizard,Creature,$1.29
M401zEk1sdcS3LKjpxCnyg,https://moxfield.com/decks/A2Tq8-2SyEmGkvHnIFeWIw?utm_source=edhrec&utm_medium=deck_summary,3,Magus of the Moon,Creature,$5.49
M401zEk1sdcS3LKjpxCnyg,https://moxfield.com/decks/A2Tq8-2SyEmGkvHnIFeWIw?utm_source=edhrec&utm_medium=deck_summary,3,Magus of the Wheel,Creature,$2.29
M401zEk1sdcS3LKjpxCnyg,https://moxfield.com/decks/A2Tq8-2SyEmGkvHnIFeWIw?utm_source=edhrec&utm_medium=deck_summary,3,Pain Distributor,Creature,$7.99
M401zEk1sdcS3LKjpxCnyg,https://moxfield.com/decks/A2Tq8-2SyEmGkvHnIFeWIw?utm_source=edhrec&utm_medium=deck_summary,1,"Ragavan, Nimble Pilferer",Creature,$57.99
M401zEk1sdcS3LKjpxCnyg,https://moxfield.com/decks/A2Tq8-2SyEmGkvHnIFeWIw?utm_source=edhrec&utm_medium=deck_summary,3,Rampaging Ferocidon,Creature,$2.29
M401zEk1sdcS3LKjpxCnyg,https://moxfield.com/decks/A2Tq8-2SyEmGkvHnIFeWIw?utm_source=edhrec&utm_medium=deck_summary,2,Razorkin Needlehead,Creature,$8.99
M401zEk1sdcS3LKjpxCnyg,https://moxfield.com/decks/A2Tq8-2SyEmGkvHnIFeWIw?utm_source=edhrec&utm_medium=deck_summary,3,Scytheclaw Raptor,Creature,$0.39
M401zEk1sdcS3LKjpxCnyg,https://moxfield.com/decks/A2Tq8-2SyEmGkvHnIFeWIw?utm_source=edhrec&utm_medium=deck_summary,4,"Solphim, Mayhem Dominus",Creature,$34.99
M401zEk1sdcS3LKjpxCnyg,https://moxfield.com/decks/A2Tq8-2SyEmGkvHnIFeWIw?utm_source=edhrec&utm_medium=deck_summary,1,Spear Spewer,Creature,$0.35
M401zEk1sdcS3LKjpxCnyg,https://moxfield.com/decks/A2Tq8-2SyEmGkvHnIFeWIw?utm_source=edhrec&utm_medium=deck_summary,2,Thermo-Alchemist,Creature,$0.35
M401zEk1sdcS3LKjpxCnyg,https://moxfield.com/decks/A2Tq8-2SyEmGkvHnIFeWIw?utm_source=edhrec&utm_medium=deck_summary,4,Treasonous Ogre,Creature,$21.99
M401zEk1sdcS3LKjpxCnyg,https://moxfield.com/decks/A2Tq8-2SyEmGkvHnIFeWIw?utm_source=edhrec&utm_medium=deck_summary,3,Zo-Zu the Punisher,Creature,$3.99
M401zEk1sdcS3LKjpxCnyg,https://moxfield.com/decks/A2Tq8-2SyEmGkvHnIFeWIw?utm_source=edhrec&utm_medium=deck_summary,3,Deflecting Swat,Instant,$84.99
M401zEk1sdcS3LKjpxCnyg,https://moxfield.com/decks/A2Tq8-2SyEmGkvHnIFeWIw?utm_source=edhrec&utm_medium=deck_summary,3,Delayed Blast Fireball,Instant,$18.99
M401zEk1sdcS3LKjpxCnyg,https://moxfield.com/decks/A2Tq8-2SyEmGkvHnIFeWIw?utm_source=edhrec&utm_medium=deck_summary,2,Desperate Ritual,Instant,$7.49
M401zEk1sdcS3LKjpxCnyg,https://moxfield.com/decks/A2Tq8-2SyEmGkvHnIFeWIw?utm_source=edhrec&utm_medium=deck_summary,2,Final Fortune,Instant,$14.99
M401zEk1sdcS3LKjpxCnyg,https://moxfield.com/decks/A2Tq8-2SyEmGkvHnIFeWIw?utm_source=edhrec&utm_medium=deck_summary,3,Flick a Coin,Instant,$0.79
M401zEk1sdcS3LKjpxCnyg,https://moxfield.com/decks/A2Tq8-2SyEmGkvHnIFeWIw?utm_source=edhrec&utm_medium=deck_summary,1,Gut Shot,Instant,$6.99
M401zEk1sdcS3LKjpxCnyg,https://moxfield.com/decks/A2Tq8-2SyEmGkvHnIFeWIw?utm_source=edhrec&utm_medium=deck_summary,1,Lava Dart,Instant,$1.49
M401zEk1sdcS3LKjpxCnyg,https://moxfield.com/decks/A2Tq8-2SyEmGkvHnIFeWIw?utm_source=edhrec&utm_medium=deck_summary,1,Lightning Bolt,Instant,$1.99
M401zEk1sdcS3LKjpxCnyg,https://moxfield.com/decks/A2Tq8-2SyEmGkvHnIFeWIw?utm_source=edhrec&utm_medium=deck_summary,2,Pyretic Ritual,Instant,$8.99
M401zEk1sdcS3LKjpxCnyg,https://moxfield.com/decks/A2Tq8-2SyEmGkvHnIFeWIw?utm_source=edhrec&utm_medium=deck_summary,1,Red Elemental Blast,Instant,$5.99
M401zEk1sdcS3LKjpxCnyg,https://moxfield.com/decks/A2Tq8-2SyEmGkvHnIFeWIw?utm_source=edhrec&utm_medium=deck_summary,1,Redirect Lightning,Instant,$16.99
M401zEk1sdcS3LKjpxCnyg,https://moxfield.com/decks/A2Tq8-2SyEmGkvHnIFeWIw?utm_source=edhrec&utm_medium=deck_summary,3,Seething Song,Instant,$13.99
M401zEk1sdcS3LKjpxCnyg,https://moxfield.com/decks/A2Tq8-2SyEmGkvHnIFeWIw?utm_source=edhrec&utm_medium=deck_summary,1,Shock,Instant,$0.35
M401zEk1sdcS3LKjpxCnyg,https://moxfield.com/decks/A2Tq8-2SyEmGkvHnIFeWIw?utm_source=edhrec&utm_medium=deck_summary,1,Spark Jolt,Instant,$0.39
M401zEk1sdcS3LKjpxCnyg,https://moxfield.com/decks/A2Tq8-2SyEmGkvHnIFeWIw?utm_source=edhrec&utm_medium=deck_summary,3,Volcanic Fallout,Instant,$0.35
M401zEk1sdcS3LKjpxCnyg,https://moxfield.com/decks/A2Tq8-2SyEmGkvHnIFeWIw?utm_source=edhrec&utm_medium=deck_summary,9,Blasphemous Act,Sorcery,$2.29
M401zEk1sdcS3LKjpxCnyg,https://moxfield.com/decks/A2Tq8-2SyEmGkvHnIFeWIw?utm_source=edhrec&utm_medium=deck_summary,1,Burning Inquiry,Sorcery,$4.49
M401zEk1sdcS3LKjpxCnyg,https://moxfield.com/decks/A2Tq8-2SyEmGkvHnIFeWIw?utm_source=edhrec&utm_medium=deck_summary,4,Chain Reaction,Sorcery,$0.49
M401zEk1sdcS3LKjpxCnyg,https://moxfield.com/decks/A2Tq8-2SyEmGkvHnIFeWIw?utm_source=edhrec&utm_medium=deck_summary,2,Grapeshot,Sorcery,$0.79
M401zEk1sdcS3LKjpxCnyg,https://moxfield.com/decks/A2Tq8-2SyEmGkvHnIFeWIw?utm_source=edhrec&utm_medium=deck_summary,3,Jeska's Will,Sorcery,$47.99
M401zEk1sdcS3LKjpxCnyg,https://moxfield.com/decks/A2Tq8-2SyEmGkvHnIFeWIw?utm_source=edhrec&utm_medium=deck_summary,2,Playful Shove,Sorcery,$0.35
M401zEk1sdcS3LKjpxCnyg,https://moxfield.com/decks/A2Tq8-2SyEmGkvHnIFeWIw?utm_source=edhrec&utm_medium=deck_summary,1,Rite of Flame,Sorcery,$6.99
M401zEk1sdcS3LKjpxCnyg,https://moxfield.com/decks/A2Tq8-2SyEmGkvHnIFeWIw?utm_source=edhrec&utm_medium=deck_summary,2,Twinflame,Sorcery,$1.49
M401zEk1sdcS3LKjpxCnyg,https://moxfield.com/decks/A2Tq8-2SyEmGkvHnIFeWIw?utm_source=edhrec&utm_medium=deck_summary,1,Vandalblast,Sorcery,$3.49
M401zEk1sdcS3LKjpxCnyg,https://moxfield.com/decks/A2Tq8-2SyEmGkvHnIFeWIw?utm_source=edhrec&utm_medium=deck_summary,2,Volcanic Spray,Sorcery,$0.79
M401zEk1sdcS3LKjpxCnyg,https://moxfield.com/decks/A2Tq8-2SyEmGkvHnIFeWIw?utm_source=edhrec&utm_medium=deck_summary,3,Wheel of Fortune,Sorcery,$549.99
M401zEk1sdcS3LKjpxCnyg,https://moxfield.com/decks/A2Tq8-2SyEmGkvHnIFeWIw?utm_source=edhrec&utm_medium=deck_summary,2,Arcane Signet,Artifact,$0.79
M401zEk1sdcS3LKjpxCnyg,https://moxfield.com/decks/A2Tq8-2SyEmGkvHnIFeWIw?utm_source=edhrec&utm_medium=deck_summary,0,Chrome Mox,Artifact,$159.99
M401zEk1sdcS3LKjpxCnyg,https://moxfield.com/decks/A2Tq8-2SyEmGkvHnIFeWIw?utm_source=edhrec&utm_medium=deck_summary,1,Commander's Plate,Artifact,$32.99
M401zEk1sdcS3LKjpxCnyg,https://moxfield.com/decks/A2Tq8-2SyEmGkvHnIFeWIw?utm_source=edhrec&utm_medium=deck_summary,2,Defense Grid,Artifact,$7.49
M401zEk1sdcS3LKjpxCnyg,https://moxfield.com/decks/A2Tq8-2SyEmGkvHnIFeWIw?utm_source=edhrec&utm_medium=deck_summary,2,Fellwar Stone,Artifact,$1.79
M401zEk1sdcS3LKjpxCnyg,https://moxfield.com/decks/A2Tq8-2SyEmGkvHnIFeWIw?utm_source=edhrec&utm_medium=deck_summary,2,Grim Monolith,Artifact,$649.99
