deck_id,deck_source,cmc,name,type,price
ME2FrC18Zhkdp0k_eEZAVg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Avalanche of Sector 7,Creature,$0.49
ME2FrC18Zhkdp0k_eEZAVg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,6,Chandra's Incinerator,Creature,$2.99
ME2FrC18Zhkdp0k_eEZAVg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,"Chandra, Fire of Kaladesh",Creature,$2.79
ME2FrC18Zhkdp0k_eEZAVg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Cinder Pyromancer,Creature,$0.35
ME2FrC18Zhkdp0k_eEZAVg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Defiler of Instinct,Creature,$0.49
ME2FrC18Zhkdp0k_eEZAVg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Emberwilde Captain,Creature,$3.99
ME2FrC18Zhkdp0k_eEZAVg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Harsh Mentor,Creature,$0.49
ME2FrC18Zhkdp0k_eEZAVg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Hellrider,Creature,$0.99
ME2FrC18Zhkdp0k_eEZAVg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,6,Inferno Titan,Creature,$0.79
ME2FrC18Zhkdp0k_eEZAVg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,5,"Kumano, Master Yamabushi",Creature,$0.49
ME2FrC18Zhkdp0k_eEZAVg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Magebane Lizard,Creature,$0.99
ME2FrC18Zhkdp0k_eEZAVg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Magus of the Wheel,Creature,$1.49
ME2FrC18Zhkdp0k_eEZAVg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Molten Gatekeeper,Creature,$0.69
ME2FrC18Zhkdp0k_eEZAVg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,5,"Neheb, the Eternal",Creature,$3.49
ME2FrC18Zhkdp0k_eEZAVg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Razorkin Needlehead,Creature,$10.99
ME2FrC18Zhkdp0k_eEZAVg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Sabotender,Creature,$0.35
ME2FrC18Zhkdp0k_eEZAVg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Scab-Clan Berserker,Creature,$0.49
ME2FrC18Zhkdp0k_eEZAVg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Screaming Nemesis,Creature,$11.99
ME2FrC18Zhkdp0k_eEZAVg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,"Toralf, God of Fury",Creature,$5.99
ME2FrC18Zhkdp0k_eEZAVg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Treasure Nabber,Creature,$2.29
ME2FrC18Zhkdp0k_eEZAVg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Tunneling Geopede,Creature,$0.99
ME2FrC18Zhkdp0k_eEZAVg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Weftstalker Ardent,Creature,$2.49
ME2FrC18Zhkdp0k_eEZAVg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Witty Roastmaster,Creature,$1.79
ME2FrC18Zhkdp0k_eEZAVg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Bolt Bend,Instant,$4.49
ME2FrC18Zhkdp0k_eEZAVg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Chaos Warp,Instant,$0.79
ME2FrC18Zhkdp0k_eEZAVg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Chef's Kiss,Instant,$0.69
ME2FrC18Zhkdp0k_eEZAVg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Delayed Blast Fireball,Instant,$14.99
ME2FrC18Zhkdp0k_eEZAVg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Guff Rewrites History,Instant,$5.99
ME2FrC18Zhkdp0k_eEZAVg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Opera Love Song,Instant,$0.35
ME2FrC18Zhkdp0k_eEZAVg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Return the Favor,Instant,$3.49
ME2FrC18Zhkdp0k_eEZAVg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Tempt with Mayhem,Instant,$0.49
ME2FrC18Zhkdp0k_eEZAVg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Tibalt's Trickery,Instant,$12.99
ME2FrC18Zhkdp0k_eEZAVg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Untimely Malfunction,Instant,$7.99
ME2FrC18Zhkdp0k_eEZAVg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,9,Blasphemous Act,Sorcery,$3.49
ME2FrC18Zhkdp0k_eEZAVg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Earthquake,Sorcery,$0.99
ME2FrC18Zhkdp0k_eEZAVg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Fiery Confluence,Sorcery,$0.79
ME2FrC18Zhkdp0k_eEZAVg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Flame Fusillade,Sorcery,$2.49
ME2FrC18Zhkdp0k_eEZAVg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Gamble,Sorcery,$14.99
ME2FrC18Zhkdp0k_eEZAVg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Light Up the Stage,Sorcery,$0.35
ME2FrC18Zhkdp0k_eEZAVg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,5,Mana Geyser,Sorcery,$3.49
ME2FrC18Zhkdp0k_eEZAVg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Mizzium Mortars,Sorcery,$0.59
ME2FrC18Zhkdp0k_eEZAVg,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Reckless Impulse,Sorcery,$0.79
