deck_id,deck_source,cmc,name,type,price
N1CuwWxm4YimFvC4g0GGog,https://archidekt.com/decks/11129381?utm_source=edhrec&utm_medium=deck_summary,4,Bolt Bend,Instant,$4.49
N1CuwWxm4YimFvC4g0GGog,https://archidekt.com/decks/11129381?utm_source=edhrec&utm_medium=deck_summary,2,Bulk Up,Instant,$0.35
N1CuwWxm4YimFvC4g0GGog,https://archidekt.com/decks/11129381?utm_source=edhrec&utm_medium=deck_summary,3,Chaos Warp,Instant,$0.69
N1CuwWxm4YimFvC4g0GGog,https://archidekt.com/decks/11129381?utm_source=edhrec&utm_medium=deck_summary,4,Decaying Time Loop,Instant,$0.49
N1CuwWxm4YimFvC4g0GGog,https://archidekt.com/decks/11129381?utm_source=edhrec&utm_medium=deck_summary,3,Deflecting Swat,Instant,$94.99
N1CuwWxm4YimFvC4g0GGog,https://archidekt.com/decks/11129381?utm_source=edhrec&utm_medium=deck_summary,2,Demand Answers,Instant,$0.99
N1CuwWxm4YimFvC4g0GGog,https://archidekt.com/decks/11129381?utm_source=edhrec&utm_medium=deck_summary,2,Pyretic Ritual,Instant,$7.99
N1CuwWxm4YimFvC4g0GGog,https://archidekt.com/decks/11129381?utm_source=edhrec&utm_medium=deck_summary,1,Pyroblast,Instant,$12.99
N1CuwWxm4YimFvC4g0GGog,https://archidekt.com/decks/11129381?utm_source=edhrec&utm_medium=deck_summary,1,Shock,Instant,$0.35
N1CuwWxm4YimFvC4g0GGog,https://archidekt.com/decks/11129381?utm_source=edhrec&utm_medium=deck_summary,2,Thrill of Possibility,Instant,$0.35
N1CuwWxm4YimFvC4g0GGog,https://archidekt.com/decks/11129381?utm_source=edhrec&utm_medium=deck_summary,2,Tibalt's Trickery,Instant,$16.99
N1CuwWxm4YimFvC4g0GGog,https://archidekt.com/decks/11129381?utm_source=edhrec&utm_medium=deck_summary,1,Unholy Heat,Instant,$0.35
N1CuwWxm4YimFvC4g0GGog,https://archidekt.com/decks/11129381?utm_source=edhrec&utm_medium=deck_summary,2,Unleash Fury,Instant,$0.69
N1CuwWxm4YimFvC4g0GGog,https://archidekt.com/decks/11129381?utm_source=edhrec&utm_medium=deck_summary,2,Untimely Malfunction,Instant,$10.99
N1CuwWxm4YimFvC4g0GGog,https://archidekt.com/decks/11129381?utm_source=edhrec&utm_medium=deck_summary,9,Blasphemous Act,Sorcery,$1.99
N1CuwWxm4YimFvC4g0GGog,https://archidekt.com/decks/11129381?utm_source=edhrec&utm_medium=deck_summary,1,Faithless Looting,Sorcery,$0.99
N1CuwWxm4YimFvC4g0GGog,https://archidekt.com/decks/11129381?utm_source=edhrec&utm_medium=deck_summary,4,Fiery Confluence,Sorcery,$0.79
N1CuwWxm4YimFvC4g0GGog,https://archidekt.com/decks/11129381?utm_source=edhrec&utm_medium=deck_summary,2,Grab the Prize,Sorcery,$1.99
N1CuwWxm4YimFvC4g0GGog,https://archidekt.com/decks/11129381?utm_source=edhrec&utm_medium=deck_summary,3,Jeska's Will,Sorcery,$47.99
N1CuwWxm4YimFvC4g0GGog,https://archidekt.com/decks/11129381?utm_source=edhrec&utm_medium=deck_summary,5,Path of the Pyromancer,Sorcery,$5.49
N1CuwWxm4YimFvC4g0GGog,https://archidekt.com/decks/11129381?utm_source=edhrec&utm_medium=deck_summary,4,Snort,Sorcery,$0.59
N1CuwWxm4YimFvC4g0GGog,https://archidekt.com/decks/11129381?utm_source=edhrec&utm_medium=deck_summary,3,Steal the Show,Sorcery,$0.49
N1CuwWxm4YimFvC4g0GGog,https://archidekt.com/decks/11129381?utm_source=edhrec&utm_medium=deck_summary,3,Wheel of Misfortune,Sorcery,$10.99
N1CuwWxm4YimFvC4g0GGog,https://archidekt.com/decks/11129381?utm_source=edhrec&utm_medium=deck_summary,4,Will of the Jeskai,Sorcery,$5.99
N1CuwWxm4YimFvC4g0GGog,https://archidekt.com/decks/11129381?utm_source=edhrec&utm_medium=deck_summary,3,Blood Moon,Enchantment,$8.99
N1CuwWxm4YimFvC4g0GGog,https://archidekt.com/decks/11129381?utm_source=edhrec&utm_medium=deck_summary,5,Festival of Embers,Enchantment,$0.49
N1CuwWxm4YimFvC4g0GGog,https://archidekt.com/decks/11129381?utm_source=edhrec&utm_medium=deck_summary,4,Manabarbs,Enchantment,$5.99
N1CuwWxm4YimFvC4g0GGog,https://archidekt.com/decks/11129381?utm_source=edhrec&utm_medium=deck_summary,4,Pyrohemia,Enchantment,$7.49
N1CuwWxm4YimFvC4g0GGog,https://archidekt.com/decks/11129381?utm_source=edhrec&utm_medium=deck_summary,6,Return the Past,Enchantment,$0.59
N1CuwWxm4YimFvC4g0GGog,https://archidekt.com/decks/11129381?utm_source=edhrec&utm_medium=deck_summary,2,Roiling Vortex,Enchantment,$2.99
N1CuwWxm4YimFvC4g0GGog,https://archidekt.com/decks/11129381?utm_source=edhrec&utm_medium=deck_summary,3,Sulfuric Vortex,Enchantment,$1.49
N1CuwWxm4YimFvC4g0GGog,https://archidekt.com/decks/11129381?utm_source=edhrec&utm_medium=deck_summary,2,Underworld Breach,Enchantment,$10.99
N1CuwWxm4YimFvC4g0GGog,https://archidekt.com/decks/11129381?utm_source=edhrec&utm_medium=deck_summary,0,Command Beacon,Land,$10.99
N1CuwWxm4YimFvC4g0GGog,https://archidekt.com/decks/11129381?utm_source=edhrec&utm_medium=deck_summary,0,Demolition Field,Land,$0.49
N1CuwWxm4YimFvC4g0GGog,https://archidekt.com/decks/11129381?utm_source=edhrec&utm_medium=deck_summary,0,Forgotten Cave,Land,$0.35
N1CuwWxm4YimFvC4g0GGog,https://archidekt.com/decks/11129381?utm_source=edhrec&utm_medium=deck_summary,0,"Lindblum, Industrial Regency",Land,$3.99
N1CuwWxm4YimFvC4g0GGog,https://archidekt.com/decks/11129381?utm_source=edhrec&utm_medium=deck_summary,0,Mountain,Land,$0.35
N1CuwWxm4YimFvC4g0GGog,https://archidekt.com/decks/11129381?utm_source=edhrec&utm_medium=deck_summary,0,Myriad Landscape,Land,$0.49
N1CuwWxm4YimFvC4g0GGog,https://archidekt.com/decks/11129381?utm_source=edhrec&utm_medium=deck_summary,0,Temple of the False God,Land,$0.35
N1CuwWxm4YimFvC4g0GGog,https://archidekt.com/decks/11129381?utm_source=edhrec&utm_medium=deck_summary,0,Tyrite Sanctum,Land,$3.99
