deck_id,deck_source,cmc,name,type,price
O-9t6hrj3Eo8Aio1yHZ82w,https://moxfield.com/decks/azdoGVTXNky4YLoWps9Gdw?utm_source=edhrec&utm_medium=deck_summary,4,"Ashling, Flame Dancer",Creature,$9.49
O-9t6hrj3Eo8Aio1yHZ82w,https://moxfield.com/decks/azdoGVTXNky4YLoWps9Gdw?utm_source=edhrec&utm_medium=deck_summary,3,"Birgi, God of Storytelling",Creature,$49.99
O-9t6hrj3Eo8Aio1yHZ82w,https://moxfield.com/decks/azdoGVTXNky4YLoWps9Gdw?utm_source=edhrec&utm_medium=deck_summary,2,Coruscation Mage,Creature,$2.29
O-9t6hrj3Eo8Aio1yHZ82w,https://moxfield.com/decks/azdoGVTXNky4YLoWps9Gdw?utm_source=edhrec&utm_medium=deck_summary,3,"Electro, Assaulting Battery",Creature,$8.99
O-9t6hrj3Eo8Aio1yHZ82w,https://moxfield.com/decks/azdoGVTXNky4YLoWps9Gdw?utm_source=edhrec&utm_medium=deck_summary,2,Electrostatic Field,Creature,$2.79
O-9t6hrj3Eo8Aio1yHZ82w,https://moxfield.com/decks/azdoGVTXNky4YLoWps9Gdw?utm_source=edhrec&utm_medium=deck_summary,2,Erebor Flamesmith,Creature,$0.99
O-9t6hrj3Eo8Aio1yHZ82w,https://moxfield.com/decks/azdoGVTXNky4YLoWps9Gdw?utm_source=edhrec&utm_medium=deck_summary,2,Firebrand Archer,Creature,$0.35
O-9t6hrj3Eo8Aio1yHZ82w,https://moxfield.com/decks/azdoGVTXNky4YLoWps9Gdw?utm_source=edhrec&utm_medium=deck_summary,2,Kessig Flamebreather,Creature,$6.49
O-9t6hrj3Eo8Aio1yHZ82w,https://moxfield.com/decks/azdoGVTXNky4YLoWps9Gdw?utm_source=edhrec&utm_medium=deck_summary,4,"Longshot, Rebel Bowman",Creature,$11.99
O-9t6hrj3Eo8Aio1yHZ82w,https://moxfield.com/decks/azdoGVTXNky4YLoWps9Gdw?utm_source=edhrec&utm_medium=deck_summary,3,Magus of the Moon,Creature,$5.49
O-9t6hrj3Eo8Aio1yHZ82w,https://moxfield.com/decks/azdoGVTXNky4YLoWps9Gdw?utm_source=edhrec&utm_medium=deck_summary,5,Pinnacle Monk,Creature,$2.99
O-9t6hrj3Eo8Aio1yHZ82w,https://moxfield.com/decks/azdoGVTXNky4YLoWps9Gdw?utm_source=edhrec&utm_medium=deck_summary,1,"Ragavan, Nimble Pilferer",Creature,$49.99
O-9t6hrj3Eo8Aio1yHZ82w,https://moxfield.com/decks/azdoGVTXNky4YLoWps9Gdw?utm_source=edhrec&utm_medium=deck_summary,3,Rampaging Ferocidon,Creature,$2.79
O-9t6hrj3Eo8Aio1yHZ82w,https://moxfield.com/decks/azdoGVTXNky4YLoWps9Gdw?utm_source=edhrec&utm_medium=deck_summary,2,Razorkin Needlehead,Creature,$9.49
O-9t6hrj3Eo8Aio1yHZ82w,https://moxfield.com/decks/azdoGVTXNky4YLoWps9Gdw?utm_source=edhrec&utm_medium=deck_summary,4,Storm-Kiln Artist,Creature,$2.49
O-9t6hrj3Eo8Aio1yHZ82w,https://moxfield.com/decks/azdoGVTXNky4YLoWps9Gdw?utm_source=edhrec&utm_medium=deck_summary,2,Thermo-Alchemist,Creature,$0.35
O-9t6hrj3Eo8Aio1yHZ82w,https://moxfield.com/decks/azdoGVTXNky4YLoWps9Gdw?utm_source=edhrec&utm_medium=deck_summary,4,"Torbran, Thane of Red Fell",Creature,$5.99
O-9t6hrj3Eo8Aio1yHZ82w,https://moxfield.com/decks/azdoGVTXNky4YLoWps9Gdw?utm_source=edhrec&utm_medium=deck_summary,4,Urabrask,Creature,$27.99
O-9t6hrj3Eo8Aio1yHZ82w,https://moxfield.com/decks/azdoGVTXNky4YLoWps9Gdw?utm_source=edhrec&utm_medium=deck_summary,4,Big Score,Instant,$1.49
O-9t6hrj3Eo8Aio1yHZ82w,https://moxfield.com/decks/azdoGVTXNky4YLoWps9Gdw?utm_source=edhrec&utm_medium=deck_summary,3,Chaos Warp,Instant,$0.69
O-9t6hrj3Eo8Aio1yHZ82w,https://moxfield.com/decks/azdoGVTXNky4YLoWps9Gdw?utm_source=edhrec&utm_medium=deck_summary,3,Deflecting Swat,Instant,$84.99
O-9t6hrj3Eo8Aio1yHZ82w,https://moxfield.com/decks/azdoGVTXNky4YLoWps9Gdw?utm_source=edhrec&utm_medium=deck_summary,2,Desperate Ritual,Instant,$7.49
O-9t6hrj3Eo8Aio1yHZ82w,https://moxfield.com/decks/azdoGVTXNky4YLoWps9Gdw?utm_source=edhrec&utm_medium=deck_summary,3,Flick a Coin,Instant,$0.79
O-9t6hrj3Eo8Aio1yHZ82w,https://moxfield.com/decks/azdoGVTXNky4YLoWps9Gdw?utm_source=edhrec&utm_medium=deck_summary,1,Lightning Bolt,Instant,$1.99
O-9t6hrj3Eo8Aio1yHZ82w,https://moxfield.com/decks/azdoGVTXNky4YLoWps9Gdw?utm_source=edhrec&utm_medium=deck_summary,1,Needle Drop,Instant,$1.79
O-9t6hrj3Eo8Aio1yHZ82w,https://moxfield.com/decks/azdoGVTXNky4YLoWps9Gdw?utm_source=edhrec&utm_medium=deck_summary,2,Price of Progress,Instant,$7.49
O-9t6hrj3Eo8Aio1yHZ82w,https://moxfield.com/decks/azdoGVTXNky4YLoWps9Gdw?utm_source=edhrec&utm_medium=deck_summary,2,Pyretic Ritual,Instant,$8.49
O-9t6hrj3Eo8Aio1yHZ82w,https://moxfield.com/decks/azdoGVTXNky4YLoWps9Gdw?utm_source=edhrec&utm_medium=deck_summary,1,Pyroblast,Instant,$10.99
O-9t6hrj3Eo8Aio1yHZ82w,https://moxfield.com/decks/azdoGVTXNky4YLoWps9Gdw?utm_source=edhrec&utm_medium=deck_summary,1,Red Elemental Blast,Instant,$5.49
O-9t6hrj3Eo8Aio1yHZ82w,https://moxfield.com/decks/azdoGVTXNky4YLoWps9Gdw?utm_source=edhrec&utm_medium=deck_summary,1,Redirect Lightning,Instant,$17.99
O-9t6hrj3Eo8Aio1yHZ82w,https://moxfield.com/decks/azdoGVTXNky4YLoWps9Gdw?utm_source=edhrec&utm_medium=deck_summary,1,Searing Touch,Instant,$2.49
O-9t6hrj3Eo8Aio1yHZ82w,https://moxfield.com/decks/azdoGVTXNky4YLoWps9Gdw?utm_source=edhrec&utm_medium=deck_summary,3,Seething Song,Instant,$12.99
O-9t6hrj3Eo8Aio1yHZ82w,https://moxfield.com/decks/azdoGVTXNky4YLoWps9Gdw?utm_source=edhrec&utm_medium=deck_summary,1,Spikefield Hazard,Instant,$0.69
O-9t6hrj3Eo8Aio1yHZ82w,https://moxfield.com/decks/azdoGVTXNky4YLoWps9Gdw?utm_source=edhrec&utm_medium=deck_summary,2,Thrill of Possibility,Instant,$0.35
O-9t6hrj3Eo8Aio1yHZ82w,https://moxfield.com/decks/azdoGVTXNky4YLoWps9Gdw?utm_source=edhrec&utm_medium=deck_summary,2,Untimely Malfunction,Instant,$10.99
O-9t6hrj3Eo8Aio1yHZ82w,https://moxfield.com/decks/azdoGVTXNky4YLoWps9Gdw?utm_source=edhrec&utm_medium=deck_summary,9,Blasphemous Act,Sorcery,$2.29
O-9t6hrj3Eo8Aio1yHZ82w,https://moxfield.com/decks/azdoGVTXNky4YLoWps9Gdw?utm_source=edhrec&utm_medium=deck_summary,1,Boltwave,Sorcery,$3.99
O-9t6hrj3Eo8Aio1yHZ82w,https://moxfield.com/decks/azdoGVTXNky4YLoWps9Gdw?utm_source=edhrec&utm_medium=deck_summary,1,Earthquake,Sorcery,$0.99
O-9t6hrj3Eo8Aio1yHZ82w,https://moxfield.com/decks/azdoGVTXNky4YLoWps9Gdw?utm_source=edhrec&utm_medium=deck_summary,3,Fiery Gambit,Sorcery,$3.49
O-9t6hrj3Eo8Aio1yHZ82w,https://moxfield.com/decks/azdoGVTXNky4YLoWps9Gdw?utm_source=edhrec&utm_medium=deck_summary,2,Grab the Prize,Sorcery,$1.79
O-9t6hrj3Eo8Aio1yHZ82w,https://moxfield.com/decks/azdoGVTXNky4YLoWps9Gdw?utm_source=edhrec&utm_medium=deck_summary,2,Grapeshot,Sorcery,$0.69
O-9t6hrj3Eo8Aio1yHZ82w,https://moxfield.com/decks/azdoGVTXNky4YLoWps9Gdw?utm_source=edhrec&utm_medium=deck_summary,3,Jeska's Will,Sorcery,$47.99
O-9t6hrj3Eo8Aio1yHZ82w,https://moxfield.com/decks/azdoGVTXNky4YLoWps9Gdw?utm_source=edhrec&utm_medium=deck_summary,3,Light Up the Stage,Sorcery,$0.49
O-9t6hrj3Eo8Aio1yHZ82w,https://moxfield.com/decks/azdoGVTXNky4YLoWps9Gdw?utm_source=edhrec&utm_medium=deck_summary,1,Mana Clash,Sorcery,$1.99
O-9t6hrj3Eo8Aio1yHZ82w,https://moxfield.com/decks/azdoGVTXNky4YLoWps9Gdw?utm_source=edhrec&utm_medium=deck_summary,2,Molten Duplication,Sorcery,$21.99
O-9t6hrj3Eo8Aio1yHZ82w,https://moxfield.com/decks/azdoGVTXNky4YLoWps9Gdw?utm_source=edhrec&utm_medium=deck_summary,1,Overmaster,Sorcery,$3.49
O-9t6hrj3Eo8Aio1yHZ82w,https://moxfield.com/decks/azdoGVTXNky4YLoWps9Gdw?utm_source=edhrec&utm_medium=deck_summary,2,Playful Shove,Sorcery,$0.35
O-9t6hrj3Eo8Aio1yHZ82w,https://moxfield.com/decks/azdoGVTXNky4YLoWps9Gdw?utm_source=edhrec&utm_medium=deck_summary,2,Reckless Impulse,Sorcery,$2.49
O-9t6hrj3Eo8Aio1yHZ82w,https://moxfield.com/decks/azdoGVTXNky4YLoWps9Gdw?utm_source=edhrec&utm_medium=deck_summary,3,Slagstorm,Sorcery,$0.79
O-9t6hrj3Eo8Aio1yHZ82w,https://moxfield.com/decks/azdoGVTXNky4YLoWps9Gdw?utm_source=edhrec&utm_medium=deck_summary,2,Twinflame,Sorcery,$1.29
O-9t6hrj3Eo8Aio1yHZ82w,https://moxfield.com/decks/azdoGVTXNky4YLoWps9Gdw?utm_source=edhrec&utm_medium=deck_summary,4,Will of the Jeskai,Sorcery,$5.99
O-9t6hrj3Eo8Aio1yHZ82w,https://moxfield.com/decks/azdoGVTXNky4YLoWps9Gdw?utm_source=edhrec&utm_medium=deck_summary,2,Arcane Signet,Artifact,$0.79
O-9t6hrj3Eo8Aio1yHZ82w,https://moxfield.com/decks/azdoGVTXNky4YLoWps9Gdw?utm_source=edhrec&utm_medium=deck_summary,3,Champion's Helm,Artifact,$1.99
O-9t6hrj3Eo8Aio1yHZ82w,https://moxfield.com/decks/azdoGVTXNky4YLoWps9Gdw?utm_source=edhrec&utm_medium=deck_summary,1,Commander's Plate,Artifact,$32.99
O-9t6hrj3Eo8Aio1yHZ82w,https://moxfield.com/decks/azdoGVTXNky4YLoWps9Gdw?utm_source=edhrec&utm_medium=deck_summary,2,Lightning Greaves,Artifact,$5.49
O-9t6hrj3Eo8Aio1yHZ82w,https://moxfield.com/decks/azdoGVTXNky4YLoWps9Gdw?utm_source=edhrec&utm_medium=deck_summary,1,Mana Vault,Artifact,$119.99
O-9t6hrj3Eo8Aio1yHZ82w,https://moxfield.com/decks/azdoGVTXNky4YLoWps9Gdw?utm_source=edhrec&utm_medium=deck_summary,0,Mox Amber,Artifact,$94.99
O-9t6hrj3Eo8Aio1yHZ82w,https://moxfield.com/decks/azdoGVTXNky4YLoWps9Gdw?utm_source=edhrec&utm_medium=deck_summary,2,Ruby Medallion,Artifact,$17.99
O-9t6hrj3Eo8Aio1yHZ82w,https://moxfield.com/decks/azdoGVTXNky4YLoWps9Gdw?utm_source=edhrec&utm_medium=deck_summary,1,Sol Ring,Artifact,$1.99
O-9t6hrj3Eo8Aio1yHZ82w,https://moxfield.com/decks/azdoGVTXNky4YLoWps9Gdw?utm_source=edhrec&utm_medium=deck_summary,4,The One Ring,Artifact,$109.99
