deck_id,deck_source,cmc,name,type,price
O940I9ogmcCI11VCoaMuTQ,https://archidekt.com/decks/15767241?utm_source=edhrec&utm_medium=deck_summary,2,Cemetery Gatekeeper,Creature,$2.29
O940I9ogmcCI11VCoaMuTQ,https://archidekt.com/decks/15767241?utm_source=edhrec&utm_medium=deck_summary,2,Coruscation Mage,Creature,$2.29
O940I9ogmcCI11VCoaMuTQ,https://archidekt.com/decks/15767241?utm_source=edhrec&utm_medium=deck_summary,3,Dualcaster Mage,Creature,$4.49
O940I9ogmcCI11VCoaMuTQ,https://archidekt.com/decks/15767241?utm_source=edhrec&utm_medium=deck_summary,2,Electrostatic Field,Creature,$1.99
O940I9ogmcCI11VCoaMuTQ,https://archidekt.com/decks/15767241?utm_source=edhrec&utm_medium=deck_summary,2,Erebor Flamesmith,Creature,$0.99
O940I9ogmcCI11VCoaMuTQ,https://archidekt.com/decks/15767241?utm_source=edhrec&utm_medium=deck_summary,2,Firebrand Archer,Creature,$0.35
O940I9ogmcCI11VCoaMuTQ,https://archidekt.com/decks/15767241?utm_source=edhrec&utm_medium=deck_summary,2,Gibbering Fiend,Creature,$0.35
O940I9ogmcCI11VCoaMuTQ,https://archidekt.com/decks/15767241?utm_source=edhrec&utm_medium=deck_summary,3,Gleeful Arsonist,Creature,$5.49
O940I9ogmcCI11VCoaMuTQ,https://archidekt.com/decks/15767241?utm_source=edhrec&utm_medium=deck_summary,3,Glint-Horn Buccaneer,Creature,$8.49
O940I9ogmcCI11VCoaMuTQ,https://archidekt.com/decks/15767241?utm_source=edhrec&utm_medium=deck_summary,3,Goblin Chainwhirler,Creature,$0.99
O940I9ogmcCI11VCoaMuTQ,https://archidekt.com/decks/15767241?utm_source=edhrec&utm_medium=deck_summary,2,Harsh Mentor,Creature,$0.49
O940I9ogmcCI11VCoaMuTQ,https://archidekt.com/decks/15767241?utm_source=edhrec&utm_medium=deck_summary,2,Immolation Shaman,Creature,$0.69
O940I9ogmcCI11VCoaMuTQ,https://archidekt.com/decks/15767241?utm_source=edhrec&utm_medium=deck_summary,3,Lightning-Rig Crew,Creature,$0.35
O940I9ogmcCI11VCoaMuTQ,https://archidekt.com/decks/15767241?utm_source=edhrec&utm_medium=deck_summary,3,"Livaan, Cultist of Tiamat",Creature,$0.35
O940I9ogmcCI11VCoaMuTQ,https://archidekt.com/decks/15767241?utm_source=edhrec&utm_medium=deck_summary,1,"Ragavan, Nimble Pilferer",Creature,$42.99
O940I9ogmcCI11VCoaMuTQ,https://archidekt.com/decks/15767241?utm_source=edhrec&utm_medium=deck_summary,3,Rampaging Ferocidon,Creature,$0.69
O940I9ogmcCI11VCoaMuTQ,https://archidekt.com/decks/15767241?utm_source=edhrec&utm_medium=deck_summary,2,Razorkin Needlehead,Creature,$9.49
O940I9ogmcCI11VCoaMuTQ,https://archidekt.com/decks/15767241?utm_source=edhrec&utm_medium=deck_summary,1,Sawblade Scamp,Creature,$0.35
O940I9ogmcCI11VCoaMuTQ,https://archidekt.com/decks/15767241?utm_source=edhrec&utm_medium=deck_summary,3,Simian Spirit Guide,Creature,$2.99
O940I9ogmcCI11VCoaMuTQ,https://archidekt.com/decks/15767241?utm_source=edhrec&utm_medium=deck_summary,1,Spear Spewer,Creature,$0.35
O940I9ogmcCI11VCoaMuTQ,https://archidekt.com/decks/15767241?utm_source=edhrec&utm_medium=deck_summary,2,Thermo-Alchemist,Creature,$0.35
O940I9ogmcCI11VCoaMuTQ,https://archidekt.com/decks/15767241?utm_source=edhrec&utm_medium=deck_summary,3,Tunneling Geopede,Creature,$1.29
O940I9ogmcCI11VCoaMuTQ,https://archidekt.com/decks/15767241?utm_source=edhrec&utm_medium=deck_summary,3,Unruly Catapult,Creature,$0.49
O940I9ogmcCI11VCoaMuTQ,https://archidekt.com/decks/15767241?utm_source=edhrec&utm_medium=deck_summary,1,Vindictive Flamestoker,Creature,$0.49
O940I9ogmcCI11VCoaMuTQ,https://archidekt.com/decks/15767241?utm_source=edhrec&utm_medium=deck_summary,1,Voldaren Epicure,Creature,$0.35
O940I9ogmcCI11VCoaMuTQ,https://archidekt.com/decks/15767241?utm_source=edhrec&utm_medium=deck_summary,3,Witty Roastmaster,Creature,$1.99
O940I9ogmcCI11VCoaMuTQ,https://archidekt.com/decks/15767241?utm_source=edhrec&utm_medium=deck_summary,2,Abrade,Instant,$0.35
O940I9ogmcCI11VCoaMuTQ,https://archidekt.com/decks/15767241?utm_source=edhrec&utm_medium=deck_summary,1,Brute Force,Instant,$0.35
O940I9ogmcCI11VCoaMuTQ,https://archidekt.com/decks/15767241?utm_source=edhrec&utm_medium=deck_summary,3,Chaos Warp,Instant,$0.99
