deck_id,deck_source,cmc,name,type,price
P6mW-QktRsTftaQqTw-UYQ,https://archidekt.com/decks/7154087?utm_source=edhrec&utm_medium=deck_summary,4,"Ashling, Flame Dancer",Creature,$19.99
P6mW-QktRsTftaQqTw-UYQ,https://archidekt.com/decks/7154087?utm_source=edhrec&utm_medium=deck_summary,3,"Birgi, God of Storytelling",Creature,$34.99
P6mW-QktRsTftaQqTw-UYQ,https://archidekt.com/decks/7154087?utm_source=edhrec&utm_medium=deck_summary,2,Coruscation Mage,Creature,$2.79
P6mW-QktRsTftaQqTw-UYQ,https://archidekt.com/decks/7154087?utm_source=edhrec&utm_medium=deck_summary,2,Electrostatic Field,Creature,$1.99
P6mW-QktRsTftaQqTw-UYQ,https://archidekt.com/decks/7154087?utm_source=edhrec&utm_medium=deck_summary,2,Erebor Flamesmith,Creature,$0.69
P6mW-QktRsTftaQqTw-UYQ,https://archidekt.com/decks/7154087?utm_source=edhrec&utm_medium=deck_summary,2,Firebrand Archer,Creature,$0.49
P6mW-QktRsTftaQqTw-UYQ,https://archidekt.com/decks/7154087?utm_source=edhrec&utm_medium=deck_summary,3,Firespitter Whelp,Creature,$0.49
P6mW-QktRsTftaQqTw-UYQ,https://archidekt.com/decks/7154087?utm_source=edhrec&utm_medium=deck_summary,3,Guttersnipe,Creature,$0.49
P6mW-QktRsTftaQqTw-UYQ,https://archidekt.com/decks/7154087?utm_source=edhrec&utm_medium=deck_summary,2,Kessig Flamebreather,Creature,$4.49
P6mW-QktRsTftaQqTw-UYQ,https://archidekt.com/decks/7154087?utm_source=edhrec&utm_medium=deck_summary,4,"Longshot, Rebel Bowman",Creature,$10.99
P6mW-QktRsTftaQqTw-UYQ,https://archidekt.com/decks/7154087?utm_source=edhrec&utm_medium=deck_summary,5,"Neheb, the Eternal",Creature,$6.49
P6mW-QktRsTftaQqTw-UYQ,https://archidekt.com/decks/7154087?utm_source=edhrec&utm_medium=deck_summary,2,Runaway Steam-Kin,Creature,$1.99
P6mW-QktRsTftaQqTw-UYQ,https://archidekt.com/decks/7154087?utm_source=edhrec&utm_medium=deck_summary,1,Spear Spewer,Creature,$0.35
P6mW-QktRsTftaQqTw-UYQ,https://archidekt.com/decks/7154087?utm_source=edhrec&utm_medium=deck_summary,2,Thermo-Alchemist,Creature,$0.35
P6mW-QktRsTftaQqTw-UYQ,https://archidekt.com/decks/7154087?utm_source=edhrec&utm_medium=deck_summary,3,Unruly Catapult,Creature,$0.35
P6mW-QktRsTftaQqTw-UYQ,https://archidekt.com/decks/7154087?utm_source=edhrec&utm_medium=deck_summary,4,Urabrask,Creature,$21.99
P6mW-QktRsTftaQqTw-UYQ,https://archidekt.com/decks/7154087?utm_source=edhrec&utm_medium=deck_summary,2,Blazing Crescendo,Instant,$0.69
P6mW-QktRsTftaQqTw-UYQ,https://archidekt.com/decks/7154087?utm_source=edhrec&utm_medium=deck_summary,2,Blazing Shoal,Instant,$2.99
P6mW-QktRsTftaQqTw-UYQ,https://archidekt.com/decks/7154087?utm_source=edhrec&utm_medium=deck_summary,4,Bolt Bend,Instant,$4.99
P6mW-QktRsTftaQqTw-UYQ,https://archidekt.com/decks/7154087?utm_source=edhrec&utm_medium=deck_summary,1,Brute Force,Instant,$0.39
P6mW-QktRsTftaQqTw-UYQ,https://archidekt.com/decks/7154087?utm_source=edhrec&utm_medium=deck_summary,2,Bulk Up,Instant,$4.49
P6mW-QktRsTftaQqTw-UYQ,https://archidekt.com/decks/7154087?utm_source=edhrec&utm_medium=deck_summary,3,Deflecting Swat,Instant,$74.99
P6mW-QktRsTftaQqTw-UYQ,https://archidekt.com/decks/7154087?utm_source=edhrec&utm_medium=deck_summary,3,Downhill Charge,Instant,$0.35
P6mW-QktRsTftaQqTw-UYQ,https://archidekt.com/decks/7154087?utm_source=edhrec&utm_medium=deck_summary,3,Flare of Duplication,Instant,$3.49
P6mW-QktRsTftaQqTw-UYQ,https://archidekt.com/decks/7154087?utm_source=edhrec&utm_medium=deck_summary,2,Haste Magic,Instant,$0.35
P6mW-QktRsTftaQqTw-UYQ,https://archidekt.com/decks/7154087?utm_source=edhrec&utm_medium=deck_summary,1,Lava Dart,Instant,$0.59
