deck_id,deck_source,cmc,name,type,price
P77UhRdfiW7NJ_SR0XBf2Q,https://moxfield.com/decks/YVkheV3P4k2ntHW75AUxaw?utm_source=edhrec&utm_medium=deck_summary,3,Brimstone Trebuchet,Creature,$0.35
P77UhRdfiW7NJ_SR0XBf2Q,https://moxfield.com/decks/YVkheV3P4k2ntHW75AUxaw?utm_source=edhrec&utm_medium=deck_summary,6,Chandra's Incinerator,Creature,$3.99
P77UhRdfiW7NJ_SR0XBf2Q,https://moxfield.com/decks/YVkheV3P4k2ntHW75AUxaw?utm_source=edhrec&utm_medium=deck_summary,2,Eidolon of the Great Revel,Creature,$3.49
P77UhRdfiW7NJ_SR0XBf2Q,https://moxfield.com/decks/YVkheV3P4k2ntHW75AUxaw?utm_source=edhrec&utm_medium=deck_summary,2,Firebrand Archer,Creature,$0.49
P77UhRdfiW7NJ_SR0XBf2Q,https://moxfield.com/decks/YVkheV3P4k2ntHW75AUxaw?utm_source=edhrec&utm_medium=deck_summary,3,Firespitter Whelp,Creature,$0.49
P77UhRdfiW7NJ_SR0XBf2Q,https://moxfield.com/decks/YVkheV3P4k2ntHW75AUxaw?utm_source=edhrec&utm_medium=deck_summary,3,Gleeful Arsonist,Creature,$6.49
P77UhRdfiW7NJ_SR0XBf2Q,https://moxfield.com/decks/YVkheV3P4k2ntHW75AUxaw?utm_source=edhrec&utm_medium=deck_summary,2,Harsh Mentor,Creature,$0.49
P77UhRdfiW7NJ_SR0XBf2Q,https://moxfield.com/decks/YVkheV3P4k2ntHW75AUxaw?utm_source=edhrec&utm_medium=deck_summary,2,Immolation Shaman,Creature,$0.99
P77UhRdfiW7NJ_SR0XBf2Q,https://moxfield.com/decks/YVkheV3P4k2ntHW75AUxaw?utm_source=edhrec&utm_medium=deck_summary,2,Kessig Flamebreather,Creature,$5.49
P77UhRdfiW7NJ_SR0XBf2Q,https://moxfield.com/decks/YVkheV3P4k2ntHW75AUxaw?utm_source=edhrec&utm_medium=deck_summary,3,Lobber Crew,Creature,$0.35
P77UhRdfiW7NJ_SR0XBf2Q,https://moxfield.com/decks/YVkheV3P4k2ntHW75AUxaw?utm_source=edhrec&utm_medium=deck_summary,5,"Neheb, the Eternal",Creature,$6.49
P77UhRdfiW7NJ_SR0XBf2Q,https://moxfield.com/decks/YVkheV3P4k2ntHW75AUxaw?utm_source=edhrec&utm_medium=deck_summary,3,Rampaging Ferocidon,Creature,$0.99
P77UhRdfiW7NJ_SR0XBf2Q,https://moxfield.com/decks/YVkheV3P4k2ntHW75AUxaw?utm_source=edhrec&utm_medium=deck_summary,2,Razorkin Needlehead,Creature,$10.99
P77UhRdfiW7NJ_SR0XBf2Q,https://moxfield.com/decks/YVkheV3P4k2ntHW75AUxaw?utm_source=edhrec&utm_medium=deck_summary,2,Sardian Avenger,Creature,$1.99
P77UhRdfiW7NJ_SR0XBf2Q,https://moxfield.com/decks/YVkheV3P4k2ntHW75AUxaw?utm_source=edhrec&utm_medium=deck_summary,1,Spear Spewer,Creature,$0.35
P77UhRdfiW7NJ_SR0XBf2Q,https://moxfield.com/decks/YVkheV3P4k2ntHW75AUxaw?utm_source=edhrec&utm_medium=deck_summary,4,Sunspine Lynx,Creature,$4.49
P77UhRdfiW7NJ_SR0XBf2Q,https://moxfield.com/decks/YVkheV3P4k2ntHW75AUxaw?utm_source=edhrec&utm_medium=deck_summary,2,Thermo-Alchemist,Creature,$0.35
P77UhRdfiW7NJ_SR0XBf2Q,https://moxfield.com/decks/YVkheV3P4k2ntHW75AUxaw?utm_source=edhrec&utm_medium=deck_summary,3,Unruly Catapult,Creature,$0.49
P77UhRdfiW7NJ_SR0XBf2Q,https://moxfield.com/decks/YVkheV3P4k2ntHW75AUxaw?utm_source=edhrec&utm_medium=deck_summary,2,Vengeful Tracker,Creature,$0.35
P77UhRdfiW7NJ_SR0XBf2Q,https://moxfield.com/decks/YVkheV3P4k2ntHW75AUxaw?utm_source=edhrec&utm_medium=deck_summary,3,Zo-Zu the Punisher,Creature,$3.49
P77UhRdfiW7NJ_SR0XBf2Q,https://moxfield.com/decks/YVkheV3P4k2ntHW75AUxaw?utm_source=edhrec&utm_medium=deck_summary,4,Bolt Bend,Instant,$5.99
P77UhRdfiW7NJ_SR0XBf2Q,https://moxfield.com/decks/YVkheV3P4k2ntHW75AUxaw?utm_source=edhrec&utm_medium=deck_summary,3,Chaos Warp,Instant,$0.79
P77UhRdfiW7NJ_SR0XBf2Q,https://moxfield.com/decks/YVkheV3P4k2ntHW75AUxaw?utm_source=edhrec&utm_medium=deck_summary,3,Deflecting Swat,Instant,$69.99
P77UhRdfiW7NJ_SR0XBf2Q,https://moxfield.com/decks/YVkheV3P4k2ntHW75AUxaw?utm_source=edhrec&utm_medium=deck_summary,3,Flame Spill,Instant,$0.35
P77UhRdfiW7NJ_SR0XBf2Q,https://moxfield.com/decks/YVkheV3P4k2ntHW75AUxaw?utm_source=edhrec&utm_medium=deck_summary,1,Lightning Bolt,Instant,$1.99
P77UhRdfiW7NJ_SR0XBf2Q,https://moxfield.com/decks/YVkheV3P4k2ntHW75AUxaw?utm_source=edhrec&utm_medium=deck_summary,3,Mages' Contest,Instant,$19.99
P77UhRdfiW7NJ_SR0XBf2Q,https://moxfield.com/decks/YVkheV3P4k2ntHW75AUxaw?utm_source=edhrec&utm_medium=deck_summary,2,Price of Progress,Instant,$8.49
P77UhRdfiW7NJ_SR0XBf2Q,https://moxfield.com/decks/YVkheV3P4k2ntHW75AUxaw?utm_source=edhrec&utm_medium=deck_summary,1,Pyroblast,Instant,$9.99
P77UhRdfiW7NJ_SR0XBf2Q,https://moxfield.com/decks/YVkheV3P4k2ntHW75AUxaw?utm_source=edhrec&utm_medium=deck_summary,1,Red Elemental Blast,Instant,$5.99
P77UhRdfiW7NJ_SR0XBf2Q,https://moxfield.com/decks/YVkheV3P4k2ntHW75AUxaw?utm_source=edhrec&utm_medium=deck_summary,2,Tibalt's Trickery,Instant,$12.99
P77UhRdfiW7NJ_SR0XBf2Q,https://moxfield.com/decks/YVkheV3P4k2ntHW75AUxaw?utm_source=edhrec&utm_medium=deck_summary,3,Volcanic Fallout,Instant,$0.35
P77UhRdfiW7NJ_SR0XBf2Q,https://moxfield.com/decks/YVkheV3P4k2ntHW75AUxaw?utm_source=edhrec&utm_medium=deck_summary,9,Blasphemous Act,Sorcery,$2.99
P77UhRdfiW7NJ_SR0XBf2Q,https://moxfield.com/decks/YVkheV3P4k2ntHW75AUxaw?utm_source=edhrec&utm_medium=deck_summary,1,Boltwave,Sorcery,$3.99
P77UhRdfiW7NJ_SR0XBf2Q,https://moxfield.com/decks/YVkheV3P4k2ntHW75AUxaw?utm_source=edhrec&utm_medium=deck_summary,4,Chain Reaction,Sorcery,$0.49
P77UhRdfiW7NJ_SR0XBf2Q,https://moxfield.com/decks/YVkheV3P4k2ntHW75AUxaw?utm_source=edhrec&utm_medium=deck_summary,1,End the Festivities,Sorcery,$1.99
P77UhRdfiW7NJ_SR0XBf2Q,https://moxfield.com/decks/YVkheV3P4k2ntHW75AUxaw?utm_source=edhrec&utm_medium=deck_summary,4,Fiery Confluence,Sorcery,$0.99
P77UhRdfiW7NJ_SR0XBf2Q,https://moxfield.com/decks/YVkheV3P4k2ntHW75AUxaw?utm_source=edhrec&utm_medium=deck_summary,1,Gamble,Sorcery,$15.99
P77UhRdfiW7NJ_SR0XBf2Q,https://moxfield.com/decks/YVkheV3P4k2ntHW75AUxaw?utm_source=edhrec&utm_medium=deck_summary,3,Jeska's Will,Sorcery,$49.99
P77UhRdfiW7NJ_SR0XBf2Q,https://moxfield.com/decks/YVkheV3P4k2ntHW75AUxaw?utm_source=edhrec&utm_medium=deck_summary,1,Mana Clash,Sorcery,$2.49
P77UhRdfiW7NJ_SR0XBf2Q,https://moxfield.com/decks/YVkheV3P4k2ntHW75AUxaw?utm_source=edhrec&utm_medium=deck_summary,1,Tectonic Hazard,Sorcery,$0.69
P77UhRdfiW7NJ_SR0XBf2Q,https://moxfield.com/decks/YVkheV3P4k2ntHW75AUxaw?utm_source=edhrec&utm_medium=deck_summary,2,Volcanic Spray,Sorcery,$1.49
P77UhRdfiW7NJ_SR0XBf2Q,https://moxfield.com/decks/YVkheV3P4k2ntHW75AUxaw?utm_source=edhrec&utm_medium=deck_summary,2,Arcane Signet,Artifact,$0.79
