deck_id,deck_source,cmc,name,type,price
PYZvfyYAmtijXrtzIB9gqQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,"Birgi, God of Storytelling",Creature,$34.99
PYZvfyYAmtijXrtzIB9gqQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Cinder Pyromancer,Creature,$0.35
PYZvfyYAmtijXrtzIB9gqQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Coruscation Mage,Creature,$2.79
PYZvfyYAmtijXrtzIB9gqQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,"Electro, Assaulting Battery",Creature,$9.99
PYZvfyYAmtijXrtzIB9gqQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Electrostatic Field,Creature,$2.49
PYZvfyYAmtijXrtzIB9gqQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Erebor Flamesmith,Creature,$0.99
PYZvfyYAmtijXrtzIB9gqQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Firebrand Archer,Creature,$0.49
PYZvfyYAmtijXrtzIB9gqQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Firespitter Whelp,Creature,$0.49
PYZvfyYAmtijXrtzIB9gqQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Kessig Flamebreather,Creature,$5.49
PYZvfyYAmtijXrtzIB9gqQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,5,"Neheb, the Eternal",Creature,$6.49
PYZvfyYAmtijXrtzIB9gqQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,5,Pinnacle Monk,Creature,$3.99
PYZvfyYAmtijXrtzIB9gqQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Runaway Steam-Kin,Creature,$2.29
PYZvfyYAmtijXrtzIB9gqQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Sabotender,Creature,$0.35
PYZvfyYAmtijXrtzIB9gqQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Storm-Kiln Artist,Creature,$3.49
PYZvfyYAmtijXrtzIB9gqQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Sunset Strikemaster,Creature,$0.69
PYZvfyYAmtijXrtzIB9gqQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Thermo-Alchemist,Creature,$0.35
PYZvfyYAmtijXrtzIB9gqQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Urabrask,Creature,$21.99
PYZvfyYAmtijXrtzIB9gqQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Bolt Bend,Instant,$5.99
PYZvfyYAmtijXrtzIB9gqQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Deflecting Swat,Instant,$69.99
PYZvfyYAmtijXrtzIB9gqQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Gut Shot,Instant,$5.99
PYZvfyYAmtijXrtzIB9gqQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Laughing Mad,Instant,$0.35
PYZvfyYAmtijXrtzIB9gqQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Price of Progress,Instant,$8.49
PYZvfyYAmtijXrtzIB9gqQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Tibalt's Trickery,Instant,$12.99
PYZvfyYAmtijXrtzIB9gqQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Valakut Awakening,Instant,$18.99
PYZvfyYAmtijXrtzIB9gqQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Boltwave,Sorcery,$3.99
PYZvfyYAmtijXrtzIB9gqQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Embrace the Unknown,Sorcery,$2.29
PYZvfyYAmtijXrtzIB9gqQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Fiery Confluence,Sorcery,$0.99
PYZvfyYAmtijXrtzIB9gqQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Flame Fusillade,Sorcery,$2.29
PYZvfyYAmtijXrtzIB9gqQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Flame Jab,Sorcery,$0.35
PYZvfyYAmtijXrtzIB9gqQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Gamble,Sorcery,$15.99
PYZvfyYAmtijXrtzIB9gqQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Glimpse the Impossible,Sorcery,$0.35
PYZvfyYAmtijXrtzIB9gqQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Grab the Prize,Sorcery,$1.29
PYZvfyYAmtijXrtzIB9gqQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Grapeshot,Sorcery,$0.69
PYZvfyYAmtijXrtzIB9gqQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Heroes' Hangout,Sorcery,$0.35
PYZvfyYAmtijXrtzIB9gqQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Highway Robbery,Sorcery,$1.29
PYZvfyYAmtijXrtzIB9gqQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Jeska's Will,Sorcery,$49.99
PYZvfyYAmtijXrtzIB9gqQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Last Chance,Sorcery,$2.99
PYZvfyYAmtijXrtzIB9gqQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Light Up the Stage,Sorcery,$0.39
PYZvfyYAmtijXrtzIB9gqQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Mana Clash,Sorcery,$2.49
PYZvfyYAmtijXrtzIB9gqQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,5,Mana Geyser,Sorcery,$3.49
PYZvfyYAmtijXrtzIB9gqQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Mizzix's Mastery,Sorcery,$3.99
PYZvfyYAmtijXrtzIB9gqQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Reckless Impulse,Sorcery,$1.49
PYZvfyYAmtijXrtzIB9gqQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Rite of Flame,Sorcery,$6.99
PYZvfyYAmtijXrtzIB9gqQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Rob the Archives,Sorcery,$0.35
PYZvfyYAmtijXrtzIB9gqQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Tectonic Hazard,Sorcery,$0.69
PYZvfyYAmtijXrtzIB9gqQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Wheel of Misfortune,Sorcery,$10.99
PYZvfyYAmtijXrtzIB9gqQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Wild Ride,Sorcery,$0.35
PYZvfyYAmtijXrtzIB9gqQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Will of the Jeskai,Sorcery,$4.49
PYZvfyYAmtijXrtzIB9gqQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Witch's Mark,Sorcery,$0.35
PYZvfyYAmtijXrtzIB9gqQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Zenith Festival,Sorcery,$0.49
PYZvfyYAmtijXrtzIB9gqQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Arcane Signet,Artifact,$0.79
PYZvfyYAmtijXrtzIB9gqQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Cursed Mirror,Artifact,$2.49
PYZvfyYAmtijXrtzIB9gqQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Hero's Blade,Artifact,$0.35
PYZvfyYAmtijXrtzIB9gqQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Liquimetal Torque,Artifact,$4.99
PYZvfyYAmtijXrtzIB9gqQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,0,Lotus Petal,Artifact,$34.99
PYZvfyYAmtijXrtzIB9gqQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Mind Stone,Artifact,$0.39
PYZvfyYAmtijXrtzIB9gqQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Ruby Medallion,Artifact,$16.99
PYZvfyYAmtijXrtzIB9gqQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Sol Ring,Artifact,$1.99
PYZvfyYAmtijXrtzIB9gqQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,The Irencrag,Artifact,$1.29
PYZvfyYAmtijXrtzIB9gqQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,The One Ring,Artifact,$99.99
PYZvfyYAmtijXrtzIB9gqQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Thought Vessel,Artifact,$2.79
PYZvfyYAmtijXrtzIB9gqQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Descent into Avernus,Enchantment,$16.99
PYZvfyYAmtijXrtzIB9gqQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Fiery Inscription,Enchantment,$0.99
PYZvfyYAmtijXrtzIB9gqQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Shadow of the Goblin,Enchantment,$0.79
PYZvfyYAmtijXrtzIB9gqQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Spellshock,Enchantment,$2.99
PYZvfyYAmtijXrtzIB9gqQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,5,Virtue of Courage,Enchantment,$2.99
PYZvfyYAmtijXrtzIB9gqQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Wild Wasteland,Enchantment,$1.79
PYZvfyYAmtijXrtzIB9gqQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,0,Cavern of Souls,Land,$54.99
PYZvfyYAmtijXrtzIB9gqQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,0,Fire Nation Palace,Land,$2.99
PYZvfyYAmtijXrtzIB9gqQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,0,"Lindblum, Industrial Regency",Land,$3.49
PYZvfyYAmtijXrtzIB9gqQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,0,Mountain,Land,$0.35
PYZvfyYAmtijXrtzIB9gqQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,0,"Nykthos, Shrine to Nyx",Land,$59.99
PYZvfyYAmtijXrtzIB9gqQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,0,Sunken Citadel,Land,$0.49
PYZvfyYAmtijXrtzIB9gqQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,0,Tyrite Sanctum,Land,$4.99
PYZvfyYAmtijXrtzIB9gqQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,0,War Room,Land,$7.49
