deck_id,deck_source,cmc,name,type,price
PsntApN7aY-zoHDPOZtwtQ,https://moxfield.com/decks/q-D0q0nCEU-BslhErlL6Aw?utm_source=edhrec&utm_medium=deck_summary,3,"Birgi, God of Storytelling",Creature,$42.99
PsntApN7aY-zoHDPOZtwtQ,https://moxfield.com/decks/q-D0q0nCEU-BslhErlL6Aw?utm_source=edhrec&utm_medium=deck_summary,2,Coruscation Mage,Creature,$1.99
PsntApN7aY-zoHDPOZtwtQ,https://moxfield.com/decks/q-D0q0nCEU-BslhErlL6Aw?utm_source=edhrec&utm_medium=deck_summary,3,Gleeful Arsonist,Creature,$7.99
PsntApN7aY-zoHDPOZtwtQ,https://moxfield.com/decks/q-D0q0nCEU-BslhErlL6Aw?utm_source=edhrec&utm_medium=deck_summary,2,Harmonic Prodigy,Creature,$4.49
PsntApN7aY-zoHDPOZtwtQ,https://moxfield.com/decks/q-D0q0nCEU-BslhErlL6Aw?utm_source=edhrec&utm_medium=deck_summary,2,Harsh Mentor,Creature,$0.59
PsntApN7aY-zoHDPOZtwtQ,https://moxfield.com/decks/q-D0q0nCEU-BslhErlL6Aw?utm_source=edhrec&utm_medium=deck_summary,2,Kessig Flamebreather,Creature,$5.49
PsntApN7aY-zoHDPOZtwtQ,https://moxfield.com/decks/q-D0q0nCEU-BslhErlL6Aw?utm_source=edhrec&utm_medium=deck_summary,4,"Longshot, Rebel Bowman",Creature,$13.99
PsntApN7aY-zoHDPOZtwtQ,https://moxfield.com/decks/q-D0q0nCEU-BslhErlL6Aw?utm_source=edhrec&utm_medium=deck_summary,2,Magebane Lizard,Creature,$1.29
PsntApN7aY-zoHDPOZtwtQ,https://moxfield.com/decks/q-D0q0nCEU-BslhErlL6Aw?utm_source=edhrec&utm_medium=deck_summary,1,"Ragavan, Nimble Pilferer",Creature,$57.99
PsntApN7aY-zoHDPOZtwtQ,https://moxfield.com/decks/q-D0q0nCEU-BslhErlL6Aw?utm_source=edhrec&utm_medium=deck_summary,2,Razorkin Needlehead,Creature,$8.99
PsntApN7aY-zoHDPOZtwtQ,https://moxfield.com/decks/q-D0q0nCEU-BslhErlL6Aw?utm_source=edhrec&utm_medium=deck_summary,3,Simian Spirit Guide,Creature,$3.99
PsntApN7aY-zoHDPOZtwtQ,https://moxfield.com/decks/q-D0q0nCEU-BslhErlL6Aw?utm_source=edhrec&utm_medium=deck_summary,4,"Solphim, Mayhem Dominus",Creature,$34.99
PsntApN7aY-zoHDPOZtwtQ,https://moxfield.com/decks/q-D0q0nCEU-BslhErlL6Aw?utm_source=edhrec&utm_medium=deck_summary,4,Storm-Kiln Artist,Creature,$2.79
PsntApN7aY-zoHDPOZtwtQ,https://moxfield.com/decks/q-D0q0nCEU-BslhErlL6Aw?utm_source=edhrec&utm_medium=deck_summary,2,Thermo-Alchemist,Creature,$0.35
PsntApN7aY-zoHDPOZtwtQ,https://moxfield.com/decks/q-D0q0nCEU-BslhErlL6Aw?utm_source=edhrec&utm_medium=deck_summary,4,"Torbran, Thane of Red Fell",Creature,$5.49
PsntApN7aY-zoHDPOZtwtQ,https://moxfield.com/decks/q-D0q0nCEU-BslhErlL6Aw?utm_source=edhrec&utm_medium=deck_summary,3,Unruly Catapult,Creature,$0.49
PsntApN7aY-zoHDPOZtwtQ,https://moxfield.com/decks/q-D0q0nCEU-BslhErlL6Aw?utm_source=edhrec&utm_medium=deck_summary,3,Zo-Zu the Punisher,Creature,$3.99
PsntApN7aY-zoHDPOZtwtQ,https://moxfield.com/decks/q-D0q0nCEU-BslhErlL6Aw?utm_source=edhrec&utm_medium=deck_summary,4,Bolt Bend,Instant,$2.79
PsntApN7aY-zoHDPOZtwtQ,https://moxfield.com/decks/q-D0q0nCEU-BslhErlL6Aw?utm_source=edhrec&utm_medium=deck_summary,1,Brute Force,Instant,$0.49
PsntApN7aY-zoHDPOZtwtQ,https://moxfield.com/decks/q-D0q0nCEU-BslhErlL6Aw?utm_source=edhrec&utm_medium=deck_summary,2,Bulk Up,Instant,$0.35
PsntApN7aY-zoHDPOZtwtQ,https://moxfield.com/decks/q-D0q0nCEU-BslhErlL6Aw?utm_source=edhrec&utm_medium=deck_summary,3,Chaos Warp,Instant,$0.69
PsntApN7aY-zoHDPOZtwtQ,https://moxfield.com/decks/q-D0q0nCEU-BslhErlL6Aw?utm_source=edhrec&utm_medium=deck_summary,3,Deflecting Swat,Instant,$84.99
PsntApN7aY-zoHDPOZtwtQ,https://moxfield.com/decks/q-D0q0nCEU-BslhErlL6Aw?utm_source=edhrec&utm_medium=deck_summary,3,Flare of Duplication,Instant,$2.99
