deck_id,deck_source,cmc,name,type,price
QSkfQS0jQ6jpX1-SSuyGgQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Agate Instigator,Creature,$7.49
QSkfQS0jQ6jpX1-SSuyGgQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,"Birgi, God of Storytelling",Creature,$34.99
QSkfQS0jQ6jpX1-SSuyGgQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,"Chandra, Fire of Kaladesh",Creature,$2.79
QSkfQS0jQ6jpX1-SSuyGgQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Defiler of Instinct,Creature,$0.69
QSkfQS0jQ6jpX1-SSuyGgQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Eidolon of the Great Revel,Creature,$3.49
QSkfQS0jQ6jpX1-SSuyGgQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,6,"Godo, Bandit Warlord",Creature,$0.99
QSkfQS0jQ6jpX1-SSuyGgQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,5,Goldspan Dragon,Creature,$12.99
QSkfQS0jQ6jpX1-SSuyGgQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Grinning Ignus,Creature,$0.35
QSkfQS0jQ6jpX1-SSuyGgQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Guttersnipe,Creature,$0.59
QSkfQS0jQ6jpX1-SSuyGgQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Harsh Mentor,Creature,$0.49
QSkfQS0jQ6jpX1-SSuyGgQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Kessig Flamebreather,Creature,$5.49
QSkfQS0jQ6jpX1-SSuyGgQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,"Livaan, Cultist of Tiamat",Creature,$0.35
QSkfQS0jQ6jpX1-SSuyGgQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,"Orthion, Hero of Lavabrink",Creature,$6.99
QSkfQS0jQ6jpX1-SSuyGgQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,5,Pinnacle Monk,Creature,$3.99
