deck_id,deck_source,cmc,name,type,price
SBiHTNbJHkF4b_cgTUPVVg,https://moxfield.com/decks/X0IcUnC4wUW6cTX_9QVpsA?utm_source=edhrec&utm_medium=deck_summary,3,"Birgi, God of Storytelling",Creature,$32.99
SBiHTNbJHkF4b_cgTUPVVg,https://moxfield.com/decks/X0IcUnC4wUW6cTX_9QVpsA?utm_source=edhrec&utm_medium=deck_summary,2,Firebrand Archer,Creature,$0.35
SBiHTNbJHkF4b_cgTUPVVg,https://moxfield.com/decks/X0IcUnC4wUW6cTX_9QVpsA?utm_source=edhrec&utm_medium=deck_summary,2,Goblin Engineer,Creature,$9.99
SBiHTNbJHkF4b_cgTUPVVg,https://moxfield.com/decks/X0IcUnC4wUW6cTX_9QVpsA?utm_source=edhrec&utm_medium=deck_summary,3,Imperial Recruiter,Creature,$14.99
SBiHTNbJHkF4b_cgTUPVVg,https://moxfield.com/decks/X0IcUnC4wUW6cTX_9QVpsA?utm_source=edhrec&utm_medium=deck_summary,3,Magus of the Wheel,Creature,$1.79
SBiHTNbJHkF4b_cgTUPVVg,https://moxfield.com/decks/X0IcUnC4wUW6cTX_9QVpsA?utm_source=edhrec&utm_medium=deck_summary,5,"Neheb, the Eternal",Creature,$2.79
SBiHTNbJHkF4b_cgTUPVVg,https://moxfield.com/decks/X0IcUnC4wUW6cTX_9QVpsA?utm_source=edhrec&utm_medium=deck_summary,4,"Purphoros, God of the Forge",Creature,$24.99
SBiHTNbJHkF4b_cgTUPVVg,https://moxfield.com/decks/X0IcUnC4wUW6cTX_9QVpsA?utm_source=edhrec&utm_medium=deck_summary,3,Simian Spirit Guide,Creature,$2.99
SBiHTNbJHkF4b_cgTUPVVg,https://moxfield.com/decks/X0IcUnC4wUW6cTX_9QVpsA?utm_source=edhrec&utm_medium=deck_summary,2,Thermo-Alchemist,Creature,$0.39
SBiHTNbJHkF4b_cgTUPVVg,https://moxfield.com/decks/X0IcUnC4wUW6cTX_9QVpsA?utm_source=edhrec&utm_medium=deck_summary,4,Treasonous Ogre,Creature,$13.99
SBiHTNbJHkF4b_cgTUPVVg,https://moxfield.com/decks/X0IcUnC4wUW6cTX_9QVpsA?utm_source=edhrec&utm_medium=deck_summary,2,Abrade,Instant,$0.35
SBiHTNbJHkF4b_cgTUPVVg,https://moxfield.com/decks/X0IcUnC4wUW6cTX_9QVpsA?utm_source=edhrec&utm_medium=deck_summary,4,Big Score,Instant,$1.79
SBiHTNbJHkF4b_cgTUPVVg,https://moxfield.com/decks/X0IcUnC4wUW6cTX_9QVpsA?utm_source=edhrec&utm_medium=deck_summary,3,Chaos Warp,Instant,$0.99
SBiHTNbJHkF4b_cgTUPVVg,https://moxfield.com/decks/X0IcUnC4wUW6cTX_9QVpsA?utm_source=edhrec&utm_medium=deck_summary,3,Deflecting Swat,Instant,$64.99
SBiHTNbJHkF4b_cgTUPVVg,https://moxfield.com/decks/X0IcUnC4wUW6cTX_9QVpsA?utm_source=edhrec&utm_medium=deck_summary,3,Delayed Blast Fireball,Instant,$13.99
SBiHTNbJHkF4b_cgTUPVVg,https://moxfield.com/decks/X0IcUnC4wUW6cTX_9QVpsA?utm_source=edhrec&utm_medium=deck_summary,2,Demand Answers,Instant,$0.79
SBiHTNbJHkF4b_cgTUPVVg,https://moxfield.com/decks/X0IcUnC4wUW6cTX_9QVpsA?utm_source=edhrec&utm_medium=deck_summary,2,Desperate Ritual,Instant,$2.99
SBiHTNbJHkF4b_cgTUPVVg,https://moxfield.com/decks/X0IcUnC4wUW6cTX_9QVpsA?utm_source=edhrec&utm_medium=deck_summary,3,Flare of Duplication,Instant,$2.99
SBiHTNbJHkF4b_cgTUPVVg,https://moxfield.com/decks/X0IcUnC4wUW6cTX_9QVpsA?utm_source=edhrec&utm_medium=deck_summary,1,Lightning Bolt,Instant,$1.79
SBiHTNbJHkF4b_cgTUPVVg,https://moxfield.com/decks/X0IcUnC4wUW6cTX_9QVpsA?utm_source=edhrec&utm_medium=deck_summary,2,Pyretic Ritual,Instant,$8.49
SBiHTNbJHkF4b_cgTUPVVg,https://moxfield.com/decks/X0IcUnC4wUW6cTX_9QVpsA?utm_source=edhrec&utm_medium=deck_summary,1,Pyroblast,Instant,$9.99
SBiHTNbJHkF4b_cgTUPVVg,https://moxfield.com/decks/X0IcUnC4wUW6cTX_9QVpsA?utm_source=edhrec&utm_medium=deck_summary,6,Pyrokinesis,Instant,$2.79
SBiHTNbJHkF4b_cgTUPVVg,https://moxfield.com/decks/X0IcUnC4wUW6cTX_9QVpsA?utm_source=edhrec&utm_medium=deck_summary,1,Red Elemental Blast,Instant,$4.99
SBiHTNbJHkF4b_cgTUPVVg,https://moxfield.com/decks/X0IcUnC4wUW6cTX_9QVpsA?utm_source=edhrec&utm_medium=deck_summary,4,Ricochet Trap,Instant,$0.69
SBiHTNbJHkF4b_cgTUPVVg,https://moxfield.com/decks/X0IcUnC4wUW6cTX_9QVpsA?utm_source=edhrec&utm_medium=deck_summary,3,Seething Song,Instant,$9.49
SBiHTNbJHkF4b_cgTUPVVg,https://moxfield.com/decks/X0IcUnC4wUW6cTX_9QVpsA?utm_source=edhrec&utm_medium=deck_summary,2,Thrill of Possibility,Instant,$0.35
SBiHTNbJHkF4b_cgTUPVVg,https://moxfield.com/decks/X0IcUnC4wUW6cTX_9QVpsA?utm_source=edhrec&utm_medium=deck_summary,2,Tibalt's Trickery,Instant,$11.99
SBiHTNbJHkF4b_cgTUPVVg,https://moxfield.com/decks/X0IcUnC4wUW6cTX_9QVpsA?utm_source=edhrec&utm_medium=deck_summary,2,Untimely Malfunction,Instant,$7.99
SBiHTNbJHkF4b_cgTUPVVg,https://moxfield.com/decks/X0IcUnC4wUW6cTX_9QVpsA?utm_source=edhrec&utm_medium=deck_summary,3,Valakut Awakening,Instant,$16.99
SBiHTNbJHkF4b_cgTUPVVg,https://moxfield.com/decks/X0IcUnC4wUW6cTX_9QVpsA?utm_source=edhrec&utm_medium=deck_summary,9,Blasphemous Act,Sorcery,$3.49
SBiHTNbJHkF4b_cgTUPVVg,https://moxfield.com/decks/X0IcUnC4wUW6cTX_9QVpsA?utm_source=edhrec&utm_medium=deck_summary,1,End the Festivities,Sorcery,$0.99
SBiHTNbJHkF4b_cgTUPVVg,https://moxfield.com/decks/X0IcUnC4wUW6cTX_9QVpsA?utm_source=edhrec&utm_medium=deck_summary,1,Faithless Looting,Sorcery,$0.69
SBiHTNbJHkF4b_cgTUPVVg,https://moxfield.com/decks/X0IcUnC4wUW6cTX_9QVpsA?utm_source=edhrec&utm_medium=deck_summary,1,Gamble,Sorcery,$13.99
SBiHTNbJHkF4b_cgTUPVVg,https://moxfield.com/decks/X0IcUnC4wUW6cTX_9QVpsA?utm_source=edhrec&utm_medium=deck_summary,2,Grapeshot,Sorcery,$0.35
SBiHTNbJHkF4b_cgTUPVVg,https://moxfield.com/decks/X0IcUnC4wUW6cTX_9QVpsA?utm_source=edhrec&utm_medium=deck_summary,3,Jeska's Will,Sorcery,$32.99
SBiHTNbJHkF4b_cgTUPVVg,https://moxfield.com/decks/X0IcUnC4wUW6cTX_9QVpsA?utm_source=edhrec&utm_medium=deck_summary,2,Molten Duplication,Sorcery,$22.99
SBiHTNbJHkF4b_cgTUPVVg,https://moxfield.com/decks/X0IcUnC4wUW6cTX_9QVpsA?utm_source=edhrec&utm_medium=deck_summary,1,Rite of Flame,Sorcery,$6.49
SBiHTNbJHkF4b_cgTUPVVg,https://moxfield.com/decks/X0IcUnC4wUW6cTX_9QVpsA?utm_source=edhrec&utm_medium=deck_summary,2,Shatterskull Smashing,Sorcery,$9.99
SBiHTNbJHkF4b_cgTUPVVg,https://moxfield.com/decks/X0IcUnC4wUW6cTX_9QVpsA?utm_source=edhrec&utm_medium=deck_summary,3,Wheel of Misfortune,Sorcery,$7.99
SBiHTNbJHkF4b_cgTUPVVg,https://moxfield.com/decks/X0IcUnC4wUW6cTX_9QVpsA?utm_source=edhrec&utm_medium=deck_summary,6,Aettir and Priwen,Artifact,$7.99
SBiHTNbJHkF4b_cgTUPVVg,https://moxfield.com/decks/X0IcUnC4wUW6cTX_9QVpsA?utm_source=edhrec&utm_medium=deck_summary,2,Arcane Signet,Artifact,$0.79
SBiHTNbJHkF4b_cgTUPVVg,https://moxfield.com/decks/X0IcUnC4wUW6cTX_9QVpsA?utm_source=edhrec&utm_medium=deck_summary,1,Basilisk Collar,Artifact,$5.49
SBiHTNbJHkF4b_cgTUPVVg,https://moxfield.com/decks/X0IcUnC4wUW6cTX_9QVpsA?utm_source=edhrec&utm_medium=deck_summary,2,Blazing Sunsteel,Artifact,$3.99
SBiHTNbJHkF4b_cgTUPVVg,https://moxfield.com/decks/X0IcUnC4wUW6cTX_9QVpsA?utm_source=edhrec&utm_medium=deck_summary,1,Bloodforged Battle-Axe,Artifact,$0.99
SBiHTNbJHkF4b_cgTUPVVg,https://moxfield.com/decks/X0IcUnC4wUW6cTX_9QVpsA?utm_source=edhrec&utm_medium=deck_summary,3,Buster Sword,Artifact,$54.99
SBiHTNbJHkF4b_cgTUPVVg,https://moxfield.com/decks/X0IcUnC4wUW6cTX_9QVpsA?utm_source=edhrec&utm_medium=deck_summary,0,Chrome Mox,Artifact,$129.99
SBiHTNbJHkF4b_cgTUPVVg,https://moxfield.com/decks/X0IcUnC4wUW6cTX_9QVpsA?utm_source=edhrec&utm_medium=deck_summary,1,Commander's Plate,Artifact,$39.99
SBiHTNbJHkF4b_cgTUPVVg,https://moxfield.com/decks/X0IcUnC4wUW6cTX_9QVpsA?utm_source=edhrec&utm_medium=deck_summary,3,Commander's Sphere,Artifact,$0.35
SBiHTNbJHkF4b_cgTUPVVg,https://moxfield.com/decks/X0IcUnC4wUW6cTX_9QVpsA?utm_source=edhrec&utm_medium=deck_summary,2,Conqueror's Flail,Artifact,$1.99
SBiHTNbJHkF4b_cgTUPVVg,https://moxfield.com/decks/X0IcUnC4wUW6cTX_9QVpsA?utm_source=edhrec&utm_medium=deck_summary,2,Cursed Totem,Artifact,$1.29
SBiHTNbJHkF4b_cgTUPVVg,https://moxfield.com/decks/X0IcUnC4wUW6cTX_9QVpsA?utm_source=edhrec&utm_medium=deck_summary,1,Grafdigger's Cage,Artifact,$3.49
SBiHTNbJHkF4b_cgTUPVVg,https://moxfield.com/decks/X0IcUnC4wUW6cTX_9QVpsA?utm_source=edhrec&utm_medium=deck_summary,1,Infiltration Lens,Artifact,$2.49
SBiHTNbJHkF4b_cgTUPVVg,https://moxfield.com/decks/X0IcUnC4wUW6cTX_9QVpsA?utm_source=edhrec&utm_medium=deck_summary,2,Lightning Greaves,Artifact,$6.49
SBiHTNbJHkF4b_cgTUPVVg,https://moxfield.com/decks/X0IcUnC4wUW6cTX_9QVpsA?utm_source=edhrec&utm_medium=deck_summary,0,Lotus Petal,Artifact,$29.99
SBiHTNbJHkF4b_cgTUPVVg,https://moxfield.com/decks/X0IcUnC4wUW6cTX_9QVpsA?utm_source=edhrec&utm_medium=deck_summary,1,Mana Vault,Artifact,$94.99
